QOqlDA,,Rmxvd2VyIEJlZA==,,,,,QXJidXN0bw==,,QXJidXN0bw==
d+qlDA,,XkZGMDAwMEFuIHVua25vd24gZXJyb3IgaGFzIG9jY3VycmVkLl4wMDAwMDA=,,,,,XkZGMDAwME9jb3JyZXUgdW0gZXJybyBkZXNjb25oZWNpZG8uXjAwMDAwMA==,,XkZGMDAwME9jdXJyacOzIHVuIGVycm9yIGRlc2Nvbm9jaWRvLl4wMDAwMDA=
eOqlDA,,XjAwMDBGRkl0IHNlZW1zIHRoZSBkdW5nZW9uIGhhcyBub3QgYmVlbiBjcmVhdGVkLCBvciB5b3UgYXJlIHRyeWluZyB0byBlbnRlciBhIGRpZmZlcmVudCBkdW5nZW9uIHRoYW4gdGhlIHBhcnR5IGxlYWRlci5eMDAwMDAw,,,,,XjAwMDBGRlBhcmVjZSBxdWUgYSBpbnN0w6JuY2lhIG7Do28gZm9pIGNyaWFkYSBvdSBxdWUgdm9jw6ogZXN0w6EgdGVudGFuZG8gZW50cmFyIGVtIHVtYSBpbnN0w6JuY2lhIGRpZmVyZW50ZSBkYSBkbyBsw61kZXIgZG8gZ3J1cG9eMDAwMDAw,,XjAwMDBGRlBhcmVjZSBxdWUgbGEgaW5zdGFuY2lhIG5vIGZ1ZSBjcmVhZGEgbyBlc3TDoXMgaW50ZW50YW5kbyBlbnRyYXIgZW4gdW5hIGluc3RhbmNpYSBkaWZlcmVudGUgYSBsYSBkZWwgbMOtZGVyIGRlbCBncnVwby5eMDAwMDAw
eeqlDA,,XkZGMDAwMFlvdSBjYW5ub3QgZW50ZXIgdW5sZXNzIHlvdSBhcmUgaW4gYSBwYXJ0eS5eMDAwMDAw,,,,,XkZGMDAwMFZvY8OqIG7Do28gcG9kZSBlbnRyYXIgc2VtIHVtIGdydXBvLl4wMDAwMDA=,,XkZGMDAwME5vIHB1ZWRlcyBlbnRyYXIgc2luIHVuIGdydXBvLl4wMDAwMDA=
euqlDA,,QSBtZW1iZXIgb2YgezB9J3MgcGFydHkgaXMgam9pbmluZyB0aGUgYXNzYXVsdCBvbiB0aGUgezF9IGR1bmdlb24u,,,,,ezB9IGVudHJvdSBuYSBpbnN0w6JuY2lhIFt7MX1dLg==,,ezB9IGVudHLDsyBlbiBsYSBpbnN0YW5jaWEgW3sxfV0u
e+qlDA,,W09zY2FyXQpJJ20gYWZyYWlkIHRoZXJlIHdhcyBubyB3YXkgdG8gc3RvcCBTY2htaWR0IGZyb20gYmVpbmcgc3dhbGxvd2VkIGJ5IHRoZSBvcmIu,,,,,W09zY2FyXQpJbmZlbGl6bWVudGUsIG7Do28gaMOhIG5hZGEgcXVlIHBvZGVyw61hbW9zIGZhemVyIHBhcmEgaW1wZWRpciBTY2htaWR0IGRlIHNlciBlbmdvbGlkbyBwZWxvIE9yYmUu,,W09zY2FyXQpMYW1lbnRhYmxlbWVudGUsIG5vIGhheSBuYWRhIHF1ZSBwdWRpw6lyYW1vcyBoYWNlciBwYXJhIGV2aXRhciBxdWUgU2NobWlkdCBmdWVyYSBhYnNvcmJpZG8gcG9yIGVsIE9yYmUu
fOqlDA,,SGFzIHRoZSBvcmIgYmVlbiBkZXN0cm95ZWQ/,,,,,TyBPcmJlIGZvaSBkZXN0cnXDrWRvPw==,,wr9FbCBPcmJlIGZ1ZSBkZXN0cnVpZG8/
feqlDA,,W09zY2FyXQpZZXMuIFRvIGJyaWVmbHkgZXhwbGFpbiB3aGF0IGhhcHBlbmVkIGFmdGVyIHRoYXQsIHRoZSBvcmIgZGVmaW5pdGVseSBzdG9wcGVkIHdvcmtpbmcsIGFuZCBpdCBkaWRuJ3QgYWJzb3JiIGFueSBtb3JlIGxpdmluZyBjcmVhdHVyZXMuIEF0IGxlYXN0IHRoYXQncyBhIHJlbGllZi4=,,,,,W09zY2FyXQpTaW0uIFPDsyBwYXJhIGV4cGxpY2FyIG8gcXVlIGFjb250ZWNldSBlbSBzZWd1aWRhLCBvIG9yYmUgZGVmaW5pdGl2YW1lbnRlIHBhcm91IGRlIGZ1bmNpb25hciBlIG7Do28gYWJzb3J2ZXUgbWFpcyB2aWRhLiBJc3NvIMOpIHVtYSBjb2lzYSBib2Eu,,W09zY2FyXQpTw60uIFPDrS4gU29sbyBwYXJhIGV4cGxpY2FyIGxvIHF1ZSBvY3VycmnDsyBkZXNwdcOpcywgZWwgb3JiZSBkZWZpbml0aXZhbWVudGUgZGVqw7MgZGUgZnVuY2lvbmFyIHkgeWEgbm8gYWJzb3JiacOzIG3DoXMgdmlkYS4gRXNvIGVzIGFsZ28gYnVlbm8u
fuqlDA,,W09zY2FyXQpCdXQganVzdCBiZWNhdXNlIHRoZSBvcmIncyBlbmVyZ3kgaGFzIHN0b3BwZWQsIGl0IGRvZXNuJ3QgbWVhbiB0aGUgYXVyYSBvZiBkZWF0aCB0aGF0IGNvdmVycyBHbGFzdGhlaW0gaGFzIHN0b3BwZWQu,,,,,W09zY2FyXQpNYXMgbWVzbW8gcXVlIGEgZW5lcmdpYSBkbyBvcmJlIHRlbmhhIHBhcmFkbywgaXNzbyBuw6NvIGltcGVkaXUgYSBlbmVyZ2lhIG1vcnRhbCBlbnZvbHZlciB0b2RhIEdsYXN0aGVpbS4=,,W09zY2FyXQpQZXJvIGF1bnF1ZSBsYSBlbmVyZ8OtYSBkZWwgb3JiZSBzZSBkZXR1dm8sIGVzbyBubyBpbXBpZGnDsyBxdWUgbGEgZW5lcmfDrWEgbW9ydGFsIGVudm9sdmllcmEgcG9yIGNvbXBsZXRvIGEgR2xhc3RoZWltLg==
f+qlDA,,W09zY2FyXQpGcmFnbWVudHMgb2YgU2NobWlkdCdzIGxpbmdlcmluZyB0aG91Z2h0cyBiZWNhbWUgcmVhbCwgYW5kIGZvciBhIHdoaWxlLCB0aGV5IHN0YXJ0ZWQgYXBwZWFyaW5nIGhlcmUgYW5kIHRoZXJlIHRocm91Z2hvdXQgdGhlIG9sZCBjYXN0bGUu,,,,,W09zY2FyXQpGcmFnbWVudG9zIGRhIG1lbnRlIGRlIFNjaG1pZHQgc2UgbWF0ZXJpYWxpemFyYW0gZSBjb21lw6dhcmFtIGEgYXBhcmVjZXIgbm8gY2FzdGVsbyBwb3IgdW0gdGVtcG8u,,W09zY2FyXQpGcmFnbWVudG9zIGRlIGxhIG1lbnRlIGRlIFNjaG1pZHQgc2UgbWF0ZXJpYWxpemFyb24geSBjb21lbnphcm9uIGEgYXBhcmVjZXIgZW4gZWwgY2FzdGlsbG8gcG9yIHVuIHRpZW1wby4=
gOqlDA,,W09zY2FyXQpBaCwgb2YgY291cnNlIEkgbWVhc3VyZWQgdG8gc2VlIGlmIHRoZXJlIHdlcmUgYW55IHRyYWNlcyBvZiBsaWZlIGVuZXJneSwgYnV0IGl0IHdhcyBvbmx5IGEgdHJhY2UgdGhhdCBpbWl0YXRlZCBTY2htaWR0IGFuZCBoYWQgbm90aGluZyB0byBkbyB3aXRoIFNjaG1pZHQncyBzb3VsLg==,,,,,W09zY2FyXQpBaCwgY2xhcm8gcXVlIG1lZGkgcGFyYSB2ZXIgc2UgaGF2aWEgYWxndW0gdmVzdMOtZ2lvIGRlIHZpZGEsIG1hcyBlcmEgYXBlbmFzIHVtYSBpbWl0YcOnw6NvIGRlIFNjaG1pZHQgZSBuw6NvIHRpbmhhIG5hZGEgYSB2ZXIgY29tIGEgYWxtYSBkZWxlLg==,,W09zY2FyXQpBaCwgY2xhcm8gcXVlIG1lZMOtIHBhcmEgdmVyIHNpIGhhYsOtYSBhbGfDum4gdmVzdGlnaW8gZGUgdmlkYSwgcGVybyBlcmEgc29sbyB1bmEgaW1pdGFjacOzbiBkZSBTY2htaWR0IHkgbm8gdGVuw61hIG5hZGEgcXVlIHZlciBjb24gc3UgYWxtYS4=
geqlDA,,VGhlbiB0aGUgcmVhbCBTY2htaWR0IGlzPw==,,,,,TyBxdWUgYWNvbnRlY2V1IGNvbSBvIHZlcmRhZGVpcm8gU2NobWlkdD8=,,wr9RdcOpIGxlIHBhc8OzIGFsIHZlcmRhZGVybyBTY2htaWR0Pw==
guqlDA,,W09zY2FyXQpJIGNoZWNrZWQgdG8gc2VlIGlmIFNjaG1pZHQncyBzb3VsIHdhcyBzdGlsbCBpbnNpZGUgdGhlIG9yYiwgYnV0IEkgY291bGRuJ3Qgc2Vuc2UgaGlzIHByZXNlbmNlLiBFaXRoZXIgaGlzIHNvdWwgd2FzIG1vdmVkIHRvIGFub3RoZXIgZGltZW5zaW9uLCBvciBpdCB3YXMgY29tcGxldGVseSBkZXN0cm95ZWQu,,,,,W09zY2FyXQpWZXJpZmlxdWVpIHNlIGEgYWxtYSBkZSBTY2htaWR0IHBlcm1hbmVjZXUgZGVudHJvIGRvIG9yYmUsIG1hcyBuw6NvIGNvbnNlZ3VpIGRldGVjdGFyIHN1YSBwcmVzZW7Dp2EsIGluZGljYW5kbyBzZSBzdWEgYWxtYSBoYXZpYSBzaWRvIHRyYW5zZmVyaWRhIHBhcmEgb3V0cmEgZGltZW5zw6NvIG91IGNvbXBsZXRhbWVudGUgZGVzdHJ1w61kYS4=,,W09zY2FyXQpWZXJpZmlxdcOpIHNpIGVsIGFsbWEgZGUgU2NobWlkdCBwZXJtYW5lY8OtYSBkZW50cm8gZGVsIG9yYmUsIHBlcm8gbm8gbG9ncsOpIGRldGVjdGFyIHN1IHByZXNlbmNpYSwgbG8gcXVlIGluZGljYXLDrWEgcXVlIHN1IGFsbWEgZnVlIHRyYW5zZmVyaWRhIGEgb3RyYSBkaW1lbnNpw7NuIG8gY29tcGxldGFtZW50ZSBkZXN0cnVpZGEu
g+qlDA,,W09zY2FyXQpIb3dldmVyLCB0aGUgcGhlbm9tZW5vbiBvZiBTY2htaWR0J3MgbGluZ2VyaW5nIHRob3VnaHRzIHdhbmRlcmluZyBhYm91dCBiZWNhbWUgZmluZSBwb2xpdGljYWwgZm9kZGVyIGZvciB0aGUgb3RoZXIgcm95YWxzIG9mIFJ1bmUtTWlkZ2FydHMu,,,,,W09zY2FyXQpObyBlbnRhbnRvLCBhIGF0aXR1ZGUgZGUgU2NobWlkdCBzZSB0b3Jub3UgdW0gcHJhdG8gY2hlaW8gcG9sw610aWNvIHBhcmEgb3V0cmFzIGZhbcOtbGlhcyByZWFpcyBkZSBSdW5lLU1pZGdhcmQu,,W09zY2FyXQpTaW4gZW1iYXJnbywgbGEgYWN0aXR1ZCBkZSBTY2htaWR0IHNlIGNvbnZpcnRpw7MgZW4gdW4gZmVzdMOtbiBwb2zDrXRpY28gcGFyYSBvdHJhcyBmYW1pbGlhcyByZWFsZXMgZGUgUnVuZS1NaWRnYXJk
hOqlDA,,SWYgaXTigJlzIHBvbGl0aWNhbC4uLg==,,,,,UG9sw610aWNvLi4uPw==,,wr9Qb2zDrXRpY28uLi4/
heqlDA,,W09zY2FyXQpJdCB3YXMgYWxsIHRvbyBlYXN5IGZvciBydW1vcnMgdG8gc3ByZWFkLCB0d2lzdGluZyB0aGUgYWN0IG9mIHRocm93aW5nIHlvdXJzZWxmIGluIHRvIHNhdmUgdGhlIGxpdmVzIG9mIHRoZSBraW5nZG9tJ3MgcGVvcGxlIGludG8gdGhlIGZhbGwgb2YgYSBraW5nIGNvbnN1bWVkIGJ5IG1hZG5lc3Mu,,,,,W09zY2FyXQpPIGF0byBkZSBzYWNyaWZpY2FyIGEgcHLDs3ByaWEgdmlkYSBwYXJhIHNhbHZhciBvIHJlaW5vIGZvaSB0cmFuc2Zvcm1hZG8gZW0gdW0gZmFsc28gYm9hdG8gZGUgcXVlIG8gcmVpIGVtIHN1Y3VtYml1IMOgIGxvdWN1cmEu,,W09zY2FyXQpFbCBhY3RvIGRlIHNhY3JpZmljYXIgc3UgcHJvcGlhIHZpZGEgcGFyYSBzYWx2YXIgZWwgcmVpbm8gZnVlIGRpc3RvcnNpb25hZG8gZW4gdW4gZmFsc28gcnVtb3IgZGUgcXVlIGVsIHJleSBzdWN1bWJpw7MgYSBsYSBsb2N1cmEu
huqlDA,,W09zY2FyXQpJdCBpcyB3aWRlbHkgYWNjZXB0ZWQgYW5kIHJlY29yZGVkIGluIHRoZSBvZmZpY2lhbCBoaXN0b3J5IHRoYXQgS2luZyBTY2htaWR0LCBkcml2ZW4gbWFkIGJ5IGRhcmsgc29yY2VyeSwgb2ZmZXJlZCBoaW1zZWxmIGFzIGEgc2FjcmlmaWNlIGFuZCBiZWNhbWUgdW5kZWFkLg==,,,,,W09zY2FyXQpGb2kgZXNwYWxoYWRvIHF1ZSBvIHJlaSBTY2htaWR0IGVyYSBsb3VjbyBwb3IgYnJ1eGFyaWEgZSBzZSB0cmFuc2Zvcm1vdSBlbSB1bSBtb3J0by12aXZvLiBJc3NvIGZpY291IHJlZ2lzdHJhZG8gbmEgaGlzdMOzcmlhIGRhIHBvbMOtdGljYS4=,,W09zY2FyXQpTZSBkaWZ1bmRpw7MgcXVlIGVsIHJleSBTY2htaWR0IGVzdGFiYSBsb2NvIHBvciBsYSBicnVqZXLDrWEgeSBzZSBjb252aXJ0acOzIGVuIHVuIG5vLW11ZXJ0by4gRXNvIHF1ZWTDsyByZWdpc3RyYWRvIGVuIGxhIGhpc3RvcmlhIHBvbMOtdGljYS4=
h+qlDA,,W09zY2FyXQpJIHN1c3BlY3QgdGhhdCBTY2htaWR0J3MgdHJ1ZSBzb3VsIGlzIHN0aWxsIGFsaXZlIHNvbWV3aGVyZS4gU28gdGhyb3VnaCBkaW1lbnNpb25hbCB0cmF2ZWwsIEkgZGVmZWF0ZWQgS2luZyBTY2htaWR0J3MgbGluZ2VyaW5nIHRob3VnaHRzIHRlbnMgb2YgdGhvdXNhbmRzIG9mIHRpbWVzLg==,,,,,W09zY2FyXQpTdXNwZWl0byBxdWUgbyB2ZXJkYWRlaXJvIGVzcMOtcml0byBkZSBTY2htaWR0IHZpdmEgZW0gYWxndW0gbHVnYXIuIErDoSB2aSBvIFJlaSBTY2htaWR0IGRlemVuYXMgZGUgbWlsaGFyZXMgZGUgdmV6ZXMgYXRyYXbDqXMgZGFzIHZpYWdlbnMgZGltZW5zaW9uYWlzLg==,,W09zY2FyXQpTb3NwZWNobyBxdWUgZWwgdmVyZGFkZXJvIGVzcMOtcml0dSBkZSBTY2htaWR0IHZpdmUgZW4gYWxnw7puIGx1Z2FyLiBIZSB2aXN0byBhbCBSZXkgU2NobWlkdCBkZWNlbmFzIGRlIG1pbGVzIGRlIHZlY2VzIGEgdHJhdsOpcyBkZSBsb3MgdmlhamVzIGRpbWVuc2lvbmFsZXMu
iOqlDA,,W09zY2FyXQpJ4oCZdmUgYmVlbiBnYXRoZXJpbmcgYW5kIHN0dWR5aW5nIHRoZSB0cmFjZXMgbGVmdCBiZWhpbmQgYnkgdGhvc2UgdGhvdWdodC1mb3JtcywgaG9waW5nIHRoYXQgc29tZWRheSB3ZSBtaWdodCBsZWFybiB3aGF0IGJlY2FtZSBvZiBLaW5nIFNjaG1pZHTigJlzIHNvdWwuLi4=,,,,,W09zY2FyXQpBY2hhdmEgcXVlIHNlIGV1IGNvbGV0YXNzZSBlIGV4cGxvcmFzc2UgdmVzdMOtZ2lvcyBkZWxlLCB1bSBkaWEgcG9kZXJpYSBzZXIgY2FwYXogZGUgZGVzY29icmlyIG8gcXVlIGFjb250ZWNldSBjb20gYSBhbG1hIGRvIFJlaSBTY2htaWR0Li4u,,W09zY2FyXQpQZW5zw6kgcXVlIHNpIHJlY29sZWN0YWJhIHkgZXN0dWRpYWJhIHN1cyB2ZXN0aWdpb3MsIGFsZ8O6biBkw61hIHBvZHLDrWEgc2VyIGNhcGF6IGRlIGRlc2N1YnJpciBxdcOpIGxlIHBhc8OzIGFsIGFsbWEgZGVsIFJleSBTY2htaWR0Li4u
ieqlDA,,V2h5IHdvdWxkIHlvdSBnbyB0aGF0IGZhcj8=,,,,,UG9yIHF1ZSB2b2PDqiBmYXogaXNzbz8=,,wr9Qb3IgcXXDqSBoYWNlcyBlc28/
iuqlDA,,W09zY2FyXQpGaXJzdCwgSSB3YW50IHlvdSB0byBrbm93IHRoaXMuIFVubGlrZSBvdGhlciBkcmFnb25zLCBJIGRvbid0IGxpa2UganVkZ2luZyB3aGV0aGVyIGEgbGl2aW5nIGJlaW5nIGlzIG5vYmxlIG9yIGxvd2x5Lg==,,,,,W09zY2FyXQpFbSBwcmltZWlybyBsdWdhciwgbsOjbyBnb3N0byBkZSBqdWxnYXIgYSBwcmVjaW9zaWRhZGUgb3UgaW5zaWduaWZpY8OibmNpYSBkb3Mgc2VyZXMgdml2b3MgY29tbyBvcyBvdXRyb3MgRHJhZ8O1ZXMtZG8tVGVtcG8gZmF6ZW0u,,W09zY2FyXQpFbiBwcmltZXIgbHVnYXIsIG5vIG1lIGd1c3RhIGp1emdhciBsYSBpbXBvcnRhbmNpYSBvIGluc2lnbmlmaWNhbmNpYSBkZSBsb3Mgc2VyZXMgdml2b3MsIGNvbW8gaGFjZW4gb3Ryb3MgRHJhZ29uZXMgZGVsIFRpZW1wby4=
i+qlDA,,W09zY2FyXQpBbnkgbGl2aW5nIGJlaW5nIHdobyB1bmRlcnN0YW5kcyBzZWxmLXNhY3JpZmljZSBpcyBub2JsZSwgSSBiZWxpZXZlLiBUaGF0IGlzIHdoeSBJIGRvIG5vdCB3YW50IHRoYXQgbm9iaWxpdHkgdG8gYmUgZGlzdG9ydGVkIGFzIGl0IGlzIHBhc3NlZCBvbi4=,,,,,W09zY2FyXQpBY3JlZGl0byBxdWUgcXVhbHF1ZXIgc2VyIHZpdm8gw6kgbm9icmUuIFBvcnRhbnRvLCBuw6NvIHF1ZXJvIHF1ZSBlc3NhIG5vYnJlemEgc2VqYSBkaXN0b3JjaWRhIGUgdHJhbnNtaXRpZGEgZW0gZm9ybWEgZGUgbWVudGlyYS4=,,W09zY2FyXQpDcmVvIHF1ZSB0b2RvIHNlciB2aXZvIGVzIG5vYmxlLiBQb3IgZXNvIG5vIHF1aWVybyBxdWUgZXNhIG5vYmxlemEgc2VhIGRpc3RvcnNpb25hZGEgeSBjb252ZXJ0aWRhIGVuIG1lbnRpcmEu
jOqlDA,,W09zY2FyXQpCZWNhdXNlIHRoYXQgaXMgdGhlIGR1dHkgb2YgSSwgdGhlIHRpbWUgZHJhZ29uIE9zY2FyLCB3aG8gZ292ZXJucyB0aW1lIGFuZCByZWNvcmRzLg==,,,,,W09zY2FyXQpFc3NhIMOpIGEgbWluaGEgbWlzc8Ojby4gUG9yIGlzc28gZXUgc291IE9zY2FyLCBvIERyYWfDo28tZG8tVGVtcG8sIGdvdmVybmFkb3IgZGFzIGVyYXMgZSBkb3Mgc8OpY3Vsb3Mu,,W09zY2FyXQpFc2EgZXMgbWkgbWlzacOzbi4gUG9yIGVzbyBzb3kgT3NjYXIsIGVsIERyYWfDs24gZGVsIFRpZW1wbywgZ29iZXJuYWRvciBkZSBsYXMgZXJhcyB5IGxvcyBzaWdsb3Mu
jeqlDA,,SXMgdGhlcmUgYW55dGhpbmcgSSBjYW4gaGVscCB5b3Ugd2l0aD8=,,,,,Q29tbyBldSBwb2RlcmlhIHRlIGFqdWRhcj8=,,wr9Dw7NtbyBwb2Ryw61hIGF5dWRhcnRlPw==
juqlDA,,W09zY2FyXQpVbS4uLiBNYXliZSB0aGVyZSBpcy4=,,,,,W09zY2FyXQpIbS4uLiB0YWx2ZXouLi4=,,W09zY2FyXQpIbS4uLiB0YWwgdmV6Li4u
j+qlDA,,W09zY2FyXQpQbGVhc2UgcHVyaWZ5IHRoZSBLaW5nJ3MgbGluZ2VyaW5nIHRob3VnaHRzLCBhbmQgZ2F0aGVyIHRoZSBjcnlzdGFscyBvciBmcmFnbWVudHMgdGhhdCBjb21lIGZyb20gdGhlbS4gT2YgY291cnNlLCBJJ20gY29sbGVjdGluZyB0aGVtIHBlcnNvbmFsbHkgYXMgd2VsbCwgYnV0IHRoZSBtb3JlIHdlIGhhdmUsIHRoZSBiZXR0ZXIu,,,,,W09zY2FyXQpQb3IgZmF2b3IsIHB1cmlmaXF1ZSBHbGFzdGhlaW0gZSBjb2xldGUgb3MgY3Jpc3RhaXMgcXVlIHZpZXJhbSBkYSBtZW50ZSBmcmFnbWVudGFkYSBkZSBTY2htaWR0LiBFc3RvdSBjb2xldGFuZG8tb3MgcGVzc29hbG1lbnRlLCBtYXMgcXVhbnRvIG1haXMsIG1lbGhvci4=,,W09zY2FyXQpQb3IgZmF2b3IsIHB1cmlmaWNhIEdsYXN0aGVpbSB5IHJlY29nZSBsb3MgY3Jpc3RhbGVzIHF1ZSBwcm92aWVuZW4gZGUgbGEgbWVudGUgZnJhZ21lbnRhZGEgZGUgU2NobWlkdC4gRXN0b3kgcmVjb2xlY3TDoW5kb2xvcyBwZXJzb25hbG1lbnRlLCBwZXJvIG1pZW50cmFzIG3DoXMsIG1lam9yLg==
kOqlDA,,W09zY2FyXQpBaC4gTGV0IG1lIGludHJvZHVjZSB0aGVzZSBzYWNyZWQgb2JqZWN0cyB0aGF0IGxvb2sgbGlrZSB2ZW5kaW5nIG1hY2hpbmVzIGJlc2lkZSBtZS4gSWYgeW91IGluc2VydCB0aGUgcHJvcGVyIGNyeXN0YWxzIGludG8gdGhvc2Ugc2FjcmVkIG9iamVjdHMsIG15IHdpbGwgc2hhbGwgYmUgcmVmbGVjdGVkLCBhbGxvd2luZyB5b3UgdG8gZXhjaGFuZ2UgdGhlbSBmb3IgdGhlIGl0ZW0geW91IHdhbnQgb3IgZW5oYW5jZSB0aG9zZSBpdGVtcy4=,,,,,W09zY2FyXQpBaC4gU29icmUgZXNzYXMgTcOhcXVpbmFzIGFvIG1ldSBsYWRvLiBTZSB2b2PDqiBjb2xvY2FyIG9zIGNyaXN0YWlzLCBwb2RlcsOhIHRyb2PDoS1sb3MgcG9yIGl0ZW5zIG91IGZvcnRhbGVjZXIgZXF1aXBhbWVudG9zLg==,,W09zY2FyXQpBaC4gU29icmUgZXN0YXMgTcOhcXVpbmFzIGEgbWkgbGFkby4gU2kgY29sb2NhcyBsb3MgY3Jpc3RhbGVzLCBwb2Ryw6FzIGludGVyY2FtYmlhcmxvcyBwb3Igb2JqZXRvcyBvIG1lam9yYXIgdHVzIGVxdWlwb3Mu
keqlDA,,SSBjYW4ndCB0ZWxsIGhvdyBpdCB3b3Jrcy4=,,,,,Q29tbyB2b2PDqiBmYXogaXNzbz8=,,wr9Dw7NtbyBsbyBoYWNlcz8=
kuqlDA,,W09zY2FyXQpMZXTigJlzIGNhbGwgaXQgdGhlIHBvd2VyIG9mIGEgZHJhZ29uLiBJbiBhbnkgY2FzZSwgc3BlYWsgd2hlbmV2ZXIgeW91IHdpc2guIEkgd2lsbCBvcGVuIHRoZSBkaW1lbnNpb25hbCBnYXRlIGZvciB5b3UgdG8gcHVyaWZ5IHRoZSBsaW5nZXJpbmcgdGhvdWdodHMu,,,,,W09zY2FyXQpWYW1vcyBjaGFtYXIgZGUgJ1BvZGVyIERyYWNvbmlhbm8nLiBEZSBxdWFscXVlciBmb3JtYSwgYWJyaXJlaSBhIHBvcnRhIGRpbWVuc2lvbmFsIHBhcmEgYSBwdXJpZmljYcOnw6NvIGRlIEdsYXN0aGVpbS4=,,W09zY2FyXQpMbGFtw6ltb3NsbyAnUG9kZXIgRHJhY29uaWFubycuIERlIHRvZGFzIGZvcm1hcywgYWJyaXLDqSBsYSBwdWVydGEgZGltZW5zaW9uYWwgcGFyYSBsYSBwdXJpZmljYWNpw7NuIGRlIEdsYXN0aGVpbS4=
k+qlDA,,XjAwMDBGRlRoZSBhZnRlcmVmZmVjdHMgb2YgZW50ZXJpbmcgdGhlIGR1bmdlb24gaGF2ZSBub3Qgd29ybiBvZmYgeWV0LiBEdXJpbmcgdGhpcyB0aW1lLCBhbGwgYWNjZXNzIHRvIF5GRjAwMDBOb3JtYWwgTW9kZSBhbmQgSGFyZCBNb2RlXjAwMDBGRiB3aWxsIGJlIHN1c3BlbmRlZC5eMDAwMDAw,,,,,XjAwMDBGRlZvY8OqIGFpbmRhIG7Do28gcG9kZSBlbnRyYXIgbmEgaW5zdMOibmNpYS4gTyB0ZW1wbyBkZSBlc3BlcmEgZnVuY2lvbmEgdGFudG8gcGFyYSBvIF5GRjAwMDBNb2RvIE5vcm1hbCBxdWFudG8gcGFyYSBvIE1vZG8gRGlmw61jaWwuXjAwMDAwMA==,,XjAwMDBGRkHDum4gbm8gcHVlZGVzIGVudHJhciBlbiBsYSBpbnN0YW5jaWEuIEVsIHRpZW1wbyBkZSBlc3BlcmEgZnVuY2lvbmEgdGFudG8gcGFyYSBlbCBeRkYwMDAwTW9kbyBOb3JtYWwgY29tbyBwYXJhIGVsIE1vZG8gRGlmw61jaWwuXjAwMDAwMA==
lOqlDA,,XjAwMDBGRkFsbCBhZnRlcmVmZmVjdHMgZnJvbSBlbnRlcmluZyB0aGUgZHVuZ2VvbiBoYXZlIGRpc2FwcGVhcmVkLiBZb3UgY2FuIG5vdyBzcGVhayBub3JtYWxseS5eMDAwMDAw,,,,,XjAwMDBGRk8gdGVtcG8gZGUgZXNwZXJhIGFjYWJvdS5eMDAwMDAw,,XjAwMDBGRkVsIHRpZW1wbyBkZSBlc3BlcmEgdGVybWluw7MuXjAwMDAwMA==
leqlDA,,XkZGMDAwMEFsbCBhZnRlcmVmZmVjdHMgZnJvbSBlbnRlcmluZyBIYXJkIE1vZGUgaW4gdGhlIGR1bmdlb24gaGF2ZSBkaXNhcHBlYXJlZC4gWW91IGNhbiBub3cgcHJvY2VlZCBub3JtYWxseSB0aHJvdWdoIGRpYWxvZ3VlLl4wMDAwMDA=,,,,,XkZGMDAwME8gdGVtcG8gZGUgZXNwZXJhIGRvIE1vZG8gRGlmw61jaWwgYWNhYm91Ll4wMDAwMDA=,,XkZGMDAwMEVsIHRpZW1wbyBkZSBlc3BlcmEgZGVsIE1vZG8gRGlmw61jaWwgdGVybWluw7MuXjAwMDAwMA==
luqlDA,,Q3JlYXRlIERpbWVuc2lvbmFsIFJpZnQ=,,,,,Q3JpYXIgRmVuZGEgRGltZW5zaW9uYWw=,,Q3JlYXIgRmlzdXJhIERpbWVuc2lvbmFs
l+qlDA,,XkZGMDAwMENyZWF0ZSBEaW1lbnNpb25hbCBHYXAgKEFkdmFuY2VkKV4wMDAwMDA=,,,,,XkZGMDAwMENyaWFyIEZlbmRhIERpbWVuc2lvbmFsIChNb2RvIERpZsOtY2lsKV4wMDAwMDA=,,XkZGMDAwMENyZWFyIEZpc3VyYSBEaW1lbnNpb25hbCAoTW9kbyBEaWbDrWNpbCleMDAwMDAw
mOqlDA,,W09zY2FyXQ==,,,,,W09zY2FyXQ==,,W09zY2FyXQ==
meqlDA,,WW914oCZcmUgYWxsIHNldCwgcmlnaHQ/IFBsYWNlIHlvdXIgaGFuZCBvbiBtaW5lIGFuZCBmb2N1cyB5b3VyIG1pbmQu,,,,,VHVkbyBjZXJ0bz8gUG9yIGZhdm9yLCBlbmNvc3RlIGEgcGFsbWEgZGEgc3VhIG3Do28gbmEgbWluaGEgZSBmZWNoZSBvcyBvbGhvcy4=,,wr9Ub2RvIGxpc3RvPyBQb3IgZmF2b3IsIGFwb3lhIGxhIHBhbG1hIGRlIHR1IG1hbm8gZW4gbGEgbcOtYSB5IGNpZXJyYSBsb3Mgb2pvcy4=
