QMcTDQ,,TGFyYW1h,,,,,TGFyYW1h,,TGFyYW1h
bccTDQ,,W0VydWluXQpJZiB5b3UgbGVhdmUgdGhlIHJlbWFpbmluZyBiYWl0IGFsb25lLCBzb21ldGhpbmcgd2lsbCBsaWtlbHkgZ2V0IGNhdWdodCBhZ2FpbiBpZiBlbm91Z2ggdGltZSBwYXNzZXMuCkkgYW0gY291bnRpbmcgb24geW91Lg==,,,,,W0VydWluXQpTZSBkZWl4YXIgYSBpc2NhIHJlc3RhbnRlLCBhbGdvIHZvbHRhcsOhIGEgc2VyIHBlZ28sIGVudMOjbyBiYXN0YSBlc3BlcmFyIHVtIHRlbXBvLgpDb250byBjb20gdm9jw6ou,,W0VydWluXQpTaSBkZWphcyBlbCBjZWJvIHF1ZSBxdWVkYSwgdm9sdmVyw6EgYSBjYWVyIGFsZ28gbcOhcyBjb24gZWwgdGllbXBvLgpIYXogZXNlIHRyYWJham8u
bscTDQ,,W0VydWluXQpZb3UgYXNrIHNpbmNlIHdoZW4gSSBzdGFydGVkIHRyYXAgaHVudGluZz8KTGV0IG1lIHRoaW5rLiBTaW5jZSBhZnRlciBJIHF1aXQgYmVpbmcgYW4gQWR2ZW50dXJlcj8=,,,,,W0VydWluXQpFc3TDoSBwZXJndW50YW5kbyBkZXNkZSBxdWFuZG8gZmHDp28gY2HDp2EgY29tIGFybWFkaWxoYXM/Ck9yYS4gRGVzZGUgcXVlIGRlaXhlaSBkZSBzZXIgYXZlbnR1cmVpcmE/,,W0VydWluXQrCv1F1ZSBkZXNkZSBjdcOhbmRvIG1lIGRlZGljbyBhIGxhIGNhemEgY29uIHRyYW1wYXM/ClB1ZXMgdmVhbW9zLiDCv0Rlc2RlIHF1ZSBkZWrDqSBkZSBzZXIgYXZlbnR1cmVyYT8=
b8cTDQ,,W0VydWluXQ==,,,,,W0VydWluXQ==,,W0VydWluXQ==
cMcTDQ,,U2VlaW5nIHlvdSBzbm9vcGluZyBhcm91bmQgYWdhaW4sIHlvdSBtdXN0IGJlIGlkbGUu,,,,,UGVsbyBqZWl0byBxdWUgYW5kYSByb25kYW5kbyBkZSBub3ZvLCBwYXJlY2UgcXVlIGVzdMOhIGRlc29jdXBhZG8u,,UG9yIGPDs21vIHZ1ZWx2ZXMgYSByb25kYXIsIHBhcmVjZSBxdWUgZXN0w6FzIGRlc29jdXBhZG8u
cccTDQ,,W0VydWluXQpJZiB5b3UgYXJlIHdpbGxpbmcgdG8gbGVuZCBhIGhhbmQsIEkgd291bGQgYmUgZ3JhdGVmdWwsIHNpbmNlIEkgaGF2ZSBtYW55IG90aGVyIHRoaW5ncyB0byBkby4KR28gYXJvdW5kIG5lYXJieSBhbmQgcmVjb3ZlciA1IHRoaW5ncyBjYXVnaHQgaW4gdGhlIHRyYXBzIEkgaGF2ZSBzZXQu,,,,,W0VydWluXQpTZSBmb3IgYWp1ZGFyIGNvbSBvIHRyYWJhbGhvLCBldSBhZ3JhZGXDp28sIGrDoSBxdWUgdGVuaG8gbXVpdGFzIG91dHJhcyBjb2lzYXMgcGFyYSBmYXplci4KQW5kZSBwZWxvcyBhcnJlZG9yZXMgZSByZWNvbGhhIDUgY29pc2FzIHByZXNhcyBuYXMgYXJtYWRpbGhhcyBxdWUgaW5zdGFsZWku,,W0VydWluXQpTaSB2YXMgYSBlY2hhciB1bmEgbWFubywgeW8gdGUgbG8gYWdyYWRlY2Vyw6ksIHBvcnF1ZSB0ZW5nbyBtdWNoYXMgb3RyYXMgY29zYXMgcXVlIGhhY2VyLgpWZSBwb3IgbG9zIGFscmVkZWRvcmVzIHkgcmVjdXDDqXJhbWUgNSBjb3NhcyBkZSBsYXMgcXVlIGhheWFuIGNhw61kbyBlbiBsYXMgdHJhbXBhcyBxdWUgZGVqw6kgaW5zdGFsYWRhcy4=
cscTDQ,,W0VydWluXQpEbyB5b3UgZmluZCBhbiBvbGQgcGVyc29uJ3Mgc3RvcmllcyB0aGF0IGludGVyZXN0aW5nPwpHbyBvdmVyIHRoZXJlIGFuZCBsaXN0ZW4gdG8gdGhlIHlvdW5nIHBlb3BsZSB0YWxrIGluc3RlYWQu,,,,,W0VydWluXQpBIGhpc3TDs3JpYSBkZSB1bWEgdmVsaGEgw6kgZGl2ZXJ0aWRhPwpWw6EgYXTDqSBhbGkgZSBvdcOnYSB1bSBwb3VjbyBhcyBoaXN0w7NyaWFzIGRvcyBqb3ZlbnMu,,W0VydWluXQrCv1RlIGVudHJldGllbmVuIGxhcyBoaXN0b3JpYXMgZGUgdW5hIHZpZWphPwpWZSBwb3IgYWxsw60gYSBlc2N1Y2hhciBsYXMgZGUgbG9zIGrDs3ZlbmVzLg==
c8cTDQ,,U2V0IFRyYXA=,,,,,QXJtYWRpbGhhIGluc3RhbGFkYQ==,,VHJhbXBhIGluc3RhbGFkYQ==
dMcTDQ,,VGhlcmUgaXMgYSB0cmFwIHNvbWVvbmUgaGFzIHNldC4=,,,,,SMOhIHVtYSBhcm1hZGlsaGEgcXVlIGFsZ3XDqW0gaW5zdGFsb3Uu,,SGF5IHVuYSB0cmFtcGEgY29sb2NhZGEgcG9yIGFsZ3VpZW4u
dccTDQ,,WW91IGRpZCBub3Qgb2J0YWluIGFueXRoaW5nLi4u,,,,,Vm9jw6ogbsOjbyBjb25zZWd1aXUgb2J0ZXIgbmFkYS4uLg==,,Tm8gaGFzIG9idGVuaWRvIG5hZGEuLi4=
dscTDQ,,V2UgaGF2ZSByZWNvdmVyZWQgZW5vdWdoIHRoaW5ncyBjYXVnaHQgaW4gdGhlIHRyYXBzIHRvZGF5LgpMZXQgdXMgYnJpbmcgdGhlbSB0byA8TkFWST5bRXJ1aW5dPElORk8+d29sZnZpbGwsMjAyLDE2NiwwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,,,,SsOhIGZvcmFtIHJlY29saGlkYXMgY29pc2FzIHN1ZmljaWVudGVzIGRhcyBhcm1hZGlsaGFzIGhvamUuClZhbW9zIGxldsOhLWxhcyBwYXJhIDxOQVZJPltFcnVpbl08SU5GTz53b2xmdmlsbCwyMDIsMTY2LDAsMTAxLDA8L0lORk8+PC9OQVZJPi4=,,SG95IHlhIHNlIGhhbiByZWNvZ2lkbyBzdWZpY2llbnRlcyBjb3NhcyBkZSBsYXMgdHJhbXBhcy4KTGzDqXZhc2VsYXMgYSA8TkFWST5bRXJ1aW5dPElORk8+d29sZnZpbGwsMjAyLDE2NiwwLDEwMSwwPC9JTkZPPjwvTkFWST4u
