YDxMDQ,,R3JhcGU=,,,,,VXZv,,VXZv
lTxMDQ,,W0dyYXBlXQpJZiB5b3Ugd2lzaCB0byBjaGFsbGVuZ2UgdGhlIHBhdGggb2YgSHlwZXIgTm92aWNlLCBmaW5pc2ggeW91ciBwcmVwYXJhdGlvbnMsIGZvcm0gYSBwYXJ0eSBieSB5b3Vyc2VsZiwgYW5kIHRoZW4gc3BlYWsgdG8gbWUu,,,,,W1V2b10KU2UgcXVpc2VyIGRlc2FmaWFyIG8gY2FtaW5obyBkZSBIaXBlcmFwcmVuZGl6LCB0ZXJtaW5lIHNldXMgcHJlcGFyYXRpdm9zLCBmb3JtZSB1bSBncnVwbyBzZW0gbWFpcyBuaW5ndcOpbSBlIGZhbGUgY29taWdvLg==,,W1V2b10KU2kgcXVpZXJlcyBlbnRyYXIgZW4gZWwgZGVzYWbDrW8gZGVsIEhpcGVycHJpbmNpcGlhbnRlLCB0ZXJtaW5hIHR1cyBwcmVwYXJhdGl2b3MsIGNyZWEgdW4gZ3J1cG8gcG9yIHR1IGN1ZW50YSB5IGhhYmxhIGNvbm1pZ28u
ljxMDQ,,W0dyYXBlXQpPZiBjb3Vyc2UsIG5vdCB0YWtpbmcgdGhlIGNoYWxsZW5nZSBpcyBhbHNvIHlvdXIgZnJlZWRvbS4=,,,,,W1V2b10Kw4kgY2xhcm8gcXVlIHZvY8OqIHRhbWLDqW0gcG9kZSBuw6NvIGFjZWl0YXIgbyBkZXNhZmlvLg==,,W1V2b10KUG9yIHN1cHVlc3RvLCB0YW1iacOpbiBlcmVzIGxpYnJlIGRlIG5vIGVtcHJlbmRlciBlbCBkZXNhZsOtby4=
lzxMDQ,,TWVtb3J5IG9mIFN1cGVyIE5vdmljZQ==,,,,,TWVtw7NyaWEgZG8gU3VwZXJhcHJlbmRpeg==,,TWVtb3JpYSBkZWwgU3VwZXJwcmluY2lwaWFudGU=
mDxMDQ,,W0dyYXBlXQpEbyB5b3UgaGF2ZSBzb21ldGhpbmcgdXJnZW50IHRvIGRvPwpFdmVuIGlmIHlvdSBkbywgaXQgY2FuJ3QgYmUgaGVscGVkLiBSZXN0IGZvciBhIHdoaWxlLCB0aGVuIHRyeSBhZ2Fpbi4=,,,,,W1V2b10KVGVtIGFsZ3VtIGFzc3VudG8gdXJnZW50ZT8KTWVzbW8gcXVlIHRlbmhhLCBuw6NvIGjDoSBvIHF1ZSBmYXplci4gRGVzY2Fuc2UgdW0gcG91Y28gZSB0ZW50ZSBub3ZhbWVudGUu,,W1V2b10Kwr9UaWVuZXMgYWxnw7puIGFzdW50byB1cmdlbnRlPwpBdW5xdWUgbG8gdGVuZ2FzLCBubyBoYXkgbmFkYSBxdWUgaGFjZXIuIERlc2NhbnNzIHVuIG1vbWVudG8geSB2dWVsdmUgYSBpbnRlbnRhcmxvLg==
mTxMDQ,,W0dyYXBlXQpXaWxsIHlvdSBjaGFsbGVuZ2UgdGhlIHBhdGggb2YgSHlwZXIgTm92aWNlPw==,,,,,W1V2b10KRGVzZWphIGRlc2FmaWFyIG8gY2FtaW5obyBkZSBIaXBlcmFwcmVuZGl6Pw==,,W1V2b10Kwr9EZXNlYXMgZW1wcmVuZGVyIGVsIGRlc2Fmw61vIGRlIEhpcGVycHJpbmNpcGlhbnRlPw==
mjxMDQ,,QXBwbHkgZm9yIHRoZSBjaGFsbGVuZ2Uu,,,,,QWNlaXRhciBvIGRlc2FmaW8u,,U29saWNpdGFyIGVsIGRlc2Fmw61vLg==
mzxMDQ,,Q2hhbGxlbmdlIEh5cGVyIE5vdmljZSE=,,,,,RGVzYWZpYXIgbyBjYW1pbmhvIGRlIEhpcGVyYXByZW5kaXoh,,wqFEZXNhZsOtbyBkZSBIaXBlcnByaW5jaXBpYW50ZSE=
nDxMDQ,,RG8gbm90IGNoYWxsZW5nZS4=,,,,,TsOjbyBkZXNhZmlhci4=,,Tm8gZGVzYWZpYXIu
nTxMDQ,,W0dyYXBlXQpBaCEgQ291bGQgeW91IHdhaXQgYSBtb21lbnQ/IEl0IGlzbid0IGVhc3kgdG8gY29ubmVjdCwgcGVyaGFwcyBiZWNhdXNlIGEgcHJvYmxlbSBoYXMgb2NjdXJyZWQu,,,,,W1V2b10KQWghIFBvZGVyaWEgZXNwZXJhciB1bSBtb21lbnRvPyBQYXJlY2UgcXVlIHN1cmdpdSB1bSBwcm9ibGVtYSwgcG9pcyBhIGNvbmV4w6NvIG7Do28gZXN0w6EgZsOhY2lsLg==,,W1V2b10KwqFBaCEgwr9Qb2Ryw61hcyBlc3BlcmFyIHVuIG1vbWVudG8/IFBhcmVjZSBxdWUgaGEgc3VyZ2lkbyB1biBwcm9ibGVtYSB5IG5vIHJlc3VsdGEgZsOhY2lsIGVzdGFibGVjZXIgbGEgY29uZXhpw7NuLg==
njxMDQ,,W0dyYXBlXQpUaGVuIEkgd2lsbCBwcmVwYXJlIGZvciB5b3UgdG8gc2VlcCBpbnRvIHRoZSBtZW1vcnkgb2YgYSBTdXBlciBOb3ZpY2UuIFBsZWFzZSB3YWl0IGEgbW9tZW50Lg==,,,,,W1V2b10KRW50w6NvIHZvdSBwcmVwYXJhciB0dWRvIHBhcmEgcXVlIHZvY8OqIHBvc3NhIHNlIGluZmlsdHJhciBuYSBtZW3Ds3JpYSBkbyBTdXBlcmFwcmVuZGl6LiBBZ3VhcmRlIHVtIG1vbWVudG8u,,W1V2b10KRW50b25jZXMgcHJlcGFyYXLDqSB0b2RvIHBhcmEgcXVlIHB1ZWRhIGluZmlsdHJhcnNlIGVuIGxhIG1lbW9yaWEgZGVsIFN1cGVycHJpbmNpcGlhbnRlLiBFc3BlcmEgdW4gbW9tZW50bywgcG9yIGZhdm9yLg==
nzxMDQ,,W0dyYXBlXQpEaWRuJ3QgSSB0ZWxsIHlvdT8gSSBhc2tlZCB5b3UgdG8gZm9ybSBhIHBhcnR5IGJ5IHlvdXJzZWxmIGJlZm9yZSBzcGVha2luZyB0byBtZS4=,,,,,W1V2b10KRXUgbsOjbyBkaXNzZT8gUGVkaSBwYXJhIGZvcm1hciB1bSBncnVwbyBzZW0gbWFpcyBuaW5ndcOpbSBlIGRlcG9pcyBmYWxhciBjb21pZ28u,,W1V2b10Kwr9ObyB0ZSBsbyBkaWplPyBMZSBwZWTDrSBxdWUgZm9ybWFyYSB1biBncnVwbyBlbiBzb2xpdGFyaW8gYW50ZXMgZGUgaGFibGFyIGNvbm1pZ28u
oDxMDQ,,ezB9IHNlZXBzIGludG8gdGhlIG1lbW9yeSBvZiBhIFN1cGVyIE5vdmljZS4=,,,,,ezB9IHNlIGluZmlsdHJhIG5hIG1lbcOzcmlhIGRvIFN1cGVyYXByZW5kaXou,,ezB9IHNlIGluZmlsdHJhIGVuIGxhIG1lbW9yaWEgZGVsIFN1cGVycHJpbmNpcGlhbnRlLg==
oTxMDQ,,W0dyYXBlXQpQcmVwYXJhdGlvbnMgYXJlIHN0aWxsIHVuZGVyd2F5LiBQbGVhc2Ugd2FpdCBhIG1vbWVudC4=,,,,,W1V2b10KQWluZGEgZXN0b3UgcHJlcGFyYW5kby4gQWd1YXJkZSB1bSBtb21lbnRvLg==,,W1V2b10KQcO6biBlc3RhbW9zIHByZXBhcmFuZG8gdG9kby4gRXNwZXJlIHVuIG1vbWVudG8sIHBvciBmYXZvci4=
ojxMDQ,,W0dyYXBlXQpOb3QgdGFraW5nIHRoZSBjaGFsbGVuZ2UgaXMgYWxzbyB5b3VyIGZyZWVkb20u,,,,,W1V2b10Kw4kgY2xhcm8gcXVlIHZvY8OqIHRhbWLDqW0gcG9kZSBuw6NvIGFjZWl0YXIgbyBkZXNhZmlvLg==,,W1V2b10KVGFtYmnDqW4gZXJlcyBsaWJyZSBkZSBubyBlbXByZW5kZXIgZWwgZGVzYWbDrW8u
ozxMDQ,,W0dyYXBlXQpZb3UncmUgc3RhbmRpbmcgc28gaGlnaCB1cCB0aGF0IGl0J3MgaGFyZCBmb3IgbWUgdG8gbG9vayB1cCBhdCB5b3UuIENvdWxkIHlvdSBwbGVhc2UgY29tZSBkb3duPw==,,,,,W1V2b10KVm9jw6ogZXN0w6EgZW0gdW0gbHVnYXIgdMOjbyBhbHRvIHF1ZSDDqSBkaWbDrWNpbCBvbGhhciBwYXJhIGNpbWEuIFBvZGVyaWEgZGVzY2VyPw==,,W1V2b10KRXN0w6FzIGVuIHVuIGx1Z2FyIGRlbWFzaWFkbyBhbHRvIHkgbWUgY3Vlc3RhIG1pcmFyIGhhY2lhIGFycmliYS4gwr9Qb2Ryw61hcyBiYWphcj8=
pDxMDQ,,W0dyYXBlXQpPdXIgU3VwZXIgTm92aWNlIENsdWIgZG9lcyBwdXJzdWUgZnJlZWRvbSwgYnV0IHdoZW4gYXJtaW5nIHlvdXJzZWxmIHdpdGggYSBuZXcga2luZCBvZiBmcmVlZG9tLCB5b3Ugc2hvdWxkIGF0IGxlYXN0IHVzZSB1cCB5b3VyIGV4aXN0aW5nIFNraWxsIFBvaW50cy4=,,,,,W1V2b10KTm9zc28gQ2x1YmUgZG9zIFN1cGVyYXByZW5kaXplcyBidXNjYSBhIGxpYmVyZGFkZSwgbWFzLCBhbyBub3MgZXF1aXBhcm1vcyBjb20gdW1hIG5vdmEgbGliZXJkYWRlLCBhbyBtZW5vcyB1c2Ftb3MgdG9kb3Mgb3MgcG9udG9zIGRlIGhhYmlsaWRhZGUgZXhpc3RlbnRlcy4=,,W1V2b10KRXMgY2llcnRvIHF1ZSBudWVzdHJvIENsdWIgZGUgU3VwZXJwcmluY2lwaWFudGVzIHBlcnNpZ3VlIGxhIGxpYmVydGFkLCBwZXJvIGN1YW5kbyBjb25zaWd1ZXMgdW4gbnVldm8gdGlwbyBkZSBsaWJlcnRhZCwgYWwgbWVub3MgZGViZXLDrWFzIHVzYXIgdG9kb3MgdHVzIHB1bnRvcyBkZSBoYWJpbGlkYWQu
pTxMDQ,,W0dyYXBlXQpZb3UncmUgYmFjaz8gV2hldywgbWF5YmUgYmVjYXVzZSBJIHNhdyB5b3UgaW4gdGhlIG1lbW9yeSBvZiB0aGUgU3VwZXIgTm92aWNlIHlvdSBqdXN0IHZpc2l0ZWQsIHlvdSBhbHJlYWR5IGZlZWwgbGlrZSBhIGZyaWVuZCBub3cu,,,,,W1V2b10KVm9jw6ogdm9sdG91PyBVZmEsIHRhbHZleiBwb3IgZXUgdGVyIHZpc3RvIHZvY8OqIHRhbWLDqW0gZGVudHJvIGRhIG1lbcOzcmlhIGRvIFN1cGVyYXByZW5kaXogZGUgb25kZSB2b2x0b3UsIGFnb3JhIHBhcmVjZSBxdWUgc29tb3MgYW1pZ29zIHByw7N4aW1vcy4=,,W1V2b10Kwr9ZYSBoYXMgdnVlbHRvPyBVZiwgcXVpesOhIHNlYSBwb3JxdWUgdGUgdmkgZW4gbGEgbWVtb3JpYSBkZWwgU3VwZXJwcmluY2lwaWFudGUsIHBlcm8geWEgdGUgc2llbnRvIHF1ZSB0ZW5lbW9zIHVuYSBhbWlzdGFkLg==
pjxMDQ,,W0dyYXBlXQpJIG1heSBlbmQgdXAgc3BlYWtpbmcgY2FzdWFsbHkgYW5kIGZvcm1hbGx5IGF0IHJhbmRvbS4uLg==,,,,,W1V2b10Kw4BzIHZlemVzIGV1IGZhbG8gZGUgbW9kbyBpbmZvcm1hbCBlIMOgcyB2ZXplcyBkZSBtb2RvIGZvcm1hbC4uLg==,,W1V2b10KQSB2ZWNlcyBoYWJsbyBlbiBjb25maWFuemEgeSBhIHZlY2VzIG1lIHBvbmdvIGZvcm1hbC4uLg==
pzxMDQ,,W0dyYXBlXQpJdCdzIGJlY2F1c2UgbXkgcGFzdCBzZWxmIGluIHRoZSBtZW1vcnkgYW5kIG15IGN1cnJlbnQgc2VsZiBhcmUgYWxsIG1peGVkIHRvZ2V0aGVyLiBQbGVhc2UgdW5kZXJzdGFuZC4gWW91IGNvdWxkIGNhbGwgaXQgYSBjbGFzaCBvZiBjb25jZXB0cy4=,,,,,W1V2b10Kw4kgcG9ycXVlIG1ldSBldSBkbyBwYXNzYWRvLCBkZW50cm8gZGEgbWVtw7NyaWEsIGUgbWV1IGV1IGF0dWFsIGFjYWJhbSBzZSBtaXN0dXJhbmRvLiBQZcOnbyBzdWEgY29tcHJlZW5zw6NvLiBEaWdhbW9zIHF1ZSDDqSB1bSBjb25mbGl0byBkZSBjb25jZWl0b3M/,,W1V2b10KRXMgcG9ycXVlIG1pIHlvIGRlbCBwYXNhZG8gZW4gbGEgbWVtb3JpYSB5IG1pIHlvIGFjdHVhbCBzZSBtZXpjbGFuIGRlIHByb250by4gTGUgcGlkbyBjb21wcmVuc2nDs24uIFBvZHLDrWFtb3MgbGxhbWFybG8gdW4gY2hvcXVlIGRlIGNvbmNlcHRvcy4=
qDxMDQ,,W0dyYXBlXQpOb3csIGJhY2sgdG8gdGhlIHBvaW50LiBZb3UgbWF5IG9yIG1heSBub3QgaGF2ZSBnYWluZWQgc29tZXRoaW5nIGZyb20gdGhlIG1lbW9yeSBvZiBhIFN1cGVyIE5vdmljZS4=,,,,,W1V2b10KVm9sdGFuZG8gYW8gYXNzdW50byBwcmluY2lwYWwuIFRhbHZleiB2b2PDqiB0ZW5oYSBvYnRpZG8gYWxnbyBuYSBtZW3Ds3JpYSBkbyBTdXBlcmFwcmVuZGl6LCB0YWx2ZXogbsOjby4=,,W1V2b10KVm9sdmllbmRvIGFsIHRlbWEuIFB1ZWRlIHF1ZSBoYXlhcyBvYnRlbmlkbyBhbGdvIGRlIGxhIG1lbW9yaWEgZGVsIFN1cGVycHJpbmNpcGlhbnRlLCBvIHB1ZWRlIHF1ZSBuby4=
qTxMDQ,,W0dyYXBlXQpFdmVuIGlmIHlvdSBncm93IHN0cm9uZ2VyLCBicmVhayB0aHJvdWdoIHlvdXIgbGltaXRzLCBhbmQgMjAwIGJlY29tZXMgMzAwLCBvciBldmVuIGdvZXMgYmV5b25kIHRoYXQgdG8gOTk5ISE=,,,,,W1V2b10KTWVzbW8gcXVlIGZpcXVlIG1haXMgZm9ydGUsIHJvbXBhIHNldXMgbGltaXRlcywgZSBvIDIwMCB2aXJlIDMwMCwgZSBkZXBvaXMgYXTDqSA5OTkhIQ==,,W1V2b10KwqHCoUluY2x1c28gc2kgdGUgaGFjZXMgbcOhcyBmdWVydGUsIHJvbXBlcyB0dXMgbMOtbWl0ZXMsIGVsIDIwMCBzZSBjb252aWVydGUgZW4gMzAwIHkgaGFzdGEgbGxlZ2EgYSA5OTkuLi4=
qjxMDQ,,W0dyYXBlXQpQbGVhc2UgbmV2ZXIgZm9yZ2V0IHRoZSBmcmVlZG9tIG9mIHRoZSBTdXBlciBOb3ZpY2UgQ2x1Yi4=,,,,,W1V2b10KUG9yIGZhdm9yLCBudW5jYSBzZSBlc3F1ZcOnYSBkYSBsaWJlcmRhZGUgZG8gQ2x1YmUgZG9zIFN1cGVyYXByZW5kaXplcy4=,,W1V2b10KTm8gdGUgb2x2aWRlcyBudW5jYSBkZSBsYSBsaWJlcnRhZCBkZWwgQ2x1YiBkZSBTdXBlcnByaW5jaXBpYW50ZXMu
qzxMDQ,,W0dyYXBlXQpNYXkgdGhlIGZyZWUgd2luZCBiZSB3aXRoIHlvdS4uLg==,,,,,W1V2b10KUXVlIG8gdmVudG8gbGl2cmUgZXN0ZWphIGNvbSB2b2PDqi4uLg==,,W1V2b10KUXVlIGVsIHZpZW50byBsaWJyZSB0ZSBhY29tcGHDsWUuLi4=
rDxMDQ,,W0dyYXBlXQpBbiBlcnJvciBoYXMgYmVlbiBkZXRlY3RlZC4KUmVzZXR0aW5nIHRoZSBIeXBlciBOb3ZpY2Ugam9iIGNoYW5nZSBxdWVzdC4KSW4gdGhlIHRlc3QgdmVyc2lvbiwgdGhpcyBtZXNzYWdlIG1heSBhcHBlYXIgYWZ0ZXIgY29tcGxldGluZyB0aGUgam9iIGNoYW5nZS4=,,,,,W1V2b10KVW0gZXJybyBmb2kgZW5jb250cmFkby4KQSBtaXNzw6NvIGRlIG11ZGFuw6dhIGRlIGNsYXNzZSBwYXJhIEhpcGVyYXByZW5kaXogc2Vyw6EgcmVpbmljaWFkYS4KTmEgdmVyc8OjbyBkZSB0ZXN0ZSwgZXN0YSBtZW5zYWdlbSBwb2RlIHNlciBleGliaWRhIGFww7NzIGEgY29uY2x1c8OjbyBkYSBtdWRhbsOnYSBkZSBjbGFzc2Uu,,W1V2b10KU2UgaGEgZGV0ZWN0YWRvIHVuIGVycm9yLgpTZSByZWluaWNpYXLDoSBsYSBtaXNpw7NuIGRlIGNhbWJpbyBkZSBjbGFzZSBhIEhpcGVycHJpbmNpcGlhbnRlLgpFbiBsYSB2ZXJzacOzbiBkZSBwcnVlYmEsIGVzdGUgbWVuc2FqZSBwdWVkZSBtb3N0cmFyc2UgdHJhcyBjb21wbGV0YXIgZWwgY2FtYmlvIGRlIGNsYXNlLg==
rTxMDQ,,W0dyYXBlXQpBcmUgeW91IGZlZWxpbmcgZW5vdWdoIGZyZWVkb20/,,,,,W1V2b10KRXN0w6Egc2VudGluZG8gbGliZXJkYWRlIHN1ZmljaWVudGU/,,W1V2b10Kwr9TaWVudGVzIHN1ZmljaWVudGUgbGliZXJ0YWQ/
rjxMDQ,,WW91ciBleWVzPyBDYW4geW91IG5vdCBzZWU/IEknbSBzb3JyeS4=,,,,,U2V1cyBvbGhvcz8gVm9jw6ogbsOjbyBlbnhlcmdhPyBEZXNjdWxwZS4=,,wr9UdXMgb2pvcz8gwr9ObyB2ZXM/IExvIHNpZW50by4=
rzxMDQ,,R3JhcGU6IEFoISBJdCdzIGFsbCByaWdodC4gVGhlIHdvcmxkIGlzIG5vdGhpbmcgYnV0IGRhcmtuZXNzIHRvIG1lLCBzbyBpdCBoYXBwZW5zIG9mdGVuLg==,,,,,VXZvOiBBaCEgTsOjbyBzZSBwcmVvY3VwZS4gUGFyYSBtaW0sIG8gbXVuZG8gw6kgYXBlbmFzIGVzY3VyaWTDo28uIElzc28gYWNvbnRlY2UgY29tIGZyZXF1w6puY2lhLg==,,VXZvOiDCoUFoISBObyBwYXNhIG5hZGEuIFBhcmEgbcOtLCBlbCBtdW5kbyBubyBlcyBtw6FzIHF1ZSBvc2N1cmlkYWQsIGFzw60gcXVlIG1lIHBhc2Egc2VndWlkby4=
sDxMDQ,,R3JhcGU6IElmIEkgbWFkZSB5b3UgdW5jb21mb3J0YWJsZSwgSSBhcG9sb2dpemUu,,,,,VXZvOiBTZSBkZWl4ZWkgdm9jw6ogZGVzY29uZm9ydMOhdmVsLCBwZcOnbyBkZXNjdWxwYXMu,,VXZvOiBTaSBsZSBoZSBoZWNobyBzZW50aXJzZSBpbmPDs21vZG8sIGxvIHNpZW50by4=
sTxMDQ,,VGhlIHdlYXRoZXIgaXMgbmljZSB0b2RheS4=,,,,,TyB0ZW1wbyBlc3TDoSBib20gaG9qZS4=,,SG95IGhhY2UgYnVlbiB0aWVtcG8u
sjxMDQ,,R3JhcGU6IEhhaGEhIFRob3VnaCBJIGNhbm5vdCBzZWUsIEkgZmVlbCBhIGdlbnRsZSB3YXJtdGgsIHNvIHRoZSB3ZWF0aGVyIG11c3QgYmUgbmljZSB0b2RheS4=,,,,,VXZvOiBIYWhhISBFbWJvcmEgZXUgbsOjbyBjb25zaWdhIGVueGVyZ2FyLCBzaW50byB1bSBjYWxvciBhY29saGVkb3Igbm8gY29yYcOnw6NvLCBlbnTDo28gbyB0ZW1wbyB0YW1iw6ltIGRldmUgZXN0YXIgYm9tIGhvamUu,,VXZvOiDCoUphLCBqYSEgQXVucXVlIG5vIHB1ZWRvIHZlciwgc2llbnRvIGNhbGlkZXogZW4gZWwgY29yYXrDs24sIGFzw60gcXVlIGVsIHRpZW1wbyBkZWJlIGVzdGFyIGJ1ZW5vIGhveS4=
szxMDQ,,R3JhcGU6IEkgdGhpbmsgaXQgd2lsbCBiZSBhIHBsZWFzYW50IGRheS4=,,,,,VXZvOiBQYXJlY2UgcXVlIHNlcsOhIHVtIGRpYSBhZ3JhZMOhdmVsLg==,,VXZvOiBQYXJlY2UgcXVlIHNlcsOhIHVuIGTDrWEgYWdyYWRhYmxlLg==
tDxMDQ,,WW91ciBuYW1lIGlzIGludGVyZXN0aW5nLg==,,,,,U2V1IG5vbWUgw6kgZW5ncmHDp2Fkby4=,,VGllbmVzIHVuIG5vbWJyZSBjdXJpb3NvLg==
tTxMDQ,,R3JhcGU6IE15IG5hbWU/IEhhaGEhIEl0IG1lYW5zIGdyYXBlLg==,,,,,VXZvOiBNZXUgbm9tZT8gSGFow6EhIFNpZ25pZmljYSB1dmEu,,VXZvOiDCv01pIG5vbWJyZT8gwqFKYSwgamEhIFNpZ25pZmljYSwgY2xhcm8sIHV2YS4=
tjxMDQ,,R3JhcGU6IFdlbGwsIGJlY2F1c2Ugb2YgbXkgbmFtZSBhbmQgaGFpciBjb2xvciwgSSB3YXMgb2Z0ZW4gY2FsbGVkIFNvdXIgR3JhcGVzIHdoZW4gSSB3YXMgeW91bmcu,,,,,VXZvOiBCZW0sIHBvciBjYXVzYSBkbyBtZXUgbm9tZSBlIGRhIGNvciBkbyBtZXUgY2FiZWxvLCBxdWFuZG8gZXUgZXJhIGNyaWFuw6dhLCBjb3N0dW1hdmFtIG1lIGNoYW1hciBkZSB1dmEgYXplZGEu,,VXZvOiBCdWVubywgcG9yIG1pIG5vbWJyZSB5IG1pIGNvbG9yIGRlIHBlbG8sIGRlIHBlcXVlw7FvIGEgbWVudWRvIG1lIGxsYW1hYmFuIHV2YSDDoWNpZGEu
tzxMDQ,,V2hhdCBoYXBwZW5lZCB0byB5b3VyIGV5ZXM/,,,,,TyBxdWUgYWNvbnRlY2V1IGNvbSBzZXVzIG9saG9zPw==,,wr9RdcOpIHRlIHBhc8OzIGVuIGxvcyBvam9zPw==
uDxMDQ,,R3JhcGU6IEhhaGEhIFdoZW4geW91IGVuam95IGFkdmVudHVyaW5nLCBhbGwgc29ydHMgb2YgdGhpbmdzIGhhcHBlbi4=,,,,,VXZvOiBIYWjDoSEgUXVhbmRvIHNlIGdvc3RhIGRlIGF2ZW50dXJhcywgdG9kbyB0aXBvIGRlIGNvaXNhIGFjb250ZWNlLg==,,VXZvOiDCoUphLCBqYSEgQ3VhbmRvIHVubyBkaXNmcnV0YSBkZSBsYSBhdmVudHVyYSwgcGFzYW4gdG9kbyB0aXBvIGRlIGNvc2FzLg==
uTxMDQ,,R3JhcGU6IEl0IGlzIGEgcGFpbmZ1bCBtYXR0ZXIsIHNvIHBsZWFzZSBkbyBub3QgYXNrIHRvbyBtdWNoLg==,,,,,VXZvOiDDiSB1bWEgaGlzdMOzcmlhIGRvbG9yb3NhLCBlbnTDo28gcG9yIGZhdm9yIG7Do28gaW5zaXN0YSBkZW1haXMu,,VXZvOiBFcyBhbGdvIGRvbG9yb3NvLCBhc8OtIHF1ZSB0ZSBwaWRvIHF1ZSBubyBwcmVndW50ZXMgZGVtYXNpYWRvLg==
ujxMDQ,,WW91IGFyZSBhIFN1cGVyIE5vdmljZSwgcmlnaHQ/,,,,,Vm9jw6ogw6kgdW0gU3VwZXJhcHJlbmRpeiwgbsOjbyDDqT8=,,VXN0ZWQgZXMgU3VwZXJwcmluY2lwaWFudGUsIMK/dmVyZGFkPw==
uzxMDQ,,R3JhcGU6IE5vLCBIeS4uLiBIYWhhaGEhIFRoYXQncyByaWdodC4=,,,,,VXZvOiBOw6NvLCBIaXBlci4uLiBIYWhhISBJc3NvIG1lc21vLg==,,VXZvOiBObywgSGkuLi4gwqFKYSwgamEhIEFzw60gZXMu
vDxMDQ,,R3JhcGU6IEkgYW0gYSBTdXBlciBOb3ZpY2UuIEEgU3VwZXIgTm92aWNlIHdobyBpcyBib3VuZCBieSBub3RoaW5nIGFuZCBwdXJzdWVzIGZyZWVkb20uIFRoYXQgaXMgbWUu,,,,,VXZvOiBTb3UgdW0gU3VwZXJhcHJlbmRpei4gVW0gU3VwZXJhcHJlbmRpeiBxdWUgbsOjbyBzZSBwcmVuZGUgYSBuYWRhIGUgYnVzY2EgYSBsaWJlcmRhZGUuIEVzc2Ugc291IGV1Lg==,,VXZvOiBZbyBzb3kgU3VwZXJwcmluY2lwaWFudGUuIFVuIFN1cGVycHJpbmNpcGlhbnRlIHF1ZSBubyBlc3TDoSBhdGFkbyBhIG5hZGEgeSBwZXJzaWd1ZSBsYSBsaWJlcnRhZC4gRXNlIHNveSB5by4=
vTxMDQ,,R3JhcGU6IFdlbGwsIEkgY2Fubm90IHNheSBJIGFtIGV4dHJlbWVseSBmcmVlIHJpZ2h0IG5vdywgdGhvdWdoLg==,,,,,VXZvczogQmVtLCBhZ29yYSBuw6NvIHBvc3NvIGRpemVyIHF1ZSBzb3UgdMOjbyBsaXZyZSBhc3NpbS4=,,VXZvOiBBdW5xdWUgYWhvcmEgbm8gcHVlZGEgZGVjaXIgcXVlIHNveSB0cmVtZW5kYW1lbnRlIGxpYnJlLg==
