wObOBw,,U2NydWJieQ==,,,,,RXNmcmlnYQ==,,RXhmb2xpYWRvcg==
UefOBw,,Q2xlYW5pbmcgaXMgZnJlcXVlbnQsIGJ1dCB0aGVyZSBhcmUgdG9vIG1hbnkgb2YgdGhlbS4=,,,,,TGltcGFtb3MgYmFzdGFudGUsIG1hcyBow6EgbXVpdG8gbyBxdWUgZmF6ZXIu,,TGltcGlvIGEgbWVudWRvLCBwZXJvIGVzb3Mgc29uIGRlbWFzaWFkb3Mu
UufOBw,,W0JvaWxhXQouLi5XaHkgYXJlIHlvdSBub3QgbGVhdmluZz8gVGhlIGJvaWxlciBpcyBvZmYuIERpZCB5b3Ugbm90IGNvbWUgdG8gdGVsbCBtZSB0aGF0Pw==,,,,,W0NhbGRpcmFdCi4uLiBWYWkgZmljYXIgYcOtPyBBIGNhbGRlaXJhIGrDoSBmb2kgZGVzbGlnYWRhLiBOw6NvIHZlaW8gZGl6ZXIgaXNzbz8=,,W0NhbGRlcmFdCi4uLiBQZXJvIMK/bm8gdGUgdmFzPyBBcGFndcOpIENhbGRlcmEuIMK/Tm8gdmluaXN0ZSBhIGRlY2lyIGVzbz8=
U+fOBw,,Q291bGQgaXQgYmUgYW4gQXV0b21hdHJvbj8=,,,,,TyBmYW50YXNtYSBzZXJpYSB1bWEgQXV0w7RtYXRhPw==,,wr9ObyBzZXLDoSB1biBhdXTDs21hdGE/
VOfOBw,,W0JvaWxhXQpXaGF0PyBUaGUgc3RyYW5nZSBjcmVhdHVyZT8=,,,,,W0NhbGRpcmFdCk8gcXXDqj8gTyBzZXIgc29icmVuYXR1cmFsPw==,,W0NhbGRlcmFdCsK/UXXDqT8gwr9VbmEgY3JpYXR1cmEgbW9uc3RydW9zYT8=
VefOBw,,W1N3aXNoaWVdClRoYXQgaXMgdW5saWtlbHkuIElmIGl0IHdlcmUsIHdlIHdvdWxkIGhhdmUgbm90aWNlZCBmaXJzdCwgaGF2ZSB5b3Ugbm90IGNvbnNpZGVyZWQgdGhhdD8=,,,,,W1ZhaGlkYV0KRHV2aWRvLiBTZSBmb3NzZSwgasOhIHRlcsOtYW1vcyBwZXJjZWJpZG8gcHJpbWVpcm8u,,W1N3aXNoaWVdCk5vIHNlcsOhIGVzby4gU2kgbG8gZnVlcmEsIMK/bm8gc2UgdGUgb2N1cnJpw7MgcGVuc2FyIHF1ZSBub3NvdHJvcyBsbyBoYWJyw61hbW9zIG5vdGFkbyBwcmltZXJvPw==
VufOBw,,W0JvaWxhXQpUaG9zZSBvdXRzaWRlIGFyZSBiZWNhdXNlIG9mIHRoZSBpbnRydWRlcnMuLi4gSXQgaXMgbm90IGFzIGlmIHRoZXkgd2lzaCB0byBiZSBsaWtlIHRoYXQu,,,,,W0NhbGRpcmFdCkFzIGF1dMO0bWF0YXMgZXN0w6NvIHF1ZWJyYW5kbyBwb3IgY2F1c2EgZG9zIGludHJ1c29zLi4uIG7Do28gw6kgY3VscGEgZGVsYXMu,,W0NhbGRlcmFdCkxvIGRlIGFmdWVyYSBlcyBwb3IgY3VscGEgZGUgbG9zIGludHJ1c29zLCBzdXBvbmdvLi4uIE5vIGVzIHF1ZSBlbGxvcyBlc3TDqW4gYXPDrSBwb3JxdWUgcXVpZXJhbi4=
V+fOBw,,VGhlIG1hZCBpbnRydWRlcnMuIFRoZXkgZGVzdHJveWVkIHNvbWUgb2YgdXMuIFJlcGFpcnMgYXJlIG9uZ29pbmcu,,,,,RWxlcyBxdWVicmFyYW0gbXVpdGFzIGF1dMO0bWF0YXMu,,SW50cnVzb3MgZW5sb3F1ZWNpZG9zLiBMb3MgaW50cnVzb3MgZGVzdHJ1eWVyb24gbXVjaG9zIGx1Z2FyZXMgeSBhbGd1bm9zIGRlIG5vc290cm9zIGZ1aW1vcyBkZXN0cnVpZG9zLiBFc3RhbW9zIHJlcGFyYW5kbywgcGVyby4uLg==
WOfOBw,,VGhlbiB3aGF0IGRvIHlvdSB0aGluayB0aGUgTXV0YW50IENyZWF0dXJlIGlzPw==,,,,,RW50w6NvLCBvIHF1ZSBhY2hhIHF1ZSDDqSBDcmlhdHVyYSBNdXRhbnRlPw==,,RW50b25jZXMsIMK/cXXDqSBjcmVlIHF1ZSBlcyBDcmlhdHVyYSBNdXRhbnRlPw==
WefOBw,,W0JvaWxhXQpJdCBtaWdodCBiZSB0aGUgXjAwMDBDRGdob3N0IGF0dGFjaGVkIHRvIHRoaXMgYm9pbGVyXjAwMDAwMC4=,,,,,W0NhbGRpcmFdCk5hIG1pbmhhIG9waW5pw6NvLCBhY3JlZGl0byBxdWUgc2VqYSBvIF4wMDAwQ0Rlc3DDrXJpdG8gZGEgY2FsZGVpcmFeMDAwMDAwLg==,,W0NhbGRlcmFdCkVzbyBxdWl6w6Egc2VhIHVuIF4wMDAwQ0Rlc3DDrXJpdHUgYWRoZXJpZG8gYSBDYWxkZXJhXjAwMDAwMC4=
WufOBw,,W1N3aXNoaWVdCldoYXQgYXJlIHlvdSBzYXlpbmc/,,,,,W1ZhaGlkYV0KRG8gcXVlIGVzdMOhIGZhbGFuZG8/,,W1N3aXNoaWVdCsK/RGUgcXXDqSBlc3TDoXMgaGFibGFuZG8/
W+fOBw,,W0JvaWxhXQpBIGdob3N0LiBZb3UgZG8gbm90IGtub3c/IHswfSwgeW91IGtub3csIHJpZ2h0PyBXaGVuIHNvbWV0aGluZyBkaWVzIGFuZCB3aGF0IGR3ZWxsZWQgd2l0aGluIGxpbmdlcnMgd2l0aG91dCBmb3JtLgpXaGF0IGhhcHBlbnMgaGVyZSBpcyB2ZXJ5IHNpbWlsYXIgdG8gd2hhdCBodW1hbnMgZGVzY3JpYmUgYXMgdGhlIHdvcmsgb2YgYSBnaG9zdC4=,,,,,W0NhbGRpcmFdCkVzcMOtcml0by4gVm9jw6ogc2FiZSBvIHF1ZSDDqSB1bSBlc3DDrXJpdG8sIHswfT8gw4kgYWxnbyBxdWUgbW9ycmV1LCBtYXMgY29udGludWEgdml2by4KUGVsbyBtZW5vcyDDqSBvIHF1ZSBlbnRlbmRpIGxlbmRvIHVtIGxpdnJvLg==,,W0NhbGRlcmFdCkRpZ28gdW4gZXNww61yaXR1LiDCv05vIHNhYmVzIGxvIHF1ZSBlcyB1biBlc3DDrXJpdHU/IHswfSBzw60gbG8gc2FiZSwgwr92ZXJkYWQ/IEVzIGFsZ28gcXVlIG11cmnDsyB5IGxvIHF1ZSBlc3RhYmEgYWxsw60sIHNpbiBmb3JtYSwgdmFnYS4KTG8gcXVlIG9jdXJyZSBhcXXDrSBzZSBwYXJlY2UgbXVjaMOtc2ltbyBhIGxvIHF1ZSBsb3MgaHVtYW5vcyBjdWVudGFuIHF1ZSBoYWNlbiBsb3MgZXNww61yaXR1cy4=
XOfOBw,,VGhlbiBpdCByZWFsbHkgaXMgYSBnaG9zdC4uLg==,,,,,RW50w6NvIMOpIG1lc21vIHVtIGZhbnRhc21hLi4uPw==,,RW50b25jZXMsIGFsIGZpbmFsIHN1IHZlcmRhZGVyYSBpZGVudGlkYWQgZXMgdW4gZmFudGFzbWEuLi4=
XefOBw,,W0JvaWxhXQpIbW0uLi4gSSBkbyBub3QgdGhpbmsgc28uIEFofiB5b3UgdGhvdWdodCBpdCB3YXMgYSBodW1hbiBnaG9zdC4gTm90IHRoYXQuIEkgbWVhbiB0aGUgQXV0b21hdHJvbiB0aGF0IG1hbmFnZWQgdGhlIEJvaWxlciBoZXJlIGxvbmcgYmVmb3JlIEkgY2FtZS4KQmFjayB0aGVuLCBpdCB3YXMgYSBzbWFsbCBib2lsZXIgZm9yIGEgc2luZ2xlIGJhdGgsIHNvIHN1cHBseWluZyB3YXRlciB0byBzbyBtYW55IGJhdGhzIGNhdXNlZCBmcmVxdWVudCBvdmVybG9hZHMuIEl0IGNvdWxkIG5vdCB3aXRoc3RhbmQgdGhlIGhpZ2ggcHJlc3N1cmUgYW5kIHRlbXBlcmF0dXJlLg==,,,,,W0NhbGRpcmFdCkjDoy4uLiBuw6NvIGV4YXRhbWVudGUuIEFofiBOw6NvIMOpIHVtIGVzcMOtcml0byBodW1hbm8uIEFudGVzIGRlIGV1IGNoZWdhciwgaGF2aWEgb3V0cmEgQXV0w7RtYXRhIHF1ZSBjdWlkYXZhIGRhIGNhbGRlaXJhLgpOYSDDqXBvY2EgZXJhIHVtYSBjYWxkZWlyYSBtZW5vciwgZSBhw60gc29icmVjYXJyZWdhdmEgbXVpdG8gcsOhcGlkby4gTsOjbyBzdXBvcnRhdmEgYWx0YSBwcmVzc8OjbyBlIHRlbXBlcmF0dXJhLg==,,W0NhbGRlcmFdCk1tbS4uLiBObywgY3JlbyBxdWUgbm8uIEFofiBQZW5zYXN0ZSBxdWUgZXJhIHVuIGVzcMOtcml0dSBodW1hbm8uIE5vIGVzIGVzbzsgbWUgcmVmaWVybyBhbCBhdXTDs21hdGEgcXVlIGFkbWluaXN0cmFiYSBDYWxkZXJhIGFxdcOtLCBoYWNlIG11Y2hvLCBhbnRlcyBkZSBxdWUgeW8gdmluaWVyYS4KRW4gYXF1ZWwgZW50b25jZXMgZXJhIHVuYSBjYWxkZXJhIHBhcmEgdW4gYmHDsW8gcGVxdWXDsW8sIGFzw60gcXVlIGFsIGFiYXN0ZWNlciBkZSBhZ3VhIGEgdGFudG9zIGJhw7FvcyBjb21vIGFob3JhLCBzZSBzb2JyZWNhcmdhYmEgYSBtZW51ZG8uIE5vIHNvcG9ydGFiYSBsYSBhbHRhIHByZXNpw7NuIHkgbGEgYWx0YSB0ZW1wZXJhdHVyYS4=
XufOBw,,W0JvaWxhXQpBbnl3YXksIHdoaWxlIHJlcGFpcmluZyBpdCwgaXQgZXhwbG9kZWQgYW5kIGJ1cm5lZCwgYW5kIHRoZSBBdXRvbWF0cm9uIHdhcyBjb21wbGV0ZWx5IGRlc3Ryb3llZCBhcyB3ZWxsLiBJIHRoaW5rIGl0IG1pZ2h0IGJlIHRoYXQgQXV0b21hdHJvbi4KUGVyaGFwcyBieSBzb21lIHVua25vd24gbWV0aG9kLCBpdHMgZGF0YSB3YXMgaW1wcmludGVkIG9udG8gdGhpcyBib2lsZXIu,,,,,W0NhbGRpcmFdCkVucXVhbnRvIHRlbnRhdmFtIGNvbnNlcnTDoS1sYSwgZWxhIGV4cGxvZGl1LiBBIEF1dMO0bWF0YSBmb2kgdG90YWxtZW50ZSBkZXN0cnXDrWRhLiBUYWx2ZXogZWxhIG8gZXNww61yaXRvLgpBY2hvIHF1ZSwgZGUgYWxndW1hIGZvcm1hLCBzZXVzIGRhZG9zIGZpY2FyYW0gZ3JhdmFkb3MgbmVzdGEgY2FsZGVpcmEgbWFpb3Iu,,W0NhbGRlcmFdCkVuIGZpbiwgbWllbnRyYXMgbG8gcmVwYXJhYmFuLCBleHBsb3TDsyB5IHNlIGluY2VuZGnDsywgeSBlbCBhdXTDs21hdGEgdGFtYmnDqW4gcXVlZMOzIGNvbXBsZXRhbWVudGUgY2FsY2luYWRvLiBDcmVvIHF1ZSBwcm9iYWJsZW1lbnRlIHNlYSBlc2UgYXV0w7NtYXRhLgpQaWVuc28gcXVlLCBwb3IgYWxnw7puIG3DqXRvZG8gZGVzY29ub2NpZG8sIHNlIGdyYWJhcm9uIGRhdG9zIGVuIGVzdGEgQ2FsZGVyYS4=
X+fOBw,,W0JvaWxhXQpUaGlzIGJvaWxlciBzb21ldGltZXMgb3BlcmF0ZXMgb24gaXRzIG93biB3aXRob3V0IGFueW9uZSB0b3VjaGluZyBpdC4gSSBiZWxpZXZlIHRoZSBkYXRhIG9mIHRoYXQgcGFzdCBBdXRvbWF0cm9uIHJlbWFpbnMgYW5kIGNvbnRpbnVlcyBleGVjdXRpbmcgaXRzIGNvbW1hbmRzLgpUaGVuIGl0IG1ha2VzIHNlbnNlIHRoYXQgd2UgaGVhciBzb3VuZHMgYW5kIHNlbnNlIHByZXNlbmNlIHdpdGhvdXQgZm9ybS4gSXQgYWxzbyBlbWl0cyBzdGVhbSwgc28gc3RyYW5nZSBzaGFwZXMgbWF5IGFwcGVhci4=,,,,,W0NhbGRpcmFdCsOAcyB2ZXplcywgYSBjYWxkZWlyYSBzZSBtb3ZlIHNvemluaGEuIEFjaG8gcXVlIG9zIGRhZG9zIGRhIGFudGlnYSBBdXTDtG1hdGEgcGVybWFuZWNlbSBleGVjdXRhbmRvIGNvbWFuZG9zLgpBc3NpbSBmYXogc2VudGlkbyBvdXZpciBzb25zIGUgdmVyIHZ1bHRvcy4gVGFtYsOpbSBsaWJlcmEgdmFwb3IsIGVudMOjbyBwb2RlbSBzdXJnaXIgZm9ybWFzIGVzdHJhbmhhcy4=,,W0NhbGRlcmFdCkVzdGEgQ2FsZGVyYSBhIHZlY2VzIHNlIG11ZXZlIHNvbGEgYXVucXVlIG5hZGllIGxhIHRvcXVlLCB5IHBvciBsbyBxdWUgdmVvLCBwYXJlY2UgcXVlIHF1ZWRhcm9uIGxvcyBkYXRvcyBkZSBhcXVlbCBhdXTDs21hdGEgZGVsIHBhc2FkbyB5IHNpZ3VlIGVqZWN1dGFuZG8gw7NyZGVuZXMuCkVudG9uY2VzIHRpZW5lIHNlbnRpZG8gcXVlLCBzaW4gZm9ybWEsIHNlIG9pZ2FuIHNvbmlkb3MgeSBzZSBwZXJjaWJhIHVuYSBwcmVzZW5jaWEuIENvbW8gdGFtYmnDqW4gZXhwdWxzYSB2YXBvciwgaW5jbHVzbyBwb2Ryw61hIHZlcnNlIHVuYSBmaWd1cmEgZXh0cmHDsWEu
YOfOBw,,VGhhdCBpcyByYXRoZXIgZnJpZ2h0ZW5pbmcu,,,,,RXNzYSBoaXN0w7NyaWEgw6kgYXNzdXN0YWRvcmEu,,RXNvIGRhIHVuIHBvY28gZGUgbWllZG8u
YefOBw,,W0JvaWxhXQpGcmlnaHRlbmluZz8gVGhlIFZhbHZlIGhlcmUgdGhpbmtzIGl0IGlzIHRoZSBib2lsZXIuIElzIHRoYXQgZnJpZ2h0ZW5pbmcgdG9vPyBWYWx2ZSwgbG9vayBvdmVyIGhlcmUu,,,,,W0NhbGRpcmFdCkFzc3VzdGFkb3JhPyBBIFZhbHZpbGEgYXF1aSBhY2hhIHF1ZSDDqSB1bWEgY2FsZGVpcmEhIFZhbHZpbGEsIHZlbSBhcXVpLg==,,W0NhbGRlcmFdCkRhIG1pZWRvLCBzw60uIExhIFbDoWx2dWxhIGRlIGFxdcOtIGNyZWUgcXVlIGVzIGxhIGNhbGRlcmE7IMK/ZXN0YSB0YW1iacOpbiBkYSBtaWVkbz8gVsOhbHZ1bGEsIG1pcmEgYXF1w60u
YufOBw,,W1ZhbHZlXQpIaXNz4oCU,,,,,W1ZhbHZpbGFdCkJlZWVwLS0=,,W1bDoWx2dWxhXQpDaGlpaWst
Y+fOBw,,W1N3aXNoaWVdCkEgZ2hvc3Qgb2YgdGhlIGJvaWxlcj8gRG8geW91IHRydWx5IHRoaW5rIHRoYXQgbWFrZXMgc2Vuc2U/IEl0IG11c3QgYmUgYSBwcm9ibGVtIHdlIGhhdmUgeWV0IHRvIGRpc2NvdmVyLiBQZXJoYXBzIGJlY2F1c2Ugd2UgYXJlIEF1dG9tYXRhLg==,,,,,W1ZhaGlkYV0KVW0gZXNww61yaXRvIGRhIGNhbGRlaXJhPyBJc3NvIG5lbSBmYXogc2VudGlkby4gRGV2ZSBoYXZlciB1bSBwcm9ibGVtYSBxdWUgYWluZGEgbsOjbyBkZXRlY3RhbW9zLiBUYWx2ZXogcG9yIHNlcm1vcyBBdXTDtG1hdGFzLg==,,W1N3aXNoaWVdCsK/RGUgdmVyZGFkIGNyZWVzIHF1ZSB0aWVuZSBzZW50aWRvIGRlY2lyIHF1ZSBlcyBlbCBlc3BlY3RybyBkZSBDYWxkZXJhPyBTZXLDoSBwb3IgYWxnw7puIHByb2JsZW1hIHF1ZSBhw7puIG5vIGhlbW9zIGRlc2N1YmllcnRvLiBQZXJvIHByb2JhYmxlbWVudGUgcG9ycXVlIHNvbW9zIGF1dMOzbWF0YXMu
ZOfOBw,,W1N3aXNoaWVdCldlIGNhbm5vdCBoZWFyIHRoZSBwcmVzZW5jZSBvciBzb3VuZHMgdGhhdCBodW1hbiBndWVzdHMgaGVhciBhbmQgc2Vuc2UsIHNvIHRoZXJlIG11c3QgY2VydGFpbmx5IGJlIHRoaW5ncyB3ZSBhcmUgbWlzc2luZy4=,,,,,W1ZhaGlkYV0KQ29tbyBuw6NvIG91dmltb3MgbmVtIHNlbnRpbW9zIHByZXNlbsOnYXMgb3Ugc29ucyBjb21vIG9zIGh1bWFub3MsIGNlcnRhbWVudGUgaMOhIGFsZ28gcXVlIGRlaXhhbW9zIHBhc3Nhci4=,,W1N3aXNoaWVdCkNyZW8gcXVlIHNpbiBkdWRhIGhheSBhbGdvIHF1ZSBzZSBub3MgZXNjYXBhLCBwb3JxdWUgbm8gcG9kZW1vcyBvw61yIGxhIHByZXNlbmNpYSBuaSBsb3Mgc29uaWRvcyBxdWUgbG9zIGh1w6lzcGVkZXMgaHVtYW5vcyBveWVuIHkgc2llbnRlbi4=
ZefOBw,,W1N3aXNoaWVdCkluIHRoZSBlbmQsIHdlIGNvdWxkIG5vdCBldmVuIHBlcmNlaXZlIHRoZSBleGlzdGVuY2Ugb2YgdGhlIHByb2JsZW0uIFBlcmhhcHMgdGhlcmUgYXJlIGlzc3VlcyB3ZSBmYWlsIHRvIGRpc2NvdmVyIGR1ZSB0byB0aGUgbGltaXRzIG9mIG91ciBvcmlnaW4uClRoYXQgaXMgd2h5IHdlIHByb3Bvc2VkIHRvIGRpc2NvdmVyIHRoZSBwcm9ibGVtIHRvZ2V0aGVyIHdpdGggdGhlIGd1ZXN0cy4=,,,,,W1ZhaGlkYV0KTm8gZmltLCBuZW0gc2VxdWVyIHBlcmNlYmVtb3MgYSBleGlzdMOqbmNpYSBkbyBwcm9ibGVtYS4gVGFsdmV6IGhhamEgcXVlc3TDtWVzIHF1ZSBuw6NvIGNvbnNlZ3VpbW9zIGRldGVjdGFyIHBvciBsaW1pdGHDp8O1ZXMgZGUgbm9zc2EgcHLDs3ByaWEgbmF0dXJlemEuClBvciBpc3NvIHN1Z2VyaSBxdWUgYnVzY8Ohc3NlbW9zIGEgc29sdcOnw6NvIGp1bnRvIGFvcyB2aXNpdGFudGVzLg==,,W1N3aXNoaWVdClBlcm8gYWwgZmluYWwgbmkgc2lxdWllcmEgbm9zIGRpbW9zIGN1ZW50YSBkZSBsYSBleGlzdGVuY2lhIGRlbCBwcm9ibGVtYS4gUHJvYmFibGVtZW50ZSwgcHJvYmxlbWFzIHF1ZSBubyBwb2RlbW9zIGRlc2N1YnJpciBwb3IgbGFzIGxpbWl0YWNpb25lcyBkZSBudWVzdHJvIG9yaWdlbi4KUG9yIGVzbyBwcm9wdXNlIHF1ZSBkZXNjdWJyacOpcmFtb3MgZWwgcHJvYmxlbWEganVudG8gY29uIGxvcyBodcOpc3BlZGVzLg==
ZufOBw,,W1N3aXNoaWVdClRvIGJlIGhvbmVzdCwgdGhlcmUgaGFkIGJlZW4gbm8gdmlzaXRvcnMgZm9yIGEgbG9uZyB0aW1lLCBzbyB3ZSBkaWQgbm90IGtub3cgd2hhdCB3YXMgYWJub3JtYWwuIFRoZSBpc3N1ZSB3YXMgcmFpc2VkIG9ubHkgYWZ0ZXIgaHVtYW4gZ3Vlc3RzIGVudGVyZWQsIHNvIHdvdWxkIGl0IG5vdCBiZSByZWFzb25hYmxlIHRvIGZvY3VzIG9uIHRoZSBkaWZmZXJlbmNlcyBiZXR3ZWVuIGh1bWFucyBhbmQgdXMgQXV0b21hdGE/,,,,,W1ZhaGlkYV0KUGFyYSBzZXIgc2luY2VyYSwgY29tbyBuw6NvIGhhdmlhIHZpc2l0YW50ZXMgaMOhIG11aXRvIHRlbXBvLCBuw6NvIG5vdGFtb3MgbmFkYSBlc3RyYW5oby4gQSBxdWVzdMOjbyBzw7Mgc3VyZ2l1IGFww7NzIGEgZW50cmFkYSBkb3MgaHVtYW5vcywgZW50w6NvIMOpIHJhem/DoXZlbCBmb2NhciBuYXMgZGlmZXJlbsOnYXMgZW50cmUgaHVtYW5vcyBlIGF1dMO0bWF0YXMu,,W1N3aXNoaWVdClNpbmNlcmFtZW50ZSwgY29tbyBubyBodWJvIHVzdWFyaW9zIGR1cmFudGUgbXVjaG8gdGllbXBvLCBubyBzYWLDrWFtb3MgcXXDqSBlcmEgbG8gZXh0cmHDsW8uIFBlcm8gY29tbyBlcyB1biBwcm9ibGVtYSBwbGFudGVhZG8gc29sbyBkZXNwdcOpcyBkZSBxdWUgZW50cmFyYW4gaHXDqXNwZWRlcyBodW1hbm9zLCDCv25vIGVzIHJhem9uYWJsZSBmaWphcnNlIGVuIGxhcyBkaWZlcmVuY2lhcyBlbnRyZSBsb3MgaHVtYW5vcyB5IG51ZXN0cm9zIGF1dMOzbWF0YXM/
Z+fOBw,,W1N3aXNoaWVdCkkgaGF2ZSBoZWFyZCB0aGF0IGh1bWFucyBwb3NzZXNzIGhpZ2hseSBkZXZlbG9wZWQgc2Vuc2VzIGFuZCBlbW90aW9ucy4gQW5kIGV2ZW4gdGhlIHJlYXNvbmluZyBhYmlsaXR5IHRvIHN5bnRoZXNpemUgYWxsIG9mIHRoZW0uCldlIGNvbXBpbGUgaW5mb3JtYXRpb24gdG8gcmVhY2ggY29uY2x1c2lvbnMsIGJ1dCBodW1hbnMgYXJlIGRpZmZlcmVudC4gSSBoYXZlIGhlYXJkIHRoZXkgaW5jb3Jwb3JhdGUgcGVyc29uYWwgZXhwZXJpZW5jZSwgdGhvdWdodHMsIGFuZCBpbWFnaW5hdGlvbiB3aGVuIGRyYXdpbmcgY29uY2x1c2lvbnMu,,,,,W1ZhaGlkYV0KT3V2aSBkaXplciBxdWUgb3MgaHVtYW5vcyBwb3NzdWVtIHNlbnRpZG9zIGRlc2Vudm9sdmlkb3MgZSBlbW/Dp8O1ZXMuIEUgYWluZGEgYSBjYXBhY2lkYWRlIGRlIHJhY2lvY8OtbmlvIHF1ZSBpbnRlZ3JhIHR1ZG8gaXNzby4KTsOzcyBhcGVuYXMgY29tcGlsYW1vcyBpbmZvcm1hw6fDtWVzLCBtYXMgb3MgaHVtYW5vcyBzw6NvIGRpZmVyZW50ZXMuIEVsZXMgY29uc2lkZXJhbSBleHBlcmnDqm5jaWFzIHBlc3NvYWlzIGUgYXTDqSBpbWFnaW5hw6fDo28u,,W1N3aXNoaWVdCkhlIG/DrWRvIHF1ZSBsb3MgaHVtYW5vcyB0aWVuZW4gc2VudGlkb3MgeSBlbW9jaW9uZXMgZGVzYXJyb2xsYWRvcy4gWSBoYXN0YSBjYXBhY2lkYWQgZGUgcGVuc2FtaWVudG8gcGFyYSBpbnRlZ3JhciB0b2RvIGVzby4KTm9zb3Ryb3Mgc29sbyByZXVuaW1vcyBpbmZvcm1hY2nDs24geSBzYWNhbW9zIHVuYSBjb25jbHVzacOzbiwgcGVybyBsb3MgaHVtYW5vcyBzb24gZGlzdGludG9zLiBIZSBvw61kbyBxdWUsIGFsIHNhY2FyIGNvbmNsdXNpb25lcywgaW50ZWdyYW4gdGFtYmnDqW4gZXhwZXJpZW5jaWFzIHBlcnNvbmFsZXMsIHBlbnNhbWllbnRvcyBlIGltYWdpbmFjacOzbi4=
aOfOBw,,W1N3aXNoaWVdCkkgc2luY2VyZWx5IGhvcGUgdGhlIHByb2JsZW0gY2FuIGJlIHJlc29sdmVkLg==,,,,,W1ZhaGlkYV0KRXNwZXJvIHNpbmNlcmFtZW50ZSBxdWUgY29uc2lnYW0gcmVzb2x2ZXIgbyBwcm9ibGVtYS4=,,W1N3aXNoaWVdCkVzcGVybyBxdWUgcHVlZGFzIHJlc29sdmVyIGVsIHByb2JsZW1hLg==
aefOBw,,W0JvaWxhXQpTaW5jZSB0aGUgYm9pbGVyIGlzIG9mZiwgcGxlYXNlIGluZm9ybSB0aGUgPE5BVkk+W290aGVyIGd1ZXN0c108SU5GTz5iYV9iYXRoLDI3MCw5NCwwLDEwMSwwPC9JTkZPPjwvTkFWST4gdGhhdCB0aGV5IG1heSBzZWFyY2ggYXQgZWFzZS4=,,,,,W0NhbGRpcmFdCkNvbW8gYSBjYWxkZWlhIGVzdMOhIGRlc2xpZ2FkYSwgdm9jw6ogasOhIHBvZGUgYXZpc2FyIDxOQVZJPltzZXVzIGFtaWdvc108SU5GTz5iYV9iYXRoLDI3MCw5NCwwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,W0NhbGRlcmFdCkNvbW8geWEgYXBhZ3XDqSBDYWxkZXJhLCBkw61nYWxlcyBhIGxvcyA8TkFWST5bb3Ryb3MgaHXDqXNwZWRlc108SU5GTz5iYV9iYXRoLDI3MCw5NCwwLDEwMSwwPC9JTkZPPjwvTkFWST4gcXVlIHB1ZWRlbiBidXNjYXIgY29uIHRyYW5xdWlsaWRhZC4=
aufOBw,,W0JvaWxhXQpHbyBtZWV0IFN3aXNoaWUgb3IgdGhlIDxOQVZJPltvdGhlciBndWVzdHNdPElORk8+YmFfYmF0aCwyNzAsOTQsMCwxMDEsMDwvSU5GTz48L05BVkk+LiBJIG11c3QgY29udGludWUgZ3VhcmRpbmcgdGhlIGJvaWxlci4gSWYgeW91IGxlYXJuIGFueXRoaW5nLCBjb21lIGJhY2sgaGVyZSBhbmQgYmUgc3VyZSB0byB0ZWxsIG1lLiBJIGFtIGN1cmlvdXMu,,,,,W0NhbGRpcmFdClbDoSBlbmNvbnRyYXIgVmFoaWRhIG91IG9zIDxOQVZJPltzZXVzIGFtaWdvc108SU5GTz5iYV9iYXRoLDI3MCw5NCwwLDEwMSwwPC9JTkZPPjwvTkFWST4uIEV1IHByZWNpc28gY29udGludWFyIGFxdWkgdmlnaWFuZG8gYSBjYWxkZWlyYS4gU2UgZGVzY29icmlyIGFsZ28sIHZvbHRlIGFxdWkgZSBtZSBpbmZvcm1lLg==,,W0NhbGRlcmFdClZlIGEgdmVyIGEgU3dpc2hpZSBvIGEgbG9zIDxOQVZJPltvdHJvcyBodcOpc3BlZGVzXTxJTkZPPmJhX2JhdGgsMjcwLDk0LDAsMTAxLDA8L0lORk8+PC9OQVZJPi4gWW8gdGVuZ28gcXVlIHNlZ3VpciB2aWdpbGFuZG8gZGVsYW50ZSBkZSBDYWxkZXJhLiBTaSBhdmVyaWd1YXMgYWxnbywgdmVuIGFxdcOtIHkgZMOtbWVsbywgwr9zw60/IFRlbmdvIGN1cmlvc2lkYWQu
a+fOBw,,W0JvaWxhXQpJdCB3b3VsZCBiZSBiZXR0ZXIgdG8gbG9vayBlbHNld2hlcmUgcmF0aGVyIHRoYW4gaGVyZS4=,,,,,W0NhbGRpcmFdClNlcmlhIG1lbGhvciBpbnZlc3RpZ2FyIGVtIG91dHJvIGx1Z2FyLg==,,W0NhbGRlcmFdClNlcsOtYSBtZWpvciByZXZpc2FyIG90cm9zIGx1Z2FyZXMgcXVlIGVzdGUu
bOfOBw,,W0JvaWxhXQpJdCBzb3VuZHMgbm9pc3kgb3ZlciB0aGVyZS4gU2hvdWxkIHlvdSBub3QgZ28gYW5kIGNoZWNrPw==,,,,,W0NhbGRpcmFdCkVzdMOhIGJhcnVsaGVudG8gYWxpLCBuw6NvIGRldmVyaWEgaXIgdmVyaWZpY2FyPw==,,W0NhbGRlcmFdCkFsbMOtIGVzdMOhIHRvZG8gYWxib3JvdGFkbywgwr9ubyBkZWJlcsOtYXMgaXIgYSB2ZXI/
befOBw,,SXQncyBvdmVyIGFuZCBkb25lISE=,,,,,SsOhIGVzdMOhIHR1ZG8gcHJvbnRvISE=,,wr9ZYSBzZSBoYSBpbmZ1c2lvbmFkbyB0b2RvISE=
