YG3QBw,,RW9yZmE=,,,,,RW9yZmE=,,RW9yZmE=
iG3QBw,,W0VvcmZhXQpQbGVhc2UgcmV0cmlldmUgMTAgXjRENERGRlBvdGF0byBDaGlwc14wMDAwMDAuIFRoZW4sIEkgd2lsbCBiZSBjb3VudGluZyBvbiB5b3Uu,,,,,W0VvcmZhXQpQb3IgZmF2b3IsIHJlY3VwZXJlIF40RDRERkYxMHggQ2hpcCBkZSBCYXRhdGFeMDAwMDAwLiBFdSBjb250byBjb20gdm9jw6ou,,W0VvcmZhXQpQb3IgZmF2b3IsIHJlY3VwZXJlIF40RDRERkYxMCBDaGlwcyBkZSBQYXBhXjAwMDAwMC4gRW50b25jZXMsIHNlIGxvIGVuY2FyZ28u
iW3QBw,,W0VvcmZhXQpJZiB0aW1lIGNvbnRpbnVlcyB0byBwYXNzIGxpa2UgdGhpcywgaXQgd2lsbCByZWFjaCBhbm90aGVyIGZ1bmN0aW9uYWwgZmFpbHVyZS4gSSBuZWVkIHlvdXIgaGVscC4=,,,,,W0VvcmZhXQpTZSBvIHRlbXBvIGNvbnRpbnVhciBwYXNzYW5kbyBhc3NpbSwgY2hlZ2FyZW1vcyBub3ZhbWVudGUgYSB1bWEgZmFsaGEgZGUgZnVuY2lvbmFtZW50by4gUHJlY2lzbyBkYSBzdWEgYWp1ZGEu,,W0VvcmZhXQpTaSBlbCB0aWVtcG8gc2lndWUgcGFzYW5kbyBhc8OtLCB2b2x2ZXLDoSBhIGxsZWdhciBhIHVuYSBhdmVyw61hIGRlIGZ1bmNpb25hbWllbnRvLiBOZWNlc2l0byBzdSBheXVkYS4=
im3QBw,,W0VvcmZhXQpJIGhhdmUgY29uZmlybWVkIHRoZSBjb2xsZWN0aW9uIG9mIDEwIFBvdGF0byBDaGlwcy4gUGxlYXNlIHRha2UgY2FyZSBvZiBwcm9jZXNzaW5nIHRob3NlIGJpbyBjaGlwcy4=,,,,,W0VvcmZhXQpDb25maXJtbyBhIGNvbGV0YSBkZSAxMHggQ2hpcCBkZSBCYXRhdGEuIFBlw6dvIHF1ZSBjdWlkZSBkbyBwcm9jZXNzYW1lbnRvIGRvIHJlc3BlY3Rpdm8gY2hpcCBiaW9sw7NnaWNvLg==,,W0VvcmZhXQpIZSBjb25maXJtYWRvIGxhIHJlY29sZWNjacOzbiBkZSAxMCBDaGlwcyBkZSBQYXBhLiBMZSBydWVnbyBxdWUgc2UgZW5jYXJndWUgZGVsIHByb2Nlc2FtaWVudG8gZGVsIGNoaXAgYmlvbMOzZ2ljbyBjb3JyZXNwb25kaWVudGUu
i23QBw,,IC0gSSBkZXZvdXJlZCBhbGwgMTAgUG90YXRvIENoaXBzIHdpdGhvdXQgbGVhdmluZyBhIHNpbmdsZSBvbmUhISAt,,,,,LSBWb2PDqiBjb21lIG9zIDEwIENoaXBzIGRlIEJhdGF0YSEhIC0=,,IC0gwqHCoVNlIGNvbWnDsyBzaW4gZGVqYXIgbmFkYSAxMCBDaGlwcyBkZSBQYXBhISEgLQ==
jG3QBw,,W0VvcmZhXQpQcm9jZXNzaW5nIG9mIFBvdGF0byBDaGlwcyBoYXMgYmVlbiBjb25maXJtZWQgY29tcGxldGUuIFRoYW5rIHlvdS4=,,,,,W0VvcmZhXQpDb25maXJtYcOnw6NvIGNvbmNsdcOtZGEgZG8gcHJvY2Vzc2FtZW50byBkZSBDaGlwIGRlIEJhdGF0YS4gT2JyaWdhZGEu,,W0VvcmZhXQpDb25maXJtYWNpw7NuIGNvbXBsZXRhZGEgZGVsIHByb2Nlc2FtaWVudG8gZGUgQ2hpcHMgZGUgUGFwYS4gR3JhY2lhcy4=
jW3QBw,,W0VvcmZhXQpBbGwgeW91IG5lZWQgdG8gZG8gaXMgY29sbGVjdCAxMCBQb3RhdG8gQ2hpcHMgYW5kIGJyaW5nIHRoZW0gdG8gbWUu,,,,,W0VvcmZhXQpCYXN0YSBjb2xldGFyIDEweCBDaGlwIGRlIEJhdGF0YSBlIHRyYXrDqi1sb3MgcGFyYSBtaW0u,,W0VvcmZhXQpTb2xvIHRpZW5lIHF1ZSByZWNvbGVjdGFyIDEwIENoaXBzIGRlIFBhcGEgeSB0cmHDqXJtZWxhcy4=
jm3QBw,,W0VvcmZhXQpUb2RheSdzIGFtb3VudCBpcyBzdWZmaWNpZW50LiBXb3VsZCB5b3UgY29tZSBmaW5kIG1lIGFnYWluIGFmdGVyIGEgZGF5IGhhcyBwYXNzZWQ/,,,,,W0VvcmZhXQpBIHF1YW50aWRhZGUgZGUgaG9qZSDDqSBzdWZpY2llbnRlLiBQb2RlcmlhIHZvbHRhciBhIG1lIHByb2N1cmFyIGRlcG9pcyBxdWUgcGFzc2FyIHVtIGRpYT8=,,W0VvcmZhXQpMYSBjYW50aWRhZCBkZSBob3kgZXMgc3VmaWNpZW50ZS4gwr9Qb2Ryw61hIHZvbHZlciBhIGJ1c2Nhcm1lIGRlc3B1w6lzIGRlIHF1ZSBwYXNlIHVuIGTDrWE/
j23QBw,,W0VvcmZhXQpZb3UncmUgYmFjay4gSSd2ZSBiZWVuIHdhaXRpbmcu,,,,,W0VvcmZhXQpWb2PDqiB2b2x0b3UsIGV1IGVzdGF2YSBlc3BlcmFuZG8u,,W0VvcmZhXQpIYSB2dWVsdG8sIGVzdGFiYSBlc3BlcmFuZG8u
kG3QBw,,W0VvcmZhXQpDb3VsZCB5b3UgY29sbGVjdCAxMCBQb3RhdG8gQ2hpcHMgYWdhaW4sIGFzIGJlZm9yZT8=,,,,,W0VvcmZhXQpDb21vIGRhIMO6bHRpbWEgdmV6LCBwb2RlcmlhIGNvbGV0YXIgMTB4IENoaXAgZGUgQmF0YXRhPw==,,W0VvcmZhXQpDb21vIGxhIHZleiBhbnRlcmlvciwgwr9wb2Ryw61hIHJlY29sZWN0YXIgMTAgQ2hpcHMgZGUgUGFwYT8=
kW3QBw,,W0VvcmZhXQpJZiB5b3UgZ28gaW5zaWRlIHRoZSAybmQgTWFnaWMgUG93ZXIgUGxhbnQsIHlvdSBjYW4gbWVldCB0aGUgbWFuYS1hZGRpY3RlZCBTYW5hcmUuIFBsZWFzZSByZXRyaWV2ZSB0aGUgUG90YXRvIENoaXBzIGZyb20gdGhlbS4=,,,,,W0VvcmZhXQpTZSB2b2PDqiBlbnRyYXIgbmEgVXNpbmEgZGUgRW5lcmdpYSBNw6FnaWNhLCBwb2RlcsOhIGVuY29udHJhciBhIFNhbmFyZSBWaWNpYWRhLiBWb2PDqiBzw7MgcHJlY2lzYSByZWN1cGVyYXIgQ2hpcCBkZSBCYXRhdGEgZGVsYXMu,,W0VvcmZhXQpTaSBlbnRyYSBlbiBsYSAyLsKqIFBsYW50YSBkZSBFbmVyZ8OtYSBNw6FnaWNhLCBwb2Ryw6EgZW5jb250cmFyc2UgY29uIFNhbmFyZSBhZGljdGFzIGEgbGEgbWFnaWEuIExlIGFncmFkZWNlcsOtYSBxdWUgcmVjdXBlcmFyYSBDaGlwcyBkZSBQYXBhIGRlIGVsbGFzLg==
km3QBw,,W0VvcmZhXQpQbGVhc2UsIGp1c3QgMTAgXjRENERGRlBvdGF0byBDaGlwc14wMDAwMDAuIFRoZW4sIEkgd2lsbCBiZSB3YWl0aW5nLg==,,,,,W0VvcmZhXQpQb3IgZmF2b3IsIGFwZW5hcyBeNEQ0REZGMTB4IENoaXAgZGUgQmF0YXRhXjAwMDAwMC4gRXUgZXN0YXJlaSBlc3BlcmFuZG8u,,W0VvcmZhXQpTb2xvIGxlIHBpZG8gMTAgXjRENERGRkNoaXBzIGRlIFBhcGFeMDAwMDAwLiBFbnRvbmNlcywgZXN0YXLDqSBlc3BlcmFuZG8u
k23QBw,,W0VvcmZhXQpQcm9jZXNzaW5nIG9mIFBvdGF0byBDaGlwcyBoYXMgYmVlbiBjb25maXJtZWQgY29tcGxldGUuIFRoYW5rIHlvdSBldmVyeSB0aW1lLiBJZiB5b3UgY2FuLCBwbGVhc2Ugc3RvcCBieSBhZ2FpbiB0b21vcnJvdy4=,,,,,W0VvcmZhXQpDb25maXJtYcOnw6NvIGNvbmNsdcOtZGEgZG8gcHJvY2Vzc2FtZW50byBkZSBDaGlwIGRlIEJhdGF0YS4gQWdyYWRlw6dvLiBTZSBmb3IgcG9zc8OtdmVsLCBwYXNzZSBhcXVpIG5vdmFtZW50ZSBhbWFuaMOjLg==,,W0VvcmZhXQpDb25maXJtYWNpw7NuIGNvbXBsZXRhZGEgZGVsIHByb2Nlc2FtaWVudG8gZGUgQ2hpcHMgZGUgUGFwYS4gTGUgYWdyYWRlemNvIGNhZGEgdmV6LiBTaSBsZSBlcyBwb3NpYmxlLCB2dWVsdmEgYSBwYXNhciBtYcOxYW5hLg==
