QMfe,,WW91bmcgTWFu,,,,,Sm92ZW0=,,Sm92ZW4=
WMfe,,W0themllbl0KRWgsIEkgZG9uJ3QgaGF2ZSB0aGUgdGltZQp0byB3b25kZXIgYWJvdXQgc3R1ZmYgbGlrZQp0aGF0LiBMeW96aWVuJ3Mgd2FpdGluZyBmb3IKeW91LCBzbyBnZXQgdG8gaXQsIG9rYXk/,,,,,W0themllbl0KSMOjLCBldSBuw6NvIHRlbmhvIHRlbXBvCnBhcmEgcGVuc2FyIGVtIGNvaXNhcyBjb21vCmVzc2EuIEx5b3ppZW4gZXN0w6EgZXNwZXJhbmRvIHBvciB2b2PDqiwKZW50w6NvIHbDoSBhbmRhbmRvLCBiZWxlemE/,,W0themllbl0KRWgsIG5vIHRlbmdvIHRpZW1wbwpwYXJhIHBlbnNhciBlbiBjb3NhcyBjb21vCmVzYS4gTHlvemllbiBlc3TDoSBlc3BlcsOhbmRvdGUKYXPDrSBxdWUgcG9udGUgYSB0cmFiYWphciwgwr9zw60/
Wcfe,,W3swfV0KVy13YWl0ISBEdXJpbmcgdGhlIGxhc3QKZGVsaXZlcnksIEkgd2FzIGF0dGFja2VkCmJ5IGEgZ3JvdXAgb2YgdGh1Z3MgdGhhdAp3YW50ZWQgdG8gZGVzdHJveSB0aGUKcGFja2FnZXM/IFdoeSB3b3VsZAp0aGV5IHdhbnQgdG8gZG8gdGhhdD8=,,,,,W3swfV0KRS1Fc3BlcmEhIER1cmFudGUgYSDDumx0aW1hCmVudHJlZ2EsIHVtIGdydXBvIGRlIGJhbmRpZG9zIG1lIGF0YWNvdS4KRWxlcyBxdWVyaWFtIGRlc3RydWlyIG9zCnBhY290ZXMuIFBvciBxdWUgZmFyaWFtIGlzc28/,,W3swfV0KwqFFLWVzcGVyYSEgRHVyYW50ZSBsYSDDumx0aW1hCmVudHJlZ2EsIG1lIGF0YWPDsyAKdW4gZ3J1cG8gZGUgbWF0b25lcyBxdWUKcXVlcsOtYW4gZGVzdHJ1aXIgbG9zCnBhcXVldGVzLiDCv1BvciBxdcOpIApoYXLDrWFuIGVzbz8=
Wsfe,,W0themllbl0KTG9vay4uLiBZb3UncmUgYmV0dGVyCm9mZiBub3Qga25vd2luZy4gT3IgYXJlCnlvdSBhc2tpbmcgbWUgdG8gcGF5IHlvdQptb3JlIGZvciB0aGlzIGpvYiBzaW5jZQp5b3UncmUgcmlza2luZyB5b3VyIGxpZmU/,,,,,W0themllbl0KT2xoYS4uLiDDiSBtZWxob3Igdm9jw6oKbsOjbyBzYWJlci4gT3Ugc2Vyw6EgcXVlCmVzdMOhIG1lIHBlZGluZG8gcGFyYSB0ZSBwYWdhcgptYWlzIHBvciBlc3NlIHRyYWJhbGhvLCBqw6EKcXVlIGVzdMOhIGFycmlzY2FuZG8gc3VhIHZpZGE/,,W0themllbl0KTWlyYS4uLiBFcyBtZWpvcgpxdWUgbm8gbG8gc2VwYXMuIMK/TyBidXNjYXMKcXVlIHRlIHBhZ3VlIG3DoXMgcG9yIGVsIHRyYWJham8KeWEgcXVlIGNvcnJlIHJpZXNnbyB0dSB2aWRhPw==
W8fe,,W3swfV0KSSB1bmRlcnN0YW5kIHRoYXQgdGhlCmN1c3RvbWVyJ3MgY29uZmlkZW50aWFsaXR5CmlzIGltcG9ydGFudCwgYnV0IEknZCBmZWVsIGEKbG90IGJldHRlciBpZiBJIGtuZXcgd2hhdCB3YXMKaW4gdGhvc2UgcGFja2FnZXMsIGFuZCB3aHkgbWUKYW5kIEx5b3ppZW4gYXJlIGJlaW5nIGF0dGFja2VkLg==,,,,,W3swfV0KRW50ZW5kbyBxdWUgYQpjb25maWRlbmNpYWxpZGFkZSBkbyBjbGllbnRlCsOpIGltcG9ydGFudGUsIG1hcyBldSBtZSBzZW50aXJpYSBtdWl0bwptZWxob3Igc2Ugc291YmVzc2UgbyBxdWUgdGVtCm5hcXVlbGVzIHBhY290ZXMgZSBwb3IgcXVlIGV1CmUgTHlvemllbiBlc3RhbW9zIHNlbmRvIGF0YWNhZG9zLg==,,W3swfV0KRW50aWVuZG8gcXVlIGxhCmNvbmZpZGVuY2lhbGlkYWQgZGVsIGNsaWVudGUKZXMgaW1wb3J0YW50ZSwgcGVybyBtZSBzZW50aXLDrWEKbXVjaG8gbWVqb3Igc2kgc3VwaWVyYSBsbyBxdWUgaGF5CmVuIGVzb3MgcGFxdWV0ZXMsIHkgcG9yIHF1w6kgbm9zCmF0YWNhbiBhIEx5b3ppZW4geSBhIG3DrS4=
XMfe,,W0themllbl0KTGlzdGVuLCBJJ20gbm90IG9ibGlnYXRlZC0tCkkgY2FuJ3QgdGVsbCB5b3UuIEhlY2ssIEkgY2FuJ3QKZXZlbiB0ZWxsIG15IG93biBicm90aGVyIHdoYXQncwppbiB0aG9zZSBwYWNrYWdlcy4gWW91IGNhbiBzZWUKdGhhdCwgY2FuJ3QgeW91PyBBbnl3YXksIHlvdQpjYW4gaGFuZGxlIHRob3NlIHRodWdzLCByaWdodD8=,,,,,W0themllbl0KT2xoYSwgZXUgbsOjbyBzb3Ugb2JyaWdhZG8uLi4KTsOjbyBwb3NzbyB0ZSBjb250YXIuIENhcmFtYmEsIGV1IG7Do28gcG9zc28KZGl6ZXIgYW8gbWV1IHByw7NwcmlvIGlybcOjbyBvIHF1ZSB0ZW0KbmFxdWVsZXMgcGFjb3Rlcy4gVm9jw6ogY29uc2VndWUgZW50ZW5kZXIKaXNzbywgbsOjbyDDqT8gRGUgcXVhbHF1ZXIgZm9ybWEsIHZvY8OqCnBvZGUgbGlkYXIgY29tIGVzc2VzIGJhbmRpZG9zLCBjZXJ0bz8=,,W0themllbl0KRXNjdWNoYSwgbm8gdGVuZ28gbGEgb2JsaWdhY2nDs24uLi4KTm8gcHVlZG8gZGVjw61ydGVsby4gRGlhYmxvcywgbm8gcHVlZG8gZGVjaXJsZQpuaSBhIG1pIHByb3BpbyBoZXJtYW5vIGxvIHF1ZSBoYXkKZW4gZXNvcyBwYXF1ZXRlcy4gTWUgY29tcHJlbmRlcywKwr92ZXJkYWQ/IEVuIGZpbiwKcHVlZGVzIGVuY2FyZ2FydGUgZGUgZXNvcyBtYXRvbmVzLCDCv25vPw==
Xcfe,,W0themllbl0KUmlnaHQuIE5vdyBnZXQgYmFjayB0bwp0aGUgQWlyc2hpcCBhbmQgdGFsayB0bwpMeW96aWVuIGFnYWluLiBEb24ndCBnaXZlCmhpbSBhbnkgdHJvdWJsZSBhbmQgbWFrZQpzdXJlIHlvdSBwcm90ZWN0IGhpbS4=,,,,,W0themllbl0KQ2VydG8uIEFnb3JhIHZvbHRlIHBhcmEgbwpkaXJpZ8OtdmVsIGUgZmFsZSBjb20KTHlvemllbiBkZSBub3ZvLiBOw6NvIGNhdXNlCm5lbmh1bSBwcm9ibGVtYSBhIGVsZSBlIGNlcnRpZmlxdWUtc2UKZGUgcHJvdGVnw6otbG8u,,W0themllbl0KQmllbi4gQWhvcmEgdnVlbHZlIGEKbGEgYWVyb25hdmUgeSBoYWJsYSBjb24KTHlvemllbiBvdHJhIHZlei4gQXNlZ8O6cmF0ZSBkZSBwcm90ZWdlcmxvCnkgbm8gbGUgY29tcGxpcXVlcwpsYXMgY29zYXMu
Xsfe,,W0themllbl0KV2hhdCBhcmUgeW91IGRvaW5nCndhaXRpbmcgYXJvdW5kIGhlcmUKZm9yPyBZb3UndmUgZ290IGEgam9iIHRvCmRvLCBzbyBodXJyeSB1cCBhbmQgZG8gaXR+,,,,,W0themllbl0KTyBxdWUgZXN0w6EgZmF6ZW5kbwplc3BlcmFuZG8gYXF1aT8KVm9jw6ogdGVtIHVtIHRyYWJhbGhvIGEKZmF6ZXIsIGVudMOjbyBhbmRhIGxvZ28gY29tIGlzc29+,,W0themllbl0Kwr9RdcOpIGhhY2VzCmVzcGVyYW5kbwphcXXDrT8gVGllbmVzIHVuIHRyYWJham8gYXNpZ25hZG8sIAphc8OtIHF1ZSBkYXRlIHByaXNhIHkgaGF6bG8u
X8fe,,W0themllbl0KSGV5LCB5b3UncmUgYmFjay4gSSBnb3QgYQptZXNzYWdlIGZyb20gUnVuZS1NaWRnYXJkLAp0ZWxsaW5nIHVzIHRoZXkgcmVjZWl2ZWQgdGhlaXIKb3JkZXIuIEdvb2Qgd29yayEgU28gaG93IGRvCnlvdSBsaWtlIHdvcmtpbmcgd2l0aCBMeW96aWVuPwpIZSdzIG9uZSBvZiBteSBiZXN0IG1lbi4=,,,,,W0themllbl0KRWksIHZvY8OqIHZvbHRvdS4gRXUgcmVjZWJpIHVtYQptZW5zYWdlbSBkZSBSdW5lLU1pZGdhcmQKZGl6ZW5kbyBxdWUgcmVjZWJlcmFtIHNldQpwZWRpZG8uIEJvbSB0cmFiYWxobyEgRW50w6NvLCBvIHF1ZSBhY2hvdQpkZSB0cmFiYWxoYXIgY29tIEx5b3ppZW4/CkVsZSDDqSB1bSBkb3MgbWV1cyBtZWxob3JlcyBob21lbnMu,,W0themllbl0KRXksIHZvbHZpc3RlLiBSZWNpYsOtIHVuCm1lbnNhamUgZGUgUnVuZS1NaWRnYXJkLgpEaWNlIHF1ZSByZWNpYmllcm9uIHN1CnBlZGlkby4gwqFFeGNlbGVudGUgdHJhYmFqbyEgwr9ZIHF1w6kgdGFsCmVzIHRyYWJhamFyIGNvbiBMeW96aWVuPwpFcyB1bm8gZGUgbWlzIG1lam9yZXMgaG9tYnJlcy4=
YMfe,,W3swfV0KV2FpdCwgYXJlbid0IHlvdSBhbmQKTHlvemllbiBzdXBwb3NlZAp0byBiZSBicm90aGVycz8=,,,,,W3swfV0KRXNwZXJhLCB2b2PDqiBlCkx5b3ppZW4gbsOjbyBkZXZlcmlhbQpzZXIgaXJtw6Nvcz8=,,W3swfV0KRXNwZXJhLCDCv25vIHNlIHN1cG9uZQpxdWUgTHlvemllbiB5IHTDuiAKc29uIGhlcm1hbm9zPw==
Ycfe,,W0themllbl0KV2hvYSwgaGUgdG9sZCB5b3UgdGhhdD8KSSBndWVzcyBoZSBmZWVscyB0aGF0IGhlCmNhbiB0cnVzdCB5b3UgZW5vdWdoIHdpdGgKdGhhdCBraW5kIG9mIHBlcnNvbmFsIHRhbGsuLi4KWWVhaCwgaGUncyBteSBsaXR0bGUgYnJvdGhlci4KQW5kIGEgYmV0dGVyIG1hbiB0aGFuIG1lLi4u,,,,,W0themllbl0KRWl0YSwgZWxlIHRlIGRpc3NlIGlzc28/CkFjaG8gcXVlIGVsZSBzZW50ZSBxdWUKcG9kZSBjb25maWFyIGVtIHZvY8OqIHBhcmEKZXNzZSB0aXBvIGRlIGNvbnZlcnNhIHBlc3NvYWwuLi4KU2ltLCBlbGUgw6kgbWV1IGlybcOjbyBtYWlzIG5vdm8uCkUgdW0gaG9tZW0gbWVsaG9yIGRvIHF1ZSBldS4uLg==,,W0themllbl0KVmF5YSwgwr90ZSBsbyBjb250w7M/ClN1cG9uZ28gcXVlIGNvbmbDrWEgZW4gdGkKbG8gc3VmaWNpZW50ZSBjb21vIHBhcmEgdGVuZXIKZXNlIHRpcG8gZGUgY2hhcmxhcyBwZXJzb25hbGVzLi4uClPDrSwgZXMgbWkgaGVybWFubyBtZW5vci4KWSB0YW1iacOpbiBlcyB1bmEgbWVqb3IgcGVyc29uYSBxdWUgeW8uLi4=
Ysfe,,W0themllbl0KSSd2ZSBnb3R0ZW4gbXkgaGFuZHMKcHJldHR5IGRpcnR5IGRvaW5nIHRoaXMuLi4KT2gsIGZvcmdldCBpdC4gWW91IGNhbWUKaGVyZSBmb3IgYSBqb2IsIHJpZ2h0PwpMdWNraWx5LCBJIGdvdCBhbm90aGVyCmRlbGl2ZXJ5IGZvciB5b3UgdG8gd29yayBvbi4uLg==,,,,,W0themllbl0KRXUgc3VqZWkgbWluaGFzIG3Do29zCmZhemVuZG8gaXNzby4uLgpBaCwgZXNxdWVjZS4gVm9jw6ogdmVpbyAKYXF1aSBlbSBidXNjYSBkZSB0cmFiYWxobywgY2VydG8/ClBvciBzb3J0ZSwgdGVuaG8gb3V0cmEKZW50cmVnYSBwYXJhIHZvY8OqIGZhemVyLi4u,,W0themllbl0KTWUgZW5zdWNpw6kgYmFzdGFudGUKbGFzIG1hbm9zIGNvbiBlc3RlIG5lZ29jaW8uLi4KT2x2w61kYWxvLiBWaWVuZXMgCmEgYnVzY2FyIHRyYWJham8sIMK/dmVyZGFkPwpQb3Igc3VlcnRlLCB0ZW5nbyBvdHJhCmVudHJlZ2EgcGFyYSBlbmNhcmdhcnRlLi4u
Y8fe,,W3swfV0KQWN0dWFsbHksIEthemllbi4uLgpJIHdhcyBjdXJpb3VzLiBXaGF0CmV4YWN0bHkgYXJlIHdlIGRlbGl2ZXJpbmc/CkkgbWVhbiwgbm90IGV2ZW4gTHlvemllbgprbm93cyBleGFjdGx5IHdoYXQKaXMgaW4gdGhvc2UgcGFja2FnZXMu,,,,,W3swfV0KTmEgdmVyZGFkZSwgS2F6aWVuLi4uClF1ZXJvIHNhYmVyIHVtYSBjb2lzYS4gTyBxdWUKZXhhdGFtZW50ZSB2YW1vcyBlbnRyZWdhcj8KUXVlcm8gZGl6ZXIsIG5lbSBtZXNtbyBMeW96aWVuCnNhYmUgbyBxdWUKdGVtIG5lc3NlcyBwYWNvdGVzLg==,,W3swfV0KTGEgdmVyZGFkLCBLYXppZW4uLi4KbWUgZGEgY3VyaW9zaWRhZC4gwr9RdcOpIAplc3RhbW9zIGVudHJlZ2FuZG8gZXhhY3RhbWVudGU/Ck5pIHNpcXVpZXJhIEx5b3ppZW4Kc2FiZSBsbyBxdWUgdGllbmVuIGRlbnRybwplc29zIHBhcXVldGVzLg==
ZMfe,,W0themllbl0KSHVoLi4uIERvZXMgdGhhdCBtZWFuCnlvdSBjYW4ndCB3b3JrIHdpdGggdXMgaWYKeW91IGRvbid0IGtub3cgZXhhY3RseSB3aGF0CnlvdSdyZSBkb2luZz8=,,,,,W0themllbl0KSHVuZi4uLiBJc3NvIHNpZ25pZmljYQpxdWUgdm9jw6ogbsOjbyBwb2RlIHRyYWJhbGhhciBjb25vc2NvIHNlCm7Do28gc291YmVyIGV4YXRhbWVudGUgbyBxdWUKZXN0w6EgZmF6ZW5kbz8=,,W0themllbl0KTW1tLi4uIMK/UXVpZXJlcyBkZWNpcgpxdWUgbm8gcHVlZGVzIHRyYWJhamFyIGNvbiBub3NvdHJvcwpzaSBubyBzYWJlcyBleGFjdGFtZW50ZSBsbyBxdWUKZXN0w6FzIGhhY2llbmRvPw==
Zcfe,,W0themllbl0KQ29tZSBvbiwgSSB0b2xkCnlvdSBiZWZvcmUtLWFic29sdXRlIHNlY3JlY3kuCkl0IGdvZXMgYm90aCB3YXlzLCB5b3Uga25vdy4=,,,,,W0themllbl0KT3JhLCBldSBqw6EgZGlzc2U6CnNlZ3JlZG8gYWJzb2x1dG8uCklzc28gdmFsZSBwYXJhIG9zIGRvaXMgbGFkb3MsIHZvY8OqIHNhYmUu,,W0themllbl0KVmFtb3MsIHlhIHRlIGxvIGRpamUKYW50ZXMuLi4gZXMgdG90YWxtZW50ZSBjb25maWRlbmNpYWwuClkgdmEgZW4gYW1ib3Mgc2VudGlkb3MsIHlhIGxvIHNhYmVzLg==
Zsfe,,W0themllbl0KTG9vaywgZm9yIHlvdXIgb3duIGdvb2QsCnF1aXQgYXNraW5nLiBLbm93aW5nIHdoYXQKeW91J3JlIGRlbGl2ZXJpbmcgd291bGRuJ3QKY2hhbmdlIGEgdGhpbmcuIFRydXN0IG1lLg==,,,,,W0themllbl0KT2xoYSwgcGFyYSBzZXUgcHLDs3ByaW8gYmVtLApwYXJlIGRlIHBlcmd1bnRhci4gU2FiZXIgbyBxdWUKcXVlIHZvY8OqIHZhaSBlbnRyZWdhciBuw6NvCm11ZGFyaWEgbmFkYSwgYWNyZWRpdGUu,,W0themllbl0KTWlyYSwgcG9yIHR1IHByb3BpbyBiaWVuLApkZWphIGRlIHByZWd1bnRhci4gU2FiZXIgcXXDqSAKZXN0w6FzIGVudHJlZ2FuZG8gbm8KY2FtYmlhIG5hZGEuIENvbmbDrWEgZW4gbcOtLg==
Z8fe,,W0themllbl0KQW55d2F5LCB0aGlzIG5leHQgam9iIGlzCm1vcmUgb2YgdGhlIHNhbWUuIE1lZXQKTHlvemllbiBpbiB0aGUgaW50ZXJuYXRpb25hbApmbGlnaHQgQWlyc2hpcCBhbmQgcHJvdGVjdAphbm90aGVyIHBhY2thZ2UgZGVzdGluZWQKZm9yIHRoZSBSdW5lLU1pZGdhcmQgS2luZ2RvbS4=,,,,,W0themllbl0KRGUgcXVhbHF1ZXIgZm9ybWEsIGVzc2UgcHLDs3hpbW8gdHJhYmFsaG8gw6kKbWFpcyBkbyBtZXNtby4gRW5jb250cmUKTHlvemllbiBubyBkaXJpZ8OtdmVsIGRlCnZvb3MgaW50ZXJuYWNpb25haXMgZSBwcm90ZWphCm91dHJvIHBhY290ZSBkZXN0aW5hZG8KYW8gUmVpbm8gZGUgUnVuZS1NaWRnYXJkLg==,,W0themllbl0KRW4gZmluLCB0dSBwcsOzeGltbyB0cmFiYWpvIGVzCm3DoXMgZGUgbG8gbWlzbW8uIFJlw7puZXRlIGNvbgpMeW96aWVuIGVuIGxhIGFlcm9uYXZlCmRlIHZ1ZWxvcyBpbnRlcm5hY2lvbmFsZXMgeSBwcm90ZWdlCmVsIHBhcXVldGUgY29uIGRlc3Rpbm8KYWwgcmVpbm8gZGUgUnVuZS1NaWRnYXJkLg==
aMfe,,W0themllbl0KQWxyaWdodCwgSSdsbCBzZWUgeW91CmxhdGVyLiBUaGUgaW1wb3J0YW50CnRoaW5nIGlzIHRoYXQgeW91IGRvIHRoZQpiZXN0IGpvYiB0aGF0IHlvdSBjYW4uCkFuZCBkb24ndCBnaXZlIEx5b3ppZW4KYW55IHRyb3VibGU6IHRoYXQncyBteSBqb2Ih,,,,,W0themllbl0KVHVkbyBiZW0sIHRlIHZlam8KbWFpcyB0YXJkZS4gTwppbXBvcnRhbnRlIMOpIHF1ZSB2b2PDqiBmYcOnYSBvCm1lbGhvciB0cmFiYWxobyBxdWUgcHVkZXIuCkUgbsOjbyBkw6ogcHJvYmxlbWFzIGFvIEx5b3ppZW46CmVzc2Ugw6kgbyBtZXUgdHJhYmFsaG8h,,W0themllbl0KRGUgYWN1ZXJkby4gTm9zIHZlbW9zCmx1ZWdvLiBMbyBpbXBvcnRhbnRlCmVzIHF1ZSBoYWdhcyBlbAptZWpvciB0cmFiYWpvIHF1ZSBwdWVkYXMuClkgbm8gbGUgZGVzIHByb2JsZW1hcyBhIEx5b3ppZW46CsKhZGUgZXNvIG1lIGVuY2FyZ28geW8h
acfe,,W0themllbl0KTHlvemllbiBpcyB3YWl0aW5nIGZvcgp5b3Ugb24gdGhlIGludGVybmF0aW9uYWwKZmxpZ2h0IEFpcnNoaXAsIHNvIGdvIGFuZAptZWV0IGhpbSB0aGVyZSBhcyBzb29uCmFzIHlvdSBjYW4uIEFscmlnaHQgdGhlbiwKSSdsbCBzZWUgeW91IGxhdGVyLg==,,,,,W0themllbl0KTHlvemllbiBlc3TDoSB0ZSBlc3BlcmFuZG9ubyBkaXJpZ8OtdmVsIGRlCnZvb3MgaW50ZXJuYWNpb25haXMsIGVudMOjbyB2w6EKZW5jb250csOhLWxvIGzDoSBhc3NpbSBxdWUKcHVkZXIuIFR1ZG8gYmVtLCBlbnTDo28sCnRlIHZlam8gbWFpcyB0YXJkZS4=,,W0themllbl0KTHlvemllbiB0ZSBlc3TDoSBlc3BlcmFuZG8KZW4gbGEgYWVyb25hdmUgZGUgdnVlbG9zCmludGVybmFjaW9uYWxlcywgYXPDrSBxdWUgdmUKYSByZXVuaXJ0ZSBjb24gw6lsIGVuIGN1YW50bwpwdWVkYXMuIEVuIGZpbiwKdGUgdmVyw6kgbcOhcyB0YXJkZS4=
asfe,,W0themllbl0KSGV5LCB5b3UncmUgYmFja34KR3JlYXQsIEkgZ3Vlc3MgdGhhdCBtZWFucwp0aGF0IHlvdSd2ZSBkZWNpZGVkIHRvIHdvcmsKZm9yIHVzISBBbHJpZ2h0LCBsZXQgbWUgdGVsbCB5b3UgYWJvdXQgeW91ciBmaXJzdCByZWFsIGpvYi4gQXMKYWx3YXlzOiBeRkYwMDAwa2VlcCBpdCBvbiB0aGUgZG93bi1sb3deMDAwMDAwLg==,,,,,W0themllbl0KRWksIHZvY8OqIHZvbHRvdX4Kw5N0aW1vLCBhY2hvIHF1ZSBpc3NvIHNpZ25pZmljYQpxdWUgdm9jw6ogZGVjaWRpdSB0cmFiYWxoYXIKcGFyYSBuw7NzISBNdWl0byBiZW0sIG1lIGRlaXhhIHRlIGNvbnRhciBzb2JyZSBzZXUgcHJpbWVpcm8gdHJhYmFsaG8gZGUgdmVyZGFkZS4gQ29tbwpzZW1wcmU6IF5GRjAwMDBtYW50ZW5oYSBpc3NvIGVtIHNlZ3JlZG9eMDAwMDAwLg==,,W0themllbl0KQWgsIGhvbGEsIHlhIHJlZ3Jlc2FzdGUuCkdlbmlhbCwgc3Vwb25nbyBxdWUgc2lnbmlmaWNhCnF1ZSBkZWNpZGlzdGUgdHJhYmFqYXIKcGFyYSBub3NvdHJvcy4gQmllbiwgZMOpamFtZSBoYWJsYXJ0ZSBkZSB0dSBwcmltZXIgdHJhYmFqbyByZWFsLiBDb21vCnNpZW1wcmU6IF5GRjAwMDBtYW50w6luIGVsIHBlcmZpbCBiYWpvXjAwMDAwMC4=
a8fe,,W0themllbl0KR28gdG8gdGhlIEFpcnNoaXAgZm9yIHRoZQppbnRlcm5hdGlvbmFsIGZsaWdodHMsIG5vdAp0aGUgZG9tZXN0aWMgb25lcywgYW5kIG1lZXQKYSBtYW4gbmFtZWQgXkZGMDAwMEx5b3ppZW5eMDAwMDAwIGluc2lkZS4KSGUncyBvdXIgY291cmllciB0aGF0J2xsIHByb3ZpZGUgeW91IHdpdGggZnVydGhlciBpbnN0cnVjdGlvbnMu,,,,,W0themllbl0KVsOhIGF0w6kgbyBkaXJpZ8OtdmVsIGRlCnZvb3MgaW50ZXJuYWNpb25haXMsIG7Do28Kb3MgZG9tw6lzdGljb3MsIGUgZW5jb250cmUKdW0gaG9tZW0gY2hhbWFkbyBeRkYwMDAwTHlvemllbl4wMDAwMDAgbMOhLgpFbGUgw6kgbyBub3NzbyBtZW5zYWdlaXJvIHF1ZSB0ZSBkYXLDoSBtYWlzIGluc3RydcOnw7Vlcy4=,,W0themllbl0KVmUgYSBsYSBhZXJvbmF2ZSBkZQp2dWVsb3MgaW50ZXJuYWNpb25hbGVzLCBubyAKbmFjaW9uYWxlcywgeSByZcO6bmV0ZSBjb24gdW4gaG9tYnJlCmxsYW1hZG8gXkZGMDAwMEx5b3ppZW5eMDAwMDAwIHF1ZSBlc3RhcsOhIGFsbMOtLgpFcyBudWVzdHJvIG1lbnNhamVybyB5IHRlIGRhcsOhIG3DoXMgaW5zdHJ1Y2Npb25lcy4=
bMfe,,W0themllbl0KT2guIFlvdSBjYW4gdGFsayB0byBMeW96aWVuCmFib3V0IHRoZSBqb2IsIGJ1dCBkZWZpbml0ZWx5Cm5vdCB0byBhbnlib2R5IGVsc2UuIEFueXdheSwKd2hlbiB5b3UncmUgZG9uZSB3aXRoIHdoYXQKaGUgYXNrcyB5b3UgdG8gZG8sIGNvbWUgYmFjawp0byBtZSBmb3IgYW5vdGhlciBqb2IsIG9rYXk/,,,,,W0themllbl0KQWguIFZvY8OqIHBvZGUgZmFsYXIgY29tIEx5b3ppZW4Kc29icmUgbyB0cmFiYWxobyBlCmNvbSBtYWlzIG5pbmd1w6ltLiBEZSBxdWFscXVlciBmb3JtYSwKcXVhbmRvIHZvY8OqIGNvbmNsdWlyIG8gcXVlCmVsZSB0ZSBwZWRpciwgdm9sdGUKYSBtaW0gcGFyYSBvdXRybyB0cmFiYWxobywgYmVsZXphPw==,,W0themllbl0KQWguIFB1ZWRlcyBoYWJsYXIgZGVsIHRyYWJham8KY29uIEx5b3ppZW4sIHBlcm8gZGVmaW5pdGl2YW1lbnRlCm5vIGxvIGhhZ2FzIGNvbiBuYWRpZSBtw6FzLiBFbiBmaW4sCmN1YW5kbyB0ZXJtaW5lcyBjb24gbG8gcXVlCnRlIHBpZGEgcXVlIGhhZ2FzLCB2ZW4gYSB2ZXJtZSAKcGFyYSBxdWUgdGUgZMOpIG90cm8gdHJhYmFqbywgwr9kZSBhY3VlcmRvPw==
bcfe,,W0themllbl0KRG9uJ3QgZm9yZ2V0Li4uClRhbGsgdG8gXkZGMDAwMEx5b3ppZW5eMDAwMDAwLCBvdXIKY291cmllciwgb24gdGhlIEFpcnNoaXAKZm9yIHRoZSBpbnRlcm5hdGlvbmFsIGZsaWdodHMu,,,,,W0themllbl0KTsOjbyBzZSBlc3F1ZcOnYS4uLgpGYWxlIGNvbSBeRkYwMDAwTHlvemllbl4wMDAwMDAsIG5vc3NvCm1lbnNhZ2Vpcm8sIG5vIGRpcmlnw612ZWwKZGUgdm9vcyBpbnRlcm5hY2lvbmFpcy4=,,W0themllbl0KTm8gbG8gb2x2aWRlcy4uLgpIYWJsYSBjb24gXkZGMDAwMEx5b3ppZW5eMDAwMDAwLCBudWVzdHJvCm1lbnNhamVybywgZW4gbGEgYWVyb25hdmUKZGUgdnVlbG9zIGludGVybmFjaW9uYWxlcy4=
bsfe,,W0themllbl0KT2gsIGhleSwgaXQncyB5b3UgYWdhaW4uCldhaXQuIE5vLiBZb3Ugb25seSByZW1pbmQKbWUgb2Ygc29tZW9uZSBJJ3ZlIG1ldC4gVW0sCmhhdmUgd2UgbWV0IGJlZm9yZT8gSSBkb24ndApyZW1lbWJlciBhdCBhbGwuIE9vb2gsIEkgaGF0ZQpiZWluZyB0aGlzIGJ1c3ksIEkgY2FuJ3QgZm9jdXMh,,,,,W0themllbl0KQWgsIGVpLCDDqSB2b2PDqiBkZSBub3ZvLgpFc3BlcmEuIE7Do28uIFZvY8OqIHPDsyBtZSBsZW1icmEKZGUgYWxndcOpbSBxdWUgasOhIGNvbmhlY2kuIEh1bSwKasOhIG5vcyB2aW1vcyBhbnRlcz8gRXUgbsOjbyBtZQptZSBsZW1icm8gZGUgbmFkYS4gQWFhaCwgZGV0ZXN0bwplc3RhciB0w6NvIG9jdXBhZG8sIG7Do28gY29uc2lnbyBtZSBjb25jZW50cmFyIQ==,,W0themllbl0KT2gsIGhvbGEsIGVyZXMgdMO6IG90cmEgdmV6LgpFc3BlcmEuIE5vLiBFcyBzb2xvIHF1ZSBtZSByZWN1ZXJkYXMKYSBhbGd1aWVuIHF1ZSBjb25vY8OtLiBNbW0sCsK/bm9zIGhhYsOtYW1vcyB2aXN0byBhbnRlcz8gTm8KdGUgcmVjdWVyZG8gZW4gYWJzb2x1dG8uIEFhYWgsIG9kaW8KZXN0YXIgdGFuIG9jdXBhZG8sIMKhbm8gbWUgcHVlZG8gY29uY2VudHJhciE=
