YK3dCg,652867Kk642U,TGF2ZW5kZXI=,,,,,TGF2YW5kYQ==,,TGF2YW5kYQ==
fK3dCg,W+udvOuypOuNlF0K64KY64+EIOywuC4g65iQIOydtOufsCDsnbTslbzquLDrpbwuLi4=,W0xhdmVuZGVyXSAKTWUgdG9vLiBUaGlzIGtpbmQgb2Ygc3RvcnkgYWdhaW4uLi4=,,,,,W0xhdmFuZGFdCkV1IGdvc3RhcmlhIGRlIHNlciBhdmVudHVyZWlyYSwgbWFzIGFjaG8gbWVsaG9yIGJyaW5jYXIgZGUgRXN0YXJkaXUgVmFsZWku,,W0xhdmFuZGFdIApZbyB0YW1iacOpbi4gT3RyYSB2ZXogZXN0ZSB0aXBvIGRlIGhpc3RvcmlhLi4u
fa3dCg,W+udvOuypOuNlF0K7JW97IaN7ZWcIOyCrOuhgOyeheuLiOuLpC4KPElURU0+W+uLrOy9pO2VnCDrqZzroaAg7KWs7IqkXTxJTkZPPjIzMzIxPC9JTkZPPjwvSVRFTT4gNeqwnOyYiOyalC4=,W0xhdmVuZGVyXSAKSGVyZSdzIHRoZSBwcm9taXNlZCBjYXNlLiAKPElURU0+W1N3ZWV0IE1lbG9uIEp1aWNlXTxJTkZPPjIzMzIxPC9JTkZPPjwvSVRFTT4gNSBwaWVjZXMu,,,,,W0xhdmFuZGFdCkVzdGUgw6kgbyBwcsOqbWlvIHF1ZSBsaGUgcHJvbWV0aS4KNSA8SVRFTT5bUmVmcmlnZXJhbnRlcyBkZSBNZWzDo29dPElORk8+MjMzMjE8L0lORk8+PC9JVEVNPi4=,,W0xhdmFuZGFdIApBcXXDrSBlc3TDoSBlbCBlc3R1Y2hlIHByb21ldGlkby4gCjxJVEVNPltKdWdvIGRlIG1lbMOzbiBkdWxjZV08SU5GTz4yMzMyMTwvSU5GTz48L0lURU0+IDUgcGllemFzLg==
fq3dCg,W+udvOuypOuNlF0K7Ja06528Pwrri6zsvaTtlZwg66mc66GgIOqwgOyguOyYpOyLnOyngCDslYrslZjslrTsmpQ/,W0xhdmVuZGVyXSAKSGV5PyAKWW91IGRpZG4ndCBicmluZyBtZSBhbnkgc3dlZXQgbWVsb25zPw==,,,,,W0xhdmFuZGFdCkjDoz8KVm9jw6ogbsOjbyB0cm91eGUgTWVsw6NvIEFtYXJlbG8/,,W0xhdmFuZGFdIArCv095ZT8gCsK/Tm8gbWUgdHJhamlzdGUgbWVsb25lcyBkdWxjZXM/
f63dCg,W+udvOuypOuNlF0K7J2MLi4uCi4uLuuqqO2XmOqwgOuLmC4K7ZWY64qUIOq5gOyXkCwg7ZWcIOqwgOyngCDrjZQg67aA7YOB7ZWY6rOgIOyLtuydgOuNsOyalC4uLg==,W0xhdmVuZGVyXQogVW0uLi4gCi4uLkFkdmVudHVyZXIuIApXaGlsZSB3ZSdyZSBhdCBpdCwgSSdkIGxpa2UgdG8gYXNrIHlvdSBvbmUgbW9yZSB0aGluZy4uLg==,,,,,W0xhdmFuZGFdCkhtbS4uLgouLi5WaWFqYW50ZS4KRXUgZ29zdGFyaWEgZGUgdW0gbm92byBmYXZvci4uLg==,,W0xhdmFuZGFdIApVbS4uLiAKLi4uQXZlbnR1cmVyby4gCllhIHF1ZSBlc3RhbW9zLCBtZSBndXN0YXLDrWEgcHJlZ3VudGFydGUgdW5hIGNvc2EgbcOhcy4uLg==
gK3dCg,W+udvOuypOuNlF0K7J2Y66Kw7ZWY6rOgIOyLtuydgCDqsowg7IOd6rK87Ja07JqULgrqtIDsi6zsnbQg7J6I7Jy87Iuc66m0IOuLpOyLnCDsoJzqsowg66eQ7J2EIOqxuOyWtCDso7zshLjsmpQu,W0xhdmVuZGVyXSAKSSBoYXZlIGEgcmVxdWVzdC4gCklmIHlvdSdyZSBpbnRlcmVzdGVkLCBwbGVhc2UgY29udGFjdCBtZSBhZ2Fpbi4=,,,,,W0xhdmFuZGFdClRlbmhvIGFsZ28gYSBwZWRpci4KTWUgZGlnYSBzZSB0ZW0gaW50ZXJlc3NlLg==,,W0xhdmFuZGFdIApUZW5nbyB1bmEgcGV0aWNpw7NuLiAKU2kgdGUgaW50ZXJlc2EsIGNvbnTDoWN0YW1lIGRlIG51ZXZvLg==
ga3dCg,W+udvOuypOuNlF0K7JWELCDsmKTshajslrTsmpQ/,W0xhdmVuZGVyXSAKT2gsIHlvdSdyZSBoZXJlPw==,,,,,W0xhdmFuZGFdCkFoLCB2b2PDqiBlc3TDoSBhw60/,,W0xhdmFuZGFdIApPaCwgwr9lc3TDoXMgYXF1w60/
gq3dCg,7J2Y66Kw66W8IOusvOyWtOuzuOuLpA==,QXNrIGZvciBhIHJlcXVlc3Q=,,,,,TyBxdWUgdm9jw6ogdGVtIHByYSBtaW0/,,U29saWNpdGFyIHVuYSBwZXRpY2nDs24=
g63dCg,7KWs7Iqk66W8IOyjvOusuO2VnOuLpA==,T3JkZXIganVpY2U=,,,,,RmF6ZXIgdW0gcGVkaWRv,,UGVkaXIganVnbw==
hK3dCg,6re466eM65GU64uk,U3RvcCBpdA==,,,,,Q2FuY2VsYXI=,,QmFzdGE=
ha3dCg,W+udvOuypOuNlF0K7J6R64WE7JeQ64qUIOyDiCDrqZTribTrpbwg6rCc67Cc7ZW07IScIOyYqOqwgOyhsSDquZzsp50g7YyM7Yuw7JeQIOyEseqzte2WiOyngOunjCwg7Jis7ZW064qUIOyLoO2SiOyihSDrqZzroaAg65WM66y47JeQIOuSt+yImOyKte2VmOuKkOudvCDrsJTruaDshJwg6re465+0IO2LiOydtCDsl4bsl4jslrTsmpQu,W0xhdmVuZGVyXSAKTGFzdCB5ZWFyLCB3ZSBkZXZlbG9wZWQgYSBuZXcgbWVudSBhbmQgc3VjY2Vzc2Z1bGx5IHRocmV3IGEgc3VycHJpc2UgcGFydHkgZm9yIHRoZSB3aG9sZSBmYW1pbHksIGJ1dCB0aGlzIHllYXIsIHdlIHdlcmUgYnVzeSBjbGVhbmluZyB1cCBhZnRlciB0aGUgbmV3IG1lbG9uIHZhcmlldHksIHNvIHdlIGRpZG4ndCBoYXZlIHRpbWUgdG8gZG8gdGhhdC4=,,,,,W0xhdmFuZGFdCkVzdGUgYW5vIGVzdGl2ZSBvY3VwYWRhIGNvbSBhIEZlaXJhIGRvIE1lbMOjbywgZW50w6NvIG7Do28gY29uc2VndWkgZmFsYXIgY29tIG1ldXMgcGFpcy4=,,W0xhdmFuZGFdIApFbCBhw7FvIHBhc2FkbywgZGVzYXJyb2xsYW1vcyB1biBudWV2byBtZW7DuiB5IG9yZ2FuaXphbW9zIGNvbiDDqXhpdG8gdW5hIGZpZXN0YSBzb3JwcmVzYSBwYXJhIHRvZGEgbGEgZmFtaWxpYSwgcGVybyBlc3RlIGHDsW8gZXN0dXZpbW9zIG9jdXBhZG9zIGxpbXBpYW5kbyBsbyBxdWUgZGVqw7MgbGEgbnVldmEgdmFyaWVkYWQgZGUgbWVsw7NuLCBhc8OtIHF1ZSBubyB0dXZpbW9zIHRpZW1wbyBwYXJhIGhhY2VybG8u
hq3dCg,65Sc7Y+s7Ja0IDog7KOE7Iah7ZWp64uI64uk7JWE7JWE7JWELi4u,VmFuaWxsYTogU29ycnkuLi4=,,,,,RMOhbGlhOiBPaC4uLg==,,VHVsaXBhOiBMbyBzaWVudG8uLi4=
h63dCg,W+udvOuypOuNlF0K6re4656Y7IScIOyWuOuLiCwg7Jik67mg65Ok7JeQ6rKMIOusvOyWtOuztOuLiCDsmIjsoITsl5Ag7JWE67KE7KeA6rCAIOuGjeyCrCDsooAg64+E7Jqw65286rOgIOyVleuwle2VoCDqsrgg7ZW07IScIO2MjOultO2OmOulvCDrs7Trgrgg7KCB7J20IOyeiOyXiOuLpOqzoCDtlbTshJwuLi4=,W0xhdmVuZGVyXSAKU28gSSBhc2tlZCBteSBvbGRlciBzaXN0ZXIgYW5kIGJyb3RoZXIsIGFuZCB0aGV5IHNhaWQgdGhhdCBteSBmYXRoZXIgb25jZSBzZW50IG1lIGEgcGFyZmFpdCB0byBwcmVzc3VyZSBtZSB0byBoZWxwIG91dCB3aXRoIHRoZSBmYXJtIHdvcmsuLi4=,,,,,W0xhdmFuZGFdCk1ldXMgcGFpcyBmYXppYW0gdW1hcyBzb2JyZW1lc2FzIGdlbGFkYXMgcGFyYSBtaW0sIHF1YW5kbyBlcmEgcGVxdWVuYSBlIGdvc3RhcmlhIGRlIHJldHJpYnVpciBvIGZhdm9yLi4u,,W0xhdmFuZGFdIApFbnRvbmNlcyBsZSBwcmVndW50w6kgYSBtaSBoZXJtYW5hIHkgYSBtaSBoZXJtYW5vIG1heW9yZXMsIHkgbWUgZGlqZXJvbiBxdWUgbWkgcGFkcmUgdW5hIHZleiBtZSBlbnZpw7MgdW4gcGFyZmFpdCBwYXJhIHByZXNpb25hcm1lIGEgYXl1ZGFyIGNvbiBlbCB0cmFiYWpvIGRlIGxhIGdyYW5qYS4uLg==
iK3dCg,65Sc7Y+s7Ja0IDogLi4u7J207JW86riwIOyhsOq4iCDri6TrpbTsp4Ag7JWK7JWEPw==,VmFuaWxsYTogLi4uSXNuJ3QgdGhhdCBhIGxpdHRsZSBkaWZmZXJlbnQ/,,,,,RMOhbGlhOiAuLi5vbmRlIGVsZXMgZXN0w6NvPw==,,VHVsaXBhOiAuLi7Cv05vIGVzIGVzbyB1biBwb2NvIGRpZmVyZW50ZT8=
ia3dCg,652867Kk642UIDog64KY7ZWc7YWM64qUIOyViCDrs7Trgrgg6rG4IOuztOuptCDsnbztlZjrn6wg7Jik65286rOgIO2VnCDqsbAg66ee7JWELg==,TGF2ZW5kZXI6IFlvdSBtdXN0IGhhdmUgdG9sZCBtZSB0byBjb21lIHRvIHdvcmsgc2luY2UgeW91IGRpZG4ndCBzZW5kIGl0IHRvIG1lLg==,,,,,TGF2YW5kYTogRW0gSHVnZWwu,,TGF2YW5kYTogRGViaXN0ZSBoYWJlcm1lIGRpY2hvIHF1ZSB2aW5pZXJhIGEgdHJhYmFqYXIgeWEgcXVlIG5vIG1lIGxvIGVudmlhc3RlLg==
iq3dCg,W+udvOuypOuNlF0K7KCA7Z2sIOu2gOuqqOuLmOydtCDtnLTslpHsnYQg6rCA7IWo64uk6rOgIO2WiOyeluyVhOyalD8K6rGw6riw66GcIO2MjOultO2OmOulvCDsooAg67O064K86rmMIO2VmOqxsOuToOyalC4=,W0xhdmVuZGVyXSAKSSB0b2xkIHlvdSBteSBwYXJlbnRzIHdlbnQgb24gdmFjYXRpb24uIApJIHdhcyB0aGlua2luZyBvZiBzZW5kaW5nIHRoZW0gc29tZSBwYXJmYWl0cy4=,,,,,W0xhdmFuZGFdCk1ldXMgcGFpcyBlc3TDo28gZGUgZsOpcmlhcyBlbSBIdWdlbC4KR29zdGFyaWEgcXVlIHZvY8OqIGVudHJlZ2Fzc2UgdW1hcyBzb2JyZW1lc2FzIGdlbGFkYXMgcGFyYSBlbGVzIGzDoS4=,,W0xhdmFuZGFdIApUZSBkaWplIHF1ZSBtaXMgcGFkcmVzIHNlIGZ1ZXJvbiBkZSB2YWNhY2lvbmVzLiAKRXN0YWJhIHBlbnNhbmRvIGVuIGVudmlhcmxlcyB1bm9zIHBhcmZhaXRzLg==
i63dCg,W+udvOuypOuNlF0K7Zy07JaR7KeA7J24IO2cmOqylOyXkCDqs4Tsi5zripQg7KCA7Z2sIOu2gOuqqOuLmCDslZ7snLzroZwg7J20IDxJVEVNPlvssKjqsIDsmrQg7IOB7J6QXTxJTkZPPjI1MzE5PC9JTkZPPjwvSVRFTT7rpbwg67Cw64us7ZW0IOyjvOyFqOycvOuptCDtlbTsmpQu,W0xhdmVuZGVyXSAKSSB3b3VsZCBsaWtlIHlvdSB0byBkZWxpdmVyIHRoaXMgPElURU0+W0NvbGQgQm94XTxJTkZPPjI1MzE5PC9JTkZPPjwvSVRFTT4gdG8gbXkgcGFyZW50cyB3aG8gbGl2ZSBpbiB0aGUgcmVzb3J0IG9mIEh1Z2VsLg==,,,,,W0xhdmFuZGFdCkVudHJlZ3VlIGVzc2EgPElURU0+W0NhaXhhIEdlbGFkaW5oYV08SU5GTz4yNTMxOTwvSU5GTz48L0lURU0+IHBhcmEgbWV1cyBwYWlzIGVtIEh1Z2VsLg==,,W0xhdmFuZGFdIApNZSBndXN0YXLDrWEgcXVlIGxlIGVudHJlZ2FyYXMgZXN0YSA8SVRFTT5bQ2FqYSBGcsOtYV08SU5GTz4yNTMxOTwvSU5GTz48L0lURU0+IGEgbWlzIHBhZHJlcyBxdWUgdml2ZW4gZW4gZWwgY29tcGxlam8gdHVyw61zdGljbyBkZSBIdWdlbC4=
jK3dCg,6re4656Y,b2theQ==,,,,,QWNlaXRhcg==,,YnVlbm8=
ja3dCg,7Iur7Ja0,bm8=,,,,,UmVjdXNhcg==,,Tm8=
jq3dCg,W+udvOuypOuNlF0K6rCQ7IKs7ZWp64uI64ukIQrslYTrp4gg67CU64u36rCA66W8IOqxsOuLkOqzoCDqs4Tsi5zsp4Ag7JWK7J2E6rmM7JqULi4uPwrrtoDtg4Hrk5zrprTqsozsmpQu,W0xhdmVuZGVyXSAKVGhhbmsgeW91ISAKUGVyaGFwcyB5b3UgYXJlIHRha2luZyBhIHdhbGsgYWxvbmcgdGhlIGJlYWNoLi4uPyAKUGxlYXNlLg==,,,,,W0xhdmFuZGFdCk9icmlnYWRhIQpUYWx2ZXogZWxlcyBlc3RlamFtIGN1cnRpbmRvIGEgcHJhaWEuLi4/CkVzcGVybyBxdWUgZXN0ZWphbSBiZW0u,,W0xhdmFuZGFdIArCoUdyYWNpYXMhIArCv1F1aXrDoXMgZXN0w6lzIHBhc2VhbmRvIHBvciBsYSBwbGF5YS4uLj8gClBvciBmYXZvci4=
j63dCg,W+udvOuypOuNlF0K7Ja07KmUIOyImCDsl4bso6AuLi4=,W0xhdmVuZGVyXSAKSSBjYW4ndCBoZWxwIGl0Li4u,,,,,W0xhdmFuZGFdClR1ZG8gYmVtLi4u,,W0xhdmFuZGFdIApObyBwdWVkbyBldml0YXJsby4uLg==
kK3dCg,W+udvOuypOuNlF0K662Q6rCAIO2VhOyalO2VmOyEuOyalD8=,W0xhdmVuZGVyXSAKV2hhdCBkbyB5b3UgbmVlZD8=,,,,,W0xhdmFuZGFdCk8gcXVlIHZvY8OqIGRlc2VqYT8=,,W0xhdmFuZGFdIArCv1F1w6kgbmVjZXNpdGFzPw==
ka3dCg,66mc66GgIOylrOyKpA==,TWVsb24ganVpY2U=,,,,,U3VjbyBkZSBNZWzDo28=,,SnVnbyBkZSBtZWzDs24=
kq3dCg,64us7L2k7ZWcIOupnOuhoOylrOyKpA==,U3dlZXQgTWVsb24gSnVpY2U=,,,,,UmVmcmlnZXJhbnRlIGRlIE1lbMOjbw==,,SnVnbyBkZSBtZWzDs24gZHVsY2U=
k63dCg,7Jet7IucIOuLpOydjOyXkCDsmKzqsow=,SSdsbCBjb21lIG5leHQgdGltZQ==,,,,,RGVpeGEgcHJhIHByw7N4aW1h,,VmVuZHLDqSBsYSBwcsOzeGltYSB2ZXo=
lK3dCg,W+udvOuypOuNlF0KPElURU0+W+upnOuhoCDspazsiqRdPElORk8+MjMzMjA8L0lORk8+PC9JVEVNPuuKlCAx6rCc64u5Cl40RDRERkbri6zsvaTtlZwg66mc66GgIDHqsJxeMDAwMDAw7JmACl40RDRERkYxMDAw7KCc64uIXjAwMDAwMOqwgCDtlYTsmpTtlZzrjbAsCuuqhyDqsJzrgpgg66eM65Oc7Iuc6rKg7Ja07JqUPwrtlZwg67KI7JeQIDMw6rCc6rmM7KeAIOqwiOyVhCDrk5zroKTsmpQu,W0xhdmVuZGVyXSAKPElURU0+W01lbG9uIEp1aWNlXTxJTkZPPjIzMzIwPC9JTkZPPjwvSVRFTT4gCnJlcXVpcmVzIF40RDRERkYxIFN3ZWV0IE1lbG9uXjAwMDAwMCBhbmQgCl40RDRERkYxMDAwIFplbnleMDAwMDAwIHBlciB1bml0LgogSG93IG1hbnkgd291bGQgeW91IGxpa2UgdG8gbWFrZT8gCkkgY2FuIGdyaW5kIHVwIHRvIDMwIGF0IGEgdGltZS4=,,,,,W0xhdmFuZGFdClBhcmEgZmF6ZXIgMSA8SVRFTT5bU3VjbyBkZSBNZWzDo29dPElORk8+MjMzMjA8L0lORk8+PC9JVEVNPgp2b2PDqiBwcmVjaXNhIGRlIDEgPElURU0+W01lbMOjbyBBbWFyZWxvXTxJTkZPPjExNjEwPC9JTkZPPjwvSVRFTT4KZSBeNEQ0REZGMS4wMDAgWmVueV4wMDAwMDAgcG9yIHVuaWRhZGUuClPDsyBjb25zaWdvIGZhemVyIDMwIHBvciB2ZXouClRlbSBpbnRlcmVzc2U/,,W0xhdmFuZGFdIAo8SVRFTT5bSnVnbyBkZSBNZWzDs25dPElORk8+MjMzMjA8L0lORk8+PC9JVEVNPiAKcmVxdWllcmUgXjRENERGRjEgTWVsw7NuIER1bGNlXjAwMDAwMCB5IF40RDRERkYxMDAwIFplbnleMDAwMDAwIHBvciB1bmlkYWQuIArCv0N1w6FudG9zIHRlIGd1c3RhcsOtYSBwcmVwYXJhcj8gClB1ZWRvIG1vbGVyIGhhc3RhIDMwIGEgbGEgdmV6Lg==
la3dCg,W+udvOuypOuNlF0K64uk7J2M7JeQIOyYpOyEuOyalH4=,W0xhdmVuZGVyXSAKQ29tZSBuZXh0IHRpbWV+,,,,,W0xhdmFuZGFdClR1ZG8gYmVtfg==,,W0xhdmFuZGFdIApWZW4gbGEgcHLDs3hpbWEgdmV6fg==
lq3dCg,W+udvOuypOuNlF0K6re466eM7YG87J2AIOyigCDtnpjrk6Qg6rKDIOqwmeyVhOyalC4K64uk7IucIOyDneqwge2VtCDso7zshLjsmpQu,W0xhdmVuZGVyXSAKSSB0aGluayB0aGF0IG1pZ2h0IGJlIGEgYml0IGRpZmZpY3VsdC4gClBsZWFzZSByZWNvbnNpZGVyLg==,,,,,W0xhdmFuZGFdCkFjaG8gcXVlIMOpIG11aXRvIGNvbXBsaWNhZG8uClBvciBmYXZvciwgcmVjb25zaWRlcmUu,,W0xhdmFuZGFdIApDcmVvIHF1ZSBlc28gcG9kcsOtYSBzZXIgdW4gcG9jbyBkaWbDrWNpbC4gUG9yIGZhdm9yLCByZWNvbnNpZGVyZS4=
l63dCg,W+udvOuypOuNlF0K64us7L2k7ZWcIOupnOuhoOydtCB7fSDqsJzrp4ztgbwK7JeG64qUIOuqqOyWkeyduOuNsOyalD8K7J6s66OM6rCAIOyeiOuKlOyngCDri6Tsi5wg7ZWcIOuyiCDtmZXsnbjtlbQg7KO87IS47JqULg==,W0xhdmVuZGVyXSAKSXQgbG9va3MgbGlrZSB5b3UgZG9uJ3QgaGF2ZSBlbm91Z2gge30gc3dlZXQgbWVsb25zLiAKUGxlYXNlIGRvdWJsZSBjaGVjayAKaWYgeW91IGhhdmUgdGhlIGluZ3JlZGllbnRzLg==,,,,,W0xhdmFuZGFdClZvY8OqIHByZWNpc2EgZGUge314IE1lbMOjbyBBbWFyZWxvCnBhcmEgcXVlIGV1IHBvc3NhIGZhemVyIHNldSBwZWRpZG8uClBvciBmYXZvciwgdmVyaWZpcXVlIG5vdmFtZW50ZS4=,,W0xhdmFuZGFdIApQYXJlY2UgcXVlIG5vIHRpZW5lcyBzdWZpY2llbnRlcyB7fSBtZWxvbmVzIGR1bGNlcy4gClBvciBmYXZvciwgCnJldmlzYSBzaSB0aWVuZXMgbG9zIGluZ3JlZGllbnRlcy4=
mK3dCg,W+udvOuypOuNlF0K7J2065+wLiDrj4jsnbQg66qo7J6Q65287Iuc64Sk7JqULgrsp4DqsJEg7Ja065SU64ukIOuRkOqzoCDsmKTsi6Ag6rGwIOyVhOuLiOyXkOyalD8=,W0xhdmVuZGVyXSAKT2gsIHlvdSdyZSBzaG9ydCBvbiBtb25leS4gCkRpZCB5b3UgbGVhdmUgeW91ciB3YWxsZXQgc29tZXdoZXJlPw==,,,,,W0xhdmFuZGFdCsOUIG1ldSBhbmpvLCB2b2PDqiBuw6NvIHRlbSBkaW5oZWlybyBzdWZpY2llbnRlLgpUw6EgcHJlY2lzYW5kbyBkZSB1bWEgYWp1ZGEgZmluYW5jZWlyYT8=,,W0xhdmFuZGFdIApBaCwgYW5kYXMgY29ydG8gZGUgZGluZXJvLiAKwr9UZSBkZWphc3RlIGxhIGNhcnRlcmEgZW4gYWxnw7puIHNpdGlvPw==
ma3dCg,W+udvOuypOuNlF0K67mE67KVIOqwgOujqOulvCDrhKPqs6Ag65Oc66W165Oc66W1IOqwiOuptH4K7J6Q7JWELCDquLDri6Trpqzsi6AgPElURU0+W+upnOuhoCDspazsiqRdPElORk8+MjMzMjA8L0lORk8+PC9JVEVNPuyeheuLiOuLpC4K6rOE7KCI7J20IOuBneuCmOq4sCDsoITsl5Ag64ukIOuTnOyFlCDso7zshLjsmpQu,W0xhdmVuZGVyXQogQWRkIHRoZSBzZWNyZXQgcG93ZGVyIGFuZCBncmluZCBpdH4gCkhlcmUsIGhlcmUgaXMgdGhlIDxJVEVNPltNZWxvbiBKdWljZV08SU5GTz4yMzMyMDwvSU5GTz48L0lURU0+IHlvdSd2ZSBiZWVuIHdhaXRpbmcgZm9yLiAKUGxlYXNlIGRyaW5rIGl0IGFsbCBiZWZvcmUgdGhlIHNlYXNvbiBlbmRzLg==,,,,,W0xhdmFuZGFdCkViYSEKQXF1aSBlc3TDoSBvIHNldSA8SVRFTT5bU3VjbyBkZSBNZWzDo29dPElORk8+MjMzMjA8L0lORk8+PC9JVEVNPiEKRGVsaWNpb3NvIG7Do28gw6k/IEJlYmEgbyBxdWFudG8gcHVkZXIgcGFyYSBlbGUgbsOjbyBmaWNhciBhemVkby4=,,W0xhdmFuZGFdIApBZ3JlZ2EgZWwgcG9sdm8gc2VjcmV0byB5IG11w6lsZWxvLiAKQXF1w60gdGllbmVzIGVsIDxJVEVNPltKdWdvIGRlIE1lbMOzbl08SU5GTz4yMzMyMDwvSU5GTz48L0lURU0+IHF1ZSB0YW50byBlc3BlcmFiYXMuIApQb3IgZmF2b3IsIGLDqWJlbG8gdG9kbyBhbnRlcyBkZSBxdWUgdGVybWluZSBsYSB0ZW1wb3JhZGEu
mq3dCg,W+udvOuypOuNlF0K64us7L2k7ZWcIOupnOuhoCDspazsiqTripQgMeqwnOuLuQo8SVRFTT5b64us7L2k7ZWcIOupnOuhoF08SU5GTz4xMTYxMDwvSU5GTz48L0lURU0+IDXqsJzsmYAgXjRENERGRjI1MDDsoJzri4heMDAwMDAw7JiI7JqULgrtlZwg67KI7JeQIDMw6rCc6rmM7KeAIOunjOuTpOyWtCDrk5zrpqzqs6DsmpQsIDEw6rCcIOydtOyDgeydhCDtlZwg67KI7JeQIOunjOuTnOyLnOuptCAxMOqwnOuniOuLpCDshJzruYTsiqTroZwgPElURU0+W+uLrOy9pOydtCDsvZTsnbhdPElORk8+MjU2NTU8L0lORk8+PC9JVEVNPuydhCDrk5zrpr3ri4jri6QuCuuqhyDqsJwg7ZWE7JqU7ZWY7IS47JqUPw==,W0xhdmVuZGVyXSAKPElURU0+W1N3ZWV0IExlbW9uIEp1aWNdPElORk8+MjMzMjE8L0lORk8+PC9JVEVNPiBjb3N0cyAKNSA8SVRFTT5bU3dlZXQgTWVsb25dPElORk8+MTE2MTA8L0lORk8+PC9JVEVNPiBhbmQgXjRENERGRjI1MDAgWmVueV4wMDAwMDAgcGVyIHVuaXQuIApJIGNhbiBtYWtlIHVwIHRvIDMwIGF0IGEgdGltZSwgYW5kIGlmIHlvdSBtYWtlIDEwIG9yIG1vcmUgYXQgYSB0aW1lLCBJJ2xsIGdpdmUgeW91IDxJVEVNPltTd2VldCBDb2luc108SU5GTz4yNTY1NTwvSU5GTz48L0lURU0+IGFzIGEgc2VydmljZSBmb3IgZXZlcnkgMTAuIApIb3cgbWFueSBkbyB5b3UgbmVlZD8=,,,,,W0xhdmFuZGFdClBhcmEgZmF6ZXIgMSA8SVRFTT5bUmVmcmlnZXJhbnRlIGRlIE1lbMOjb108SU5GTz4yMzMyMTwvSU5GTz48L0lURU0+CnZvY8OqIHByZWNpc2EgZGUgXjRENERGRjIuNTAwIFplbnleMDAwMDAwIGUgNSA8SVRFTT5bTWVsw6NvIEFtYXJlbG9dPElORk8+MTE2MTA8L0lORk8+PC9JVEVNPgpTw7MgY29uc2lnbyBmYXplciAzMCBwb3IgdmV6LCBtYXMgYSBjYWRhIDEwIHVuaWRhZGVzLCBldSBsaGUgZGFyZWkgMSA8SVRFTT5bTWVsb2VkYV08SU5GTz4yNTY1NTwvSU5GTz48L0lURU0+IApUZW0gaW50ZXJlc3NlPw==,,W0xhdmFuZGFdIApFbCA8SVRFTT5bSnVsZ28gZGUgTWVsw7NuIER1bGNlXTxJTkZPPjIzMzIxPC9JTkZPPjwvSVRFTT4gY3Vlc3RhIAo1IDxJVEVNPltNZWzDs24gZHVsY2VdPElORk8+MTE2MTA8L0lORk8+PC9JVEVNPiB5IF40RDRERkYyNTAwIFplbnleMDAwMDAwIHBvciB1bmlkYWQuIApQdWVkbyBwcmVwYXJhciBoYXN0YSAzMCBhIGxhIHZleiwgeSBzaSBwcmVwYXJhcyAxMCBvIG3DoXMgYSBsYSB2ZXosIHRlIGRhcsOpIDxJVEVNPltNb25lZGFzIGR1bGNlc108SU5GTz4yNTY1NTwvSU5GTz48L0lURU0+IGNvbW8gc2VydmljaW8gcG9yIGNhZGEgMTAuIArCv0N1w6FudG9zIG5lY2VzaXRhcz8=
m63dCg,W+udvOuypOuNlF0K64uk7J2M7JeQIOuYkCDsmKTshLjsmpQu,W0xhdmVuZGVyXSAKQ29tZSBhZ2FpbiBuZXh0IHRpbWUu,,,,,W0xhdmFuZGFdClR1ZG8gYmVtLi4u,,W0xhdmFuZGFdIApWdWVsdmUgbGEgcHLDs3hpbWEgdmV6Lg==
nK3dCg,W+udvOuypOuNlF0K67mE67KVIOqwgOujqOulvCDrhKPqs6Ag65Oc66W165Oc66W1IOqwiOuptH4K7J6Q7JWELCDquLDri6Trpqzsi6AgPElURU0+W+uLrOy9pO2VnCDrqZzroaAg7KWs7IqkXTxJTkZPPjIzMzIxPC9JTkZPPjwvSVRFTT7snoXri4jri6QuCuqzhOygiOydtCDrgZ3rgpjquLAg7KCE7JeQIOuLpCDrk5zshZQg7KO87IS47JqULg==,W0xhdmVuZGVyXSAKQWRkIHRoZSBzZWNyZXQgcG93ZGVyIGFuZCBncmluZCBpdH4gCkhlcmUsIGhlcmUgaXMgdGhlIDxJVEVNPltTd2VldCBNZWxvbiBKdWljZV08SU5GTz4yMzMyMTwvSU5GTz48L0lURU0+IHlvdSd2ZSBiZWVuIHdhaXRpbmcgZm9yLiAKUGxlYXNlIGRyaW5rIGl0IGFsbCBiZWZvcmUgdGhlIHNlYXNvbiBlbmRzLg==,,,,,W0xhdmFuZGFdCkViYSEKQXF1aSBlc3TDoSBvIHNldSA8SVRFTT5bUmVmcmlnZXJhbnRlIGRlIE1lbMOjb108SU5GTz4yMzMyMTwvSU5GTz48L0lURU0+IQpEZWxpY2lvc28gbsOjbyDDqT8gQmViYSBvIHF1YW50byBwdWRlciBwYXJhIGVsZSBuw6NvIGZpY2FyIGF6ZWRvLg==,,W0xhdmFuZGFdIApBZ3JlZ2EgZWwgcG9sdm8gc2VjcmV0byB5IG11w6lsZWxvLiAKQXF1w60gdGllbmVzIGVsIDxJVEVNPltKdWdvIGRlIE1lbMOzbiBEdWxjZV08SU5GTz4yMzMyMTwvSU5GTz48L0lURU0+IHF1ZSBlc3RhYmFzIGVzcGVyYW5kby4gClBvciBmYXZvciwgYsOpYmVsbyB0b2RvIGFudGVzIGRlIHF1ZSB0ZXJtaW5lIGxhIHRlbXBvcmFkYS4=
