IGwwDA,,Q2FjdGVyb24=,,,,,S2FjdGVyb24=,,Q2FjdGVyb24=
QWwwDA,,W3swfV0KKExldCdzIG5vdCBib3RoZXIsIGl0J3Mgbm90IG15IGJ1c2luZXNzLiBEbyBJIGhhdmUgdG8gY2xlYW4gdXAgYWZ0ZXIgc3RyYW5nZXJzIGZvcmV2ZXI/KQ==,,,,,W3swfV0KKE1lbGhvciBuw6NvIG1lIGludHJvbWV0ZXIsIG7Do28gw6kgZGEgbWluaGEgY29udGEuIFRlbmhvIHF1ZSByZXNvbHZlciBvcyBwcm9ibGVtYXMgZG9zIG91dHJvcyBwYXJhIHNlbXByZT8p,,W3swfV0KKE1lam9yIG5vIG1vbGVzdGFyLCBubyBlcyBhc3VudG8gbcOtby4gwr9UZW5nbyBxdWUgZXN0YXIgc29sdWNpb25hbmRvIGxvcyBwcm9ibGVtYXMgZGUgZXh0cmHDsW9zIHBhcmEgc2llbXByZT8p
QmwwDA,,W0NhY3Rlcm9uXQpBIHN0cmFuZ2VyIHRyYXZlbGVyLCBJIHNlZS4gSSBhc2tlZCB5b3UgdG8gaHVudCBeMDAwMENEMzAgY295b3Rlc14wMDAwMDAsIGhvdyBpcyBpdCBnb2luZz8KSXQncyBlbWJhcnJhc3NpbmcsIGJ1dCBJJ20gY291bnRpbmcgb24geW91LiBUaGUgXjAwMDBDRDUganVpY2UgbWl4IHBhY2thZ2VzXjAwMDAwMCB0b28uLi4gSXQncyBzb21ldGhpbmcgSSBzaG91bGQgaGF2ZSBkb25lIG15c2VsZi4gSXQncyBzaGFtZWZ1bCwgYnV0IHRoYW5rIHlvdS4=,,,,,W0thY3Rlcm9uXQpWaWFqYW50ZSBlc3RyYW5obywgdmVqby4gUGVkaSBwYXJhIHZvY8OqIGNhw6dhciBeMDAwMENEMzAgY29pb3Rlc14wMDAwMDAsIGNvbW8gZXN0w6EgaW5kbz8Kw4kgZW1iYXJhw6dvc28sIG1hcyBlc3RvdSBjb250YW5kbyBjb20gdm9jw6ouIE9zIF4wMDAwQ0Q1IHBhY290ZXMgZGUgbWlzdHVyYSBkZSBzdWNvXjAwMDAwMCB0YW1iw6ltLi4uIMOJIGFsZ28gcXVlIGV1IGRldmVyaWEgdGVyIGZlaXRvIHNvemluaGEuIMOJIHZlcmdvbmhvc28sIG1hcyBvYnJpZ2FkYS4=,,W0NhY3Rlcm9uXQpVbiB2aWFqZXJvIGV4dHJhw7FvLCB5YSB2ZW8uIFRlIHBlZMOtIHF1ZSBjYXphcmFzIF4wMDAwQ0QzMCBjb3lvdGVzXjAwMDAwMCwgwr9jw7NtbyB2YT8KRXMgdmVyZ29uem9zbywgcGVybyBjdWVudG8gY29udGlnby4gTG9zIF4wMDAwQ0Q1IHBhcXVldGVzIGRlIHByZXBhcmFkb14wMDAwMDAgdGFtYmnDqW4uLi4gRXMgYWxnbyBxdWUgZGViZXLDrWEgaGFiZXIgaGVjaG8geW8gbWlzbW8uIEVzIHZlcmdvbnpvc28sIHBlcm8gZ3JhY2lhcy4=
Q2wwDA,,W0NhY3Rlcm9uXQpZb3UgZm91bmQgcXVpdGUgYSBsb3Qgb2YgdGhlIGFnYXZlIGZsYXZvciBqdWljZSBtaXggcGFja2FnZXMsIHRoYW5rIHlvdSwga2luZCBzdHJhbmdlciB0cmF2ZWxlci4KSXQncyBhIHNoYW1lbGVzcyByZXF1ZXN0LCBidXQgY291bGQgeW91IGFsc28gaHVudCBeMDAwMENEMzAgY295b3Rlc14wMDAwMDA/,,,,,W0thY3Rlcm9uXQpWb2PDqiBlbmNvbnRyb3UgYmFzdGFudGUgZG9zIHBhY290ZXMgZGUgbWlzdHVyYSBkZSBzdWNvIHNhYm9yIGFnYXZlLCBvYnJpZ2FkYSwgYm9uZG9zbyB2aWFqYW50ZSBlc3RyYW5oby4Kw4kgdW0gcGVkaWRvIHNlbSB2ZXJnb25oYSwgbWFzIHZvY8OqIHRhbWLDqW0gcG9kZXJpYSBjYcOnYXIgXjAwMDBDRDMwIGNvaW90ZXNeMDAwMDAwPw==,,W0NhY3Rlcm9uXQpFbmNvbnRyYXN0ZSBiYXN0YW50ZXMgcGFxdWV0ZXMgZGVsIHByZXBhcmFkbyBwYXJhIGp1Z28gc2Fib3IgYWdhdmUsIGdyYWNpYXMsIGFtYWJsZSB2aWFqZXJvIGV4dHJhw7FvLgpFcyB1bmEgcGV0aWNpw7NuIGRlc3ZlcmdvbnphZGEsIHBlcm8gwr9wb2Ryw61hcyB0YW1iacOpbiBjYXphciBeMDAwMENEMzAgY295b3Rlc14wMDAwMDA/
RGwwDA,,W0NhY3Rlcm9uXQpUaGFuayB5b3UgZm9yIGh1bnRpbmcgdGhlIGNveW90ZXMuIEJ5IGFueSBjaGFuY2UsIGRpZG4ndCB5b3Ugc2VlIGFueSBeMDAwMENEanVpY2UgbWl4IHBhY2thZ2VzXjAwMDAwMCBhcm91bmQgdGhlcmU/ClRoZXJlIG11c3QgYmUgc29tZSBsZWZ0Li4uIFBsZWFzZSBmaW5kIGp1c3QgNSBmb3IgbWUu,,,,,W0thY3Rlcm9uXQpPYnJpZ2FkYSBwb3IgY2HDp2FyIG9zIGNvaW90ZXMuIFBvciBhY2Fzbywgdm9jw6ogbsOjbyB2aXUgbmVuaHVtIF4wMDAwQ0RwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvXjAwMDAwMCBwb3IgYWxpPwpEZXZlIHRlciBzb2JyYWRvIGFsZ3VtLi4uIFBvciBmYXZvciwgZW5jb250cmUgYXBlbmFzIDUgcGFyYSBtaW0u,,W0NhY3Rlcm9uXQpHcmFjaWFzIHBvciBjYXphciBhIGxvcyBjb3lvdGVzLiBQb3IgY2FzdWFsaWRhZCwgwr9ubyB2aXN0ZSBuaW5nw7puIF4wMDAwQ0RwYXF1ZXRlIGRlIHByZXBhcmFkb14wMDAwMDAgcG9yIGFow60/CkRlYmUgcXVlZGFyIGFsZ3Vuby4uLiBQb3IgZmF2b3IsIGVuY3VlbnRyYSBzb2xvIDUgcGFyYSBtw60u
RWwwDA,,W0xpdHRsZSBSYWN0ZXJdCkFnYXZlIGZsYXZvciBqdWljZT8gWW91IGZvdW5kIGFnYXZlIGZsYXZvciBqdWljZSBmb3IgbWU/IEkgd2FubmEgZHJpbmsgaXQhIExpdHRsZSBSYWN0ZXIgd2FudHMgdG8gZHJpbmsgaXQgbm93IQ==,,,,,W1BlcXVlbm8gUmFjdGVyXQpTdWNvIHNhYm9yIGFnYXZlPyBWb2PDqiBlbmNvbnRyb3Ugc3VjbyBzYWJvciBhZ2F2ZSBwYXJhIG1pbT8gRXUgcXVlcm8gYmViZXIhIE8gUGVxdWVubyBSYWN0ZXIgcXVlciBiZWJlciBhZ29yYSE=,,W1BlcXVlw7FvIFJhY3Rlcl0Kwr9KdWdvIHNhYm9yIGFnYXZlPyDCv0VuY29udHJhc3RlIGp1Z28gc2Fib3IgYWdhdmUgcGFyYSBtw60/IMKhUXVpZXJvIGJlYmVybG8hIMKhRWwgcGVxdWXDsW8gUmFjdGVyIHF1aWVyZSBiZWJlcmxvIGFob3JhIQ==
RmwwDA,,W0NhY3Rlcm9uXQpSYWN0ZXIsIHlvdSBzaG91bGQgc2F5IHRoYW5rIHlvdSB0byB0aGUgdHJhdmVsZXIu,,,,,W0thY3Rlcm9uXQpSYWN0ZXIsIHZvY8OqIGRldmUgYWdyYWRlY2VyIGFvIHZpYWphbnRlLg==,,W0NhY3Rlcm9uXQpSYWN0ZXIsIGRlYmVzIGRhcmxlIGxhcyBncmFjaWFzIGFsIHZpYWplcm8u
R2wwDA,,W3swfV0KVGhleSdyZSBhbHJlYWR5IGJ1c3kgc3RpcnJpbmcgdGhlIGp1aWNlIGFuZCBjYW4ndCBoZWFyLi4uIFdlbGwsIG5ldmVyIG1pbmQuIEkgZGlkbid0IGRvIGl0IGZvciB0aGUgdGhhbmtzLiBJdCBtdXN0IGJlIHJlYWxseSBkZWxpY2lvdXMu,,,,,W3swfV0KSsOhIGVzdMOhIG9jdXBhZG8gbWV4ZW5kbyBvIHN1Y28gZSBuw6NvIGNvbnNlZ3VlIG91dmlyLi4uIEJlbSwgZGVpeGEgcHJhIGzDoS4gTsOjbyBmaXogaXNzbyBwZWxvcyBhZ3JhZGVjaW1lbnRvcy4gRGV2ZSBzZXIgcmVhbG1lbnRlIGRlbGljaW9zby4=,,W3swfV0KWWEgZXN0w6EgdGFuIG9jdXBhZG8gbWV6Y2xhbmRvIGVsIGp1Z28gcXVlIG5vIHB1ZWRlIG/DrXIuLi4gQnVlbm8sIG5vIGltcG9ydGEuIE5vIGxvIGhpY2UgcG9yIGxhcyBncmFjaWFzLiBEZWJlIHNlciByZWFsbWVudGUgZGVsaWNpb3NvLg==
SGwwDA,,W0xpdHRsZSBSYWN0ZXJdClllYWghIEl0J3MgcmVhbGx5IHl1bW15ISBIZWhlLCB0aGFua34geW91fiE=,,,,,W1BlcXVlbm8gUmFjdGVyXQpTaW0hIMOJIG11aXRvIGdvc3Rvc28hIEhlaGUsIG9icml+Z2Fkb34h,,W1BlcXVlw7FvIFJhY3Rlcl0KwqFTw60hIMKhRXMgcmVhbG1lbnRlIHNhYnJvc28hIEplamUsIMKhZ3JhfmNpYX5zIQ==
SWwwDA,,W0NhY3Rlcm9uXQpQaGV3Li4u,,,,,W0thY3Rlcm9uXQpVZmEuLi4=,,W0NhY3Rlcm9uXQpVZmYuLi4=
SmwwDA,,W3swfV0KVGhlIGNoaWxkIGlzIGhhcHB5LCB3aHkgYXJlIHlvdSBzaWdoaW5nPw==,,,,,W3swfV0KQSBjcmlhbsOnYSBlc3TDoSBmZWxpeiwgcG9yIHF1ZSB2b2PDqiBlc3TDoSBzdXNwaXJhbmRvPw==,,W3swfV0KRWwgbmnDsW8gZXN0w6EgZmVsaXosIMK/cG9yIHF1w6kgc3VzcGlyYXM/
S2wwDA,,W0NhY3Rlcm9uXQpTZWVpbmcgaG93IGhhcHB5IHRoZXkgYXJlIHdpdGgganVzdCBvbmUgY3VwIG9mIGFnYXZlIGZsYXZvciBqdWljZSByZW1pbmRzIG1lIG9mIHRoZSByZWFsIGFnYXZlIGp1aWNlIEkgZHJhbmsgd2hlbiBJIHdhcyB5b3VuZy4=,,,,,W0thY3Rlcm9uXQpWZXIgY29tbyBlbGVzIGVzdMOjbyBmZWxpemVzIGNvbSBhcGVuYXMgdW0gY29wbyBkZSBzdWNvIHNhYm9yIGFnYXZlIG1lIGxlbWJyYSBkbyB2ZXJkYWRlaXJvIHN1Y28gZGUgYWdhdmUgcXVlIGV1IGJlYmlhIHF1YW5kbyBlcmEgam92ZW0u,,W0NhY3Rlcm9uXQpWZXIgbG8gZmVsaXogcXVlIHNlIHBvbmUgY29uIHNvbG8gdW5hIHRhemEgZGUganVnbyBzYWJvciBhZ2F2ZSBtZSByZWN1ZXJkYSBhbCB2ZXJkYWRlcm8ganVnbyBkZSBhZ2F2ZSBxdWUgYmViw61hIGN1YW5kbyBlcmEgam92ZW4u
TGwwDA,,W0NhY3Rlcm9uXQpJdCB3YXNuJ3QganVzdCBwb3dkZXIgZnJvbSBhIGZhY3RvcnkgbWl4ZWQgd2l0aCB3YXRlci4gSXQgdG9vayBhIGxvdCBvZiBlZmZvcnQgdG8gbWFrZSwgc28gaXQgd2FzIGEgdHJhZGl0aW9uYWwgZHJpbmsgSSBjb3VsZCBvbmx5IHRhc3RlIG9uIGltcG9ydGFudCBkYXlzLg==,,,,,W0thY3Rlcm9uXQpOw6NvIGVyYSBhcGVuYXMgcMOzIGRlIGbDoWJyaWNhIG1pc3R1cmFkbyBjb20gw6FndWEuIERhdmEgbXVpdG8gdHJhYmFsaG8gcGFyYSBmYXplciwgZW50w6NvIGVyYSB1bWEgYmViaWRhIHRyYWRpY2lvbmFsIHF1ZSBldSBzw7MgcG9kaWEgcHJvdmFyIGVtIGRpYXMgaW1wb3J0YW50ZXMu,,W0NhY3Rlcm9uXQpObyBlcmEgc29sbyBwb2x2byBkZSB1bmEgZsOhYnJpY2EgbWV6Y2xhZG8gY29uIGFndWEuIFJlcXVlcsOtYSBtdWNobyBlc2Z1ZXJ6byBoYWNlcmxvLCBhc8OtIHF1ZSBlcmEgdW5hIGJlYmlkYSB0cmFkaWNpb25hbCBxdWUgc29sbyBwb2TDrWEgcHJvYmFyIGVuIGTDrWFzIGltcG9ydGFudGVzLg==
TWwwDA,,W0NhY3Rlcm9uXQpPbiB0aG9zZSBkYXlzLCB0aGUgd2hvbGUgZmFtaWx5IHdvdWxkIGdhdGhlciB0byBtYWtlIGFnYXZlIGp1aWNlIHRvZ2V0aGVyLiBXZSBtYWRlIHN0ZWFrIGZyb20gdGVuZGVyIGFnYXZlIGxlYXZlcywgYW5kIHJlbGF0aXZlcyBjYW1lIGZyb20gZmFyIGF3YXkuIFdlIGRhbmNlZCB0cmFkaXRpb25hbCBkYW5jZXMgYWxsIG5pZ2h0LCBwbGF5ZWQgaW5zdHJ1bWVudHMuLi4=,,,,,W0thY3Rlcm9uXQpOYXF1ZWxlcyBkaWFzLCB0b2RhIGEgZmFtw61saWEgc2UgcmV1bmlhIHBhcmEgZmF6ZXIgbyBzdWNvIGRlIGFnYXZlIGp1bnRvcy4gRml6ZW1vcyBiaWZlIGRhcyBmb2xoYXMgdGVucmFzIGRlIGFnYXZlLCBlIHBhcmVudGVzIHZpbmhhbSBkZSBsb25nZS4gRGFuw6fDoXZhbW9zIGRhbsOnYXMgdHJhZGljaW9uYWlzIGEgbm9pdGUgdG9kYSwgdG9jw6F2YW1vcyBpbnN0cnVtZW50b3MuLi4=,,W0NhY3Rlcm9uXQpFbiBlc29zIGTDrWFzLCB0b2RhIGxhIGZhbWlsaWEgc2UgcmV1bsOtYSBwYXJhIGhhY2VyIGp1Z28gZGUgYWdhdmUganVudG9zLiBIYWPDrWFtb3MgZmlsZXRlcyBkZSBsYXMgdGllcm5hcyBob2phcyBkZSBhZ2F2ZSwgeSBsb3MgZmFtaWxpYXJlcyB2ZW7DrWFuIGRlIGxlam9zLiBCYWlsw6FiYW1vcyBkYW56YXMgdHJhZGljaW9uYWxlcyB0b2RhIGxhIG5vY2hlLCB0b2PDoWJhbW9zIGluc3RydW1lbnRvcy4uLg==
TmwwDA,,W0NhY3Rlcm9uXQpJdCB3YXMgdHJ1bHkgam95ZnVsLiBCdXQgbXkgY2hpbGQgaGFzIG5ldmVyIGV4cGVyaWVuY2VkIHRoYXQuIE5vd2FkYXlzLCBldmVyeW9uZSBpcyBidXN5LCBzbyBpdCdzIG5vdCBlYXN5IHRvIGdhdGhlci4gSXQncyBiZWVuIGEgbG9uZyB0aW1lIHNpbmNlIHdlIHN0YXllZCB1cCBhbGwgbmlnaHQgd2l0aCBkYW5jZSBhbmQgc29uZy4=,,,,,W0thY3Rlcm9uXQpFcmEgdmVyZGFkZWlyYW1lbnRlIGFsZWdyZS4gTWFzIG1ldSBmaWxobyBudW5jYSBleHBlcmltZW50b3UgaXNzby4gSG9qZSBlbSBkaWEsIHRvZG9zIGVzdMOjbyBvY3VwYWRvcywgZW50w6NvIG7Do28gw6kgZsOhY2lsIHNlIHJldW5pci4gRmF6IG11aXRvIHRlbXBvIHF1ZSBuw6NvIHBhc3NhbW9zIGEgbm9pdGUgdG9kYSBjb20gZGFuw6dhIGUgbcO6c2ljYS4=,,W0NhY3Rlcm9uXQpFcmEgcmVhbG1lbnRlIGFsZWdyZS4gUGVybyBtaSBoaWpvIG51bmNhIGhhIGV4cGVyaW1lbnRhZG8gZXNvLiBIb3kgZW4gZMOtYSwgdG9kb3MgZXN0w6FuIG9jdXBhZG9zLCBhc8OtIHF1ZSBubyBlcyBmw6FjaWwgcmV1bmlyc2UuIEhhY2UgbXVjaG8gdGllbXBvIHF1ZSBubyBwYXNhbW9zIGxhIG5vY2hlIGVuIHZlbGEgY29uIGJhaWxlIHkgY2FudG8u
T2wwDA,,W0NhY3Rlcm9uXQpCdXQgd2UgYWx3YXlzIHRyeSBoYXJkIHRvIHByZXNlcnZlIG91ciBwcmVjaW91cyB0cmFkaXRpb25zLiBJIHdhbnQgdG8gdHJ5IGhhcmRlciwgc28gdGhhdCB0aGUgQ2FjdGVyIGNoaWxkcmVuIGNhbiBmZWVsIHRoYXQgam95IGluIHRoZSBmdXR1cmUuLi4=,,,,,W0thY3Rlcm9uXQpNYXMgbsOzcyBzZW1wcmUgbm9zIGVzZm9yw6dhbW9zIHBhcmEgcHJlc2VydmFyIG5vc3NhcyB0cmFkacOnw7VlcyBwcmVjaW9zYXMuIFF1ZXJvIG1lIGVzZm9yw6dhciBtYWlzLCBwYXJhIHF1ZSBhcyBjcmlhbsOnYXMgS2FjdGVyIHBvc3NhbSBzZW50aXIgZXNzYSBhbGVncmlhIG5vIGZ1dHVyby4uLg==,,W0NhY3Rlcm9uXQpQZXJvIHNpZW1wcmUgbm9zIGVzZm9yemFtb3MgcG9yIHByZXNlcnZhciBudWVzdHJhcyBwcmVjaWFkYXMgdHJhZGljaW9uZXMuIFF1aWVybyBlc2Zvcnphcm1lIG3DoXMsIHBhcmEgcXVlIGxvcyBuacOxb3MgQ2FjdGVyIHB1ZWRhbiBzZW50aXIgZXNhIGFsZWdyw61hIGVuIGVsIGZ1dHVyby4uLg==
UGwwDA,,W0NhY3Rlcm9uXQpBaCwgbXkuIEkndmUgdGFsa2VkIHRvbyBtdWNoIGFib3V0IHBvaW50bGVzcyB0aGluZ3MgdG8gYSBidXN5IHN0cmFuZ2VyIHRyYXZlbGVyLgpUaGFuayB5b3Ugc28gbXVjaC4gSXQncyBub3QgbXVjaCwgYnV0IEkndmUgcHJlcGFyZWQgc29tZSBjb21wZW5zYXRpb24sIHdpbGwgeW91IGFjY2VwdCBpdD8=,,,,,W0thY3Rlcm9uXQpBaCwgbm9zc2EuIEZhbGVpIGRlbWFpcyBzb2JyZSBjb2lzYXMgc2VtIHNlbnRpZG8gcGFyYSB1bSB2aWFqYW50ZSBlc3RyYW5obyBvY3VwYWRvLgpNdWl0byBvYnJpZ2FkYS4gTsOjbyDDqSBtdWl0bywgbWFzIHByZXBhcmVpIHVtYSBjb21wZW5zYcOnw6NvLCB2b2PDqiBhY2VpdGFyw6E/,,W0NhY3Rlcm9uXQpBaCwgRGlvcyBtw61vLiBIZSBoYWJsYWRvIGRlbWFzaWFkbyBzb2JyZSBjb3NhcyBzaW4gc2VudGlkbyBjb24gdW4gdmlhamVybyBleHRyYcOxbyBvY3VwYWRvLgpNdWNoYXMgZ3JhY2lhcy4gTm8gZXMgbXVjaG8sIHBlcm8gaGUgcHJlcGFyYWRvIHVuYSBjb21wZW5zYWNpw7NuLCDCv2xhIGFjZXB0YXLDoXM/
UWwwDA,,W0NhY3Rlcm9uXQpBbmQgaWYgaXQncyBva2F5LCB3b3VsZCB5b3UgY29tZSBieSBhZ2FpbiB0byBodW50IGNveW90ZXM/IFRoZSBjb3lvdGVzIGhhdmUgYmVlbiBydW5uaW5nIHJhbXBhbnQgYXJvdW5kIGhlcmUgbGF0ZWx5LiBUaGV5IGFyZSBhbHNvIGNvbXBhbmlvbnMgb2YgbmF0dXJlLi4uIGJ1dCB0byBwcm90ZWN0IHRoZSB2aWxsYWdlIGxpZmUsIHdlIG11c3QgYXQgbGVhc3QgZHJpdmUgdGhlbSBhd2F5Lg==,,,,,W0thY3Rlcm9uXQpFIHNlIGZvciBva2F5LCB2b2PDqiBwYXNzYXJpYSBhcXVpIGRlIG5vdm8gcGFyYSBjYcOnYXIgY29pb3Rlcz8gT3MgY29pb3RlcyBhbmRhbSBkZXZhc3RhbmRvIHBvciBhcXVpIHVsdGltYW1lbnRlLiBFbGVzIHRhbWLDqW0gc8OjbyBjb21wYW5oZWlyb3MgZGEgbmF0dXJlemEuLi4gbWFzIHBhcmEgcHJvdGVnZXIgYSB2aWRhIGRhIHZpbGEsIGRldmVtb3MgcGVsbyBtZW5vcyBhZmFzdMOhLWxvcy4=,,W0NhY3Rlcm9uXQpZIHNpIGVzdMOhIGJpZW4sIMK/dm9sdmVyw61hcyBhIHBhc2FyIHBhcmEgY2F6YXIgY295b3Rlcz8gTG9zIGNveW90ZXMgaGFuIGVzdGFkbyBjYXVzYW5kbyBlc3RyYWdvcyBwb3IgYXF1w60gw7psdGltYW1lbnRlLiBUYW1iacOpbiBzb24gY29tcGHDsWVyb3MgZGUgbGEgbmF0dXJhbGV6YS4uLiBwZXJvIHBhcmEgcHJvdGVnZXIgbGEgdmlkYSBkZWwgcHVlYmxvLCBhbCBtZW5vcyBkZWJlbW9zIGFodXllbnRhcmxvcy4=
UmwwDA,,W0NhY3Rlcm9uXQpFdmVuIGlmIGdpdmluZyB0aGUgQ2FjdGVyIGNoaWxkcmVuIHJlYWwgYWdhdmUganVpY2Ugd2lsbCBoYXZlIHRvIHdhaXQgdW50aWwgbGF0ZXIuLi4gSSBhdCBsZWFzdCB3YW50IHRvIGJlIGFibGUgdG8gZ28gb3V0IGFuZCBmcmVlbHkgYnV5IHdoYXQgbXkgY2hpbGQgd2FudHMgbm93Lg==,,,,,W0thY3Rlcm9uXQpNZXNtbyBxdWUgZGFyIMOgcyBjcmlhbsOnYXMgS2FjdGVyIG8gdmVyZGFkZWlybyBzdWNvIGRlIGFnYXZlIHRlbmhhIHF1ZSBlc3BlcmFyIG1haXMgdW0gcG91Y28uLi4gRXUgcGVsbyBtZW5vcyBxdWVybyBwb2RlciBzYWlyIGUgY29tcHJhciBsaXZyZW1lbnRlIG8gcXVlIG1ldSBmaWxobyBxdWVyIGFnb3JhLg==,,W0NhY3Rlcm9uXQpJbmNsdXNvIHNpIGRhcmxlcyBhIGxvcyBuacOxb3MgQ2FjdGVyIGp1Z28gZGUgYWdhdmUgcmVhbCB0ZW5kcsOhIHF1ZSBlc3BlcmFyIHBhcmEgZGVzcHXDqXMuLi4gYWwgbWVub3MgcXVpZXJvIHBvZGVyIHNhbGlyIHkgY29tcHJhciBsaWJyZW1lbnRlIGxvIHF1ZSBtaSBoaWpvIHF1aWVyZSBhaG9yYS4=
U2wwDA,,W0NhY3Rlcm9uXQpJZiBpdCdzIG9rYXksIEknZCBsaWtlIGl0IGlmIHlvdSBjb3VsZCBjb21lIGV2ZXJ5IGRheSBzdGFydGluZyB0b21vcnJvdy4KSSdkIGJlIHJlYWxseSBoYXBweSBpZiB5b3UgY291bGQgaGVscCBtb3JlLiBJdCdzIG1hZGUgbWUgd2FudCB0byB0cnkgaGFyZGVyIGZvciBhIGJldHRlciBsaWZlLg==,,,,,W0thY3Rlcm9uXQpTZSBmb3Igb2theSwgZXUgZ29zdGFyaWEgcXVlIHZvY8OqIHB1ZGVzc2UgdmlyIHRvZG9zIG9zIGRpYXMgYSBwYXJ0aXIgZGUgYW1hbmjDoy4KRmljYXJpYSBtdWl0byBmZWxpeiBzZSB2b2PDqiBwdWRlc3NlIGFqdWRhciBtYWlzLiBJc3NvIG1lIGZleiBxdWVyZXIgbWUgZXNmb3LDp2FyIG1haXMgcG9yIHVtYSB2aWRhIG1lbGhvci4=,,W0NhY3Rlcm9uXQpTaSBlc3TDoSBiaWVuLCBtZSBndXN0YXLDrWEgcXVlIHB1ZGllcmFzIHZlbmlyIHRvZG9zIGxvcyBkw61hcyBhIHBhcnRpciBkZSBtYcOxYW5hLgpNZSBhbGVncmFyw61hIG11Y2hvIHNpIHB1ZGllcmFzIGF5dWRhciBtw6FzLiBNZSBoYSBkYWRvIGdhbmFzIGRlIGVzZm9yemFybWUgbcOhcyBwb3IgdW5hIHZpZGEgbWVqb3Iu
VGwwDA,,W0NhY3Rlcm9uXQpXb3JrIGRlZmluaXRlbHkgcmVxdWlyZXMgcmVzdCB0aW1lLiBJZiB5b3UgaW1tZXJzZSB5b3Vyc2VsZiBvbmx5IGluIHdvcmssIHlvdSB0ZW5kIHRvIGZvcmdldCB0aGUgaW1wb3J0YW50IHRoaW5ncy4=,,,,,W0thY3Rlcm9uXQpPIHRyYWJhbGhvIGRlZmluaXRpdmFtZW50ZSByZXF1ZXIgdGVtcG8gZGUgZGVzY2Fuc28uIFNlIHZvY8OqIHNlIGltZXJnaXIgYXBlbmFzIG5vIHRyYWJhbGhvLCB0ZW5kZSBhIGVzcXVlY2VyIGFzIGNvaXNhcyBpbXBvcnRhbnRlcy4=,,W0NhY3Rlcm9uXQpFbCB0cmFiYWpvIGRlZmluaXRpdmFtZW50ZSByZXF1aWVyZSB0aWVtcG8gZGUgZGVzY2Fuc28uIFNpIHRlIHN1bWVyZ2VzIHNvbG8gZW4gZWwgdHJhYmFqbywgdGllbmRlcyBhIG9sdmlkYXIgbGFzIGNvc2FzIGltcG9ydGFudGVzLg==
VWwwDA,,W0NhY3Rlcm9uXQpJJ20gYWx3YXlzIGdyYXRlZnVsLCBidXQgZm9yIG5vdywgcmVzdCBhIGJpdCBhbmQgY29tZSBiYWNrIGFmdGVyIGRhd24sIHRoZW4gSSdsbCBhc2sgZm9yIHlvdXIgaGVscC4=,,,,,W0thY3Rlcm9uXQpTb3Ugc2VtcHJlIGdyYXRhLCBtYXMgcG9yIGVucXVhbnRvLCBkZXNjYW5zZSB1bSBwb3VjbyBlIHZvbHRlIGRlcG9pcyBkbyBhbWFuaGVjZXIsIGVudMOjbyBwZWRpcmVpIHN1YSBhanVkYS4=,,W0NhY3Rlcm9uXQpTaWVtcHJlIGVzdG95IGFncmFkZWNpZGEsIHBlcm8gcG9yIGFob3JhLCBkZXNjYW5zYSB1biBwb2NvIHkgcmVncmVzYSBkZXNwdcOpcyBkZWwgYW1hbmVjZXIsIGVudG9uY2VzIHRlIHBlZGlyw6kgYXl1ZGEu
VmwwDA,,W0NhY3Rlcm9uXQpTdHJhbmdlciB0cmF2ZWxlciwgdGhhbmsgeW91IGZvciBjb21pbmcgYWdhaW4uCllvdSd2ZSBjb21lIHRvIGh1bnQgY295b3RlcywgSSBzdXBwb3NlPw==,,,,,W0thY3Rlcm9uXQpWaWFqYW50ZSBlc3RyYW5obywgb2JyaWdhZGEgcG9yIHZpciBub3ZhbWVudGUuClZvY8OqIHZlaW8gcGFyYSBjYcOnYXIgY29pb3Rlcywgc3Vwb25obz8=,,W0NhY3Rlcm9uXQpWaWFqZXJvIGV4dHJhw7FvLCBncmFjaWFzIHBvciB2ZW5pciBkZSBudWV2by4KU3Vwb25nbyBxdWUgaGFzIHZlbmlkbyBhIGNhemFyIGNveW90ZXMsIMK/dmVyZGFkPw==
V2wwDA,,VGhhdCdzIHJpZ2h0Lg==,,,,,w4kgaXNzbyBtZXNtby4=,,QXPDrSBlcy4=
WGwwDA,,Tm8sIGp1c3QgdG8gY2hhdC4=,,,,,TsOjbywgc8OzIHBhcmEgY29udmVyc2FyLg==,,Tm8sIHNvbG8gcGFyYSBjaGFybGFyLg==
