oLtCDA,7JiI7Ja47J6QIEs=,UHJvcGhldCBL,,,,,UHJvZmV0YSBL,,UHJvZmV0YSBL
t7tCDA,W+yYiOyWuOyekCBLXQrqt7jrnpgg6re4IOq/iOydgCDrp4jsuZgK7ZS8IOu5hOumsOuCtCDrgpjripQg67CA66a86rCZ7J2ACuq4tOyepeqwkOydtCDtmZXsl7Dtnogg64qQ6ru07KeA64qUCuq3uOufsCDqs7Mg7J207JeI7Ja0Lg==,W1Byb3BoZXQgS10KV2VsbCwgdGhlIGRyZWFtIHdhcyBhIHBsYWNlCmxpa2UgYSBqdW5nbGUgZmlsbGVkIHdpdGggdGhlIHNtZWxsIG9mIGJsb29kLAp3aGVyZSB5b3UgY291bGQgY2xlYXJseSBmZWVsCmEgc2Vuc2Ugb2YgdGVuc2lvbi4=,,,,,W1Byb2ZldGEgS10KQmVtLCBvIHNvbmhvIGVyYSB1bSBsdWdhcgpjb21vIHVtYSBzZWx2YSBjaGVpYSBkbyBjaGVpcm8gZGUgc2FuZ3VlLApvbmRlIHZvY8OqIHBvZGlhIHNlbnRpciBjbGFyYW1lbnRlCnVtYSBzZW5zYcOnw6NvIGRlIHRlbnPDo28u,,W1Byb2ZldGEgS10KQnVlbm8sIGVsIHN1ZcOxbyBlcmEgdW4gbHVnYXIKY29tbyB1bmEganVuZ2xhIGxsZW5hIGRlbCBvbG9yIGEgc2FuZ3JlLApkb25kZSBzZSBwb2TDrWEgc2VudGlyIGNsYXJhbWVudGUKdW5hIHNlbnNhY2nDs24gZGUgdGVuc2nDs24u
uLtCDA,W+yYiOyWuOyekCBLXQrrgrTqsIAg7Ja066as65Gl7KCI7ZW0IO2VmOuNmArqt7jrlYzsmIDslrQgMTLsp4Dsi6Ag7KSRCu2YuOuekeydtOydmCDsi6Dqu5jshJwg64K0IOyVnuyXkArrgpjtg4Drgpjshajqs6As,W1Byb3BoZXQgS10KSXQgd2FzIGF0IHRoYXQgbW9tZW50LCB3aGlsZSBJIHdhcyBiZXdpbGRlcmVkLAp0aGF0IHRoZSBUaWdlciBHb2QKZnJvbSBhbW9uZyB0aGUgMTIgWm9kaWFjIEdvZHMKYXBwZWFyZWQgYmVmb3JlIG1lLA==,,,,,W1Byb2ZldGEgS10KRm9pIG5hcXVlbGUgbW9tZW50bywgZW5xdWFudG8gZXUgZXN0YXZhIGRlc25vcnRlYWRvLApxdWUgbyBEZXVzIFRpZ3JlCmVudHJlIG9zIDEyIERldXNlcyBkbyBab2TDrWFjbwphcGFyZWNldSBkaWFudGUgZGUgbWltLA==,,W1Byb2ZldGEgS10KRnVlIGVuIGVzZSBtb21lbnRvLCBtaWVudHJhcyBlc3RhYmEgZGVzY29uY2VydGFkbywKcXVlIGVsIERpb3MgVGlncmUKZGUgZW50cmUgbG9zIDEyIERpb3NlcyBkZWwgWm9kaWFjbwphcGFyZWNpw7MgYW50ZSBtw60s
ubtCDA,W+yYiOyWuOyekCBLXQrqs6cg7KO867OA7J2AIOyLnOuTpOyWtOuyhOumsCDrgpjrrLTsmYAK7ZKAIOuTpOuhnCDqsIDrk53tlojsp4AuLgrrp4jsuZgg66qo65OgIOyDneusvOydtCDso73slrTrsoTrprAK7KO97J2M7J2YIOyIsiDqsJnsnYDripDrgozsnbTsl4jslrQuLg==,W1Byb3BoZXQgS10KU29vbiB0aGUgc3Vycm91bmRpbmdzIHdlcmUgZmlsbGVkIHdpdGgKd2l0aGVyZWQgdHJlZXMgYW5kIGdyYXNzLi4KSXQgZmVsdCBsaWtlIGEgZm9yZXN0IG9mIGRlYXRoCndoZXJlIGFsbCBsaXZpbmcgdGhpbmdzIGhhZCBkaWVkLi4=,,,,,W1Byb2ZldGEgS10KTG9nbyBvcyBhcnJlZG9yZXMgZmljYXJhbSBjaGVpb3MgZGUKw6Fydm9yZXMgZSBncmFtYSBtdXJjaGFzLi4KUGFyZWNpYSB1bWEgZmxvcmVzdGEgZGEgbW9ydGUKb25kZSB0b2RvcyBvcyBzZXJlcyB2aXZvcyBoYXZpYW0gbW9ycmlkby4u,,W1Byb2ZldGEgS10KUHJvbnRvIGxvcyBhbHJlZGVkb3JlcyBzZSBsbGVuYXJvbiBkZQrDoXJib2xlcyB5IGhpZXJiYSBtYXJjaGl0b3MuLgpTZSBzZW50w61hIGNvbW8gdW4gYm9zcXVlIGRlIGxhIG11ZXJ0ZQpkb25kZSB0b2RvcyBsb3Mgc2VyZXMgdml2b3MgaGFiw61hbiBtdWVydG8uLg==
urtCDA,W+yYiOyWuOyekCBLXQrqt7gg65WMIOyVjOqyjCDrkJjsl4jsp4AsCuyVhCDsnbTqsbQg7JiI7KeA66q97J2064ukIQrtgbAg7ZmY656A7J20IOyVnuycvOuhnArsnbzslrTrgqAg6rKD7J2064ukISDrnbzqs6A=,W1Byb3BoZXQgS10KVGhhdCdzIHdoZW4gSSByZWFsaXplZCwKQWgsIHRoaXMgaXMgYSBwcm9waGV0aWMgZHJlYW0hCkEgZ3JlYXQgY2FsYW1pdHkKaXMgZ29pbmcgdG8gaGFwcGVuISBJIHRob3VnaHQ=,,,,,W1Byb2ZldGEgS10KRm9pIHF1YW5kbyBldSBwZXJjZWJpLApBaCwgaXNzbyDDqSB1bSBzb25obyBwcm9mw6l0aWNvIQpVbWEgZ3JhbmRlIGNhbGFtaWRhZGUKdmFpIGFjb250ZWNlciEgRXUgcGVuc2Vp,,W1Byb2ZldGEgS10KRnVlIGVudG9uY2VzIGN1YW5kbyBtZSBkaSBjdWVudGEsCsKhQWgsIGVzdGUgZXMgdW4gc3Vlw7FvIHByb2bDqXRpY28hCsKhVW5hIGdyYW4gY2FsYW1pZGFkCnZhIGEgc3VjZWRlciEgUGVuc8Op
u7tCDA,W+yYiOyWuOyekCBLXQrqt7jrpqzqs6DripQg7Zi4656R7J207J2YIOyLoCDqu5jshJwK64K06rKMIOunkO2WiOyWtCEKMTLsp4Dsi6DsnZgg6riw7Jq07J2EIOuwm+ydgArsgqzrnozsnYQg7LC+7JWE7JW8IO2VnOuLpOqzoC4uCuq3uOuemOyVvCDsnbQg7ZmY656A7J2ECuunieydhCDsiJgg7J6I64uk6rOgLi4=,W1Byb3BoZXQgS10KQW5kIHRoZW4gdGhlIFRpZ2VyIEdvZApzcG9rZSB0byBtZSEKSGUgc2FpZCB3ZSBtdXN0IGZpbmQKdGhlIHBlcnNvbiB3aG8gaGFzIHJlY2VpdmVkIHRoZSBlbmVyZ3kgb2YgdGhlIDEyIFpvZGlhYyBHb2RzLi4KT25seSB0aGVuIGNhbiB3ZQpzdG9wIHRoaXMgY2FsYW1pdHkuLg==,,,,,W1Byb2ZldGEgS10KRSBlbnTDo28gbyBEZXVzIFRpZ3JlCmZhbG91IGNvbWlnbyEKRWxlIGRpc3NlIHF1ZSBkZXZlbW9zIGVuY29udHJhcgphIHBlc3NvYSBxdWUgcmVjZWJldSBhIGVuZXJnaWEgZG9zIDEyIERldXNlcyBkbyBab2TDrWFjby4uClPDsyBlbnTDo28gcG9kZW1vcwpwYXJhciBlc3RhIGNhbGFtaWRhZGUuLg==,,W1Byb2ZldGEgS10KwqFZIGVudG9uY2VzIGVsIERpb3MgVGlncmUKbWUgaGFibMOzIQpEaWpvIHF1ZSBkZWJlbW9zIGVuY29udHJhcgphIGxhIHBlcnNvbmEgcXVlIGhhIHJlY2liaWRvIGxhIGVuZXJnw61hIGRlIGxvcyAxMiBEaW9zZXMgZGVsIFpvZGlhY28uLgpTb2xvIGVudG9uY2VzIHBvZHJlbW9zCmRldGVuZXIgZXN0YSBjYWxhbWlkYWQuLg==
vLtCDA,W+yYiOyWuOyekCBLXQrslYTsp4Eg6re4IOyCrOuejOydmCDsnbTrpoTrj4QsCuyCrOuKlCDqs7Prj4Qg7KCE7ZiAIOuqqOultOyngOunjCwK7J20IOyYiOyngOuqveydgCDrgpjsl5DqsowK6re4IOulvCDssL7slYTslbwg7ZWc64uk6rOgCuunkO2VmOqzoCDsnojslrQhLg==,W1Byb3BoZXQgS10KSSBzdGlsbCBkb24ndCBrbm93IGhpcyBuYW1lLApvciB3aGVyZSBoZSBsaXZlcyBhdCBhbGwsCmJ1dCB0aGlzIHByb3BoZXRpYyBkcmVhbQppcyB0ZWxsaW5nIG1lCnRoYXQgSSBtdXN0IGZpbmQgaGltIS4=,,,,,W1Byb2ZldGEgS10KQWluZGEgbsOjbyBzZWkgbyBub21lIGRlbGUsCm91IG9uZGUgZWxlIG1vcmEsCm1hcyBlc3RlIHNvbmhvIHByb2bDqXRpY28KZXN0w6EgbWUgZGl6ZW5kbwpxdWUgZGV2byBlbmNvbnRyw6EtbG8hLg==,,W1Byb2ZldGEgS10KVG9kYXbDrWEgbm8gc8OpIHN1IG5vbWJyZSwKbmkgZMOzbmRlIHZpdmUgZW4gYWJzb2x1dG8sCnBlcm8gZXN0ZSBzdWXDsW8gcHJvZsOpdGljbwptZSBlc3TDoSBkaWNpZW5kbwrCoXF1ZSBkZWJvIGVuY29udHJhcmxvIS4=
vbtCDA,W+yYiOyWuOyekCBLXQrsl63si5wg7J2064yA66Gc64qUIOuLqOyEnOqwgArrhIjrrLQg67aA7KGx7ZW0LCDqt7jrnpjshJwK64KY7J2YIOyYiOyWuCDriqXroKXsnYQg67Cc7ZyY7ZWY64qUCuydmOyLneydhCDthrXtlbQg6re4IOulvCDssL7slYTslbwg7ZW0,W1Byb3BoZXQgS10KQXMgZXhwZWN0ZWQsIHRoZSBjbHVlcyBhcmUKdG9vIHNjYXJjZSBsaWtlIHRoaXMsIHNvCndlIG11c3QgZmluZCBoaW0gdGhyb3VnaCBhIHJpdHVhbAp3aGVyZSBJIHV0aWxpemUgbXkgcHJvcGhldGljIGFiaWxpdGllcy4=,,,,,W1Byb2ZldGEgS10KQ29tbyBlc3BlcmFkbywgYXMgcGlzdGFzIHPDo28KbXVpdG8gZXNjYXNzYXMgYXNzaW0sIGVudMOjbwpkZXZlbW9zIGVuY29udHLDoS1sbyBhdHJhdsOpcyBkZSB1bSByaXR1YWwKb25kZSBldSB1dGlsaXpvIG1pbmhhcyBoYWJpbGlkYWRlcyBwcm9mw6l0aWNhcy4=,,W1Byb2ZldGEgS10KQ29tbyBlcmEgZGUgZXNwZXJhciwgbGFzIHBpc3RhcyBzb24KZGVtYXNpYWRvIGVzY2FzYXMgYXPDrSwgYXPDrSBxdWUKZGViZW1vcyBlbmNvbnRyYXJsbyBhIHRyYXbDqXMgZGUgdW4gcml0dWFsCmRvbmRlIHV0aWxpY2UgbWlzIGhhYmlsaWRhZGVzIHByb2bDqXRpY2FzLg==
vrtCDA,W+yYiOyWuOyekCBLXQrqt7gg7J2Y7Iud7J2EIO2VmOq4sCDsnITtlbTshJzripQK7J2Y7Iud7JeQIOqwgOyepSDspJHsmpTtlZwK7LC+6rOg7J6QIO2VmOuKlCDrjIDsg4HsnYQK64KY7YOA64K064qUIOusvO2SiCwg65iQ64qUIOycoOyCrO2VnArquLDsmrQsIOyXkOuEiOyngOqwgCDtlYTsmpTtlZjsp4Au,W1Byb3BoZXQgS10KVG8gcGVyZm9ybSB0aGF0IHJpdHVhbCwKd2UgbmVlZCB0aGUgbW9zdCBpbXBvcnRhbnQgaXRlbSBmb3IgaXQ6CmFuIG9iamVjdCByZXByZXNlbnRpbmcgdGhlIHRhcmdldCB3ZSBzZWVrLApvciBhIHNpbWlsYXIKZW5lcmd5LCBhdXJhLg==,,,,,W1Byb2ZldGEgS10KUGFyYSByZWFsaXphciBlc3NlIHJpdHVhbCwKcHJlY2lzYW1vcyBkbyBpdGVtIG1haXMgaW1wb3J0YW50ZSBwYXJhIGVsZToKdW0gb2JqZXRvIHJlcHJlc2VudGFuZG8gbyBhbHZvIHF1ZSBidXNjYW1vcywKb3UgdW1hIGVuZXJnaWEsIGF1cmEKc2ltaWxhci4=,,W1Byb2ZldGEgS10KUGFyYSByZWFsaXphciBlc2Ugcml0dWFsLApuZWNlc2l0YW1vcyBlbCBvYmpldG8gbcOhcyBpbXBvcnRhbnRlIHBhcmEgZWxsbzoKdW4gb2JqZXRvIHF1ZSByZXByZXNlbnRlIGFsIG9iamV0aXZvIHF1ZSBidXNjYW1vcywKbyB1bmEgZW5lcmfDrWEsIGF1cmEKc2ltaWxhci4=
v7tCDA,W+yYiOyWuOyekCBLXQrqt7jrnpjshJwg6re46rG4IOq1rO2VmOq4sCDsnITtlbQK7J6Q64Sk7J2YIOuPhOybgOydtCDtlYTsmpTtlZzqsbDslbwu,W1Byb3BoZXQgS10KU28sIHRvIG9idGFpbiB0aGF0LApJIG5lZWQgeW91ciBoZWxwLg==,,,,,W1Byb2ZldGEgS10KRW50w6NvLCBwYXJhIG9idGVyIGlzc28sCnByZWNpc28gZGEgc3VhIGFqdWRhLg==,,W1Byb2ZldGEgS10KQXPDrSBxdWUsIHBhcmEgb2J0ZW5lciBlc28sCm5lY2VzaXRvIHR1IGF5dWRhLg==
wLtCDA,W+yYiOyWuOyekCBLXQrqt7jrnpjshJwg7J2067KI7JeQIOq+vCDqv4jsnYAK7Zi4656R7J207J2YIOq4sOyatOydhCDrsJvsnYAK7IKs656M7J2EIOunkO2VmOuKlCDqsoMK7J2065286rOgIOyDneqwge2VtC4=,W1Byb3BoZXQgS10KU28sIEkgdGhpbmsgdGhlIGRyZWFtIEkgaGFkIHRoaXMgdGltZQpyZWZlcnMgdG8gdGhlIHBlcnNvbgp3aG8gaGFzIHJlY2VpdmVkCnRoZSBUaWdlcidzIGVuZXJneS4=,,,,,W1Byb2ZldGEgS10KRW50w6NvLCBhY2hvIHF1ZSBvIHNvbmhvIHF1ZSB0aXZlIGRlc3RhIHZlegpyZWZlcmUtc2Ugw6AgcGVzc29hCnF1ZSByZWNlYmV1CmEgZW5lcmdpYSBkbyBUaWdyZS4=,,W1Byb2ZldGEgS10KQXPDrSBxdWUsIGNyZW8gcXVlIGVsIHN1ZcOxbyBxdWUgdHV2ZSBlc3RhIHZlegpzZSByZWZpZXJlIGEgbGEgcGVyc29uYQpxdWUgaGEgcmVjaWJpZG8KbGEgZW5lcmfDrWEgZGVsIFRpZ3JlLg==
wbtCDA,W+yYiOyWuOyekCBLXQrqt7jrnpjshJwg66eQ7JW8Cu2YuOuekeydtOydmCDsmIHtmLwg7KGw6rCB7J20IO2VhOyalO2VnOuNsArrgpjrpbwg64+E7JmAIOyYge2YvCDsobDqsIHsnYQK7LC+7JWEIOykhCDsiJgg7J6I6rKg64qU6rCAPw==,W1Byb3BoZXQgS10KU28sIHlvdSBzZWUsCkkgbmVlZCBUaWdlciBTb3VsIFNoYXJkcy4KQ2FuIHlvdSBoZWxwIG1lCmZpbmQgdGhlIHNvdWwgc2hhcmRzPw==,,,,,W1Byb2ZldGEgS10KRW50w6NvLCB2ZWphIGJlbSwKcHJlY2lzbyBkZSBGcmFnbWVudG9zIGRlIEFsbWEgZGUgVGlncmUuClZvY8OqIHBvZGUgbWUgYWp1ZGFyCmEgZW5jb250cmFyIG9zIGZyYWdtZW50b3MgZGUgYWxtYT8=,,W1Byb2ZldGEgS10KQXPDrSBxdWUsIHZlcsOhcywKbmVjZXNpdG8gRnJhZ21lbnRvcyBkZSBBbG1hIGRlIFRpZ3JlLgrCv1B1ZWRlcyBheXVkYXJtZQphIGVuY29udHJhciBsb3MgZnJhZ21lbnRvcyBkZSBhbG1hPw==
wrtCDA,67aA7YOB7J2EIOuTpOyWtOykgOuLpC4=,QWdyZWUgdG8gdGhlIHJlcXVlc3Qu,,,,,QWNlaXRhciBvIHBlZGlkby4=,,QWNlcHRhciBsYSBwZXRpY2nDs24u
w7tCDA,67aA7YOB7J2EIOqxsOygiO2VnOuLpC4=,UmVmdXNlIHRoZSByZXF1ZXN0Lg==,,,,,UmVjdXNhciBvIHBlZGlkby4=,,UmVjaGF6YXIgbGEgcGV0aWNpw7NuLg==
xLtCDA,W+yYiOyWuOyekCBLXQrqs6Drp5nrhKQuCuyXrOq4sCDsmIHtmLzsnZgg67aA7KCB7J2EIOyjvOqyoOuEpArsnbTqsbgg6rCA7KeA6rOgIOyeiOuKlCDsg4Htg5zroZwK7Zi4656R7J207J2YIOyYge2YvOydhCDslrvsnYQg7IiYIOyeiOuKlArrqqzsiqTthLDrpbwg7IKs64Ol7ZW07JW8IO2VmOuEpC4=,W1Byb3BoZXQgS10KVGhhbmsgeW91LgpJJ2xsIGdpdmUgeW91IHRoaXMgU291bCBBbXVsZXQuCldoaWxlIHlvdSBoYXZlIHRoaXMsCnlvdSBtdXN0IGh1bnQgbW9uc3RlcnMKZnJvbSB3aGljaCB5b3UgY2FuIG9idGFpbiBUaWdlciBTb3Vscy4=,,,,,W1Byb2ZldGEgS10KT2JyaWdhZG8uClZvdSB0ZSBkYXIgZXN0ZSBBbXVsZXRvIGRlIEFsbWEuCkVucXVhbnRvIHZvY8OqIHRpdmVyIGlzc28sCnZvY8OqIGRldmUgY2HDp2FyIG1vbnN0cm9zCmRvcyBxdWFpcyB2b2PDqiBwb2RlIG9idGVyIEFsbWFzIGRlIFRpZ3JlLg==,,W1Byb2ZldGEgS10KR3JhY2lhcy4KVGUgZGFyw6kgZXN0ZSBBbXVsZXRvIGRlIEFsbWEuCk1pZW50cmFzIHRlbmdhcyBlc3RvLApkZWJlcyBjYXphciBtb25zdHJ1b3MKZGUgbG9zIGN1YWxlcyBwdWVkYXMgb2J0ZW5lciBBbG1hcyBkZSBUaWdyZS4=
xbtCDA,W+yYiOyWuOyekCBLXQrslYzrsqDrpbTtg4DroZwg6rCA7IScCuy/pOujrCDtlokg67Cw66W8IO2DgOuptArsv6Tro6zsnLzroZwg6rCIIOyImCDsnojri6TrhKQu,W1Byb3BoZXQgS10KSWYgeW91IGdvIHRvIEFsYmVydGEKYW5kIHRha2UgdGhlIHNoaXAgYm91bmQgZm9yIEt1bmx1biwKeW91IGNhbiBnbyB0byBLdW5sdW4u,,,,,W1Byb2ZldGEgS10KU2Ugdm9jw6ogZm9yIHBhcmEgQWxiZXJ0YQplIHBlZ2FyIG8gbmF2aW8gY29tIGRlc3Rpbm8gYSBLdW5sdW4sCnZvY8OqIHBvZGUgaXIgcGFyYSBLdW5sdW4u,,W1Byb2ZldGEgS10KU2kgdmFzIGEgQWxiZXJ0YQp5IHRvbWFzIGVsIGJhcmNvIGNvbiBkZXN0aW5vIGEgS3VubHVuLApwdWVkZXMgaXIgYSBLdW5sdW4u
xrtCDA,W+yYiOyWuOyekCBLXQrsv6Tro6wg7ZWE65Oc7JeQIOyeiOuKlArslYTquLAg7ZGc67KU7J2EIOyCrOuDpe2VmOuptArtmLjrnpHsnbTsnZgg7JiB7Zi8IOyhsOqwgeydhArslrvsnYTsiJjqsIAg7J6I7J2EIOqyg+ydtOuEpC4=,W1Byb3BoZXQgS10KSWYgeW91IGh1bnQgdGhlIEJhYnkgTGVvcGFyZHMKaW4gdGhlIEt1bmx1biBmaWVsZHMsCnlvdSBzaG91bGQgYmUgYWJsZQp0byBvYnRhaW4gVGlnZXIgU291bCBTaGFyZHMu,,,,,W1Byb2ZldGEgS10KU2Ugdm9jw6ogY2HDp2FyIG9zIEZpbGhvdGVzIGRlIExlb3BhcmRvCm5vcyBjYW1wb3MgZGUgS3VubHVuLAp2b2PDqiBkZXZlcsOhIGNvbnNlZ3VpcgpvYnRlciBGcmFnbWVudG9zIGRlIEFsbWEgZGUgVGlncmUu,,W1Byb2ZldGEgS10KU2kgY2F6YXMgYSBsb3MgQmViw6lzIExlb3BhcmRvCmVuIGxvcyBjYW1wb3MgZGUgS3VubHVuLApkZWJlcsOtYXMgcG9kZXIKb2J0ZW5lciBGcmFnbWVudG9zIGRlIEFsbWEgZGUgVGlncmUu
x7tCDA,W+yYiOyWuOyekCBLXQrsobDqsIEgMTAw6rCc66W8CuuqqOyVhOyYpOuPhOuhnSDtlZjqsowK6re4IOygleuPhOudvOuptCDstqnrtoTtnogK7Zi4656R7J207J2YIOq4sOyatOydhCDrsJvsnYAg7IKs656M7J2ECuywvuuKlCDsnZjsi53sl5Ag67aA7KGx7ZWo7J20IOyXhuydhOqxsOyVvC4=,W1Byb3BoZXQgS10KUGxlYXNlIGdhdGhlcgoxMDAgc2hhcmRzLgpUaGF0IGFtb3VudCBzaG91bGQgYmUgc3VmZmljaWVudGx5CmVub3VnaCBmb3IgdGhlIHJpdHVhbCB0byBmaW5kCnRoZSBwZXJzb24gd2hvIGhhcyByZWNlaXZlZCB0aGUgVGlnZXIncyBlbmVyZ3ku,,,,,W1Byb2ZldGEgS10KUG9yIGZhdm9yLCByZcO6bmEKMTAwIGZyYWdtZW50b3MuCkVzc2EgcXVhbnRpZGFkZSBkZXZlIHNlciBzdWZpY2llbnRlbWVudGUKYWRlcXVhZGEgcGFyYSBvIHJpdHVhbCBwYXJhIGVuY29udHJhcgphIHBlc3NvYSBxdWUgcmVjZWJldSBhIGVuZXJnaWEgZG8gVGlncmUu,,W1Byb2ZldGEgS10KUG9yIGZhdm9yIHJlw7puZQoxMDAgZnJhZ21lbnRvcy4KRXNhIGNhbnRpZGFkIGRlYmVyw61hIHNlciBzdWZpY2llbnRlbWVudGUKYWRlY3VhZGEgcGFyYSBlbCByaXR1YWwgZGUgZW5jb250cmFyCmEgbGEgcGVyc29uYSBxdWUgaGEgcmVjaWJpZG8gbGEgZW5lcmfDrWEgZGVsIFRpZ3JlLg==
yLtCDA,W+yYiOyWuOyekCBLXQrqsIDrsKnsl5Ag7IaM7KeA7ZKI7J20IOqwgOuTne2VmOqyjArssKgg7J6I6rWwLiDshozsp4DtkojsnYQg7KSE7Jes7JW8CuuCmOulvCDrj4TsmYDspIQg7IiYIOyeiOuLpOuEpC4K7IaM7KeA7ZKI7J2EIOykhOydtOqzoCDri6Tsi5wK64uk7IucIOuCmOulvCDssL7slYTsmKTqsow=,W1Byb3BoZXQgS10KWW91ciBiYWcgaXMgY29tcGxldGVseQpmdWxsIG9mIGl0ZW1zLiBZb3UgbXVzdCByZWR1Y2UgeW91ciBiZWxvbmdpbmdzCnRvIGJlIGFibGUgdG8gaGVscCBtZS4KUmVkdWNlIHlvdXIgYmVsb25naW5ncyBhbmQKY29tZSBmaW5kIG1lIGFnYWluLg==,,,,,W1Byb2ZldGEgS10KU3VhIGJvbHNhIGVzdMOhIGNvbXBsZXRhbWVudGUKY2hlaWEgZGUgaXRlbnMuIFZvY8OqIGRldmUgcmVkdXppciBzZXVzIHBlcnRlbmNlcwpwYXJhIHBvZGVyIG1lIGFqdWRhci4KUmVkdXphIHNldXMgcGVydGVuY2VzIGUKbWUgZW5jb250cmUgbm92YW1lbnRlLg==,,W1Byb2ZldGEgS10KVHUgbW9jaGlsYSBlc3TDoSBjb21wbGV0YW1lbnRlCmxsZW5hIGRlIG9iamV0b3MuIERlYmVzIHJlZHVjaXIgdHVzIHBlcnRlbmVuY2lhcwpwYXJhIHBvZGVyIGF5dWRhcm1lLgpSZWR1Y2UgdHVzIHBlcnRlbmVuY2lhcyB5CnZlbiBhIGJ1c2Nhcm1lIGRlIG51ZXZvLg==
ybtCDA,W+yYiOyWuOyekCBLXQrslrTsqZQg7IiYIOyXhuyngArsnpDrhKTsnZgg7IOd6rCB7J20IOq3uOugh+uLpOuptC4uCuuCmOyXkOqyjCDrjZQg6raB6riI7ZWcIOygkOydtCDsnojrgpg/,W1Byb3BoZXQgS10KSXQgY2FuJ3QgYmUgaGVscGVkCmlmIHRoYXQncyB5b3VyIGRlY2lzaW9uLi4KRG8geW91IGhhdmUgYW55dGhpbmcgZWxzZSB5b3UncmUgY3VyaW91cyBhYm91dD8=,,,,,W1Byb2ZldGEgS10KTsOjbyB0ZW0gamVpdG8Kc2UgZXNzYSDDqSBzdWEgZGVjaXPDo28uLgpWb2PDqiB0ZW0gbWFpcyBhbGd1bWEgY3VyaW9zaWRhZGU/,,W1Byb2ZldGEgS10KTm8gc2UgcHVlZGUgaGFjZXIgbmFkYQpzaSBlc2EgZXMgdHUgZGVjaXNpw7NuLi4Kwr9IYXkgYWxnbyBtw6FzIHF1ZSB0ZSBpbnRyaWd1ZT8=
yrtCDA,W+yYiOyWuOyekCBLXQrshLjqs4TsnZgg7Jq066qF7J20IOuLrOumsC4uCuydvOyduOuNsC4uLgrri6Tsi5wg7IOd6rCBIO2VtCDrs7Tqs6AK7LC+7JWE7Jik6ri4IOuwlOudvOuEpC4=,W1Byb3BoZXQgS10KSXQncyBhIG1hdHRlciBjb25jZXJuaW5nCnRoZSBmYXRlIG9mIHRoZSB3b3JsZC4uLgpJIGhvcGUgeW91IHRoaW5rIGl0IG92ZXIgYWdhaW4KYW5kIGNvbWUgYmFjay4=,,,,,W1Byb2ZldGEgS10Kw4kgdW1hIHF1ZXN0w6NvIGNvbmNlcm5lbnRlCmFvIGRlc3Rpbm8gZG8gbXVuZG8uLi4KRXNwZXJvIHF1ZSB2b2PDqiBwZW5zZSBub3ZhbWVudGUKZSB2b2x0ZS4=,,W1Byb2ZldGEgS10KRXMgdW4gYXN1bnRvIHF1ZSBjb25jaWVybmUKYWwgZGVzdGlubyBkZWwgbXVuZG8uLi4KRXNwZXJvIHF1ZSBsbyByZWNvbnNpZGVyZXMgZGUgbnVldm8KeSByZWdyZXNlcy4=
y7tCDA,7JiB7Zi87J2EIOuqqOyVhOyYpOuKlCDqsbgg7Y+s6riw7ZWc64uk,R2l2ZSB1cCBvbiBnYXRoZXJpbmcgdGhlIHNvdWwgc2hhcmRzLg==,,,,,RGVzaXN0aXIgZGUgcmV1bmlyIG9zIGZyYWdtZW50b3MgZGUgYWxtYS4=,,UmVudW5jaWFyIGEgcmV1bmlyIGxvcyBmcmFnbWVudG9zIGRlIGFsbWEu
zLtCDA,W+yYiOyWuOyekCBLXQrsnbTrn7AuLi4g7KCV66eQIO2PrOq4sO2VmOugpCDtlZjripTqsIA/CuydtOufsC4uLiDtgbDsnbzrgqzqtbAuLgrrgpjsnZgg7JiI7KeA66q97J2AIOu2hOuqhe2eiCDqt7jrk6TsnYQK7LC+7JWE7JW8IO2VmOuKlOuNsC4uLgrsoJXrp5Ag7Y+s6riw7ZWg7YWQ6rCAPw==,W1Byb3BoZXQgS10KT2ggbXkuLi4gQXJlIHlvdSByZWFsbHkgZ2l2aW5nIHVwPwpPaCBteS4uLiBUaGlzIGlzIHRlcnJpYmxlLi4KTXkgcHJvcGhldGljIGRyZWFtIGNsZWFybHkgc2FpZCB3ZSBtdXN0CmZpbmQgdGhlbS4uLgpBcmUgeW91IHJlYWxseSBnb2luZyB0byBnaXZlIHVwPw==,,,,,W1Byb2ZldGEgS10KT2ggY8OpdXMuLi4gVm9jw6ogZXN0w6EgbWVzbW8gZGVzaXN0aW5kbz8KT2ggY8OpdXMuLi4gSXNzbyDDqSB0ZXJyw612ZWwuLgpNZXUgc29uaG8gcHJvZsOpdGljbyBkaXNzZSBjbGFyYW1lbnRlIHF1ZSBkZXZlbW9zCmVuY29udHLDoS1sb3MuLi4KVm9jw6ogdmFpIG1lc21vIGRlc2lzdGlyPw==,,W1Byb2ZldGEgS10KRGlvcyBtw61vLi4uIMK/RGUgdmVyZGFkIHRlIHJpbmRlcz8KRGlvcyBtw61vLi4uIEVzdG8gZXMgdGVycmlibGUuLgpNaSBzdWXDsW8gcHJvZsOpdGljbyBkaWpvIGNsYXJhbWVudGUgcXVlIGRlYmVtb3MKZW5jb250cmFybG9zLi4uCsK/RGUgdmVyZGFkIHZhcyBhIHJlbmRpcnRlPw==
zbtCDA,7Y+s6riw7ZWc64ukLg==,R2l2ZSB1cC4=,,,,,RGVzaXN0aXIu,,UmVuZGlyc2Uu
zrtCDA,7Y+s6riw7ZWY7KeAIOyViuuKlOuLpC4=,RG9uJ3QgZ2l2ZSB1cC4=,,,,,TsOjbyBkZXNpc3Rpci4=,,Tm8gcmVuZGlyc2Uu
