QL7WDA,,U29saXM=,,,,,U29saXM=,,U29saXM=
Z77WDA,,W1NvbGlzXQpPbiB0aGUgMTB0aCBmbG9vciwgeW91IG5lZWQgdG8gZGVhbCB3aXRoIF4wMDAwQ0RWb2lkIE1pbWljLCBCb29rIG9mIERlYXRoLCBhbmQgRWxkZXN0XjAwMDAwMC4gQWJvdXQgXjAwMDBDRDE1IGVhY2heMDAwMDAwIHNob3VsZCBiZSBlbm91Z2gu,,,,,W1NvbGlzXQpObyAxMMK6IGFuZGFyLCBlbmZyZW50ZSBeMDAwMENETcOtbWljbyBkbyBWYXppbywgTGl2cm8gTW9ydG8gZSBBbmNpw6NvIFByaW1pdGl2b14wMDAwMDAuIENlcmNhIGRlIF4wMDAwQ0QxNSBkZSBjYWRhIHVtXjAwMDAwMC4=,,W1NvbGlzXSAgCkVuIGVsIDEwwrogcGlzbywgZW5mcsOpbnRhdGUgYSBeMDAwMENETcOtbWljbyBkZWwgVmFjw61vLCBMaWJybyBNdWVydG8geSBBbmNpYW5vIFByaW1pdGl2b14wMDAwMDAuIFVub3MgXjAwMDBDRDE1IGRlIGNhZGEgdW5vXjAwMDAwMC4=
aL7WDA,,W0pheV0KQWgsIGFuZCBpZiB5b3UgaGF2ZSB0aW1lLCBjb3VsZCB5b3UgYWxzbyBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgRGVzcGFpcl4wMDAwMDA/IElmIHlvdSBkbywgd2XigJlsbCBnaXZlIHlvdSBeMDAwMENEYWRkaXRpb25hbCByZXdhcmRzXjAwMDAwMC4gSXTigJlzIG5vdCBtYW5kYXRvcnksIHNvIGRvbuKAmXQgZmVlbCBwcmVzc3VyZWQu,,,,,W1RheV0KU2UgcHVkZXIsIHRyYWdhIHRhbWLDqW0gXjAwMDBDRDEwIEZyYWdtZW50byBkZSBEZXNlc3Blcm9eMDAwMDAwLiBIYXZlcsOhIF4wMDAwQ0RyZWNvbXBlbnNhIGV4dHJhXjAwMDAwMC4=,,W1RheV0gIApTaSBwdWVkZXMsIHRyYWUgdGFtYmnDqW4gXjAwMDBDRDEwIEZyYWdtZW50byBkZSBEZXNlc3BlcmFjacOzbl4wMDAwMDAuIEhhYnLDoSBeMDAwMENEcmVjb21wZW5zYSBleHRyYV4wMDAwMDAu
ab7WDA,,W1NvbGlzXQpUaGUgMTF0aCBmbG9vcj8gV293fiBXZSByYW4gYXdheSB0aGUgbW9tZW50IHdlIHN0ZXBwZWQgaW4gdGhlcmUuIEl0IHdhcyBzbyBmcnVzdHJhdGluZyBqdXN0IGdldHRpbmcgYSBnbGltcHNlIQ==,,,,,W1NvbGlzXQoxMcK6IGFuZGFyPyBOw7NzIGZ1Z2ltb3MgYXNzaW0gcXVlIHBpc2Ftb3MgbMOhLiBTw7MgY29uc2VndWltb3MgZGFyIHVtYSBvbGhhZGEgcsOhcGlkYSE=,,W1NvbGlzXSAgCsK/MTHCuiBwaXNvPyBOb3NvdHJhcyBodWltb3MgYXBlbmFzIHBpc2Ftb3MgYWxsw60uIMKhU29sbyBwdWRpbW9zIGVjaGFyIHVuIHZpc3Rhem8gcsOhcGlkbyE=
ar7WDA,,W1NvbGlzXQpPbiB0aGUgMTF0aCBmbG9vciwgeW91IG5lZWQgdG8gZGVhbCB3aXRoIF4wMDAwQ0RFbXBhdGhpemVyLCBIYXBwaW5lc3MgR2l2ZXIsIFByYXkgR2l2ZXIsIGFuZCBTbWlsZSBHaXZlcl4wMDAwMDAuIEFib3V0IF4wMDAwQ0QxNSBlYWNoXjAwMDAwMCBzaG91bGQgYmUgZW5vdWdoLg==,,,,,W1NvbGlzXQpObyAxMcK6IGFuZGFyLCBlbmZyZW50ZSBeMDAwMENERW1wYXRpYSwgQWxlZ3JpYSwgT3Jhw6fDo28gZSBTb3JyaXNvXjAwMDAwMC4gQ2VyY2EgZGUgXjAwMDBDRDE1IGRlIGNhZGEgdW1eMDAwMDAwLg==,,W1NvbGlzXSAgCkVuIGVsIDExwrogcGlzbywgZW5mcsOpbnRhdGUgYSBeMDAwMENERW1wYXTDrWEsIEFsZWdyw61hLCBPcmFjacOzbiB5IFNvbnJpc2FeMDAwMDAwLiBVbm9zIF4wMDAwQ0QxNSBkZSBjYWRhIHVub14wMDAwMDAu
a77WDA,,W0pheV0KQWgsIGFuZCBpZiB5b3UgaGF2ZSB0aW1lLCBjb3VsZCB5b3UgYWxzbyBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgSGF0cmVkXjAwMDAwMD8gSWYgeW91IGRvLCB3ZeKAmWxsIGdpdmUgeW91IF4wMDAwQ0RhZGRpdGlvbmFsIHJld2FyZHNeMDAwMDAwLiBJdOKAmXMgbm90IG1hbmRhdG9yeSwgc28gZG9u4oCZdCBmZWVsIHByZXNzdXJlZC4=,,,,,W1RheV0KRSBzZSBwb3Nzw612ZWwsIHRyYWdhIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgw5NkaW9eMDAwMDAwLiBIYXZlcsOhIF4wMDAwQ0RyZWNvbXBlbnNhIGV4dHJhXjAwMDAwMC4=,,W1RheV0gIApZIHNpIGVzIHBvc2libGUsIHRyYWUgXjAwMDBDRDEwIEZyYWdtZW50byBkZSBPZGlvXjAwMDAwMC4gSGFicsOhIF4wMDAwQ0RyZWNvbXBlbnNhIGV4dHJhXjAwMDAwMC4=
bL7WDA,,W1NvbGlzXQpUaGUgMTJ0aCBmbG9vcj8gU2lnaCwgd2UgY291bGRu4oCZdCBldmVuIHNldCBmb290IHRoZXJlLiBZb3XigJlyZSB0cnVseSBicmF2ZSwgYWR2ZW50dXJlci4=,,,,,W1NvbGlzXQoxMsK6IGFuZGFyPyBOZW0gY29uc2VndWltb3MgZW50cmFyIGzDoS4gVm9jw6ogdGVtIG11aXRhIGNvcmFnZW0u,,W1NvbGlzXSAgCsK/MTLCuiBwaXNvPyBOaSBzaXF1aWVyYSBwdWRpbW9zIGVudHJhciBhbGzDrS4gVGllbmVzIG11Y2hvIHZhbG9yLg==
bb7WDA,,W1NvbGlzXQpPbiB0aGUgMTJ0aCBmbG9vciwgeW91IG5lZWQgdG8gZGVhbCB3aXRoIF4wMDAwQ0RBbmdlciBvZiBUaGFuYXRvcywgSG9ycm9yIG9mIFRoYW5hdG9zLCBSZWdyZXQgb2YgVGhhbmF0b3MsIGFuZCBSZXNlbnRtZW50IG9mIFRoYW5hdG9zXjAwMDAwMC4gQWJvdXQgXjAwMDBDRDEwIGVhY2heMDAwMDAwIHNob3VsZCBiZSBlbm91Z2gu,,,,,W1NvbGlzXQpObyAxMsK6IGFuZGFyLCBlbmZyZW50ZSBeMDAwMENESXJhIGRlIFRoYW5hdG9zLCBIb3Jyb3IgZGUgVGhhbmF0b3MsIExhbWVudG8gZGUgVGhhbmF0b3MgZSBSYW5jb3IgZGUgVGhhbmF0b3NeMDAwMDAwLiBDZXJjYSBkZSBeMDAwMENEMTAgZGUgY2FkYSB1bV4wMDAwMDAu,,W1NvbGlzXSAgCkVuIGVsIDEywrogcGlzbywgZW5mcsOpbnRhdGUgYSBeMDAwMENESXJhIGRlIFRoYW5hdG9zLCBIb3Jyb3IgZGUgVGhhbmF0b3MsIExhbWVudG8gZGUgVGhhbmF0b3MgeSBSZW5jb3IgZGUgVGhhbmF0b3NeMDAwMDAwLiBVbm9zIF4wMDAwQ0QxMCBkZSBjYWRhIHVub14wMDAwMDAu
br7WDA,,W0pheV0KQWgsIGFuZCBpZiB5b3UgaGF2ZSB0aW1lLCBjb3VsZCB5b3UgYWxzbyBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgQWdvbnleMDAwMDAwPyBJZiB5b3UgZG8sIHdl4oCZbGwgZ2l2ZSB5b3UgXjAwMDBDRGFkZGl0aW9uYWwgcmV3YXJkc14wMDAwMDAuIEl04oCZcyBub3QgbWFuZGF0b3J5LCBzbyBkb27igJl0IGZlZWwgcHJlc3N1cmVkLg==,,,,,W1RheV0KU2UgcHVkZXIsIHRyYWdhIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgQWdvbmlhXjAwMDAwMC4gSGF2ZXLDoSBeMDAwMENEcmVjb21wZW5zYSBleHRyYV4wMDAwMDAu,,W1RheV0gIApTaSBwdWVkZXMsIHRyYWUgXjAwMDBDRDEwIEZyYWdtZW50byBkZSBBZ29uw61hXjAwMDAwMC4gSGFicsOhIF4wMDAwQ0RyZWNvbXBlbnNhIGV4dHJhXjAwMDAwMC4=
b77WDA,,W1NvbGlzXQpOb3QgaW50ZXJlc3RlZD8gVGhlbiBpdCBjYW7igJl0IGJlIGhlbHBlZC4gSWYgd2UgbWVldCBhZ2FpbiwgcGxlYXNlIGhlbHAgdXMgdGhlbi4=,,,,,W1NvbGlzXQpOw6NvIHNlIGludGVyZXNzb3U/IFF1ZSBwZW5hLiBEYSBwcsOzeGltYSB2ZXosIHBvciBmYXZvciBub3MgYWp1ZGUu,,W1NvbGlzXSAgCsK/Tm8gdGUgaW50ZXJlc8OzPyBRdcOpIHBlbmEuIExhIHByw7N4aW1hIHZleiwgcG9yIGZhdm9yIGF5w7pkYW5vcy4=
cL7WDA,,W1NvbGlzXQpZb3XigJlyZSBhbiBhZHZlbnR1cmVyLCByaWdodD8gV2hpY2ggZmxvb3IgZGlkIHlvdSBjaG9vc2UgdG8gaGFuZGxlPw==,,,,,W1NvbGlzXQpWb2PDqiBlc3TDoSBjdW1wcmluZG8gdW1hIG1pc3PDo28sIGNlcnRvPyBRdWFsIGFuZGFyIGVzY29saGV1Pw==,,W1NvbGlzXSAgCsK/RXN0w6FzIGN1bXBsaWVuZG8gdW5hIG1pc2nDs24sIGNpZXJ0bz8gwr9RdcOpIHBpc28gZWxlZ2lzdGU/
cb7WDA,,W1NvbGlzXQpXb25kZXJmdWwuIEJlYXV0aWZ1bC4gVGhhbmtzIHRvIHlvdSwgbW9uc3RlciBzdHVkaWVzIGhhdmUgYWNoaWV2ZWQgYm90aCBxdWFudGl0YXRpdmUgYW5kIHF1YWxpdGF0aXZlIHByb2dyZXNzLg==,,,,,W1NvbGlzXQpJbmNyw612ZWwuIEdyYcOnYXMgYSB2b2PDqiwgbyBlc3R1ZG8gZG9zIG1vbnN0cm9zIGF2YW7Dp291IG11aXRvLg==,,W1NvbGlzXSAgCkluY3Jlw61ibGUuIEdyYWNpYXMgYSB0aSwgZWwgZXN0dWRpbyBkZSBsb3MgbW9uc3RydW9zIGhhIGF2YW56YWRvIG11Y2hvLg==
cr7WDA,,W0pheV0KWW91IGFsc28gYnJvdWdodCB0aGUgRnJhZ21lbnQgb2YgTWlzZXJ5IHdlIG1lbnRpb25lZC4gVGhhbmsgeW91IHZlcnkgbXVjaC4=,,,,,W1RheV0KVm9jw6ogdHJvdXhlIEZyYWdtZW50byBkZSBEZXNncmHDp2EgdGFtYsOpbS4gTXVpdG8gb2JyaWdhZGEu,,W1RheV0gIApUcmFqaXN0ZSBGcmFnbWVudG8gZGUgRGVzZ3JhY2lhIHRhbWJpw6luLiBNdWNoYXMgZ3JhY2lhcy4=
c77WDA,,V2Ugd2lsbCBvcmdhbml6ZSBvdXIgZGF0YSwgc28gcGxlYXNlIHJldHVybiBoZXJlIGFmdGVyIGRhd24u,,,,,RXN0YXJlbW9zIG9yZ2FuaXphbmRvIGFzIGluZm9ybWHDp8O1ZXMsIGVudMOjbyB2b2x0ZSBhcMOzcyBvIGFtYW5oZWNlci4=,,RXN0YXJlbW9zIG9yZ2FuaXphbmRvIGxhIGluZm9ybWFjacOzbiwgYXPDrSBxdWUgdnVlbHZlIGRlc3B1w6lzIGRlbCBhbWFuZWNlci4=
dL7WDA,,W1NvbGlzXQpSaWdodCwgdGhhdOKAmXMgaXQuIFlvdSBuZWVkIHRvIGRlYWwgd2l0aCBeMDAwMENEQ3JvdyBEdWtlIGFuZCBDcm93IEJhcm9uXjAwMDAwMC4gQWJvdXQgXjAwMDBDRDIwIGVhY2heMDAwMDAwLCBjb3JyZWN0Pw==,,,,,W1NvbGlzXQpJc3NvIG1lc21vLiBeMDAwMENERHVxdWUgQ29ydm8gZSBCYXLDo28gQ29ydm9eMDAwMDAwLCBjZXJ0bz8gXjAwMDBDRDIwIGRlIGNhZGEgdW1eMDAwMDAwLg==,,W1NvbGlzXSAgCkFzw60gZXMuIF4wMDAwQ0REdXF1ZSBDdWVydm8geSBCYXLDs24gQ3VlcnZvXjAwMDAwMCwgwr92ZXJkYWQ/IF4wMDAwQ0QyMCBkZSBjYWRhIHVub14wMDAwMDAu
db7WDA,,W0pheV0KQW5kIGlmIHlvdSBoYXZlIHRpbWUsIHBsZWFzZSBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgTWlzZXJ5XjAwMDAwMC4gSWYgeW91IGRvLCB3ZeKAmWxsIGdpdmUgeW91IF4wMDAwQ0RhZGRpdGlvbmFsIHJld2FyZHNeMDAwMDAwLiBJdOKAmXMgbm90IG1hbmRhdG9yeSwgc28gZG9u4oCZdCBmZWVsIHByZXNzdXJlZC4=,,,,,W1RheV0KRSBzZSBwdWRlciwgXjAwMDBDRDEwIEZyYWdtZW50byBkZSBEZXNncmHDp2FeMDAwMDAwLiBIYXZlcsOhIF4wMDAwQ0RyZWNvbXBlbnNhIGV4dHJhXjAwMDAwMC4=,,W1RheV0gIApZIHNpIHB1ZWRlcywgXjAwMDBDRDEwIEZyYWdtZW50byBkZSBEZXNncmFjaWFeMDAwMDAwLiBIYWJyw6EgXjAwMDBDRHJlY29tcGVuc2EgZXh0cmFeMDAwMDAwLg==
dr7WDA,,W1NvbGlzXQpEaWQgeW91IHJlc3QgZW5vdWdoPyBUaGVuIGNvdWxkIHdlIGFzayBmb3IgeW91ciBoZWxwIGFnYWluIHRvZGF5Pw==,,,,,W1NvbGlzXQpEZXNjYW5zb3UgYmVtPyBQb2RlIG5vcyBhanVkYXIgbm92YW1lbnRlIGhvamU/,,W1NvbGlzXSAgCsK/RGVzY2Fuc2FzdGUgYmllbj8gwr9QdWVkZXMgYXl1ZGFybm9zIG51ZXZhbWVudGUgaG95Pw==
d77WDA,,T2YgY291cnNlLg==,,,,,Q2xhcm8u,,Q2xhcm8u
eL7WDA,,SeKAmWxsIHJlc3QgdG9kYXku,,,,,SG9qZSB2b3UgZGVzY2Fuc2FyLg==,,SG95IHZveSBhIGRlc2NhbnNhci4=
eb7WDA,,W1NvbGlzXQpIZWhlISBUaGFuayB5b3UuIFRoZW4gdG9kYXkgYXMgd2VsbCwgZGVhbCB3aXRoIF4wMDAwQ0RDcm93IER1a2UgYW5kIENyb3cgQmFyb25eMDAwMDAwLiBBYm91dCBeMDAwMENEMjAgZWFjaF4wMDAwMDAgc2hvdWxkIGJlIGVub3VnaC4/,,,,,W1NvbGlzXQpIZWhlISBPYnJpZ2FkYSEgRW50w6NvIGhvamUgdGFtYsOpbSBlbmZyZW50ZSBeMDAwMENERHVxdWUgQ29ydm8gZSBCYXLDo28gQ29ydm9eMDAwMDAwLCBeMDAwMENEMjAgZGUgY2FkYSB1bV4wMDAwMDAu,,W1NvbGlzXSAgCsKhSmVqZSEgwqFHcmFjaWFzISBFbnRvbmNlcyBob3kgdGFtYmnDqW4gZW5mcsOpbnRhdGUgYSBeMDAwMENERHVxdWUgQ3VlcnZvIHkgQmFyw7NuIEN1ZXJ2b14wMDAwMDAsIF4wMDAwQ0QyMCBkZSBjYWRhIHVub14wMDAwMDAu
er7WDA,,W0pheV0KQWghIElmIHlvdSBoYXZlIHRpbWUsIHBsZWFzZSBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgTWlzZXJ5XjAwMDAwMC4gSWYgeW91IGRvLCB3ZeKAmWxsIGdpdmUgeW91IF4wMDAwQ0RhZGRpdGlvbmFsIHJld2FyZHNeMDAwMDAwLiBJdOKAmXMgbm90IG1hbmRhdG9yeSwgc28gZG9u4oCZdCBmZWVsIHByZXNzdXJlZC4=,,,,,W1RheV0KRSBeMDAwMENEMTAgRnJhZ21lbnRvIGRlIERlc2dyYcOnYV4wMDAwMDAsIHNlIHBvc3PDrXZlbC4gSGF2ZXLDoSBeMDAwMENEcmVjb21wZW5zYSBleHRyYV4wMDAwMDAu,,W1RheV0gIApZIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgRGVzZ3JhY2lhXjAwMDAwMCwgc2kgZXMgcG9zaWJsZS4gSGFicsOhIF4wMDAwQ0RyZWNvbXBlbnNhIGV4dHJhXjAwMDAwMC4=
e77WDA,,W1NvbGlzXQpJIHVuZGVyc3RhbmQgd2FudGluZyB0byByZXN0IGJldHRlciB0aGFuIGFueW9uZS4gUmVzdGluZyBpcyB0aGUgYmVzdCEgSWYgeW91IGhhdmUgdGltZSBsYXRlciwgcGxlYXNlIGNvbWUgZmluZCB1cyBhZ2Fpbi4=,,,,,W1NvbGlzXQpFdSBlbnRlbmRvIHF1ZXJlciBkZXNjYW5zYXIuIFZvbHRlIHF1YW5kbyBwdWRlci4=,,W1NvbGlzXSAgCkVudGllbmRvIHF1ZSBxdWllcmFzIGRlc2NhbnNhci4gVnVlbHZlIGN1YW5kbyBwdWVkYXMu
fL7WDA,,W1NvbGlzXQpBbHJlYWR5PyBJIGxpa2UgeW91ciBlbnRodXNpYXNtLiBCdXQgd2UgaGF2ZW7igJl0IGZpbmlzaGVkIG9yZ2FuaXppbmcgdGhlIHByZXZpb3VzIGRhdGEgeWV0LiBTb3JyeSwgcGxlYXNlIGNvbWUgYmFjayBhZnRlciBkYXduLg==,,,,,W1NvbGlzXQpKw6EgdmFpPyBRdWUgbW90aXZhw6fDo28hIE1hcyBhaW5kYSBuw6NvIHRlcm1pbmFtb3MgZGUgb3JnYW5pemFyIGFzIGluZm9ybWHDp8O1ZXMuIFZvbHRlIGFww7NzIG8gYW1hbmhlY2VyLg==,,W1NvbGlzXSAgCsK/WWEgdGUgdmFzPyDCoVF1w6kgbW90aXZhY2nDs24hIFBlcm8gYcO6biBubyB0ZXJtaW5hbW9zIGRlIG9yZ2FuaXphciBsYSBpbmZvcm1hY2nDs24uIFZ1ZWx2ZSBkZXNwdcOpcyBkZWwgYW1hbmVjZXIu
fb7WDA,,W1NvbGlzXQpUaGUgOXRoIGZsb29yPyBJIHdhcyByZWFsbHkgY3VyaW91cyBhYm91dCBpdCB0b28sIGJ1dCBJIGNvdWxkbuKAmXQgZ28gZXZlbiB0aG91Z2ggaXQgd2FzIHJpZ2h0IGluIGZyb250IG9mIG1lLiBXaWxsIHlvdSBnbyB0byB0aGUgOXRoIGZsb29yPw==,,,,,W1NvbGlzXQo5wrogYW5kYXI/IFF1ZXIgdGVudGFyIGlyIGzDoT8=,,W1NvbGlzXSAgCsK/OcK6IHBpc28/IMK/UXVpZXJlcyBpbnRlbnRhciBpciBhbGzDrT8=
fr7WDA,,SeKAmWxsIGdvLg==,,,,,Vm91Lg==,,U8OtLg==
f77WDA,,Tm8u,,,,,TsOjby4=,,Tm8u
gL7WDA,,W1NvbGlzXQpJZiBJIG1ha2UgaXQgb3V0IGFsaXZlLCBJIHNob3VsZCBuZXZlciBnbyBpbnRvIHRoZSBmaWVsZCBhZ2Fpbi4=,,,,,W1NvbGlzXQpTZSBldSBzYWlyIHZpdmEgZGFxdWksIG51bmNhIG1haXMgZmHDp28gdHJhYmFsaG8gZW0gY2FtcG8u,,W1NvbGlzXSAgClNpIHNhbGdvIHZpdmEgZGUgYXF1w60sIG51bmNhIG3DoXMgaGFyw6kgdHJhYmFqbyBkZSBjYW1wby4=
gb7WDA,,W0pheV0KWW91IGJyb3VnaHQgdGhlIEZyYWdtZW50IG9mIERlc3BhaXIgd2UgbWVudGlvbmVkLiBUaGFuayB5b3UgdmVyeSBtdWNoLg==,,,,,W1RheV0KVm9jw6ogdHJvdXhlIEZyYWdtZW50byBkZSBEZXNlc3Blcm8uIE9icmlnYWRhLg==,,W1RheV0gIApUcmFqaXN0ZSBGcmFnbWVudG8gZGUgRGVzZXNwZXJhY2nDs24uIEdyYWNpYXMu
gr7WDA,,W1NvbGlzXQpSaWdodCwgdGhhdOKAmXMgaXQuIFlvdSBuZWVkIHRvIGRlYWwgd2l0aCBeMDAwMENEVm9pZCBNaW1pYywgQm9vayBvZiBEZWF0aCwgYW5kIEVsZGVzdF4wMDAwMDAuIEFib3V0IF4wMDAwQ0QxNSBlYWNoXjAwMDAwMCwgY29ycmVjdD8=,,,,,W1NvbGlzXQpJc3NvIG1lc21vLiBeMDAwMENETcOtbWljbyBkbyBWYXppbywgTGl2cm8gTW9ydG8gZSBBbmNpw6NvIFByaW1pdGl2b14wMDAwMDAsIHBvciBmYXZvciEgXjAwMDBDRDE1IGRlIGNhZGEgdW1eMDAwMDAwLg==,,W1NvbGlzXSAgCkFzw60gZXMuIMKhXjAwMDBDRE3DrW1pY28gZGVsIFZhY8OtbywgTGlicm8gTXVlcnRvIHkgQW5jaWFubyBQcmltaXRpdm9eMDAwMDAwLCBwb3IgZmF2b3IhIF4wMDAwQ0QxNSBkZSBjYWRhIHVub14wMDAwMDAu
g77WDA,,W0pheV0KQW5kIGlmIHlvdSBoYXZlIHRpbWUsIHBsZWFzZSBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgRGVzcGFpcl4wMDAwMDAuIElmIHlvdSBkbywgd2XigJlsbCBnaXZlIHlvdSBeMDAwMENEYWRkaXRpb25hbCByZXdhcmRzXjAwMDAwMC4gSXTigJlzIG5vdCBtYW5kYXRvcnksIHNvIGRvbuKAmXQgZmVlbCBwcmVzc3VyZWQu,,,,,W1RheV0KRSBeMDAwMENEMTAgRnJhZ21lbnRvIGRlIERlc2VzcGVyb14wMDAwMDAuIEhhdmVyw6EgXjAwMDBDRHJlY29tcGVuc2EgZXh0cmFeMDAwMDAwLg==,,W1RheV0gIApZIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgRGVzZXNwZXJhY2nDs25eMDAwMDAwLiBIYWJyw6EgXjAwMDBDRHJlY29tcGVuc2EgZXh0cmFeMDAwMDAwLg==
hL7WDA,,W1NvbGlzXQpIZWhlISBUaGFuayB5b3UuIFRoZW4gdG9kYXkgYXMgd2VsbCwgZGVhbCB3aXRoIF4wMDAwQ0RWb2lkIE1pbWljLCBCb29rIG9mIERlYXRoLCBhbmQgRWxkZXN0XjAwMDAwMC4gQWJvdXQgXjAwMDBDRDE1IGVhY2heMDAwMDAwIHNob3VsZCBiZSBlbm91Z2guPw==,,,,,W1NvbGlzXQpPYnJpZ2FkYSEgQ29udGludWUgaG9qZSBjb20gXjAwMDBDRE3DrW1pY28gZG8gVmF6aW8sIExpdnJvIE1vcnRvIGUgQW5jacOjbyBQcmltaXRpdm9eMDAwMDAwLCBwb3IgZmF2b3IhIF4wMDAwQ0QxNSBkZSBjYWRhIHVtXjAwMDAwMC4=,,W1NvbGlzXSAgCsKhR3JhY2lhcyEgQ29udGluw7phIGhveSBjb24gXjAwMDBDRE3DrW1pY28gZGVsIFZhY8OtbywgTGlicm8gTXVlcnRvIHkgQW5jaWFubyBQcmltaXRpdm9eMDAwMDAwLCDCoXBvciBmYXZvciEgXjAwMDBDRDE1IGRlIGNhZGEgdW5vXjAwMDAwMC4=
hb7WDA,,W0pheV0KQWghIElmIHlvdSBoYXZlIHRpbWUsIHBsZWFzZSBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgRGVzcGFpcl4wMDAwMDAuIElmIHlvdSBkbywgd2XigJlsbCBnaXZlIHlvdSBeMDAwMENEYWRkaXRpb25hbCByZXdhcmRzXjAwMDAwMC4gSXTigJlzIG5vdCBtYW5kYXRvcnksIHNvIGRvbuKAmXQgZmVlbCBwcmVzc3VyZWQu,,,,,W1RheV0KRSBeMDAwMENEMTAgRnJhZ21lbnRvIGRlIERlc2VzcGVyb14wMDAwMDAsIHNlIHBvc3PDrXZlbC4=,,W1RheV0gIApZIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgRGVzZXNwZXJhY2nDs25eMDAwMDAwLCBzaSBlcyBwb3NpYmxlLg==
hr7WDA,,W0pheV0KWW91IGJyb3VnaHQgdGhlIEZyYWdtZW50IG9mIEhhdHJlZCB3ZSBtZW50aW9uZWQuIFRoYW5rIHlvdSB2ZXJ5IG11Y2gu,,,,,W1RheV0KVm9jw6ogdHJvdXhlIEZyYWdtZW50byBkZSDDk2Rpby4gT2JyaWdhZGEu,,W1RheV0gIApUcmFqaXN0ZSBGcmFnbWVudG8gZGUgT2Rpby4gR3JhY2lhcy4=
h77WDA,,W1NvbGlzXQpSaWdodCwgdGhhdOKAmXMgaXQuIFlvdSBuZWVkIHRvIGRlYWwgd2l0aCBeMDAwMENERW1wYXRoaXplciwgSGFwcGluZXNzIEdpdmVyLCBQcmF5IEdpdmVyLCBhbmQgU21pbGUgR2l2ZXJeMDAwMDAwLiBBYm91dCBeMDAwMENEMTUgZWFjaF4wMDAwMDAsIGNvcnJlY3Q/,,,,,W1NvbGlzXQpJc3NvIG1lc21vLiBeMDAwMENERW1wYXRpYSwgQWxlZ3JpYSwgT3Jhw6fDo28gZSBTb3JyaXNvXjAwMDAwMCwgcG9yIGZhdm9yISBeMDAwMENEMTUgZGUgY2FkYSB1bV4wMDAwMDAu,,W1NvbGlzXSAgCkFzw60gZXMuIMKhXjAwMDBDREVtcGF0w61hLCBBbGVncsOtYSwgT3JhY2nDs24geSBTb25yaXNhXjAwMDAwMCwgcG9yIGZhdm9yISBeMDAwMENEMTUgZGUgY2FkYSB1bm9eMDAwMDAwLg==
iL7WDA,,W0pheV0KQW5kIGlmIHlvdSBoYXZlIHRpbWUsIHBsZWFzZSBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgSGF0cmVkXjAwMDAwMC4gSWYgeW91IGRvLCB3ZeKAmWxsIGdpdmUgeW91IF4wMDAwQ0RhZGRpdGlvbmFsIHJld2FyZHNeMDAwMDAwLiBJdOKAmXMgbm90IG1hbmRhdG9yeSwgc28gZG9u4oCZdCBmZWVsIHByZXNzdXJlZC4=,,,,,W1RheV0KRSBeMDAwMENEMTAgRnJhZ21lbnRvIGRlIMOTZGlvXjAwMDAwMC4gSGF2ZXLDoSBeMDAwMENEcmVjb21wZW5zYSBleHRyYV4wMDAwMDAu,,W1RheV0gIApZIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgT2Rpb14wMDAwMDAuIEhhYnLDoSBeMDAwMENEcmVjb21wZW5zYSBleHRyYV4wMDAwMDAu
ib7WDA,,W1NvbGlzXQpIZWhlISBUaGFuayB5b3UuIFRoZW4gdG9kYXkgYXMgd2VsbCwgZGVhbCB3aXRoIF4wMDAwQ0RFbXBhdGhpemVyLCBIYXBwaW5lc3MgR2l2ZXIsIFByYXkgR2l2ZXIsIGFuZCBTbWlsZSBHaXZlcl4wMDAwMDAuIEFib3V0IF4wMDAwQ0QxNSBlYWNoXjAwMDAwMCBzaG91bGQgYmUgZW5vdWdoLj8=,,,,,W1NvbGlzXQpPYnJpZ2FkYSEgQ29udGludWUgaG9qZSBjb20gZXNzZXMgbW9uc3Ryb3MsIF4wMDAwQ0QxNSBkZSBjYWRhXjAwMDAwMC4=,,W1NvbGlzXSAgCsKhR3JhY2lhcyEgQ29udGluw7phIGhveSBjb24gZXNvcyBtb25zdHJ1b3MsIF4wMDAwQ0QxNSBkZSBjYWRhIHVub14wMDAwMDAu
