4FYdAQ,,UmFjaGVsIEd1YXJk,,,,,R3VhcmRhIGRlIFJhY2hlbA==,,UmFjaGVsIEd1YXJk
A1cdAQ,,W0xhbWlyXQpVZ2ghIEV2ZW4gdG9kYXksIGhlCnN0aWxsIGdldHMgb24gbXkgbmVydmVzIQpJIG1lYW4sIGl0J3MgZ3JlYXQgdGhhdCBoZSdzCmEgZ3VhcmQgYXQgSGlnaCBQcmllc3QgVmlsZHQncwpvZmZpY2UsIGJ1dCBjb21lIG9uISBXaHkgY2FuJ3QKaGUgYm90aGVyIGFub3RoZXIgZ2lybD8=,,,,,W0xhbWlyXQpVZ2ghIEF0w6kgaG9qZSwgZWxlCmFpbmRhIG1lIGTDoSBub3MgbmVydm9zIQpRdWVybyBkaXplciwgw6kgw7N0aW1vIHF1ZSBlbGUgc2VqYQp1bSBndWFyZGEgZGEgc2FsYSBkbyBTdW1vIFNhY2VyZG90ZSBWaWxkdCwKbWFzIHF1YWwgw6khIFBvciBxdWUgZWxlIG7Do28gcG9kZQppbmNvbW9kYXIgb3V0cmEgZ2Fyb3RhPw==,,W0xhbWlyXQrCoVVmISDCoUluY2x1c28gaG95IGVuIGTDrWEsCm1lIHNpZ3VlIHNhY2FuZG8gZGUgcXVpY2lvIQpFcyBkZWNpciwgZXMgZ2VuaWFsIHF1ZSBzZWEKdW4gZ3VhcmRpYSBkZWwgZGVzcGFjaG8gZGVsIFN1bW8gc2FjZXJkb3RlIFZpbGR0LArCoXBlcm8gaWd1YWwhIMK/UG9yIHF1w6kgbm8KbW9sZXN0YSBhIG90cmEgY2hpY2E/
BFcdAQ,,dm9sX3RpbWU=,,,,,dm9sX3RpbWU=,,dm9sX3RpZW1wbw==
BVcdAQ,,R3VhcmQgS2FybHVtOiBMYW1pciEgSXQncyBLYXJsdW0hIFlvdXIgbG92ZSBpcyBoZXJlIQ==,,,,,R3VhcmRhIEthcmx1bTogTGFtaXIhIMOJIG8gS2FybHVtISBTZXUgYW1vciBlc3TDoSBhcXVpIQ==,,R3VhcmRpYSBLYXJsdW06IMKhTGFtaXIhIMKhRXMgS2FybHVtISDCoVR1IGFtb3IgZXN0w6EgYXF1w60h
BlcdAQ,,TGFtaXI6IEthcmx1bT8gV2hhdCBhcmUgeW91IGRvaW5nIGhlcmU/,,,,,TGFtaXI6IEthcmx1bT8gTyBxdWUgZXN0w6EgZmF6ZW5kbyBhcXVpPw==,,TGFtaXI6IMK/S2FybHVtPyDCv1F1w6kgaGFjZXMgYXF1w60/
B1cdAQ,,R3VhcmQgS2FybHVtOiBMYW1pciwgeW91IGNhbiBzdG9wIHByZXRlbmRpbmcgbm93LiAgSSd2ZSBjb21lIHRvIHJlYWxpemUgdGhhdCB5b3VyIGNvbGRuZXNzIG1hc2tzIHlvdXIgbG92ZX4=,,,,,R3VhcmRhIEthcmx1bTogTGFtaXIsIHZvY8OqIHBvZGUgcGFyYXIgZGUgZmluZ2lyIGFnb3JhLiBQZXJjZWJpIHF1ZSBzdWEgZnJpZXphIG1hc2NhcmEgc2V1IGFtb3Ih,,R3VhcmRpYSBLYXJsdW06IExhbWlyLCB5YSBwdWVkZXMgZGVqYXIgZGUgZmluZ2lyLiAgTWUgZGkgY3VlbnRhIGRlIHF1ZSB0dSBmcmlhbGRhZCBkaXNmcmF6YSB0dSBhbW9yLg==
CFcdAQ,,TGFtaXI6IFdoYXQgYXJlIHlvdSB0YWxraW5nIGFib3V0PyBTb3JyeSwgS2FybHVtLCBidXQgSSBkb24ndCBoYXZlIGFueSBzcGVjaWFsIGZlZWxpbmdzIGZvciB5b3Uu,,,,,TGFtaXI6IERvIHF1ZSBlc3TDoSBmYWxhbmRvPyBTaW50byBtdWl0bywgS2FybHVtLCBtYXMgbsOjbyB0ZW5obyBuZW5odW0gc2VudGltZW50byBlc3BlY2lhbCBwb3Igdm9jw6ou,,TGFtaXI6IMK/RGUgcXXDqSBlc3TDoXMgaGFibGFuZG8/IExvIHNpZW50bywgS2FybHVtLCBwZXJvIG5vIHNpZW50byBuYWRhIGVzcGVjaWFsIHBvciB0aS4=
CVcdAQ,,R3VhcmQgS2FybHVtOiBJIGtub3csIGl0J3MgZW1iYXJyYXNzaW5nIHRvIGNvbmZlc3MgeW91ciB0cnVlIGZlZWxpbmdzfg==,,,,,R3VhcmRhIEthcmx1bTogRXUgc2VpLCDDqSBlbWJhcmHDp29zbyBjb25mZXNzYXIgc2V1cyB2ZXJkYWRlaXJvcyBzZW50aW1lbnRvcyE=,,R3VhcmRpYSBLYXJsdW06IFPDqSBxdWUgZGEgdmVyZ8O8ZW56YSBjb25mZXNhciB0dXMgdmVyZGFkZXJvcyBzZW50aW1pZW50b3Mu
ClcdAQ,,R3VhcmQgS2FybHVtOiBIb3dldmVyLCBJIGNhbid0IGRlbnkgdGhhdCB5b3VyIHNoeW5lc3MgaXMgYnJlYWtpbmcgbXkgaGVhcnQu,,,,,R3VhcmRhIEthcmx1bTogTm8gZW50YW50bywgbsOjbyBwb3NzbyBuZWdhciBxdWUgc3VhIHRpbWlkZXogZXN0w6EgcGFydGluZG8gbWV1IGNvcmHDp8Ojby4=,,R3VhcmRpYSBLYXJsdW06IFNpbiBlbWJhcmdvLCBubyBwdWVkbyBuZWdhciBxdWUgdHUgdGltaWRleiBtZSByb21wZSBlbCBjb3JhesOzbi4=
C1cdAQ,,TGFtaXI6IEthcmx1bSwgd2hlbiB3aWxsIHlvdSByZWFsaXplIHRoYXQgSSBoYXZlbid0LCBhbmQgd29uJ3QgZXZlciBmYWxsIGluIGxvdmUgd2l0aCB5b3U/,,,,,TGFtaXI6IEthcmx1bSwgcXVhbmRvIHZvY8OqIHZhaSBwZXJjZWJlciBxdWUgZXUgbsOjbyBtZSBhcGFpeG9uZWkgZSBudW5jYSB2b3UgbWUgYXBhaXhvbmFyIHBvciB2b2PDqj8=,,TGFtaXI6IEthcmx1bSwgwr9jdcOhbmRvIHRlIGRhcsOhcyBjdWVudGEgZGUgcXVlIG5vIGVzdG95IG5pIG51bmNhIGVzdGFyw6kgZW5hbW9yYWRhIGRlIHRpPw==
DFcdAQ,,R3VhcmQgS2FybHVtOiAuLi4uLi4uLi4uLi4u,,,,,R3VhcmRhIEthcmx1bTogLi4uLi4uLi4uLi4uLg==,,R3VhcmRpYSBLYXJsdW06IC4uLi4uLi4uLi4uLi4=
DVcdAQ,,R3VhcmQgS2FybHVtOiBXaGEtLT8gQnV0IEkgdGhvdWdodC4uLj8gSHVoLCBzb3JyeS4gSSBzaG91bGQgZ2V0IGdvaW5nLi4u,,,,,R3VhcmRhIEthcmx1bTogTyBxdS4uLj8gTWFzIGV1IHBlbnNlaS4uLj8gSMOjLCBkZXNjdWxwZS4gRXUgcHJlY2lzbyBpciBlbWJvcmEuLi4=,,R3VhcmRpYSBLYXJsdW06IMK/UXXDqS4uLj8gUGVybyBwZW5zw6kuLi4gRWgsIGxvIHNpZW50by4gRGVibyBpcm1lLi4u
DlcdAQ,,W0d1YXJkIEtyb2RnZXJdCldoYXQncyB3aXRoIHRoaXMgdmFzZT8KVGhleSBhbHdheXMgc2VuZCBtZSBvdXQKaGVyZSB0byBjbGVhbiB1cCB0aGlzIG1lc3MhCkkgbWVhbiwgaXQgaGFwcGVucyBzbyBvZnRlbiwKSSBkb24ndCB0aGluayBpdCdzIGFjY2lkZW50YWwuCllvdSB0aGluayBpdCdzIHZhbmRhbHM/,,,,,W0d1YXJkYSBLcm9kZ2VyXQpRdWFsIG8gcHJvYmxlbWEgZGVzdGUgdmFzbz8KRWxlcyBzZW1wcmUgbWUgbWFuZGFtCmFxdWkgcGFyYSBsaW1wYXIgZXNzYSBiYWd1bsOnYSEKUXVlcm8gZGl6ZXIsIGlzc28gYWNvbnRlY2UgY29tIHRhbnRhIGZyZXF1w6puY2lhLApxdWUgZXUgbsOjbyBhY2hvIHF1ZSBzZWphIGFjaWRlbnRhbC4KVm9jw6ogYWNoYSBxdWUgc8OjbyB2w6JuZGFsb3M/,,W0d1YXJkaWEgS3JvZGdlcl0Kwr9RdcOpIHBhc2EgY29uIGVzdGUgamFycsOzbj8KwqFTaWVtcHJlIG1lIG1hbmRhbgphIGxpbXBpYXIgZXN0ZSBkZXNhc3RyZSEKUGFzYSB0YW4gYSBtZW51ZG8KcXVlIG5vIGNyZW8gcXVlIHNlYSBhY2NpZGVudGFsLgrCv0NyZWVzIHF1ZSBzb24gdsOhbmRhbG9zPw==
D1cdAQ,,dm9sX3RpbWUy,,,,,dm9sX3RpbWUy,,dm9sX3RpbWUgMg==
EFcdAQ,,R3VhcmQgS3JvZGdlcjogUGhld34sIG5vdyBJJ20gZG9uZSBjbGVhbmluZyB1cCB0aGlzIG1lc3Mu,,,,,R3VhcmRhIEtyb2RnZXI6IFVmYSFUZXJtaW5laSBkZSBsaW1wYXIgZXNzYSBiYWd1bsOnYS4=,,R3VhcmRpYSBLcm9kZ2VyOiBGaXUsIHlhIHRlcm1pbsOpIGRlIGxpbXBpYXIgZXN0ZSBkZXNhc3RyZS4=
EVcdAQ,,RHJhd2Vy,,,,,R2F2ZXRh,,Q2Fqw7Nu
ElcdAQ,,XjMzNTVGRlRoZXJlIGFyZSBzb21lIG5lYXRseQpwcmludGVkIGFuZCBvcmdhbml6ZWQKZG9jdW1lbnRzIGluc2lkZQp0aGVzZSBkcmF3ZXJzLl4wMDAwMDA=,,,,,XjMzNTVGRlRlbSBhbGd1bnMgZG9jdW1lbnRvcwppbXByZXNzb3MgZSBiZW0gb3JnYW5pemFkb3MKZGVudHJvCmRlc3NhcyBnYXZldGFzLl4wMDAwMDA=,,XjMzNTVGRkhheSBhbGd1bm9zIGRvY3VtZW50b3MKY3VpZGFkb3NhbWVudGUKaW1wcmVzb3MgeSBvcmdhbml6YWRvcyBlbgplc3RvcyBjYWpvbmVzLl4wMDAwMDA=
E1cdAQ,,XjMzNTVGRldhaXQgYSBzZWNvbmQhClJpZ2h0IG5vdywgeW91J3JlIGNhcnJ5aW5nCnRvbyBtYW55IHRoaW5ncyB3aXRoIHlvdS4KUGxlYXNlIGNvbWUgYmFjayBhZnRlcgp1c2luZyB0aGUgS2FmcmEgU2VydmljZQp0byBzdG9yZSBzb21lIG9mIHlvdXIgaXRlbXMuXjAwMDAwMA==,,,,,XjMzNTVGRkVzcGVyZSB1bSBzZWd1bmRvIQpWb2PDqiBlc3TDoSBjYXJyZWdhbmRvCm11aXRhcyBjb2lzYXMuClBvciBmYXZvciwgdm9sdGUgZGVwb2lzIGRlCnVzYXIgbyBTZXJ2acOnbyBLYWZyYQpwYXJhIGFybWF6ZW5hciBhbGd1bnMgZGUgc2V1cyBpdGVucy5eMDAwMDAw,,XjMzNTVGRsKhRXNwZXJhIQpFbiBlc3RlIG1vbWVudG8sIGxsZXZhcwpkZW1hc2lhZGFzIGNvc2FzLgpWdWVsdmUgbHVlZ28gZGUKdXNhciBlbCBzZXJ2aWNpbyBkZSBLYWZyYQpwYXJhIGd1YXJkYXIgYWxndW5vcyBvYmpldG9zLl4wMDAwMDA=
FFcdAQ,,XjMzNTVGRllvdSBmaW5kIGEgdGhpY2sgcGlsZQpvZiByZXBvcnRzIHN1Ym1pdHRlZAp0byB0aGUgaGlnaCBwcmllc3QKaW5zaWRlIHRoaXMgZHJhd2VyLl4wMDAwMDA=,,,,,XjMzNTVGRlZvY8OqIGVuY29udHJhIHVtYSBwaWxoYSBncm9zc2EKZGUgcmVsYXTDs3Jpb3MgZW52aWFkb3MKYW8gU3VtbyBTYWNlcmRvdGUKZGVudHJvIGRlc3NhIGdhdmV0YS5eMDAwMDAw,,XjMzNTVGRkVuY3VlbnRyYXMgdW5hIGVub3JtZSBwaWxhCmRlIGluZm9ybWVzIGVudmlhZG9zCmFsIFN1bW8gc2FjZXJkb3RlCmRlbnRybyBkZWwgY2Fqw7NuLl4wMDAwMDA=
FVcdAQ,,Q2hlY2sgdGhlIFJlcG9ydHM=,,,,,VmVyaWZpY2FyIG9zIFJlbGF0w7NyaW9z,,UmV2aXNhciBsb3MgaW5mb3JtZXMu
FlcdAQ,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXIu
F1cdAQ,,W3swfV0KV2VsbCwgaXQgbWlnaHQgbm90IGJlCnRoZSBtb3N0IG1vcmFsIHRoaW5nLApidXQgSSBnZXQgdGhlIGZlZWxpbmcKdGhhdCBJIHNob3VsZCBhdCBsZWFzdApjaGVjayBzb21lIG9mIHRoZXNlIG91dC4=,,,,,W3swfV0KQm9tLCBwb2RlIG7Do28gc2VyCmEgY29pc2EgbWFpcyBjZXJ0YSBhIHNlIGZhemVyLAptYXMgdGVuaG8gYSBzZW5zYcOnw6NvCmRlIHF1ZSBldSBkZXZlcmlhIHBlbG8gbWVub3MKZGFyIHVtYSBvbGhhZGEgZW0gYWxndW5zIGRlbGVzLg==,,W3swfV0KQnVlbm8sIHB1ZWRlIHF1ZSBubyBzZWEKbGEgZGVjaXNpw7NuIG3DoXMgbW9yYWwsCnBlcm8gdGVuZ28gbGEgc2Vuc2FjacOzbgpkZSBxdWUgYWwgbWVub3MgZGViZXLDrWEKcmV2aXNhciBhbGd1bm9zIGRlIGVzdG9zIGluZm9ybWVzLg==
GFcdAQ,,XjMzNTVGRllvdSBzdGFydGVkIHNodWZmbGluZwp0aHJvdWdoIHRoZSBkb2N1bWVudHMsCmdsYW5jaW5nIGF0IGEgZmV3IHRoYXQKY2F0Y2ggeW91ciBpbnRlcmVzdC5eMDAwMDAw,,,,,XjMzNTVGRlZvY8OqIGNvbWXDp291IGEgcmVtZXhlcgpvcyBkb2N1bWVudG9zLApkYW5kbyB1bWEgb2xoYWRhIGVtIGFsZ3VucwpxdWUgZGVzcGVydGFyYW0gc2V1IGludGVyZXNzZS5eMDAwMDAw,,XjMzNTVGRkVtcGllemFzIGEgaG9qZWFyCmxvcyBkb2N1bWVudG9zCnkgbGVzIGVjaGFzIHVuIHZpc3Rhem8KYSBhbGd1bm9zIHF1ZSBjYXB0YW4gdHUgYXRlbmNpw7NuLl4wMDAwMDA=
GVcdAQ,,W3swfV0KT29oLi4uClRoaXMgbWlnaHQgYmUKd2hhdCBJJ20gbG9va2luZyBmb3Iu,,,,,W3swfV0KQmluZ28hCkRldmUgc2VyIGlzc28KcXVlIGVzdG91IHByb2N1cmFuZG8u,,W3swfV0KQWguLi4KRXN0byBwb2Ryw61hIHNlcgpsbyBxdWUgZXN0b3kgYnVzY2FuZG8u
GlcdAQ,,XjMzNTVGRllvdSB0YWtlIHRoZSB0aGljayByZXBvcnQKbGFiZWxlZCAnJ1ZlaW5zIEdlb2xvZ2ljYWwKUmVzZWFyY2ggSW5zdGl0dXRlJycgb24KdGhlIGNvdmVyLCBhbmQgdGhlbiB5b3UKY2xvc2UgdGhlIGRyYXdlci5eMDAwMDAw,,,,,XjMzNTVGRlZvY8OqIHBlZ2EgbyByZWxhdMOzcmlvIGdyb3Nzbwpyb3R1bGFkbyBjb21vICcnSW5zdGl0dXRvIGRlIFBlc3F1aXNhCkdlb2zDs2dpY2EgZGUgVmVpbnMnJwpuYSBjYXBhLCBlIGVudMOjbyB2b2PDqgpmZWNoYSBhIGdhdmV0YS5eMDAwMDAw,,XjMzNTVGRlRvbWFzIGVsIGV4dGVuc28gaW5mb3JtZQp0aXR1bGFkbyBJbnN0aXR1dG8gZGUgSW52ZXN0aWdhY2nDs24KR2VvbMOzZ2ljYSBkZSBWZWlucwplbiBsYSBjYXLDoXR1bGEgeSwgbHVlZ28sCmNpZXJyYXMgZWwgY2Fqw7NuLl4wMDAwMDA=
G1cdAQ,,W3swfV0KRm9yZ2V0IGl0LgpJIGRpZG4ndCBnZXQgcGVybWlzc2lvbgp0byBsb29rIHRocm91Z2ggdGhlc2UgZmlsZXMu,,,,,W3swfV0KRXNxdWVjZS4KTsOjbyB0ZW5obyBwZXJtaXNzw6NvCnBhcmEgZXhhbWluYXIgZXNzZXMgYXJxdWl2b3Mu,,W3swfV0KT2x2w61kYWxvLgpObyB0ZW5nbyBwZXJtaXNvCnBhcmEgcmV2aXNhciBlc3RvcyBkb2N1bWVudG9zLg==
HFcdAQ,,W3swfV0KT2ghIEhlcmUncyBhbm90aGVyCmNvcHkgb2YgdGhhdCByZXBvcnQKSSB3YW50ZWQhIFByZXR0eSBsdWNreX4=,,,,,W3swfV0KQWghIEFxdWkgdGVtIG91dHJhCmPDs3BpYSBkbyByZWxhdMOzcmlvCnF1ZSBldSBxdWVyaWEhIFF1ZSBzb3J0ZSE=,,W3swfV0KwqFBaCEgwqFBcXXDrSBoYXkgb3RyYQpjb3BpYSBkZWwgaW5mb3JtZQpxdWUgcXVlcsOtYSEgwqFRdcOpIHN1ZXJ0ZSE=
HVcdAQ,,R29kZGVzcyBTdGF0dWU=,,,,,RXN0w6F0dWEgZGEgRGV1c2E=,,RXN0YXR1YSBkZSBsYSBkaW9zYQ==
HlcdAQ,,XjMzNTVGRkl0J3MgYSBzdGF0dWUgb2YgRnJleWEsCmEgZ29kZGVzcyByZXZlcmVkIGZvciBoZXIKY2xlbWVuY3kgYW5kIHdpc2RvbS5eMDAwMDAw,,,,,XjMzNTVGRsOJIHVtYSBlc3TDoXR1YSBkZSBGcmV5YSwKdW1hIGRldXNhIHJldmVyZW5jaWFkYSBwb3Igc3VhCmNsZW3Dqm5jaWEgZSBzYWJlZG9yaWEuXjAwMDAwMA==,,XjMzNTVGRkVzIHVuYSBlc3RhdHVhIGRlIEZyZXlhLAp1bmEgZGlvc2EgdmVuZXJhZGEgcG9yIHN1CmNsZW1lbmNpYSB5IHNhYmlkdXLDrWEuXjAwMDAwMA==
H1cdAQ,,TGFkZGVy,,,,,RXNjYWRh,,RXNjYWxlcmE=
IFcdAQ,,W3swfV0KV2FpdCwgSSBjYW4gdXNlIHRoaXMKbGFkZGVyIHRvIHNuZWFrIG91dCBvZgpoZXJlISBJIHNudWNrIGluc2lkZSBzbwpJJ2QgZ2V0IGNhdWdodCBpZiBJIGp1c3QKcGFzc2VkIHRoZSBndWFyZHMuLi4=,,,,,W3swfV0KRXNwZXJlLCBldSBwb3NzbyB1c2FyIGVzdGEKZXNjYWRhIHBhcmEgc2FpciBkYXF1aSEKRXUgZW50cmVpIGVzY29uZGlkbywKZW50w6NvIHNlcmlhIHBlZ28gc2Ugc2ltcGxlc21lbnRlCnBhc3Nhc3NlIHBlbG9zIGd1YXJkYXMuLi4=,,W3swfV0KwqFFc3BlcmEsIHB1ZWRvIHVzYXIgZXN0YQplc2NhbGVyYSBwYXJhIGVzY2FidWxsaXJtZQpkZSBhcXXDrSEgRW50csOpIGEgaHVydGFkaWxsYXMsIGFzw60gcXVlCm1lIGF0cmFwYXLDrWFuIHNpIHBhc28KanVudG8gYSBsb3MgZ3VhcmRpYXMuLi4=
IVcdAQ,,Q2xpbWIgTGFkZGVy,,,,,U3ViaXIgZXNjYWRh,,U3ViaXIgbGEgZXNjYWxlcmEu
IlcdAQ,,XjMzNTVGRllvdSBjbGltYmVkIHRoZQpsYWRkZXIgb3ZlciB0aGUKd2FsbCBhbmQgc251Y2sgb3V0Ll4wMDAwMDA=,,,,,XjMzNTVGRlZvY8OqIHN1Yml1IGEKZXNjYWRhIHNvYnJlIGEKcGFyZWRlIGUgZm9pIGVtYm9yYS5eMDAwMDAw,,XjMzNTVGRlN1YmVzIGxhCmVzY2FsZXJhIHBhcmEgc2FsdGFyCmVsIG11cm8geSB0ZSBlc2NhcGFzLl4wMDAwMDA=
I1cdAQ,,XjMzNTVGRllvdSBkZWNpZGVkIG5vdCB0byBjbGltYgp1cCB0aGUgbGFkZGVyIGZvciBub3cuXjAwMDAwMA==,,,,,XjMzNTVGRlZvY8OqIGRlY2lkaXUgbsOjbyBzdWJpciBhIGVzY2FkYSBwb3IgZW5xdWFudG8uXjAwMDAwMAo=,,XjMzNTVGRkRlY2lkaXN0ZSBubyBzdWJpcgpsYSBlc2NhbGVyYSBwb3IgYWhvcmEuXjAwMDAwMA==
JFcdAQ,,XjMzNTVGRlRoaXMgaG91c2UgbG9va3MgbGlrZQppdCdzIGJlZW4gYWJhbmRvbmVkIGZvcgphIHdoaWxlOiB0aGUgZmxvb3IgaXMgdGhpY2tseQpjb3ZlcmVkIHdpdGggZHVzdCBhbmQgbWFueQpwaWVjZXMgb2YgZGlzY2FyZGVkIHBhcGVyLl4wMDAwMDA=,,,,,XjMzNTVGRkVzdGEgY2FzYSBwYXJlY2UKZXN0YXIgYWJhbmRvbmFkYQpow6EgYWxndW0gdGVtcG86IG8gY2jDo28gZXN0w6EKY29iZXJ0byBkZSBwb2VpcmEgZSB2w6FyaW9zCnBlZGHDp29zIGRlIHBhcGVsIGRlc2NhcnRhZG8uXjAwMDAwMA==,,XjMzNTVGRlBhcmVjZSBxdWUgZXN0YSBjYXNhCmVzdMOhIGFiYW5kb25hZGEgaGFjZSByYXRvOgplbCBzdWVsbyB0aWVuZSB1bmEgY2FwYSBncnVlc2EKZGUgcG9sdm8geSBoYXkgbXVjaG9zIHRyb3pvcwpkZSBwYXBlbCBkZXNlY2hhZG8uXjAwMDAwMA==
JVcdAQ,,XjMzNTVGRk9uZSBwYXJ0aWN1bGFyIHBpZWNlCm9mIHBhcGVyIGNhdGNoZXMgeW91cgphdHRlbnRpb24uIFlvdSBwaWNrIGl0CnVwIGFuZCBnaXZlIGl0IGEgcmVhZC5eMDAwMDAw,,,,,XjMzNTVGRlVtIHBlZGHDp28gZGUgcGFwZWwgZW0gcGFydGljdWxhcgpjaGFtYSBzdWEKYXRlbsOnw6NvLiBWb2PDqiBvIHBlZ2EKZSBkw6EgdW1hIGxpZGEgbmVsZS5eMDAwMDAw,,XjMzNTVGRlVuIHRyb3pvIGRlIHBhcGVsCmVuIHBhcnRpY3VsYXIgbGxhbWEgdHUKYXRlbmNpw7NuLiBMbyBsZXZhbnRhcwp5IGxvIGxlZXMuXjAwMDAwMA==
JlcdAQ,,W1BhcGVyXQonJ14zMzMzMzNUaGUgcmVndWxhcmx5IHNjaGVkdWxlZApnZW9sb2dpY2FsIHN1cnZleSBoYWQgYmVlbgpwb3N0cG9uZWQgZm9yIG92ZXIgYSB3ZWVrLgpQbGVhc2Ugc3VibWl0IHlvdXIgcmVwb3J0CnRvIHVzIGFzIHNvb24gYXMgcG9zc2libGUuXjAwMDAwMCcn,,,,,W1BhcGVsXQonJ14zMzMzMzNBIHBlc3F1aXNhIGdlb2zDs2dpY2EgcHJvZ3JhbWFkYSByZWd1bGFybWVudGUKCmZvaSBhZGlhZGEgcG9yIG1haXMgZGUgdW1hIHNlbWFuYS4KUG9yIGZhdm9yLCBlbnZpZSBzZXUgcmVsYXTDs3JpbwpwYXJhIG7Ds3MgbyBtYWlzIHLDoXBpZG8gcG9zc8OtdmVsLl4wMDAwMDAnJw==,,W1BhcGVsXQpeMzMzMzMzTGEgaGFiaXR1YWwgaW5zcGVjY2nDs24KZ2VvbMOzZ2ljYSBwcm9ncmFtYWRhIHNlCnBvc3B1c28gbcOhcyBkZSB1bmEgc2VtYW5hLgpFbnbDrWFub3MgdHUgaW5mb3JtZQpsbyBhbnRlcyBwb3NpYmxlXjAwMDAwMC4=
J1cdAQ,,W3swfV0KQWx0aG91Z2ggdGhlIHNlbmRlcidzCm5hbWUgaXNuJ3Qgb24gdGhpcyBsZXR0ZXIsCkkgY2FuIGd1ZXNzIHdobyB3cm90ZSBpdC4KU3BlYWtpbmcgb2Ygd2hpY2guLi4KV2hlcmUncyB0aGUgZ2VvbG9naXN0Pw==,,,,,W3swfV0KRW1ib3JhIG8gbm9tZSBkbyByZW1ldGVudGUKbsOjbyBlc3RlamEgbmVzc2EgY2FydGEsCnBvc3NvIGFkaXZpbmhhciBxdWVtIGEgZXNjcmV2ZXUuIApGYWxhbmRvIG5pc3NvLi4uCk9uZGUgZXN0w6EgbyBnZcOzbG9nbz8=,,W3swfV0KQXVucXVlIGVsIG5vbWJyZSBkZWwgcmVtaXRlbnRlCm5vIGVzdMOpIGVuIGVzdGEgY2FydGEsCnB1ZWRvIGFkaXZpbmFyIHF1acOpbiBsYSBlc2NyaWJpw7MuIApIYWJsYW5kbyBkZSBlc28uLi4Kwr9Ew7NuZGUgZXN0w6EgZWwgZ2XDs2xvZ28/
KFcdAQ,,VG93bmVy,,,,,VG93bmVy,,SGFiaXRhbnRl
KVcdAQ,,W1Rvd25lcl0KVGhlIHNtYWxsIG9mZmljZSBvbiB0aGUKMm5kIGZsb29yIG9mIHRoaXMgd2VhcG9uCnNob3AgaXMgb2NjdXBpZWQgYnkgYQpnZW9sb2dpc3QuIEF0IGxlYXN0LCBoZSdzCnN1cHBvc2VkIHRvIGJlIG9uZS4uLg==,,,,,W1Rvd25lcl0KTyBlc2NyaXTDs3JpbyBwZXF1ZW5vIG5vCjLCuiBhbmRhciBkZXNzYSBMb2phIGRlIEFybWFzCsOpIG9jdXBhZG8gcG9yIHVtCmdlw7Nsb2dvLiBQZWxvIG1lbm9zLCBlbGUKZGV2ZXJpYSBzZXIgdW0uLi4=,,W0hhYml0YW50ZV0KRW4gbGEgcGVxdWXDsWEgb2ZpY2luYQpkZWwgc2VndW5kbyBwaXNvCmRlIGVzdGEgYXJtZXLDrWEgaGF5CnVuIGdlw7Nsb2dvLiBBbCBtZW5vcywgc2UKc3Vwb25lIHF1ZSBsbyBlcy4uLg==
KlcdAQ,,W1Rvd25lcl0KVGhlIGd1eSBtaWdodCBiZSBhIHF1YWNrOgphbGwgaGUgZG9lcyBpcyBkcmluayBhbmQKZmxpcnQgd2l0aCBza2Fua3kgd29tZW4KYWxsIGRheS4gSSB0aG91Z2h0IHNjaG9sYXJzCmFyZSBzdXBwb3NlZCB0byByZWFkIGFuZCBzdHVkeQphbmQgZGlzY292ZXIgdGhpbmdzLCB5b3Uga25vdz8=,,,,,W1Rvd25lcl0KTyBjYXJhIHBvZGUgc2VyIHVtIGNoYXJsYXTDo286CnR1ZG8gbyBxdWUgZWxlIGZheiDDqSBiZWJlciBlCmZsZXJ0YXIgY29tIG11bGhlcmVzIHByb23DrXNjdWFzCm8gZGlhIHRvZG8uIFBlbnNlaSBxdWUgb3MgYWNhZMOqbWljb3MKZGV2ZXJpYW0gbGVyLCBlc3R1ZGFyCmUgZGVzY29icmlyIGNvaXNhcywgc2FiZT8=,,W0hhYml0YW50ZV0KRWwgdGlwbyBwb2Ryw61hIHNlciB1biBjaGFybGF0w6FuOgpsbyDDum5pY28gcXVlIGhhY2UgZXMgYmViZXIgeQpjb3F1ZXRlYXIgY29uIG11amVyZXMgZGUgbWFsYSByZXB1dGFjacOzbgp0b2RvIGVsIGTDrWEuIENyZcOtYSBxdWUgbG9zIGVydWRpdG9zCmRlYsOtYW4gbGVlciB5IGVzdHVkaWFyCnkgZGVzY3VicmlyIGNvc2FzLCDCv3NhYmVzPw==
K1cdAQ,,RHJ1bmtlbiBNYW4=,,,,,SG9tZW0gQsOqYmFkbw==,,SG9tYnJlIGJvcnJhY2hv
LFcdAQ,,W0RydW5rZW4gTWFuXQpTby4uLiBeMzMzMzMzKlVycCpeMDAwMDAwClNvIHRoZW4gSSBzYWlkLi4u,,,,,W0hvbWVtIELDqmJhZG9dCkVudMOjby4uLiBeMzMzMzMzKlVycCpeMDAwMDAwCkVudMOjbywgZXUgZGlzc2UuLi4=,,W0hvbWJyZSBib3JyYWNob10KQXPDrSBxdWUuLi4gXjMzMzMzMypCdXJwKl4wMDAwMDAKQXPDrSBxdWUgbGUgZGlqZS4uLg==
