IPIsAg,,UmViYXJldiBEb3Vn,,,,,UmViYXJldiBEb3Vn,,U3IuIERvdWcgUmViYXJldg==
1vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KRm9yIG5vdywgSSBjYW5ub3QgbGV0IGFueW9uZSB3aXRob3V0IHNwZWNpYWwgYXV0aG9yaXphdGlvbiBnbyBsb29raW5nIHRocm91Z2ggdGhhdCBzZWN0aW9uLiBJIG11c3QgZmluZCB0aGF0IGZpbGUgYW5kIHNlbmQgaXQgdG8gdGhlIFByb250ZXJhIE1pbGl0YXJ5IGFzIHNvb24gYXMgSSBjYW4u,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpQb3IgZW5xdWFudG8sIGV1IG7Do28gcG9zc28gZGVpeGFyIG5pbmd1w6ltIHNlbSBwZXJtaXNzw6NvIGVzcGVjaWFsIG9saGFyIGVzdGEgc2XDp8Ojby4gRXUgZGV2byBhY2hhciBhcXVlbGUgYXJxdWl2byBlIG1hbmRhciBwcm8gRXjDqXJjaXRvIGRlIFByb250ZXJhIG8gbWFpcyByw6FwaWRvIHBvc3PDrXZlbC4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dClBvciBhaG9yYSwgbm8gcHVlZG8gcGVybWl0aXIgcXVlIG5hZGllIHNpbiBhdXRvcml6YWNpw7NuIGVzcGVjaWFsIHJldmlzZSBlc2Egc2VjY2nDs24uIERlYm8gZW5jb250cmFyIGVzZSBhcmNoaXZvIHkgZW52aWFybG8gYSBsYSBQcm9udGVyYSBNaWxpdGFyIHRhbiBwcm9udG8gY29tbyBwdWVkYS4=
1/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KRXJnaCEgVGhpcyBsaWdodCBpc24ndCBicmlnaHQgZW5vdWdoIGZvciBteSBleWVzLiBUaGV5J3JlIHN0YXJ0aW5nIHRvIGdldCBzb3JlIGFnYWluLi4u,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpBaGhoISBFc3NhIGx1eiBuw6NvIMOpIGNsYXJhIG8gc3VmaWNpZW50ZSBwcm9zIG1ldXMgb2xob3MuIEVsZXMgZXN0w6NvIGRvZW5kbyBkZSBub3ZvLi4u,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsKhRXJnaCEgRXN0YSBsdXogbm8gZXMgbG8gc3VmaWNpZW50ZW1lbnRlIGJyaWxsYW50ZSBwYXJhIG1pcyBvam9zLiBNZSBlc3TDoW4gZW1wZXphbmRvIGEgZG9sZXIgb3RyYSB2ZXouLi4=
2PIsAg,,W0xpYnJhcmlhbiBKZWthbl0KU28gd2hhdCBicmluZ3MgeW91IGhlcmU/IElmIHlvdSdyZSBsb29raW5nIGZvciBzb21ldGhpbmcgaW4gcGFydGljdWxhciwgeW91IHNob3VsZCB0cnkgYW5vdGhlciBzZWN0aW9uLg==,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpPIHF1ZSBvIHRyb3V4ZSBhcXVpPyBTZSB2b2PDqiBwcm9jdXJhIHBvciBhbGdvIGVtIHBhcnRpY3VsYXIsIGRldmVyaWEgdGVudGFyIG91dHJhIHNlw6fDo28u,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsK/UXXDqSB0ZSB0cmFlIHBvciBhcXXDrT8gU2kgYnVzY2FzIGFsZ28gZW4gcGFydGljdWxhciwgZGViZXLDrWFzIHByb2JhciBlbiBvdHJhIHNlY2Npw7NuLg==
2fIsAg,,RG8geW91IGhhdmUgYmFkIGV5ZXM/,,,,,UXVlIHRpcG8gZGUgYXJxdWl2byB2b2PDqiBlc3TDoSBwcm9jdXJhbmRvPw==,,wr9UaWVuZXMgbWFsYSB2aXN0YT8=
2vIsAg,,TGV0IG1lIGhlbHAgeW91IHRvIGZpbmQgdGhlIGZpbGVzLg==,,,,,RGVpeGUtbWUgYWp1ZGFyIGEgYWNoYXIgZXNzZXMgYXJxdWl2b3Mu,,RMOpamFtZSBheXVkYXJ0ZSBhIGVuY29udHJhciBsb3MgYXJjaGl2b3Mu
2/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KR3JycnJycnIuIEkgdG9sZCB5b3UgYWxyZWFkeSEKRmlsZXMgaW4gdGhhdCBzZWN0aW9uIGFyZSBub3QgYWNjZXNzaWJsZSB0byB0aGUgcHVibGljLCBva2F5PwpXaHkgZG8geW91IG1ha2UgbWUgcmVwZWF0IHRoZSBzYW1lIHRoaW5nIG92ZXIgYW5kIG92ZXIgYWdhaW4/,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpHcnJycnJyciEgRXUgasOhIHRlIGRpc3NlIQpBcnF1aXZvcyBkZXN0YSBzZcOnw6NvIG7Do28gc8OjbyBkZSBhY2Vzc28gcMO6YmxpY28sIG9rPwpQb3IgcXVlIHZvY8OqIG1lIGZheiByZXBldGlyIGEgbWVzbWEgY29pc2EgdsOhcmlhcyB2ZXplcz8=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkdycnJycnJyLiBZYSB0ZSBsbyBoZSBkaWNoby4KTG9zIGFyY2hpdm9zIGRlIGVzYSBzZWNjacOzbiBubyBzb24gYWNjZXNpYmxlcyBhbCBww7pibGljbywgwr92YWxlPwrCv1BvciBxdcOpIG1lIGhhY2VzIHJlcGV0aXIgbG8gbWlzbW8gdW5hIHkgb3RyYSB2ZXo/
3PIsAg,,W0xpYnJhcmlhbiBKZWthbl0KQXMgSSd2ZSB3b3JrZWQgdW5kZXIgZGltIGxpZ2h0aW5nIGZvciBzbyBsb25nLCBJJ20gc3RhcnRpbmcgdG8gbG9zZSBteSBleWVzaWdodC4KVGhleSBzaG91bGQgZ2V0IG1lIHNvbWUgbmV3IGxpZ2h0aW5nLiBPdGhlcndpc2UgSSB3aWxsIGdvIGJsaW5kIHNvb24u,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpDb21vIHZlbmhvIHRyYWJhbGhhbmRvIHNvYiB1bWEgbHV6IGJhaXhhIGR1cmFudGUgbXVpdG8gdGVtcG8sIG1ldXMgb2xob3MgZXN0w6NvIHDDqXNzaW1vcy4KRWxlcyBkZXZpYW0gbWUgZGFyIHVtYSBsdXogbm92YSwgb3UgZW50w6NvIHZvdSBmaWNhciBjZWdvIGNlZG8gb3UgdGFyZGUuLi4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkNvbW8gbGxldm8gdGFudG8gdGllbXBvIHRyYWJhamFuZG8gY29uIHBvY2EgbHV6LCBlc3RveSBlbXBlemFuZG8gYSBwZXJkZXIgbGEgdmlzdGEuCkRlYmVyw61hbiBjb25zZWd1aXJtZSBpbHVtaW5hY2nDs24gbnVldmEuIFNpIG5vLCBwcm9udG8gbWUgcXVlZGFyw6kgY2llZ28u
3fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KVW0/IEhvdyBkbyB5b3Uga25vdyB3aGF0IGZpbGUgSSdtIGxvb2tpbmcgZm9yPwpZb3UgZG9uJ3QgZXZlbiBrbm93IHdoYXQgaXMgd3JpdHRlbiBpbnNpZGUuClN0b3AgaW50ZXJydXB0aW5nIG1lIGFuZCBsZWF2ZSE=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpIbW0/IENvbW8gdm9jw6ogc2FiZSBxdWUgYXJxdWl2byBldSB0w7QgcHJvY3VyYW5kbz8KVm9jw6ogbmVtIHNhYmUgbyBxdWUgdMOhIGVzY3JpdG8gZGVudHJvPwpQYXJlIGRlIG1lIGludGVycm9tcGVyIGUgc2FpYSBqw6Eh,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsK/RWg/IMK/Q8OzbW8gc2FiZXMgcXXDqSBhcmNoaXZvIGVzdG95IGJ1c2NhbmRvPwpOaSBzaXF1aWVyYSBzYWJlcyBsbyBxdWUgaGF5IGVzY3JpdG8gZGVudHJvLgrCoURlamEgZGUgaW50ZXJydW1waXJtZSB5IHZldGUh
3vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KSG1tLiBJJ20gbm90IHN1cHBvc2VkIHRvIHJldmVhbCBhbnl0aGluZyByZWxhdGVkIHRvIHRoZSBmaWxlLg==,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpIbW0uIEV1IG7Do28gdGVuaG8gcGVybWlzc8OjbyBwYXJhIGRpdnVsZ2FyIHF1YWxxdWVyIGluZm9ybWHDp8OjbyBzb2JyZSBlc3NlIGFycXVpdm8u,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkhtbS4gU2Ugc3Vwb25lIHF1ZSBubyBkZWJvIHJldmVsYXIgbmFkYSByZWxhY2lvbmFkbyBjb24gZWwgYXJjaGl2by4=
3/IsAg,,W3swfV0KSXNuJ3QgdGhlIGZpbGUuLi4=,,,,,W3swfV0KTsOjbyDDqSBvIGFycXVpdm8uLi4=,,W3swfV0Kwr9ObyBlcyBlbCBhcmNoaXZvLi4u
4PIsAg,,W3swfV0KXjAwMDBGRnsxfT8=,,,,,W3swfV0KXjAwMDBGRnsxfT8=,,W3swfV0KXjAwMDBGRnsxfT8=
4fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KTWF5YmUuLi4KTWF5YmUgbm90Lg==,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpUYWx2ZXogc2ltLi4uCnRhbHZleiBuw6NvLg==,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dClRhbCB2ZXouLi4KVGFsIHZleiBuby4=
4vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KSG1tPyBTbyBkaWQgeW91IGZpbmQgaXQ/IEkndmUgYmVlbiBzZWFyY2hpbmcgZm9yIHRoYXQgZmlsZSBmb3IgYSBsb25nIHRpbWUsIGJ1dCBJIGhhdmVuJ3QgYmVlbiBhYmxlIHRvIGZpbmQgaXQu,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpIbW0/IFZvY8OqIGVuY29udHJvdT8gRXUgdGVuaG8gcHJvY3VyYWRvIHBvciBlc3NlIGFycXVpdm8gaMOhIG11aXRvIHRlbXBvLCBtYXMgbsOjbyBjb25zaWdvIGFjaGFyLg==,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsK/SG1tPyDCv0xvIGhhcyBlbmNvbnRyYWRvPyBMbGV2byBtdWNobyB0aWVtcG8gYnVzY2FuZG8gZXNlIGFyY2hpdm8sIHBlcm8gbm8gaGUgc2lkbyBjYXBheiBkZSBlbmNvbnRyYXJsby4=
4/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KSSdsbCBnbyBhaGVhZCBhbmQgc2VhcmNoIHRoZSByaWdodCBzaWRlLiBEbyB5b3UgdGhpbmsgeW91IGNvdWxkIHNlYXJjaCB0aGUgbGVmdD8=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpFdSB2b3UgcHJvY3VyYXIgbm8gbGFkbyBkaXJlaXRvLCB2b2PDqiBhY2hhIHF1ZSBwb2RlIHByb2N1cmFyIG5vIGVzcXVlcmRvPw==,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkJ1c2NhcsOpIGVuIGVsIGxhZG8gZGVyZWNoby4gwr9DcmVlcyBxdWUgcG9kcsOtYXMgcmVnaXN0cmFyIGxhIGl6cXVpZXJkYT8=
5PIsAg,,W0xpYnJhcmlhbiBKZWthbl0KSGF2ZSB5b3UgZm91bmQgaXQgeWV0PyBBbGwgdGhpcyB0aW1lIGFuZCBJIHN0aWxsIGhhdmVuJ3QgYmVlbiBhYmxlIHRvIGRpZyB1cCB0aGF0IGZpbGUu,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpWb2PDqiBlbmNvbnRyb3U/IFRvZG8gZXNzZSB0ZW1wbyBlIGV1IGFpbmRhIG7Do28gY29uc2VndWkgYWNoYXIgZXNzZSBhcnF1aXZvLg==,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsK/WWEgbG8gaGFzIGVuY29udHJhZG8/IFRvZG8gZXN0ZSB0aWVtcG8geSBhw7puIG5vIGhlIHBvZGlkbyBkZXNlbnRlcnJhciBlc2UgYXJjaGl2by4=
5fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KSSdsbCBnbyBhaGVhZCBhbmQgY2hlY2sgdGhlIGxlZnQgc2lkZS4gV291bGQgeW91IGxvb2sgZm9yIGl0IGluIHRoZSBtaWRkbGUgb3Igb24gdGhlIHJpZ2h0IHNpZGU/,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpFdSB2b3UgcHJvY3VyYXIgbm8gbGFkbyBlc3F1ZXJkbywgdm9jw6ogcG9kZXJpYSBwcm9jdXJhciBubyBtZWlvIG91IG5vIGxhZG8gZGlyZWl0bz8=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkJ1c2NhcsOpIGVuIGVsIGxhZG8gaXpxdWllcmRvLiDCv0xvIGJ1c2NhcsOtYXMgZW4gZWwgY2VudHJvIG8gZW4gZWwgbGFkbyBkZXJlY2hvPw==
5vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KQWghIFRoZXJlIGl0IGlzIQpUaGFuayB5b3Ugc28gbXVjaCEgSSdtIGdsYWQgdG8gc2VlIHRoYXQgdGhlcmUgYXJlIHN0aWxsIGtpbmQgYW5kIHRob3VnaHRmdWwgcGVvcGxlIGxpa2UgeW91IGluIHRoZSB3b3JsZC4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpBaCEgQXF1aSBlc3TDoSEKTXVpdG8gb2JyaWdhZG8hIEV1IGZpY28gZmVsaXogZGUgdmVyIHF1ZSBhaW5kYSB0ZW0gZ2VudGUgYXRlbmNpb3NhIGUgYm9hIGZlaXRvIHZvY8OqIG5vIG11bmRvLg==,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsKhQWghIMKhQWjDrSBlc3TDoSEKTXVjaMOtc2ltYXMgZ3JhY2lhcy4gTWUgYWxlZ3JhIHZlciBxdWUgdG9kYXbDrWEgaGF5IGdlbnRlIGFtYWJsZSB5IGF0ZW50YSBjb21vIHTDuiBlbiBlbCBtdW5kby4=
5/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KSSByZWFsbHkgd2FudCB0byBnaXZlIHlvdSBzb21ldGhpbmcgdG8gc2hvdyB5b3UgbXkgZ3JhdGl0dWRlLCBidXQgSSd2ZSBnb3QgdG8gc2VuZCB0aGlzIGJhY2sgdG8gdGhlIFByb250ZXJhIE1pbGl0YXJ5IHJpZ2h0IGF3YXku,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpFdSBxdWVyaWEgcG9kZXIgdGUgZGFyIGFsZ3VtYSBjb2lzYSBjb21vIGZvcm1hIGRlIGFncmFkZWNlciwgbWFzIHRlbmhvIGRlIG1hbmRhciBpc3NvIHBybyBFeMOpcmNpdG8gZGUgUHJvbnRlcmEgYWdvcmEgbWVzbW8u,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dClJlYWxtZW50ZSBxdWllcm8gZGFydGUgYWxnbyBwYXJhIG1vc3RyYXJ0ZSBtaSBncmF0aXR1ZCwgcGVybyB0ZW5nbyBxdWUgZW52aWFyIGVzdG8gZGUgdnVlbHRhIGEgbGEgUHJvbnRlcmEgTWlsaXRhciBkZSBpbm1lZGlhdG8u
6PIsAg,,SSB3YW50IHRvIHJlYWQgdGhlIGRvY3VtZW50Lg==,,,,,RXUgcXVlcm8gbGVyIG8gZG9jdW1lbnRvLg==,,UXVpZXJvIGxlZXIgZWwgZG9jdW1lbnRvLg==
6fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KT2gsIHJpZ2h0LCB5b3UgbWVudGlvbmVkIHRoYXQsIGRpZG4ndCB5b3U/IEl0IGRvZXNuJ3Qgc2VlbSBzbyBpbXBvcnRhbnQsIGJ1dCBJJ20gbm90IHJlYWxseSBxdWl0ZSBzdXJlLi4u,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpBaCwgc2ltLCB2b2PDqiBtZW5jaW9ub3UgaXNzbyBhbnRlcywgbsOpPyBFbGUgbsOjbyBwYXJlY2Ugc2VyIG11aXRvIGltcG9ydGFudGUsIG1hcyBldSBuw6NvIHRlbmhvIGNlcnRlemEuLi4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkFoLCBjaWVydG8sIGxvIG1lbmNpb25hc3RlLCDCv25vPyBObyBwYXJlY2UgdGFuIGltcG9ydGFudGUsIHBlcm8gbm8gZXN0b3kgbXV5IHNlZ3Vyby4uLg==
6vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KV2VsbCwgaXQgY291bGRuJ3QgaHVydCBpZiBJIG1hZGUgYSBjb3B5IG9mIHRoaXMgZm9yIHlvdSB0byByZWFkLiBCdXQgSSdsbCBuZWVkIHNvbWUgbWF0ZXJpYWxzIGZpcnN0Lg==,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpCZW0sIG7Do28gbWF0YXJpYSBzZSBldSBmaXplc3NlIHVtYSBjw7NwaWEgcHJpbWVpcm8gcHJhIHZvY8OqLCBtYXMgdm91IHByZWNpc2FyIGRlIGFsZ3VucyBtYXRlcmlhaXMu,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkJ1ZW5vLCBubyBlc3RhcsOtYSBkZSBtw6FzIHF1ZSBoaWNpZXJhIHVuYSBjb3BpYSBkZSBlc3RvIHBhcmEgcXVlIGxvIGxleWVyYXMuIFBlcm8gYW50ZXMgbmVjZXNpdGFyw6kgYWxndW5vcyBtYXRlcmlhbGVzLg==
6/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KSSdsbCBldmVuIGNhc3QgdGhlIHNlYXJjaCBtYWdpYyBvbiBpdCwgc28gaXQnbGwgYmUganVzdCBsaWtlIHRoZSBvcmlnaW5hbC4gQWxsIHJpZ2h0LCBJIG5lZWQgdGhlIGZvbGxvd2luZyB0aGluZ3MgdG8gbWFrZSBhIGNvcHkuLi4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpFdSB2b3UgYXTDqSBsYW7Dp2FyIHVtYSBtYWdpYSBuZWxlLCBwYXJhIHNlciBleGF0YW1lbnRlIGlndWFsIGFvIG9yaWdpbmFsLiBUdWRvIGJlbSwgZXUgcHJlY2lzbyBkYXMgc2VndWludGVzIGNvaXNhcyBwYXJhIGZhemVyIGEgY8OzcGlhLi4u,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkluY2x1c28gbGUgbGFuemFyw6kgbGEgbWFnaWEgZGUgYsO6c3F1ZWRhLCBwYXJhIHF1ZSBzZWEgaWd1YWwgcXVlIGVsIG9yaWdpbmFsLiBNdXkgYmllbiwgbmVjZXNpdG8gbGFzIHNpZ3VpZW50ZXMgY29zYXMgcGFyYSBoYWNlciB1bmEgY29waWEuLi4=
7PIsAg,,W0xpYnJhcmlhbiBKZWthbl0KMiBTbGljayBQYXBlciwKMSBPaWwgUGFwZXIsCjMgU3F1aWQgSW5rLAozIEZlYXRoZXIgb2YgQmlyZHMsIGFuZAoyMCBCbHVlIEdlbXN0b25lcy4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQoyIFBlZGHDp29zIGRlIFBhcGVsLAoxIFBhcGVsIEFtYXJlbGFkbywKMyBUaW50YXMgZGUgTHVsYSwKMyBQbHVtYXMgZGUgQXZlIGUKMjAgR2VtYXMgQXp1aXMu,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCjIgUGFwZWwgU2xpY2ssCjEgUGFwZWwgZGUgQWNlaXRlLAozIFRpbnRhIGRlIENhbGFtYXIsCjMgUGx1bWFzIGRlIEF2ZXMsIHkKMjAgR2VtYXMgQXp1bGVzLg==
7fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KUGxlYXNlIGdldCB0aG9zZSBhcyBzb29uIGFzIHBvc3NpYmxlLCBhbmQgSSdsbCBiZSBoZXJlIG1ha2luZyBwcmVwYXJhdGlvbnMgZm9yIHRoZSBjb3B5Lg==,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpQb3IgZmF2b3IsIHBlZ3VlIGVzc2VzIGl0ZW5zIG8gbWFpcyByw6FwaWRvIHBvc3PDrXZlbCwgZXUgZXN0YXJlaSBhcXVpIGZhemVuZG8gb3Mgb3V0cm9zIHByZXBhcmF0aXZvcyBwYXJhIGEgY8OzcGlhLg==,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dClBvciBmYXZvciwgY29uc8OtZ3VlbG9zIGxvIGFudGVzIHBvc2libGUsIHkgeW8gZXN0YXLDqSBhcXXDrSBoYWNpZW5kbyBsb3MgcHJlcGFyYXRpdm9zIHBhcmEgbGEgY29waWEu
7vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KQWxzbywgSSdsbCBrZWVwIHRoaXMgY29weSBpbiB0aGUgTGlicmFyeSBmb3IgeW91IHRvIHJlYWQgYW5kIHRvIHByZXZlbnQgaXQgZnJvbSBiZWluZyBsZWFrZWQgdG8gdGhlIHB1YmxpYy4gWW91J2xsIGhhdmUgdG8gY29tZSB2aXNpdCBlYWNoIHRpbWUgeW91IHdpc2ggdG8gcmVhZCBpdC4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpBbMOpbSBkaXNzbywgdm91IG1hbnRlciBlc3NhIGPDs3BpYSBuYSBCaWJsaW90ZWNhIHByYSB2b2PDqiBsZXIsIGUgcHJldmVuaXIgcGFyYSBxdWUgZWxhIG7Do28gdmF6ZSBwYXJhIG91dHJhcyBwZXNzb2FzLiBFbnTDo28sIHZvY8OqIHRlcsOhIGRlIHZpciBhdMOpIGFxdWkgY2FkYSB2ZXogcXVlIGRlc2VqYXIgbGVyIG8gdGV4dG8u,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkFkZW3DoXMsIGd1YXJkYXLDqSBlc3RlIGVqZW1wbGFyIGVuIGxhIEJpYmxpb3RlY2EgcGFyYSBxdWUgbG8gbGVhcyB5IGV2aXRhciBxdWUgc2UgZmlsdHJlIGFsIHDDumJsaWNvLiBUZW5kcsOhcyBxdWUgdmVuaXIgYSB2aXNpdGFybWUgY2FkYSB2ZXogcXVlIGRlc2VlcyBsZWVybG8u
7/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KT2theSwgbm93Li4uCkNvbWUgYmFjayBoZXJlCmFzIHNvb24gYXMgeW91IGNhbi4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpPaywgYWdvcmEuLi4KVm9sdGUgYXF1aQpvIG1haXMgcsOhcGlkbyBwb3Nzw612ZWwu,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkJpZW4sIGFob3JhLi4uClZ1ZWx2ZSBhcXXDrQp0YW4gcHJvbnRvIGNvbW8gcHVlZGFzLg==
8PIsAg,,W0xpYnJhcmlhbiBKZWthbl0KT2gsIHlvdSBjYW1lIGJhY2suIEkgZGlkbid0IGV4cGVjdCB5b3UgdG8gcmV0dXJuIHF1aXRlIHNvIHF1aWNrbHkuIFdoYXRldmVyJ3MgaW5zaWRlIG11c3QgYmUgaW1wb3J0YW50IGZvciB5b3UgdG8ga25vdy4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpPaCwgdm9jw6ogdm9sdG91ISBFdSBuw6NvIGVzcGVyYXZhIHF1ZSB2b2PDqiB2b2x0YXNzZSB0w6NvIHLDoXBpZG8uIE8gcXVlIHF1ZXIgcXVlIGVzdGVqYSBkZW50cm8gZGV2ZSBzZXIgbXVpdG8gaW1wb3J0YW50ZSBwcmEgdm9jw6ou,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCk9oLCBoYXMgdnVlbHRvLiBObyBlc3BlcmFiYSBxdWUgdm9sdmllcmFzIHRhbiByw6FwaWRvLiBMbyBxdWUgaGF5YSBkZW50cm8gZGViZSBzZXIgaW1wb3J0YW50ZSBwYXJhIHRpLg==
8fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KQW55d2F5LCBwbGVhc2UgZ2l2ZSBtZSBhIG1vbWVudCB3aGlsZSBJIG1ha2UgdGhhdCBjb3B5IGZvciB5b3Uu,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpEZSBxdWFscXVlciBtb2RvLCBtZSBkw6ogdW0gdGVtcG8gZW5xdWFudG8gZmHDp28gYSBjw7NwaWEgcGFyYSB2b2PDqi4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkRlIHRvZG9zIG1vZG9zLCBwb3IgZmF2b3IsIGRlbWUgdW4gbW9tZW50byBtaWVudHJhcyBsZSBoYWdvIGVzYSBjb3BpYS4=
8vIsAg,,W0xpYnJhcmlhbiBKZWthbl0KQWxsIHJpZ2h0IHRoZW4uLi4KSSdsbCBzZWUgeW91IGluIGEgYml0Lg==,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpDZXJ0bywgZW50w6NvLi4uClRlIHZlam8gZGFxdWkgYSBwb3Vjby4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkRlIGFjdWVyZG8gZW50b25jZXMuLi4KVGUgdmVyw6kgZW4gdW4gcmF0by4=
8/IsAg,,W0xpYnJhcmlhbiBKZWthbl0KSGF2ZSB5b3UgZm9yZ290dGVuIHdoYXQgeW91IG5lZWQ/IEFsbCByaWdodCwgbGV0IG1lIHRlbGwgeW91IGFnYWluLi4u,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpWb2PDqiBlc3F1ZWNldSBkbyBxdWUgcHJlY2lzYSBwYXJhIGZhemVyIHVtYSBjw7NwaWE/IE11aXRvIGJlbSwgdm91IGRpemVyIGRlIG5vdm8uLi4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCsK/SGFzIG9sdmlkYWRvIGxvIHF1ZSBuZWNlc2l0YXM/IE11eSBiaWVuLCBkw6lqYW1lIGRlY8OtcnRlbG8gb3RyYSB2ZXouLi4=
9PIsAg,,W0xpYnJhcmlhbiBKZWthbl0KUGxlYXNlIGNvbWUgYmFjayB3aXRoIHRob3NlIGl0ZW1zIGFzIHNvb24gYXMgeW91IGNhbi4=,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpQb3IgZmF2b3IsIHZvbHRlIGNvbSBlc3NlcyBpdGVucyBvIG1haXMgcsOhcGlkbyBwb3Nzw612ZWwu,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dClBvciBmYXZvciwgdnVlbHZlIGNvbiBlc29zIG9iamV0b3MgdGFuIHByb250byBjb21vIHB1ZWRhcy4=
9fIsAg,,W0xpYnJhcmlhbiBKZWthbl0KTGV0IG1lIGdvIG92ZXIgYW5kIHJldmlldyB0aGUgZG9jdW1lbnQgYmVmb3JlIEkgbWFrZSBhIGNvcHku,,,,,W0JpYmxpb3RlY8OhcmlvIEpla2FuXQpEZWl4ZS1tZSByZXZpc2FyIG8gZG9jdW1lbnRvIGFudGVzIGRlIGxoZSBmYXplciBhIGPDs3BpYS4=,,W0JpYmxpb3RlY2FyaW8gSmVrYW5dCkTDqWphbWUgcmV2aXNhciBlbCBkb2N1bWVudG8gYW50ZXMgZGUgaGFjZXIgdW5hIGNvcGlhLg==
