oFEqDA,,S2FyYW0gUHVjaGk=,,,,,S2FyYW0gUHVjaGk=,,S2FyYW0gUHVjaGk=
DVIqDA,,W0Nvc3RlbGxvXQpNb3JlIHRoYW4gdGhhdCwgSSBoZWFyZCB5b3UgZGVjbGFyZWQgd2FyIG9uIEFsYmVydCBGb3JkLi4uLgpBcyBleHBlY3RlZCwgSSBzaG91bGQgcHJvYmFibHkgc3RheSBhdCB0aGUgcG9ydC4KSSBuZWVkIHRvIGNhbGwgZm9yIG1vcmUgYWR2ZW50dXJlcnMuLi4KQWhoLi4gSSdtIGJ1c3kuIEkgd2FudCB0byBiZSBidXN5Lg==,,,,,W0Nvc3RlbGxvXQpNYWlzIHF1ZSBpc3NvLCBvdXZpIGRpemVyIHF1ZSB2b2PDqiBkZWNsYXJvdSBndWVycmEgYSBBbGJlcnQgRm9yZC4uLi4KQ29tbyBlc3BlcmFkbywgZXUgcHJvdmF2ZWxtZW50ZSBkZXZlcmlhIGZpY2FyIG5vIHBvcnRvLgpQcmVjaXNvIGNoYW1hciBtYWlzIGF2ZW50dXJlaXJvcy4uLgpBaGguLiBFc3RvdSBvY3VwYWRvLiBRdWVybyBlc3RhciBvY3VwYWRvLg==,,W0Nvc3RlbGxvXQpNw6FzIHF1ZSBlc28sIGVzY3VjaMOpIHF1ZSBsZSBkZWNsYXJhc3RlIGxhIGd1ZXJyYSBhIEFsYmVydCBGb3JkLi4uLgpDb21vIGVyYSBkZSBlc3BlcmFyLCBwcm9iYWJsZW1lbnRlIGRlYmVyw61hIHF1ZWRhcm1lIGVuIGVsIHB1ZXJ0by4KTmVjZXNpdG8gbGxhbWFyIGEgbcOhcyB0cm90YW11bmRvcy4uLgpBaGguLiBFc3RveSBvY3VwYWRvLiBRdWllcm8gZXN0YXIgb2N1cGFkby4=
DlIqDA,,W0Nvc3RlbGxvXQpJZiBvbmx5IHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAuLiBpZiBvbmx5IHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAgd2VyZW4ndCBoZXJlLi4uIQ==,,,,,W0Nvc3RlbGxvXQpTZSBvcyBCw7pmYWxvcyBCYW5kaWRvcy4uLiBuw6NvIGVzdGl2ZXNzZW0gYXF1aS4uLiE=,,W0Nvc3RlbGxvXQrCoVNpIHNvbG8gbG9zIEJhbmRpZG9zIELDumZhbG8uLiBzaSBzb2xvIGxvcyBCYW5kaWRvcyBCw7pmYWxvIG5vIGVzdHV2aWVyb24gYXF1w60uLi4h
D1IqDA,,V3lhdHQgV2FycA==,,,,,V3lhdHQgV2FycA==,,V3lhdHQgV2FycA==
EFIqDA,,LSBZb3UgY2Fubm90IHByb2NlZWQgd2l0aCB0aGUgcXVlc3QgYmVjYXVzZSB5b3UgYXJlIGNhcnJ5aW5nIHRvbyBtYW55IGl0ZW1zLiAt,,,,,LSBWb2PDqiBuw6NvIHBvZGUgcHJvc3NlZ3VpciBjb20gYSBtaXNzw6NvIHBvcnF1ZSBlc3TDoSBjYXJyZWdhbmRvIGl0ZW5zIGRlbWFpcy4gLQ==,,LSBObyBwdWVkZXMgY29udGludWFyIGNvbiBsYSBtaXNpw7NuIHBvcnF1ZSBsbGV2YXMgZGVtYXNpYWRvcyBvYmpldG9zLiAt
EVIqDA,,W1d5YXR0IFdhcnBdCkEgbmV3IHNldHRsZXIsIEkgc2VlPwpUaGUgc3RyZWFtIG9mIGFwcGxpY2FudHMgbmV2ZXIgZW5kcywgdHJ1bHkuCkhleSwgdGhlcmUncyBub3RoaW5nIGZvciB5b3UgdG8gZG8gaGVyZS4=,,,,,W1d5YXR0IFdhcnBdCkVzdG91IHZlbmRvIGdlbnRlIG5vdmE/Ck8gZmx1eG8gZGUgY2FuZGlkYXRvcyBudW5jYSBhY2FiYSwgcmVhbG1lbnRlLgpFaSwgbsOjbyBow6EgbmFkYSBwYXJhIHZvY8OqIGZhemVyIGFxdWku,,W1d5YXR0IFdhcnBdCsK/VW4gbnVldm8gY29sb25vLCB5YSB2ZW8/CkVsIGZsdWpvIGRlIHNvbGljaXRhbnRlcyBudW5jYSB0ZXJtaW5hLCBkZSB2ZXJkYWQuCk95ZSwgbm8gaGF5IG5hZGEgcGFyYSB0aSBhcXXDrS4=
ElIqDA,,W1d5YXR0IFdhcnBdCklmIHlvdSdyZSBoZXJlIGxvb2tpbmcgZm9yIHdvcmssIGdldCBvdXQuCldobyBrbm93cz8gTWF5YmUgQ29zdGVsbG8gd2lsbCBoaXJlIHlvdSBhcyBhIG1pbmVyLg==,,,,,W1d5YXR0IFdhcnBdClNlIHZvY8OqIGVzdMOhIGFxdWkgcHJvY3VyYW5kbyB0cmFiYWxobywgY2FpYSBmb3JhLgpRdWVtIHNhYmU/IFRhbHZleiBDb3N0ZWxsbyB0ZSBjb250cmF0ZSBjb21vIGFxdWVsZXMgbWluZXJhZG9yZXMu,,W1d5YXR0IFdhcnBdClNpIGVzdMOhcyBhcXXDrSBidXNjYW5kbyB0cmFiYWpvLCB2ZXRlLgrCv1F1acOpbiBzYWJlPyAKVGFsIHZleiBDb3N0ZWxsbyB0ZSBjb250cmF0ZSBjb21vIG1pbmVyby4=
E1IqDA,,W1d5YXR0IFdhcnBdCldoYXQgaXMgaXQ/CkknbSBpbiB0aGUgbWlkZGxlIG9mIHJlY2VpdmluZyBhIHZlcnkgdXJnZW50IGFuZCBxdWl0ZSB0cm91Ymxlc29tZSBwaWVjZSBvZiBuZXdzLCBzbyBJJ20gc2Vuc2l0aXZlLCBJJ2QgcHJlZmVyIG5vdCB0byBiZSBkaXN0dXJiZWQu,,,,,W1d5YXR0IFdhcnBdCk8gcXVlIGZvaT8KRXN0b3Ugbm8gbWVpbyBkZSByZWNlYmVyIHVtYSBub3TDrWNpYSBtdWl0byB1cmdlbnRlIGUgYmFzdGFudGUgcHJvYmxlbcOhdGljYSwgZW50w6NvIGVzdG91IHNlbnPDrXZlbCwgcHJlZmVyaWEgbsOjbyBzZXIgaW5jb21vZGFkby4=,,W1d5YXR0IFdhcnBdCsK/UXXDqSBwYXNhPwpFc3RveSBlbiBtZWRpbyBkZSByZWNpYmlyIHVuYSBub3RpY2lhIG11eSB1cmdlbnRlIHkgYmFzdGFudGUgcHJvYmxlbcOhdGljYSwgYXPDrSBxdWUgZXN0b3kgc2Vuc2libGUsIHByZWZlcmlyw61hIG5vIHNlciBtb2xlc3RhZG8u
FFIqDA,,SSBjYW1lIHRvIGFzayBhYm91dCB0aGUgU21hbGwgQmFuZGl0IEdyb3VwLg==,,,,,VmltIHBlcmd1bnRhciBzb2JyZSBvcyBCw7pmYWxvcyBCYW5kaWRvcy4=,,VmluZSBhIHByZWd1bnRhciBzb2JyZSBsb3MgQmFuZGlkb3MgQsO6ZmFsby4=
FVIqDA,,W1d5YXR0IFdhcnBdCkh1aD8gRGlkIENvc3RlbGxvIHNlbmQgeW91PwpJIGhlYXJkIHRoZSBoZWFkIG9mZmljZSB3YXMgZ29pbmcgdG8gZG8gc29tZXRoaW5nIGFib3V0IHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAgcHJvYmxlbS4KU28gdGhhdCB3YXMgaGlyaW5nIGFuIGFkdmVudHVyZXI/,,,,,W1d5YXR0IFdhcnBdCkh1aD8gRm9pIG8gQ29zdGVsbG8gcXVlIHRlIGVudmlvdT8KT3V2aSBkaXplciBxdWUgYSBtYXRyaXogaWEgZmF6ZXIgYWxnbyBzb2JyZSBvIHByb2JsZW1hIGRvcyBCw7pmYWxvcyBCYW5kaWRvcy4KRW50w6NvIGVyYSBjb250cmF0YXIgdmlhamFudGVzPw==,,W1d5YXR0IFdhcnBdCsK/RWg/IArCv1RlIGVudmnDsyBDb3N0ZWxsbz8KRXNjdWNow6kgcXVlIGxhIG9maWNpbmEgY2VudHJhbCBpYmEgYSBoYWNlciBhbGdvIHNvYnJlIGVsIHByb2JsZW1hIGNvbiBsb3MgQmFuZGlkb3MgQsO6ZmFsby4Kwr9Bc8OtIHF1ZSBlcmEgY29udHJhdGFyIGEgdW4gdHJvdGFtdW5kb3M/
FlIqDA,,W1d5YXR0IFdhcnBdCkJ1dCB3aHkgaXNuJ3QgdGhhdCBzZWxmLXByb2NsYWltZWQgbWF5b3IgQ29zdGVsbG8gY29taW5nIGF0IHN1Y2ggYW4gaW1wb3J0YW50IHRpbWU/CkFoLCByaWdodC4gSGUncyBwcm9iYWJseSBhdCB0aGUgcG9ydCwgYXMgYWx3YXlzLCByZWFkeSB0byBydW4gYXdheSBhdCBhbnkgdGltZSwgdGhhdCBndXku,,,,,W1d5YXR0IFdhcnBdCk1hcyBwb3IgcXVlIGFxdWVsZSBhdXRvcHJvY2xhbWFkbyBwcmVmZWl0byBDb3N0ZWxsbyBuw6NvIHZlbSBudW1hIGhvcmEgdMOjbyBpbXBvcnRhbnRlPwpBaCwgY2VydG8uIEVsZSBwcm92YXZlbG1lbnRlIGVzdMOhIG5vIHBvcnRvLCBjb21vIHNlbXByZSwgcHJvbnRvIHBhcmEgZnVnaXIgYSBxdWFscXVlciBtb21lbnRvLi4u,,W1d5YXR0IFdhcnBdCsK/UGVybyBwb3IgcXXDqSBlc2UgYWxjYWxkZSBhdXRvcHJvY2xhbWFkbyBDb3N0ZWxsbyBubyB2aWVuZSBlbiB1biBtb21lbnRvIHRhbiBpbXBvcnRhbnRlPwpBaCwgY2llcnRvLiAKUHJvYmFibGVtZW50ZSBlc3TDqSBlbiBlbCBwdWVydG8sIGNvbW8gc2llbXByZSwgbGlzdG8gcGFyYSBodWlyIGVuIGN1YWxxdWllciBtb21lbnRvLCBlc2UgdGlwby4=
F1IqDA,,W1d5YXR0IFdhcnBdCkhhaCwgSSBleHBlY3RlZCB0b28gbXVjaCBmcm9tIHRoYXQgcGVyc29uLgpXZWxsLCB0aGV5IHNlbnQgYW4gYWR2ZW50dXJlciB0b28sIHNvIEknbGwgaGFuZGxlIHRoaXMgbWF0dGVyIG9uIG15IG93biBhdXRob3JpdHku,,,,,W1d5YXR0IFdhcnBdCkhhaCwgZXUgZXNwZXJhdmEgZGVtYWlzIGRlbGUuCkJlbSwgZW52aWFyYW0gdm9jw6osIGVudMOjbyB2b3UgbGlkYXIgY29tIGVzdGUgYXNzdW50byBwb3IgbWluaGEgcHLDs3ByaWEgYXV0b3JpZGFkZS4=,,W1d5YXR0IFdhcnBdCkJhaCwgZXNwZXLDqSBkZW1hc2lhZG8gZGUgZXNhIHBlcnNvbmEuCkJ1ZW5vLCBlbnZpYXJvbiBhIHVuIHRyb3RhbXVuZG9zIHRhbWJpw6luLCBhc8OtIHF1ZSBtYW5lamFyw6kgZXN0ZSBhc3VudG8gcG9yIG1pIHByb3BpYSBhdXRvcmlkYWQu
GFIqDA,,W1d5YXR0IFdhcnBdCkhhdmUgeW91IGhlYXJkIGFib3V0IHRoZSBmcmVpZ2h0IHRyYWluIGJlaW5nIGF0dGFja2VkIGFuZCBhbGwgdGhlIG9yZSBpbnNpZGUgYmVpbmcgcGx1bmRlcmVkPwpJIHNlZS4gWW91IGFsc28gaGVhcmQgdGhhdCB0aGUgbWluZSB3YXMgb2NjdXBpZWQ/,,,,,W1d5YXR0IFdhcnBdClZvY8OqIG91dml1IHNvYnJlIG8gdHJlbSBkZSBjYXJnYSBzZW5kbyBhdGFjYWRvIGUgdG9kbyBvIG1pbsOpcmlvIGRlbnRybyBzZW5kbyBzYXF1ZWFkbz8KRW50ZW5kby4gVm9jw6ogdGFtYsOpbSBvdXZpdSBxdWUgYSBtaW5hIGZvaSBvY3VwYWRhPw==,,W1d5YXR0IFdhcnBdCsK/SGFzIG/DrWRvIGhhYmxhciBkZWwgYXRhcXVlIGFsIHRyZW4gZGUgY2FyZ2EgeSBxdWUgdG9kbyBlbCBtaW5lcmFsIGludGVyaW9yIGZ1ZSBzYXF1ZWFkbz8KWWEgdmVvLgrCv1RhbWJpw6luIG/DrXN0ZSBxdWUgbGEgbWluYSBmdWUgb2N1cGFkYT8=
GVIqDA,,W1d5YXR0IFdhcnBdCkkgY2FuIHVuZGVyc3RhbmQgd2h5IHRoZSBoZWFkIG9mZmljZSBpcyBmcmFudGljLgpJIGhlYXJkIHRoZSBeNEQ0REZGcHVycGxlIG9yZV4wMDAwMDAgbWluZWQgZnJvbSB0aGUgbWluZSBoYXMgcXVpdGUgaGlnaCB2YWx1ZSBhbmQgaXMgdGhlIGNvbXBhbnkncyBtYWluIHByb2R1Y3Qu,,,,,W1d5YXR0IFdhcnBdClBvc3NvIGVudGVuZGVyIHBvcnF1ZSBhIG1hdHJpeiBlc3TDoSBmcmVuw6l0aWNhLgpPdXZpIGRpemVyIHF1ZSBvIF40RDRERkZtaW7DqXJpbyByb3hvXjAwMDAwMCBleHRyYcOtZG8gZGEgbWluYSB0ZW0gdmFsb3IgYmFzdGFudGUgYWx0byBlIMOpIG8gcHJpbmNpcGFsIHByb2R1dG8gZGEgY29tcGFuaGlhLg==,,W1d5YXR0IFdhcnBdClB1ZWRvIGVudGVuZGVyIHBvciBxdcOpIGxhIG9maWNpbmEgY2VudHJhbCBlc3TDoSBmcmVuw6l0aWNhLgpFc2N1Y2jDqSBxdWUgZWwgXjRENERGRm1pbmVyYWwgcMO6cnB1cmFeMDAwMDAwIGV4dHJhw61kbyBkZSBsYSBtaW5hIHRpZW5lIHVuIHZhbG9yIGJhc3RhbnRlIGFsdG8geSBlcyBlbCBwcm9kdWN0byBwcmluY2lwYWwgZGUgbGEgY29tcGHDscOtYS4=
GlIqDA,,W1d5YXR0IFdhcnBdCk1vcmUgdGhhbiBhbnl0aGluZywgdGhpcyB0b3duIHdhcyBidWlsdCB0byBtaW5lIGFuZCBzZWxsIHRoYXQgdmVyeSBvcmUsIHNvIHRoYXQgc2F5cyBpdCBhbGwuCkFuZCB0aGUgU21hbGwgQmFuZGl0IEdyb3VwIHNjb3VuZHJlbHMgaGF2ZSBwbHVuZGVyZWQgaXQuCkl0J3MgYSBzdWZmaWNpZW50bHkgdHJvdWJsZXNvbWUgYW5kIGFubm95aW5nIHNpdHVhdGlvbi4=,,,,,W1d5YXR0IFdhcnBdCk1haXMgcXVlIHF1YWxxdWVyIGNvaXNhLCBlc3RhIGNpZGFkZSBmb2kgY29uc3RydcOtZGEgcGFyYSBtaW5lcmFyIGUgdmVuZGVyIGFxdWVsZSBtZXNtbyBtaW7DqXJpbywgaXNzbyBkaXogdHVkby4KRSBvcyBwYXRpZmVzIGRvcyBCw7pmYWxvcyBCYW5kaWRvcyBvIHNhcXVlYXJhbS4Kw4kgdW1hIHNpdHVhw6fDo28gc3VmaWNpZW50ZW1lbnRlIHByb2JsZW3DoXRpY2EgZSBpcnJpdGFudGUu,,W1d5YXR0IFdhcnBdCk3DoXMgcXVlIG5hZGEsIGVzdGUgcHVlYmxvIGZ1ZSBjb25zdHJ1aWRvIHBhcmEgZXh0cmFlciB5IHZlbmRlciBlc2UgbWlzbW8gbWluZXJhbCwgYXPDrSBxdWUgZXNvIGxvIGRpY2UgdG9kby4KWSBsb3MgYnJpYm9uZXMgZGUgbG9zIEJhbmRpZG9zIELDumZhbG8gbG8gaGFuIHNhcXVlYWRvLgpFcyB1bmEgc2l0dWFjacOzbiBzdWZpY2llbnRlbWVudGUgcHJvYmxlbcOhdGljYSB5IG1vbGVzdGEu
G1IqDA,,W1d5YXR0IFdhcnBdCkJ1dCBqdXN0IG5vdywgYSBsZXR0ZXIgYXJyaXZlZCBpbiBhIHZlcnkgY3J1ZGUgd2F5LgpUaGV5IHdhbnQgdG8gbmVnb3RpYXRlIHJlZ2FyZGluZyB0aGUgb3JlIHRoZXkgc3RvbGUgYSB3aGlsZSBhZ28uCkkgZG9uJ3Qga25vdyB3aGF0IGRlbWFuZHMgdGhleSdsbCBtYWtlLCBob2xkaW5nIHRoZSBvcmUgYW5kIHRoZSBtaW5lIGhvc3RhZ2UsIGJ1dA==,,,,,W1d5YXR0IFdhcnBdCi4uLiBFbGVzIGRpemVtIHF1ZSBzZXUgbMOtZGVyLCBeNEQ0REZGSm9obm55IEphbWVzXjAwMDAwMCwgdmlyw6Egc296aW5obywgZW50w6NvIGRldmVtb3MgZW52aWFyIGFsZ3XDqW0gcXVlIHBvc3NhIG5lZ29jaWFyLi4uCklzc28gcHJvdmF2ZWxtZW50ZSBzaWduaWZpY2EgcXVlIENvc3RlbGxvIHRlbSBxdWUgaXIsIGNlcnRvPw==,,W1d5YXR0IFdhcnBdClBlcm8ganVzdG8gYWhvcmEsIGxsZWfDsyB1bmEgY2FydGEgZGUgdW5hIG1hbmVyYSBtdXkgY3J1ZGEuClF1aWVyZW4gbmVnb2NpYXIgcmVzcGVjdG8gYWwgbWluZXJhbCBxdWUgcm9iYXJvbiBoYWNlIHVuIHRpZW1wby4KTm8gc8OpIHF1w6kgZGVtYW5kYXMgaGFyw6FuLCB0b21hbmRvIGNvbW8gcmVow6luIGVsIG1pbmVyYWwgeSBsYSBtaW5hLCBwZXJv
HFIqDA,,W1d5YXR0IFdhcnBdCi4uLi4gVGhleSBzYXkgdGhlaXIgbGVhZGVyLCBeNEQ0REZGSm9obm55IEphbWVzXjAwMDAwMCwgd2lsbCBjb21lIGFsb25lLCBzbyB3ZSBzaG91bGQgc2VuZCBzb21lb25lIHdobyBjYW4gbmVnb3RpYXRlLi4uClRoaXMgcHJvYmFibHkgbWVhbnMgQ29zdGVsbG8gaGFzIHRvIGdvLCByaWdodD8=,,,,,W1d5YXR0IFdhcnBdCi4uLi4gRWxlcyBkaXplbSBxdWUgc2V1IGzDrWRlciwgXjRENERGRkpvaG5ueSBKYW1lc14wMDAwMDAsIHZpcsOhIHNvemluaG8sIGVudMOjbyBkZXZlbW9zIGVudmlhciBhbGd1w6ltIHF1ZSBwb3NzYSBuZWdvY2lhci4uLgpJc3NvIHByb3ZhdmVsbWVudGUgc2lnbmlmaWNhIHF1ZSBDb3N0ZWxsbyB0ZW0gcXVlIGlyLCBjZXJ0bz8=,,W1d5YXR0IFdhcnBdCi4uLi4gRGljZW4gcXVlIHN1IGzDrWRlciwgXjRENERGRkpvaG5ueSBKYW1lc14wMDAwMDAsIHZlbmRyw6Egc29sbywgYXPDrSBxdWUgZGViZW1vcyBlbnZpYXIgYSBhbGd1aWVuIHF1ZSBwdWVkYSBuZWdvY2lhci4uLgpFc3RvIHByb2JhYmxlbWVudGUgc2lnbmlmaWNhIHF1ZSBDb3N0ZWxsbyB0aWVuZSBxdWUgaXIsIMK/dmVyZGFkPw==
HVIqDA,,W1d5YXR0IFdhcnBdCk9yIHdvdWxkIHlvdSBnbyBvdXQgd2l0aCBtZSwgcHJldGVuZGluZyB5b3UncmUgdGhlIG5lZ290aWF0b3IgZGlzcGF0Y2hlZCBmcm9tIHRoZSBoZWFkIG9mZmljZT8=,,,,,W1d5YXR0IFdhcnBdCk91IHZvY8OqIGlyaWEgY29taWdvLCBmaW5naW5kbyBzZXIgbmVnb2NpYW50ZSBkYSBtYXRyaXo/,,W1d5YXR0IFdhcnBdCsK/TyBzYWxkcsOtYXMgY29ubWlnbywgZmluZ2llbmRvIHF1ZSBlcmVzIGVsIG5lZ29jaWFkb3IgZW52aWFkbyBkZXNkZSBsYSBvZmljaW5hIGNlbnRyYWw/
HlIqDA,,TGV0J3MgYXNrIE1yLiBDb3N0ZWxsby4=,,,,,VmFtb3MgcGVyZ3VudGFyIGFvIFNyLiBDb3N0ZWxsby4=,,UHJlZ3VudMOpbW9zbGUgYWwgU3IuIENvc3RlbGxvLg==
H1IqDA,,U291bmRzIGludGVyZXN0aW5nPw==,,,,,UGFyZWNlIGludGVyZXNzYW50ZT8=,,U3VlbmEgaW50ZXJlc2FudGUu
IFIqDA,,W1d5YXR0IFdhcnBdClRoZW4sIGNvdWxkIHlvdSBnbyByZWxheSB0aGF0IG1lc3NhZ2U/CklmIGl0J3MgYW4gdW5hdm9pZGFibGUgbWVldGluZywgSSdkIGxpa2UgdG8gcHJlcGFyZSBpbiBhZHZhbmNlLg==,,,,,W1d5YXR0IFdhcnBdCkVudMOjbywgdm9jw6ogcG9kZXJpYSBpciByZXRyYW5zbWl0aXIgZXNzYSBtZW5zYWdlbT8KU2UgZm9yIHVtYSByZXVuacOjbyBpbmV2aXTDoXZlbCwgZ29zdGFyaWEgZGUgbWUgcHJlcGFyYXIgY29tIGFudGVjZWTDqm5jaWEu,,W1d5YXR0IFdhcnBdCkVudG9uY2VzLCDCv3BvZHLDrWFzIGlyIGEgdHJhbnNtaXRpciBlc2UgbWVuc2FqZT8KU2kgZXMgdW5hIHJldW5pw7NuIGluZXZpdGFibGUsIG1lIGd1c3RhcsOtYSBwcmVwYXJhcm1lIGRlIGFudGVtYW5vLg==
IVIqDA,,W1d5YXR0IFdhcnBdCkNvc3RlbGxvIHdpbGwgYmUgYXQgdGhlIHBvcnQsIGFzIHVzdWFsLgpXZWxsLi4gSSBjYW4gZ3Vlc3Mgd2hhdCB0aGF0IGd1eSB3aWxsIHNheSwgYnV0IHdlIHN0aWxsIGhhdmUgdG8gcmVwb3J0LCByaWdodC4gSGFoYS4KVGhlbiBJJ2xsIHNlZSB5b3UgYmFjayBoZXJlLg==,,,,,W1d5YXR0IFdhcnBdCkNvc3RlbGxvIGVzdGFyw6Egbm8gcG9ydG8sIGNvbW8gZGUgY29zdHVtZS4KQmVtLi4gUG9zc28gYWRpdmluaGFyIG8gcXVlIGFxdWVsZSBjYXJhIHZhaSBkaXplciwgbWFzIGFpbmRhIHRlbW9zIHF1ZSByZXBvcnRhciwgY2VydG8/IEhhaGEuCkVudMOjbyB2ZWpvIHZvY8OqIGRlIHZvbHRhIGFxdWku,,W1d5YXR0IFdhcnBdCkNvc3RlbGxvIGVzdGFyw6EgZW4gZWwgcHVlcnRvLCBjb21vIGRlIGNvc3R1bWJyZS4KQnVlbm8uLiBQdWVkbyBhZGl2aW5hciBsbyBxdWUgZXNlIHRpcG8gZGlyw6EsIHBlcm8gdG9kYXbDrWEgdGVuZW1vcyBxdWUgaW5mb3JtYXIsIMK/dmVyZGFkPyAKSmFqYS4KRW50b25jZXMgdGUgdmVyw6kgZGUgdnVlbHRhIGFxdcOtLg==
IlIqDA,,W1d5YXR0IFdhcnBdClRoZSBjb21wYW55IHNlbnQgc29tZW9uZSB1c2VmdWwgYWZ0ZXIgYWxsPwpJJ2QgbGlrZSB0byBqdXN0IGhhbmRsZSBpdCBvdXJzZWx2ZXMsIGJ1dCB3ZSBoYXZlIHRvIHJlcG9ydCwgZXZlbiBpZiBqdXN0IGZvcm1hbGx5Lg==,,,,,W1d5YXR0IFdhcnBdCkEgbWF0cml6IGVudmlvdSBhbGd1w6ltIMO6dGlsIGFmaW5hbD8KR29zdGFyaWEgZGUgYXBlbmFzIGxpZGFyIGNvbSBpc3NvIG7Ds3MgbWVzbW9zLCBtYXMgdGVtb3MgcXVlIHJlcG9ydGFyLCBtZXNtbyBxdWUgc8OzIGZvcm1hbG1lbnRlLg==,,W1d5YXR0IFdhcnBdCsK/TGEgY29tcGHDscOtYSBlbnZpw7MgYSBhbGd1aWVuIMO6dGlsIGRlc3B1w6lzIGRlIHRvZG8/Ck1lIGd1c3RhcsOtYSBtYW5lamFybG8gbm9zb3Ryb3MgbWlzbW9zLCBwZXJvIHRlbmVtb3MgcXVlIGluZm9ybWFyLCBhdW5xdWUgc2VhIHNvbG8gZm9ybWFsbWVudGUu
I1IqDA,,W1d5YXR0IFdhcnBdClRoZW4sIHlvdSBnbyByZWxheSB0aGF0IG1lc3NhZ2UuCkluIHRoZSBtZWFudGltZSwgSSBuZWVkIHRvIG1ha2Ugc29tZSBwcmVwYXJhdGlvbnMu,,,,,W1d5YXR0IFdhcnBdCkVudMOjbywgdm9jw6ogdmFpIHJldHJhbnNtaXRpciBlc3NhIG1lbnNhZ2VtLgpOZXNzZSBtZWlvIHRlbXBvLCBwcmVjaXNvIGZhemVyIGFsZ3VucyBwcmVwYXJhdGl2b3Mu,,W1d5YXR0IFdhcnBdCkVudG9uY2VzLCB2ZSBhIHRyYW5zbWl0aXIgZXNlIG1lbnNhamUuCk1pZW50cmFzIHRhbnRvLCBuZWNlc2l0byBoYWNlciBhbGd1bm9zIHByZXBhcmF0aXZvcy4=
JFIqDA,,W1d5YXR0IFdhcnBdCkNvc3RlbGxvIHdpbGwgYmUgYXQgdGhlIHBvcnQsIGFzIHVzdWFsLgpUaGVuIEknbGwgc2VlIHlvdSBiYWNrIGhlcmUu,,,,,W1d5YXR0IFdhcnBdCkNvc3RlbGxvIGVzdGFyw6Egbm8gcG9ydG8sIGNvbW8gZGUgY29zdHVtZS4KRW50w6NvIHZlam8gdm9jw6ogZGUgdm9sdGEgYXF1aS4=,,W1d5YXR0IFdhcnBdCkNvc3RlbGxvIGVzdGFyw6EgZW4gZWwgcHVlcnRvLCBjb21vIGRlIGNvc3R1bWJyZS4KRW50b25jZXMgdGUgdmVyw6kgZGUgdnVlbHRhIGFxdcOtLg==
JVIqDA,,W1d5YXR0IFdhcnBdCk9oLCB5b3UncmUgaGVyZSBqdXN0IGluIHRpbWUuCk91ciBwcmVwYXJhdGlvbnMgYXJlIGRvbmUuCkp1c3QgeW91IGFuZCBJIG5lZWQgdG8gZ28sIHJpZ2h0Pw==,,,,,W1d5YXR0IFdhcnBdCk9oLCB2b2PDqiBjaGVnb3UgYmVtIG5hIGhvcmEuCk5vc3NvcyBwcmVwYXJhdGl2b3MgZXN0w6NvIHByb250b3MuCkFwZW5hcyB2b2PDqiBlIGV1IHByZWNpc2Ftb3MgaXIsIGNlcnRvPw==,,W1d5YXR0IFdhcnBdCk9oLCBsbGVnYXN0ZSBqdXN0byBhIHRpZW1wby4KTnVlc3Ryb3MgcHJlcGFyYXRpdm9zIGVzdMOhbiBsaXN0b3MuClNvbG8gbm9zb3Ryb3MgZG9zIG5lY2VzaXRhbW9zIGlyLCDCv3ZlcmRhZD8=
JlIqDA,,W1d5YXR0IFdhcnBdCldoYXQ/IENvc3RlbGxvPwpXaHkgd291bGQgdGhhdCBndXkgd2FudCB0byBnbyB0byBzdWNoIGEgcGxhY2UhCkkgYWxyZWFkeSBleHBlY3RlZCB5b3Ugd291bGQgYmUgdGhlIG9uZSBnb2luZy4=,,,,,W1d5YXR0IFdhcnBdCk8gcXXDqj8gQ29zdGVsbG8/ClBvciBxdWUgYXF1ZWxlIGNhcmEgaXJpYSBxdWVyZXIgaXIgYSB1bSBsdWdhciBkZXNzZXM/IQpKw6EgZXNwZXJhdmEgcXVlIHNlcmlhIHZvY8OqIHF1ZW0gaXJpYS4=,,W1d5YXR0IFdhcnBdCsK/UXXDqT8gCsK/Q29zdGVsbG8/CsKhwr9Qb3IgcXXDqSBlc2UgdGlwbyBxdWVycsOtYSBpciBhIHVuIGx1Z2FyIGFzw60/IQpZYSBlc3BlcmFiYSBxdWUgdMO6IHNlcsOtYXMgZWwgcXVlIGlyw61hLg==
