YMuFAw,,TGFydGFs,,,,,TGFydGFs,,TGFydGFs
icuFAw,,W0xhcnRhbF0KVWdoIC4uLiB5b3UgZmlsdGh5IGh1bWFuLgpZb3UgLi4uIHVnaCwgeW91IGFyZSB0cnlpbmcgdG8gYXdha2VuIHRoaXMgc2VhbGVkLWF3YXkgZHJhZ29uLQ==,,,,,W0xhcnRhbF0KVXJnaC4uLiBpZGlvdGEuCkhlaC4uLiB2b2PDqiBxdWVyIHJlYWxtZW50ZSB2ZXIgYSBtaW5oYSB0YXR1YWdlbSBkbyBEcmFnw6NvIE5lZ3JvIGRlc3BlcnRhci4=,,W0xhcnRhbF0KUHVhai4uLiBodW1hbm8gYXNxdWVyb3NvLgpUw7ouLi4gYWosIGVzdMOhcyBpbnRlbnRhbmRvIGRlc3BlcnRhciBhIGVzdGUgZHJhZ8OzbiBzZWxsYWRvLi4u
isuFAw,,W0xhcnRhbF0KR2xvcnkgdG8gdGhlIGdyZWF0IHJ1bGVyIG9mIHRoaXMgd29ybGQtCkJsZXNzaW5ncyB0byBIaXMgZmFpdGhmdWwgc2VydmFudHMt,,,,,W0xhcnRhbF0KR2zDs3JpYSBhbyBncmFuZGUgUmVpLgpCw6puw6fDo29zIGFvcyBzZXJ2b3MgZmnDqWlzLg==,,W0xhcnRhbF0KR2xvcmlhIGFsIGdyYW4gc29iZXJhbm8gZGUgZXN0ZSBtdW5kby4KQmVuZGljaW9uZXMgYSBzdXMgZmllbGVzIHNpcnZpZW50ZXMu
i8uFAw,,W0xhcnRhbF0KQ29udHJhY3RvciwgSSdtIGhhcHB5IHRvIHNlZSB5b3UgYWdhaW4uCkEgbC5vLm4uZy4gbmlnaHQgd2l0aG91dCBteSBNYXN0ZXIgLi4uIFlvdSd2ZSByZXR1cm5lZCBhbGl2ZSBmcm9tIHRoZSBeRkYwMDAwZXRlcm5hbCBkZXNwYWlyXjAwMDAwMC4=,,,,,W0xhcnRhbF0KQ29tbyDDqSBib20gdmVyIHF1ZSBvIG5vc3NvIHBhY3RvIGVzdMOhIGRlIHDDqS4KU2Vyw6NvIG11aXRvIG1haXMgcXVlIF5GRjAwMDAxMCBkaWFzIGUgMTAgbm9pdGVzXjAwMDAwMCBwYXJhIG8gcmV0b3JubyBkbyBub3NzbyBSZWksIHRhbHZleiBiaWxow7VlcyBkZSBhbm9zLg==,,W0xhcnRhbF0KQ29udHJhdGlzdGEsIHF1ZSBhbGVncsOtYSB2b2x2ZXJ0ZSBhIHZlci4KVW5hIG5vY2hlIGwuYS5yLmcuYS4gc2luIG1pIE1hZXN0cm8uLi4gVm9sdmlzdGUgdml2byBkZSBsYSBeRkYwMDAwZGVzZXNwZXJhY2nDs24gZXRlcm5hXjAwMDAwMC4=
jMuFAw,,W0xhcnRhbF0KSGVoZSwgaG93IHdpbGwgeW91IGhlbHAgcmVpbmNhcm5hdGUgbXkgTWFzdGVyPw==,,,,,W0xhcnRhbF0KSGVoZSwgY29tbyB2b2PDqiBnb3N0YXJpYSBkZSBzZXJ2aXIgZSBhanVkYXIgYSByZXNzdXJyZWnDp8OjbyBkbyBSZWkgRGVtw7RuaW8/,,W0xhcnRhbF0KSmUsIGplLCDCv2PDs21vIGF5dWRhcsOhcyBhIHF1ZSBtaSBNYWVzdHJvIHJlZW5jYXJuZT8=
jcuFAw,,W0xhcnRhbF0KSSBjYW4gc2VlIGZvciBteXNlbGYuIFlvdXIgYm9keSBpcyB5ZWFybmluZyBmb3IgcmVjb3ZlcnktClJlc3QgeW91ciBzb3VsIGluIGEgaG90IGJhdGggd2l0aCBmbG9hdGluZyByZWQgcGV0YWxzIC4uLiB3aXRoIGEgXkZGMDAwMGNyaW1zb24gbW9vbl4wMDAwMDAgc2hpbmluZyB0aHJvdWdoIHRoZSBkYXJrLCBhbmQgdGhlbiByZXR1cm4gdG8gbWUu,,,,,W0xhcnRhbF0KRXUgY29uc2lnbyB2ZXIgcXVlIHNldSBjb3JwbyBlc3TDoSBwZWRpbmRvIHBvciBkZXNjYW5zby4KQXNzaW0gcXVlIGFsaXZpYXIgYSBmYXRpZ2EgZSBeRkYwMDAwYSBtYWlvciBlc3RyZWxhIGFwYXJlY2VyXjAwMDAwMCwgcmV0b3JuZS4=,,W0xhcnRhbF0KUHVlZG8gdmVybG8gcG9yIG3DrSBtaXNtYS4gVHUgY3VlcnBvIGFuaGVsYSByZWN1cGVyYXJzZS4KRGVzY2Fuc2EgdHUgYWxtYSBlbiB1biBiYcOxbyBjYWxpZW50ZSBjb24gcMOpdGFsb3Mgcm9qb3MgZmxvdGFudGVzLi4uIGNvbiB1bmEgXkZGMDAwMGx1bmEgY2FybWVzw61eMDAwMDAwIHF1ZSBhdHJhdmllc2EgbGEgb3NjdXJpZGFkIHksIGRlc3B1w6lzLCB2dWVsdmUgYSBtw60u
jsuFAw,,SSdsbCBiZSBiYWNrLCBNYXN0ZXIu,,,,,Q29tbyBxdWlzZXIsIG1lc3RyZS4=,,Vm9sdmVyw6ksIE1hZXN0cm8u
j8uFAw,,SSdtIGRvbmUgcGxheWluZyB0aGF0IHN0dXBpZCBnYW1lIG9mIHlvdXJzLg==,,,,,VmFpIGNvbnRpbnVhciBjb20gZXNzYSBwaWFkYT8=,,WWEgbWUgY2Fuc8OpIGRlIGp1Z2FyIGVzZSBlc3TDunBpZG8ganVlZ28gdHV5by4=
kMuFAw,,W0xhcnRhbF0KSSdsbCBsZWF2ZSBpdCB0byB5b3UgYWdhaW4sIHRoZW4u,,,,,W0xhcnRhbF0KQWdyYWRlw6dvIHN1YSBjb29wZXJhw6fDo28u,,W0xhcnRhbF0KVGUgbG8gZW5jYXJnbyBvdHJhIHZleiwgZW50b25jZXMu
kcuFAw,,W3swfV0KVW1tIC4uLiBpcyBteSBMb3JkIHJldHVybmluZyB0byBsaWZlPw==,,,,,W3swfV0KQSBwcm9ww7NzaXRvLi4uIG8gUmVpIERlbcO0bmlvIHJlc3N1c2NpdG91Pw==,,W3swfV0KTW1tLi4uIMK/bWkgTG9yZCB2b2x2ZXLDoSBhIGxhIHZpZGE/
ksuFAw,,W0xhcnRhbF0KSS1JLUkgbWVhbiwgSGUgd2lsbCBpZiB3ZSBjb250aW51ZSBvdXIgd29yay4KQSB0cnVlIHNlcnZhbnQgd291bGQgbmV2ZXIgZG91YnQ/ISE=,,,,,W0xhcnRhbF0KRXIuLi4gY29udGludWUgY29tIGVzc2UgdHJhYmFsaG8gZSB2b2PDqiB2ZXLDoS4KTsOjbyBkdXZpZGUgZGUgbWltISEh,,W0xhcnRhbF0KTy1vLW8gc2VhLi4uIGxvIGhhcsOhIHNpIGNvbnRpbnVhbW9zIGNvbiBudWVzdHJvIHRyYWJham8uCsKhwr9VbiB2ZXJkYWRlcm8gc2Vydmlkb3IgbnVuY2EgZHVkYXLDrWE/IQ==
k8uFAw,,W0xhcnRhbF0KSSBob3BlIHlvdSB0YWtlIHRoaXMgbWF0dGVyIHNlcmlvdXNseSwgY29udHJhY3Rvci4KRm9yIHRoZSByZXN1bHQgb2YgdGhlIGNvbnRyYWN0IG1heSB3ZWxsIGJlIGFzIHN3ZWV0IGFzIF5GRjAwMDByaXBlbmVkIGZydWl0XjAwMDAwMCAuLi4=,,,,,W0xhcnRhbF0KTGVtYnJlLXNlIGRvIG5vc3NvIHBhY3RvLgpPIG1lbGhvciB2aW5obyDDqSBeRkYwMDAwbyBxdWUgbGV2YSBtYWlzIHRlbXBvXjAwMDAwMC4uLg==,,W0xhcnRhbF0KRXNwZXJvIHF1ZSB0ZSB0b21lcyBlc3RlIGFzdW50byBlbiBzZXJpbywgY29udHJhdGlzdGEuClBvcnF1ZSBlbCByZXN1bHRhZG8gZGVsIGNvbnRyYXRvIHBvZHLDrWEgc2VyIHRhbiBkdWxjZSBjb21vIHVuYSBeRkYwMDAwZnJ1dGEgbWFkdXJhXjAwMDAwMC4uLg==
lMuFAw,,W0xhcnRhbF0KVGhhbmsgeW91LCBjb250cmFjdG9yLiBJIGNhbiBmZWVsIHRoYXQgdGhlIGJsYWNrIGRyYWdvbiBpbiBteSBhcm1zIGlzIGFsc28gaGFwcHkuCkFoaCwgZm9yIG5vdywgSSBjYW4gZmluYWxseSBwdXQgbXlzZWxmIGF0IGVhc2Ut,,,,,W0xhcnRhbF0KUG9zc28gc2VudGlyIG8gRHJhZ8OjbyBOZWdybyBzb3JyaW5kbyBubyBtZXUgY29ycG8uCkFjaG8gcHJ1ZGVudGUgZmF6ZXIgdW1hIHBhdXNhLg==,,W0xhcnRhbF0KR3JhY2lhcywgY29udHJhdGlzdGEuIFB1ZWRvIHNlbnRpciBlbiBtaXMgYnJhem9zIHF1ZSBlbCBkcmFnw7NuIG5lZ3JvIHRhbWJpw6luIGVzdMOhIGZlbGl6LgpBaGgsIHBvciBhaG9yYSwgcG9yIGZpbiBwdWVkbyBlc3RhciBlbiBwYXou
lcuFAw,,W0xhcnRhbF0KSGVoLCBteSBMb3JkIGlzIGEgZmxhd2xlc3MgYmVpbmcuCklmIHRoZXJlIGlzIGFueSBlcnJvciwgaXQgbXVzdCBiZSBpbiB0aGUgd29ybGQgb3IgaW4gdGltZSwgZWxzZXdoZXJlIHRoYW4gbXkgTG9yZC4=,,,,,W0xhcnRhbF0KSGVoZSwgbyBSZWkgRGVtw7RuaW8gw6kgaW5mYWzDrXZlbC4KTWFzIGVycm9zIGFjb250ZWNlbS4uLg==,,W0xhcnRhbF0KSmUsIG1pIExvcmQgZXMgdW4gc2VyIGlubWFjdWxhZG8uClNpIGhheSBhbGfDum4gZXJyb3IsIGRlYmUgc3VjZWRlciBlbiBlbCBtdW5kbyBvIGVuIGVsIHRpZW1wbywgZW4gb3RybyBsdWdhciBkb25kZSBubyBlc3TDqSBtaSBMb3JkLg==
lsuFAw,,W0xhcnRhbF0KSWYgSSByZXBlYXQgd2hhdCBJJ3ZlIHNhaWQgLi4uIGl0IG11c3QgYmUgdGltZSBkaXN0b3J0aW9uLQpJdCB3b3VsZCBiZSB3aXNlIGZvciBhIHVzZWxlc3MgaHVtYW4gbGlrZSB5b3UgdG8gdGFrZSBhIHNjcmVlbnNob3QgYW5kIG1ha2UgYW4gaW5xdWlyeSAuLi4=,,,,,W0xhcnRhbF0KU2UgZXNzYSBtZW5zYWdlbSBjb250aW51YXIgYXBhcmVjZW5kby4uCkVudmllIHVtIHRpY2tldCBwYXJhIGEgY2VudHJhbCBkZSBzdXBvcnRlLi4u,,W0xhcnRhbF0KU2kgcmVwaXRvIGxvIHF1ZSBkaWplLi4uIGRlYmUgc2VyIHVuYSBkaXN0b3JzacOzbiBkZWwgdGllbXBvLgpTZXLDrWEgc2FiaW8gcXVlIHVuIGh1bWFubyBpbsO6dGlsIGNvbW8gdMO6IGhpY2llcmEgdW5hIGNhcHR1cmEgZGUgcGFudGFsbGEgeSBjb25zdWx0YXJhLi4u
