IMX7,,U3dpdGNo,,,,,SW50ZXJydXB0b3I=,,SW50ZXJydXB0b3I=
Y8X7,,W0xpYnJhcmlhbl0KV2VsY29tZSB0bwp0aGUgSnVubyBMaWJyYXJ5LgpIb3cgbWF5IEkgaGVscCB5b3U/,,,,,W0JpYmxpb3RlY8OhcmlvXQpCZW0tdmluZG8gw6AgCkJpYmxpb3RlY2EgSnVuby4KRW0gcXVlIHBvc3NvIGFqdWRhcj8=,,W0JpYmxpb3RlY2FyaW9dClRlIGRhbW9zIGxhIGJpZW52ZW5pZGEgYQpsYSBCaWJsaW90ZWNhIGRlIEp1bm8uCsK/RW4gcXXDqSBwdWVkbyBheXVkYXJ0ZT8=
ZMX7,,V2hhdCBpcyB0aGlzIHBsYWNlPw==,,,,,UXVlIGx1Z2FyIMOpIGVzc2U/,,wr9RdcOpIGVzIGVzdGUgbHVnYXI/
ZcX7,,V2hhdCBraW5kIG9mIGJvb2tzIGRvIHlvdSBoYXZlPw==,,,,,UXVlIHRpcG8gZGUgbGl2cm9zIHZvY8OqIHRlbT8=,,wr9RdcOpIHRpcG8gZGUgbGlicm9zIHRpZW5lcz8=
ZsX7,,Q2FuIEkgYm9ycm93IGEgYm9vaz8=,,,,,UG9zc28gcGVnYXIgdW0gbGl2cm8gZW1wcmVzdGFkbz8=,,wr9NZSBwcmVzdGFzIHVuIGxpYnJvPw==
Z8X7,,U28uLi4gSGF2ZSB5b3UgcmVhZCBldmVyeXRoaW5nIGhlcmU/,,,,,RW50w6NvLi4uIFZvY8OqIGrDoSBsZXUgdHVkbyBkYXF1aT8=,,QXPDrSBxdWUuLi4gwr9MZcOtc3RlIHRvZG8gbG8gcXVlIGhheSBhcXXDrT8=
aMX7,,Tm90aGluZywgdGhhbmtzLg==,,,,,TmFkYSwgYXTDqSBsb2dvLg==,,TmFkYSwgZ3JhY2lhcy4=
acX7,,W0xpYnJhcmlhbl0KVGhpcyBsaWJyYXJ5IHdhcyByZWNlbnRseQpyZW9wZW5lZCBhZnRlciBhIHJlbm92YXRpb24KdGhhdCBpbmNsdWRlZCB0aGUgYWRkaXRpb24gb2YKYm9va3MgdGhhdCBhcmUgbW9yZSBwb3B1bGFyCmFtb25nc3QgdGhlIGdlbmVyYWwgcHVibGljLg==,,,,,W0JpYmxpb3RlY8OhcmlvXQpFc3RhIGJpYmxpb3RlY2EgZm9pIHJlY2VudGVtZW50ZQpyZWFiZXJ0YSBhcMOzcyB1bWEgcmVmb3JtYQpxdWUgaW5jbHVpdSBhIGFkacOnw6NvIGRlCmxpdnJvcyBxdWUgc8OjbyBtYWlzIHBvcHVsYXJlcwplbnRyZSBvIHDDumJsaWNvIGVtIGdlcmFsLg==,,W0JpYmxpb3RlY2FyaW9dCkVzdGEgYmlibGlvdGVjYSByZWFicmnDswpoYWNlIHBvY28sIHRyYXMgdW5hIHJlbm92YWNpw7NuCnF1ZSBpbmNsdXnDsyBxdWUgc2UgYWdyZWdhcmFuCmxpYnJvcyBtw6FzIHBvcHVsYXJlcwpwYXJhIGVsIHDDumJsaWNvIGdlbmVyYWwu
asX7,,W0xpYnJhcmlhbl0KQmVmb3JlIHdlIGNhcnJpZWQgcG9wdWxhcgpsaXRlcmF0dXJlIGFuZCBwZXJpb2RpY2Fscywgd2UKb25seSBoYWQgYW5jaWVudCBkb2N1bWVudHMKYW5kIHNpZ25pZmljYW50bHkgaGlzdG9yaWNhbApib29rcy4gQmFzaWNhbGx5LCB0aGluZ3Mgb25seQpzY2hvbGFycyBhcmUgaW50ZXJlc3RlZCBpbi4=,,,,,W0JpYmxpb3RlY8OhcmlvXQpBbnRlcyBkZSB0ZXJtb3MgbGl0ZXJhdHVyYQpsZSBwZXJpw7NkaWNvcyBwb3B1bGFyZXMsIHPDsyAKdMOtbmhhbW9zIGRvY3VtZW50b3MgYW50aWdvcwplIGxpdnJvcyBoaXN0w7NyaWNvcyBtYWlzCmltcG9ydGFudGVzLiBFbmZpbSwgY29pc2FzIG5hcyBxdWFpcyBzw7MgCnPDoWJpb3MgZSBwcm9mZXNzb3JlcyBzZSBpbnRlcmVzc2FtLg==,,W0JpYmxpb3RlY2FyaW9dCkFudGVzIGRlIGluY2x1aXIgbGl0ZXJhdHVyYQpwb3B1bGFyIHkgcGVyacOzZGljb3MsIHNvbG8KdGVuw61hbW9zIGRvY3VtZW50b3MgYW50aWd1b3MKeSBsaWJyb3MgZGUgaW1wb3J0YW5jaWEKaGlzdMOzcmljYS4gQsOhc2ljYW1lbnRlLCBsYXMgY29zYXMgcXVlIHNvbG8KaW50ZXJlc2FuIGEgbG9zIGVydWRpdG9zLg==
a8X7,,W0xpYnJhcmlhbl0KT2gsIGFuZCBsZXQgbWUgcmVtaW5kIHlvdQp0aGF0IHNvbWUgb2YgdGhlIGJvb2tzIG9uCnRoZSBzaGVsdmVzIGFyZSB3cml0dGVuIGluCmRpZmZlcmVudCBsYW5ndWFnZXMuIFNvIGlmCnlvdSBzZWUgYW55IHRoYXQgeW91IGNhbid0CnJlYWQsIGRvbid0IHdvcnJ5IGFib3V0IGl0Lg==,,,,,W0JpYmxpb3RlY8OhcmlvXQpBaCwgZSBkZWl4ZSBsZW1icmFyIGEgdm9jw6oKcXVlIGFsZ3VucyBkb3MgbGl2cm9zIG5hcwpwcmF0ZWxlaXJhcyBlc3TDo28gZXNjcml0b3MgZW0KaWRpb21hcyBkaWZlcmVudGVzLiBQb3J0YW50bywgc2UKc2Ugdm9jw6ogdmlyIGFsZ3VtIHF1ZSBuw6NvIGNvbnNpZ2EKbGVyLCBuw6NvIHNlIHByZW9jdXBlIGNvbSBpc3NvLg==,,W0JpYmxpb3RlY2FyaW9dCkFoLCB5IGTDqWphbWUgcmVjb3JkYXJ0ZQpxdWUgYWxndW5vcyBkZSBsb3MgbGlicm9zIGVuCmxhcyBlc3RhbnRlcsOtYXMgZXN0w6FuIGVzY3JpdG9zIGVuCmRpZmVyZW50ZXMgaWRpb21hcy4gQXPDrSBxdWUgc2kKdmVzIGFsZ3VubyBxdWUgbm8gcHVlZGFzCmxlZXIsIG5vIHRlIHByZW9jdXBlcy4=
bMX7,,W0xpYnJhcmlhbl0KV2VsbCwgSSBob3BlIHlvdSBlbmpveQp5b3VyIHRpbWUgaW4gdGhlIGxpYnJhcnkuCkFuZCBhbHdheXMgcmVtZW1iZXIKdG8ga2VlcCBxdWlldCBmb3IgdGhlIG90aGVyCnJlYWRlcnMgaW4gaGVyZS4gVGhhbmsgeW91fg==,,,,,W0JpYmxpb3RlY8OhcmlvXQpCZW0sIGVzcGVybyBxdWUgdm9jw6ogYXByb3ZlaXRlCnNldSB0ZW1wbyBuYSBiaWJsaW90ZWNhLgpFIGxlbWJyZS1zZSBzZW1wcmUKZGUgbWFudGVyIG8gc2lsw6puY2lvIHBhcmEgb3Mgb3V0cm9zCmxlaXRvcmVzIGFxdWkgZGVudHJvLiBPYnJpZ2Fkb34=,,W0JpYmxpb3RlY2FyaW9dCkJ1ZW5vLCBlc3Blcm8gcXVlIGRpc2ZydXRlcwp0dSB0aWVtcG8gZW4gbGEgYmlibGlvdGVjYS4KWSByZWN1ZXJkYSBzaWVtcHJlCmd1YXJkYXIgc2lsZW5jaW8KcG9yIGxvcyBkZW3DoXMgbGVjdG9yZXMuIEdyYWNpYXMu
bcX7,,W0xpYnJhcmlhbl0KT3JpZ2luYWxseSwgd2Ugb25seSBoYWQKYm9va3MgcmVsYXRlZCB0byBzY2llbnRpZmljCmFuZCBoaXN0b3JpY2FsIHJlc2VhcmNoLiBPZgpjb3Vyc2UsIG91ciBjb21taXRtZW50IHRvCmFjYWRlbWlhIGFuZCBzZWFyY2ggZm9yCmtub3dsZWRnZSBoYXNuJ3QgY2hhbmdlZC4=,,,,,W0JpYmxpb3RlY8OhcmlvXQpPcmlnaW5hbG1lbnRlLCBzw7MgdMOtbmhhbW9zCmxpdnJvcyByZWxhY2lvbmFkb3Mgw6AgcGVzcXVpc2EKY2llbnTDrWZpY2EgZSBoaXN0w7NyaWNhLiDDqSAKY2xhcm8gcXVlIG5vc3NvIGNvbXByb21pc3NvIGNvbQpvcyBhY2Fkw6ptaWNvcyBlIGNvbSBhIGJ1c2NhIHBlbG8KY29uaGVjaW1lbnRvIG7Do28gbXVkb3Uu,,W0JpYmxpb3RlY2FyaW9dCk9yaWdpbmFsbWVudGUsIHNvbG8gdGVuw61hbW9zCmxpYnJvcyByZWxhY2lvbmFkb3MgY29uIGxhIGNpZW5jaWEKeSBsYSBpbnZlc3RpZ2FjacOzbiBoaXN0w7NyaWNhLiBQb3IKc3VwdWVzdG8sIG51ZXN0cm8gY29tcHJvbWlzbwpjb24gbGEgYWNhZGVtaWEgeSBsYSBiw7pzcXVlZGEKZGVsIGNvbm9jaW1pZW50byBwZXJtYW5lY2VuIGludGFjdG9zLg==
bsX7,,W0xpYnJhcmlhbl0KQnV0IG5vdyB3ZSBhbHNvIGhhdmUKYm9va3MgdGhhdCB0aGUgZ2VuZXJhbCBwdWJsaWMKY2FuIGFsc28gZW5qb3kuIFdlIGFsc28gY2FycnkKdGV4dHMgdGhhdCBtYXkgYmUgaGVscGZ1bCB0bwphZHZlbnR1cmVycyBsaWtlIHlvdXJzZWxmLg==,,,,,W0JpYmxpb3RlY8OhcmlvXQpNYXMgYWdvcmEgdGFtYsOpbSB0ZW1vcwpsaXZyb3MgcXVlIG8gcMO6YmxpY28gZW0gZ2VyYWwKdGFtYsOpbSBwb2RlIGRlc2ZydXRhci4gVGFtYsOpbSB0ZW1vcwp0ZXh0b3MgcXVlIHBvZGVtIHNlciDDunRlaXMgcGFyYQp2aWFqYW50ZXMgY29tbyB2b2PDqi4=,,W0JpYmxpb3RlY2FyaW9dClBlcm8gYWhvcmEgdGFtYmnDqW4gdGVuZW1vcwpsaWJyb3MgcXVlIGVsIHDDumJsaWNvIGdlbmVyYWwKcHVlZGUgZGlzZnJ1dGFyLiBBZGVtw6FzLCBkaXNwb25lbW9zIGRlCnRleHRvcyBxdWUgcHVlZGVuIHNlciDDunRpbGVzIHBhcmEKdHJvdGFtdW5kb3MgY29tbyB0w7ou
b8X7,,W0xpYnJhcmlhbl0KSSdtIHNvcnJ5LCBidXQgd2UKY3VycmVudGx5IGRvIG5vdCBvZmZlcgphIGJvb2sgbGVuZGluZyBzZXJ2aWNlLgpXZSd2ZSBwcmlvcml0aXplZCBvdXIgZnVuZGluZwpvbiB0aGUgY29udGVudCB3ZSBwcm92aWRlLCBzbwp3ZSBjYW4ndCBhZmZvcmQgZXh0cmEgc2VydmljZXMu,,,,,W0JpYmxpb3RlY8OhcmlvXQpTaW50byBtdWl0bywgbWFzIG7Ds3MKYXR1YWxtZW50ZSBuw6NvIG9mZXJlY2Vtb3MKdW0gc2VydmnDp28gZGUgZW1wcsOpc3RpbW8gZGUgbGl2cm9zLgpQcmlvcml6YW1vcyBub3NzYSB2ZXJiYSBwYXJhCm8gY29udGXDumRvIHF1ZSBvZmVyZWNlbW9zLCBwb3J0YW50bwpuw6NvIHBvZGVtb3MgdGVyIG91dHJvcyBzZXJ2acOnb3Mu,,W0JpYmxpb3RlY2FyaW9dCkRpc2N1bHBhLCBwZXJvCmFjdHVhbG1lbnRlIG5vIG9mcmVjZW1vcwp1biBzZXJ2aWNpbyBkZSBwcsOpc3RhbW8gZGUgbGlicm9zLgpQcmlvcml6YW1vcyBmaW5hbmNpYXIKbG9zIGNvbnRlbmlkb3MgcXVlIHlhIG9mcmVjZW1vcywgcG9yIGxvIHF1ZQpubyBwb2RlbW9zIHBlcm1pdGlybm9zIHNlcnZpY2lvcyBhZGljaW9uYWxlcy4=
cMX7,,W0xpYnJhcmlhbl0KSG93ZXZlciwgdGhpcyBmYWNpbGl0eQppcyBvcGVuIHR3ZW50eS1mb3VyIGhvdXJzLApzZXZlbiBkYXlzIGEgd2Vlaywgc28gZmVlbApmcmVlIHRvIHZpc2l0IHVzIGF0IGFueSB0aW1lLgpKdXN0IHJlbWVtYmVyIHRoYXQgaW4gdGhlCmxpYnJhcnksIHNpbGVuY2UgaXMgZ29sZGVufg==,,,,,W0JpYmxpb3RlY8OhcmlvXQpObyBlbnRhbnRvLCBlc3RlIGxvY2FsCmVzdMOhIGFiZXJ0byAyNCBob3JhcyBwb3IgZGlhLAo3IGRpYXMgcG9yIHNlbWFuYSwgZW50w6NvIGZpcXVlIMOgIHZvbnRhZGUKcGFyYSBub3MgdmlzaXRhciBhIHF1YWxxdWVyIGhvcmEuCkFwZW5hcyBsZW1icmUtc2UgcXVlLCBuYQpiaWJsaW90ZWNhLCBvIHNpbMOqbmNpbyDDqSBkZSBvdXJvfg==,,W0JpYmxpb3RlY2FyaW9dClNpbiBlbWJhcmdvLCBlc3RlIGx1Z2FyCmVzdMOhIGFiaWVydG8gbGFzIHZlaW50aWN1YXRybyBob3JhcywKc2lldGUgZMOtYXMgYSBsYSBzZW1hbmEsIGFzw60gcXVlCm5vIGR1ZGVzIGVuIHZlbmlyIGEgdmlzaXRhcm5vcyBjdWFuZG8gcXVpZXJhcy4KUmVjdWVyZGEgcXVlLCBlbiBsYQpiaWJsaW90ZWNhLCBlbCBzaWxlbmNpbyBlcyBzYWdyYWRvLg==
ccX7,,W0xpYnJhcmlhbl0KUmVhZCBldmVyeSBib29rPwpTYWRseSwgeWVzLiBJJ3ZlIHBlcnVzZWQKZXZlcnkgc2luZ2xlIHNjcmFwIG9mIHRleHQKaW4gdGhpcyBsaWJyYXJ5LiBJdCdzIGEgcGFydCBvZgpteSBqb2IsIGJ1dCBJIGxvdmUgaXQgZGVhcmx5Lg==,,,,,W0JpYmxpb3RlY8OhcmlvXQpTZSBsaSB0b2RvcyBvcyBsaXZyb3M/CkluZmVsaXptZW50ZSwgc2ltLiBFdSBsaQpjYWRhIHBlZGHDp28gZGUgdGV4dG8KbmVzdGEgYmlibGlvdGVjYS4gRmF6IHBhcnRlIGRvIG1ldQptZXUgdHJhYmFsaG8sIG1hcyBldSBhZG9yby4=,,W0JpYmxpb3RlY2FyaW9dCsK/UXVlIHNpIGxlw60gdG9kb3MgbG9zIGxpYnJvcz8KTGFtZW50YWJsZW1lbnRlLCBzw60uIExlw60gY29uIGF0ZW5jacOzbgpjYWRhIHRyb3pvIGRlIHRleHRvCnF1ZSBoYXkgZW4gbGEgYmlibGlvdGVjYS4gRm9ybWEgcGFydGUgZGUKbWkgdHJhYmFqbywgcGVybyBtZSBhcGFzaW9uYS4=
csX7,,W0xpYnJhcmlhbl0KSSBvcmlnaW5hbGx5IGFwcGxpZWQgZm9yIHRoaXMKam9iIHNvIHRoYXQgSSBjb3VsZCByZWFkIGFzCm11Y2ggYXMgSSB3YW50ZWQsIGV2ZW4gYXQKd29yayEgQWZ0ZXIgYWxsLCBsaWJyYXJpYW5zCnNob3VsZCBiZSBmYW1pbGlhciB3aXRoIHRoZQpib29rcyB0aGV5J3JlIGluIGNoYXJnZSBvZi4=,,,,,W0JpYmxpb3RlY8OhcmlvXQpPcmlnaW5hbG1lbnRlLCBldSBtZSBjYW5kaWRhdGVpIGEgZXN0ZQp0cmFiYWxobyBwYXJhIHF1ZSBldSBwdWRlc3NlIGxlcgpxdWFudG8gcXVpc2Vzc2UsIG1lc21vIG5vCnRyYWJhbGhvISBBZmluYWwgZGUgY29udGFzLCBvcyBiaWJsaW90ZWPDoXJpb3MKZGV2ZW0gZXN0YXIgZmFtaWxpYXJpemFkb3MgY29tIG9zCmxpdnJvcyBwZWxvcyBxdWFpcyBzw6NvIHJlc3BvbnPDoXZlaXMu,,W0JpYmxpb3RlY2FyaW9dCllvIHNvbGljaXTDqSBlc3RlCnRyYWJham8gcGFyYSBwb2RlciBsZWVyCnRhbnRvIGNvbW8gcXVpc2llcmEsIMKhaW5jbHVzbyBlbgplbCB0cmFiYWpvISBBbCBmaW4geSBhbCBjYWJvLCBsb3MgYmlibGlvdGVjYXJpb3MKZGViZW4gZXN0YXIgZmFtaWxpYXJpemFkb3MgY29uIGxvcwpsaWJyb3MgZGUgbG9zIHF1ZSBzZSBlbmNhcmdhbi4=
c8X7,,W0xpYnJhcmlhbl0KSSBsb3ZlIGJvb2tzIHNvIG11Y2h+CkJ1dCBvZiBjb3Vyc2UsIGl0IHdpbGwgYmUKYSB3aGlsZSB1bnRpbCB0aGlzIGxpYnJhcnkKaGFzIHRoZSBmdW5kcyB0byBwdXJjaGFzZQpicmFuZCBuZXcgYm9va3MgZm9yIG1lIHRvCmltbWVyc2UgbXlzZWxmIGluLiBeMzMzMzMzKlNpZ2gqXjAwMDAwMA==,,,,,W0JpYmxpb3RlY8OhcmlvXQpFdSBnb3N0byBtdWl0byBkZSBsaXZyb3N+Ck1hcywgw6kgY2xhcm8sIHZhaSBkZW1vcmFyCnVtIHRlbXBvIGF0w6kgcXVlIGVzdGEgYmlibGlvdGVjYQp0ZW5oYSBkaW5oZWlybyBzdWZpY2llbnRlIHBhcmEgY29tcHJhcgpsaXZyb3Mgbm92b3MgcGFyYSBxdWUgZXUgcG9zc2EKcGFyYSBldSBtZXJndWxoYXIgbmVsZXMuIF4zMzMzMzMqU3VzcGlybypeMDAwMDAw,,W0JpYmxpb3RlY2FyaW9dCk1lIGVuY2FudGFuIGxvcyBsaWJyb3MuClBlcm8sIHBvciBzdXB1ZXN0bywgcGFzYXLDoQp1biB0aWVtcG8gaGFzdGEgcXVlIGxhIGJpYmxpb3RlY2EKZGlzcG9uZ2EgZGUgZm9uZG9zIHBhcmEgY29tcHJhcgpsaWJyb3MgbnVldm9zIGVuIGxvcyBxdWUgcHVlZGEKc3VtZXJnaXJtZS4gXjMzMzMzMypTdXNwaXJhKl4wMDAwMDA=
dMX7,,W0xpYnJhcmlhbl0KT2gsIGFscmlnaHQuCkZlZWwgZnJlZSB0byBhc2sgbWUKbWUgaWYgeW91IGhhdmUgYW55CnF1ZXN0aW9ucy4gR29vZCBkYXl+,,,,,W0JpYmxpb3RlY8OhcmlvXQpBaCwgdHVkbyBiZW0uClNpbnRhLXNlIMOgIHZvbnRhZGUgcGFyYSBtZSBwZXJndW50YXIKc2Ugdm9jw6ogdGl2ZXIgYWxndW1hCnBlcmd1bnRhcy4gQXTDqSBsb2dvfg==,,W0JpYmxpb3RlY2FyaW9dCkFoLCBidWVuby4KTm8gZHVkZXMgZW4gcHJlZ3VudGFybWUKc2kgdGllbmVzIGFsZ3VuYQpkdWRhLiBRdWUgdGVuZ2FzIHVuIGJ1ZW4gZMOtYS4=
dcX7,,U2Nob2xhcg==,,,,,UHJvZmVzc29yYQ==,,RXJ1ZGl0YQ==
dsX7,,W1NjaG9sYXJdCi4uLk1tPwouLi5ZZXM/,,,,,W1Byb2Zlc3NvcmFdCi4uLkhtPyAKLi4uU2ltPw==,,W0VydWRpdGFdCsK/TW0uLi4/IAouLi7Cv1PDrT8=
d8X7,,W1NjaG9sYXJdCi4uLgouLi4uLi4KTWF5IEkgaGVscCB5b3U/,,,,,W1Byb2Zlc3NvcmFdCi4uLgouLi4uLi4KUG9zc28gYWp1ZGFyPw==,,W0VydWRpdGFdCi4uLgouLi4uLi4Kwr9QdWVkbyBheXVkYXJ0ZT8=
eMX7,,T2ghIE4tTm90aGluZyE=,,,,,T2ghIE4tTmFkYSE=,,wqFBaCEgwqFOLW5hZGEh
ecX7,,RXhjdXNlIG1lLi4u,,,,,RGVzY3VscGUtbWUuLi4=,,RGlzY3VscGEuLi4=
esX7,,W1NjaG9sYXJdCi4uLgouLi4uLi4KSG1tPwouLi4uLi4uLi4uLgpIbXBmLg==,,,,,W1Byb2Zlc3NvcmFdCi4uLgouLi4uLi4KSG1tPwouLi4uLi4uLi4uLgpIbXBmLg==,,W0VydWRpdGFdCi4uLgouLi4uLi4Kwr9NbW0/Ci4uLi4uLi4uLi4uLgpQZmYuLi4=
e8X7,,W1NjaG9sYXJdCi4uLgouLi4uLi4KSG1tPwouLi4uLi4uLi4uLgpIbW1tLi4u,,,,,W1Byb2Zlc3NvcmFdCi4uLgouLi4uLi4KSG1tPwouLi4uLi4uLi4uLgpIbW1tLi4u,,W0VydWRpdGFdCi4uLgouLi4uLi4Kwr9NbW0/Ci4uLi4uLi4uLi4uLgpNbW1tLi4u
fMX7,,W1NjaG9sYXJdCllvdSBtdXN0IGJlIGxvc3QuClRoaXMgaXMgdGhlIHNjaG9sYXJseQpyZXNlYXJjaCBzZWN0aW9uLCB5b3Uga25vdywKY29udGVudCB5b3UgY291bGRuJ3QgcG9zc2libHkKZmF0aG9tLiBUaGUgcG9wdWxhciBub3ZlbHMgYW5kIHBpY3R1cmUgYm9va3MgYXJlIHNvbWVwbGFjZSBlbHNlLg==,,,,,W1Byb2Zlc3NvcmFdClZvY8OqIGRldmUgdGVyIHNlIHBlcmRpZG8uCkVzdGEgw6kgYSBzZcOnw6NvIGRlIHBlc3F1aXNhCmFjYWTDqm1pY2EsIHNhYmUsIGNvbnRlw7pkbwpxdWUgdm9jw6ogbsOjbyBjb25zZWd1aXJpYSBlbnRlbmRlci4KT3Mgcm9tYW5jZXMgZSBvcyBxdWFkcmluaG9zIGZpY2FtIGVtIG91dHJvIGx1Z2FyLg==,,W0VydWRpdGFdCsK/VGUgcGVyZGlzdGU/CkVzdGEgZXMgbGEgc2VjY2nDs24KZGUgaW52ZXN0aWdhY2nDs24gZGUgZXJ1ZGl0b3MsIHlhIHNhYmVzLApjb250ZW5pZG8gcXVlIG5vIHBvZHLDrWFzCmNvbXByZW5kZXIuIExhcyBub3ZlbGFzIHBvcHVsYXJlcyB5IGxvcyBsaWJyb3MgaWx1c3RyYWRvcyBlc3TDoW4gZW4gb3RybyBsdWdhci4=
fcX7,,W3swfV0KLi4uCi4uLi4uLg==,,,,,W3swfV0KLi4uCi4uLi4uLg==,,W3swfV0KLi4uCi4uLi4uLg==
fsX7,,W1NjaG9sYXJdCldoeSBkb24ndCB5b3UgcnVtbWFnZQp0aHJvdWdoIHRoZSBib29rc2hlbHZlcz8KSSdtIHN1cmUgeW91IGNhbiBmaW5kIHNvbWUKYm9vayB0aGVyZSB0aGF0IGNhbiBob2xkIHlvdXIKaW50ZXJlc3QuIFdlbGwsIGRlcGVuZGluZyBvbgp5b3VyIGFjdHVhbCBhdHRlbnRpb24gc3Bhbi4uLg==,,,,,W1Byb2Zlc3NvcmFdClBvciBxdWUgdm9jw6ogbsOjbyBidXNjYQpwZWxhcyBwcmF0ZWxlaXJhcz8KVGVuaG8gY2VydGV6YSBxdWUgcG9kZSBlbmNvbnRyYXIKdW0gbGl2cm8gcXVlIGNoYW1lIHN1YQphdGVuw6fDo28uIEJlbSwgZGVwZW5kZW5kbwpkbyBxdWUgdm9jw6ogY29uc2VndWUgZW50ZW5kZXIuLi4=,,W0VydWRpdGFdCsK/UG9yIHF1w6kgbm8gZWNoYXMKdW4gdmlzdGF6byBwb3IgbGFzIGVzdGFudGVyw61hcz8KRXN0b3kgc2VndXJhIGRlIHF1ZSBhbGzDrSBlbmNvbnRyYXLDoXMKdW4gbGlicm8gcXVlIGNhcHRlCnR1IGludGVyw6lzLiBCdWVubywgZGVwZW5kZSBkZQp0dSBjYXBhY2lkYWQgZGUgY29uY2VudHJhY2nDs24uLi4=
f8X7,,W3swfV0KKFdoYXQncyBoZXIgZGFtYWdlPyEKRG9lcyBzaGUgaGF2ZSBhbiBhdHRpdHVkZV5GRkZGRkYgICAgICAgICBeMDAwMDAwIHByb2JsZW0gb3IgaXMgc2hlIGp1c3Qgc3R1Y2stdXA/KQ==,,,,,W3swfV0KKFF1ZSBow6EgY29tIGVsYT8hCkVzdMOhIGNvbSBhbGd1bSBwcm9ibGVtYV5GRkZGRkYgXjAwMDAwMCBvdSDDqSBhcnJvZ2FudGUgbWVzbW8/KQ==,,W3swfV0KKMKhwr9DdcOhbCBlcyBzdSBwcm9ibGVtYT8hCsK/RXN0w6EgZGUgbWFsYXNeRkZGRkZGIF4wMDAwMDBvIHNpbXBsZW1lbnRlIGVzIGVuZ3Jlw61kYSk/
gMX7,,QnkgYW55IGNoYW5jZS4uLg==,,,,,UG9yIGFjYXNvLi4u,,UG9yIGNhc3VhbGlkYWQuLi4=
gcX7,,W3swfV0KQnkgYW55IGNoYW5jZS4uLgpBcmUgeW91IGNvbmR1Y3RpbmcKcmVzZWFyY2ggYWJvdXQgSnVwZXJvcz8=,,,,,W3swfV0KUG9yIGFjYXNvLi4uClZvY8OqIGVzdMOhIGNvbmR1emluZG8gdW1hCnBlc3F1aXNhIHNvYnJlIEp1cGVyb3M/,,W3swfV0KUG9yIGNhc3VhbGlkYWQuLi4Kwr9Fc3TDoXMgbGxldmFuZG8gYSBjYWJvCnVuYSBpbnZlc3RpZ2FjacOzbiBzb2JyZSBKdXBlcm9zPw==
gsX7,,W1NjaG9sYXJdCldoeSB5ZXMsIHRoYXQgaXMKY29ycmVjdC4gQnV0IGhvdyBkaWQKeW91IGNvbWUgdG8gbGVhcm4gYWJvdXQKbXkgY3VycmVudCByZXNlYXJjaCBwcm9qZWN0Pw==,,,,,W1Byb2Zlc3NvcmFdCk9yYSwgc2ltLCDDqSBpc3NvCm1lc21vLiBNYXMgY29tbyB2b2PDqiAKc291YmUgZG8gbWV1IHByb2pldG8KZGUgcGVzcXVpc2EgYXR1YWw/,,W0VydWRpdGFdClB1ZXMgc8OtLAphc8OtIGVzLiBQZXJvLCDCv2PDs21vCnN1cGlzdGUgc29icmUKbWkgcHJveWVjdG8gZGUgaW52ZXN0aWdhY2nDs24/
g8X7,,W3swfV0KT2gsIEkgbWFuYWdlZCB0byByZWFkCmEgdGhlc2lzIHBhcGVyIGVudGl0bGVkLAonJ1RoZSBGYWxsIG9mIEp1cGVyb3MsJycgYW5kCkkganVzdCB0aG91Z2h0IHRoYXQgdGhlIHdyaXRpbmcKc3R5bGUgYW5kIHlvdXIgcGVyc29uYWxpdHkKc2VlbSB0byBtYXRjaCBmb3Igc29tZSByZWFzb24u,,,,,W3swfV0KQWgsIGV1IGxpIHVtYQp0ZXNlIGNoYW1hZGEKJydBIFF1ZWRhIGRlIEp1cGVyb3MnJywgZQphY2hlaSBxdWUgbyBlc3RpbG8gZGEKZXNjcml0YSBlIGEgc3VhIHBlcnNvbmFsaWRhZGUKY29tYmluYXZhbSwgcG9yIGFsZ3VtYSByYXrDo28u,,W3swfV0KQWgsIGVzIHF1ZSBsZcOtCnVuIHRyYWJham8gZGUgdGVzaXMgdGl0dWxhZG8KTGEgY2HDrWRhIGRlIEp1cGVyb3MgeSwKcG9yIGFsZ3VuYSByYXrDs24sCnBlbnPDqSBxdWUgZWwgZXN0aWxvCmRlIGVzY3JpdHVyYSB5IHR1IHBlcnNvbmFsaWRhZAplcmFuIHBhcmVjaWRvcy4=
hMX7,,W1NjaG9sYXJdCk9oLi4uISBZb3UgcmVhZCBteQp0aGVzaXM/IFNvIHdoYXQgZGlkCnlvdSB0aGluayBhYm91dCBpdD8=,,,,,W1Byb2Zlc3NvcmFdCk9oLi4uISBWb2PDqiBsZXUgbWluaGEKdGVzZT8gRW50w6NvLCBvIHF1ZQphY2hvdSBkZWxhPw==,,W0VydWRpdGFdCsKhT2guLi4hIMK/TGXDrXN0ZQptaSB0ZXNpcz8gWSwgwr9xdcOpCnRlIHBhcmVjacOzPw==
