wAj/BQ,7YyU7YyM64+E6528,UGFscGFkb3Jh,,,,,UGFwb3VsYQ==,,UGFwb2xh
3Qj/BQ,W+2MlO2MjOuPhOudvF0K7KCA64qUIOqyjO2OnCDrqZzroaAg7LaV7KCc7J2YCuydvO2ZmOycvOuhnCDsp4TtlonspJHsnbgK7YGwIOupnOuhoCDsu6jthYzsiqTtirgg64u064u57J6QLArtjJTtjIzrj4TrnbzsnoXri4jri6Qu,W1BhbHBhZG9yYV0KSSBhbSBQYWxwYWRvcmEsIHRoZSBwZXJzb24gaW4gY2hhcmdlIG9mIHRoZSBCaWcgTWVsb24gQ29udGVzdCwKaGVsZCBhcyBwYXJ0IG9mIHRoZSBHZWZmZW4gTWVsb24gRmVzdGl2YWwu,,,,,W1BhcG91bGFdCkV1IHNvdSBQYXBvdWxhLCBhIHBlc3NvYSByZXNwb25zw6F2ZWwgcGVsbyBDb25jdXJzbyBkbyBNZWzDo28sCnJlYWxpemFkbyBjb21vIHBhcnRlIGRvIEZlc3RpdmFsIGRvIE1lbMOjbyBkZSBHZWZmZW4u,,W1BhcG9sYV0KU295IFBhcG9sYSwgbGEgZW5jYXJnYWRhIGRlbCBDb25jdXJzbyBkZWwgR3JhbiBNZWzDs24sCnF1ZSBzZSBjZWxlYnJhIGNvbW8gcGFydGUgZGVsIEZlc3RpdmFsIGRlbCBNZWzDs24gZGUgR2VmZmVuLg==
3gj/BQ,W+2MlO2MjOuPhOudvF0K7ZWY66Oo7JeQIO2VnCDrsogsIOyngeygkSDsnoXsiJjtlZwKXjRENERGRuyImOyDge2VnCDrqZzroaBeMDAwMDAw7J2EIOy7qO2FjOyKpO2KuOyXkArsoJzstpztlZjripQg7KCV64+E7J2YIOyJrOyatCDssLjqsIAhCu2ZlOugpO2VnCDqsr3tkojsnbQg64u57Iug7J2ECuq4sOuLpOumrOqzoCDsnojsirXri4jri6Qh,W1BhbHBhZG9yYV0KRWFzeSBwYXJ0aWNpcGF0aW9uIOKAlCBqdXN0IHN1Ym1pdCBhIF40RDRERkZTdXNwaWNpb3VzIE1lbG9uXjAwMDAwMCB5b3Ugb2J0YWluZWQgeW91cnNlbGYgb25jZSBhIGRheSEKR29yZ2VvdXMgcHJpemVzIGF3YWl0IHlvdSE=,,,,,W1BhcG91bGFdCsOJIGbDoWNpbCBwYXJ0aWNpcGFyOiBiYXN0YSBlbnZpYXIgdW1hIHZleiBwb3IgZGlhIHVtIF40RDRERkZNZWzDo28gU3VzcGVpdG9eMDAwMDAwIG9idGlkbyBwb3Igdm9jw6ohClByw6ptaW9zIG1hZ27DrWZpY29zIGVzdMOjbyBlc3BlcmFuZG8h,,W1BhcG9sYV0KRXMgbXV5IGbDoWNpbCBwYXJ0aWNpcGFyOiBzb2xvIHRpZW5lcyBxdWUgZW50cmVnYXIgdW4gXjRENERGRk1lbMOzbiBTb3NwZWNob3NvXjAwMDAwMCBxdWUgaGF5YXMgY29uc2VndWlkbyB0w7ogbWlzbW8gdW5hIHZleiBhbCBkw61hLgrCoVByZW1pb3MgZmFidWxvc29zIHRlIGVzcGVyYW4h
3wj/BQ,W+2MlO2MjOuPhOudvF0K7IOB7ZKIIOq1kO2ZmCDtmp/siJjripQg7KCc7ZWc7J20IOyXhuyngOunjApeNEQ0REZG7YGwIOupnOuhoCDsu6jthYzsiqTtirheMDAwMDAw64qUIO2VmOujqOyXkArtlZwg67KI66eMIOuPhOyghCDqsIDriqXtlZwg7KCQIQrslpHtlbTtlbQg7KO87Iuc6riwIOuwlOuejeuLiOuLpC4K7YGwIOupnOuhoOydhCDqsIDsoLjsmYDshJwg7J6Q656R7ZW0IOyjvOyEuOyalCE=,W1BhbHBhZG9yYV0KVGhlcmUncyBubyBsaW1pdCBvbiBob3cgbWFueSB0aW1lcyB5b3UgY2FuIGV4Y2hhbmdlIHByaXplcywKYnV0IHlvdSBjYW4gb25seSBjaGFsbGVuZ2UgdGhlIF40RDRERkZCaWcgTWVsb24gQ29udGVzdF4wMDAwMDAgb25jZSBhIGRheSEKUGxlYXNlIHVuZGVyc3RhbmQuCkJyaW5nIGEgYmlnIG1lbG9uIGFuZCBzaG93IGl0IG9mZiE=,,,,,W1BhcG91bGFdCk7Do28gaMOhIGxpbWl0ZSBwYXJhIHF1YW50YXMgdmV6ZXMgdm9jw6ogcG9kZSB0cm9jYXIgcHLDqm1pb3MsCm1hcyB2b2PDqiBzw7MgcG9kZSBkZXNhZmlhciBvIF40RDRERkZDb25jdXJzbyBkbyBNZWzDo29eMDAwMDAwIHVtYSB2ZXogcG9yIGRpYSEKUG9yIGZhdm9yLCBlbnRlbmRhLgpUcmFnYSB1bSBtZWzDo28gZ3JhbmRlIGUgbW9zdHJlLW8h,,W1BhcG9sYV0KTm8gaGF5IGzDrW1pdGUgZW4gY3XDoW50YXMgdmVjZXMgcHVlZGVzIGNhbWJpYXIgcHJlbWlvcywKcGVybyBzb2xvIHB1ZWRlcyBkZXNhZmlhciBhbCBeNEQ0REZGQ29uY3Vyc28gZGVsIEdyYW4gTWVsw7NuXjAwMDAwMCB1bmEgdmV6IGFsIGTDrWEuClBvciBmYXZvciwgZW50acOpbmRlbG8uCsKhVHJhZSB1biBtZWzDs24gZ3JhbmRlIHkgbXXDqXN0cmFsbyE=
4Aj/BQ,W+2MlO2MjOuPhOudvF0K7YGs6riw7JeQIOuUsOudvCBeNEQ0REZG7LC46rCA7IOBLCDsmrDrn4nsg4EsXjAwMDAwMApeNEQ0REZG7IiY7IOB7IiY7IOB7IOBLCDsuKHsoJXrtojqsIDsg4FeMDAwMDAwIDTri6jqs4TsnZgK6rK97ZKI7J2EIOymneygle2VmOuLiCDrp47snbTrp47snbQK7LC47Jes7ZW0IOyjvOyLnOq4sCDrsJTrno3ri4jri6R+,W1BhbHBhZG9yYV0KRGVwZW5kaW5nIG9uIHRoZSBzaXplLCB3ZSBnaXZlIG91dCBmb3VyIGxldmVscyBvZiBwcml6ZXM6Cl40RDRERkZQYXJ0aWNpcGF0aW9uIFByaXplLCBFeGNlbGxlbmNlIFByaXplLF4wMDAwMDAKXjRENERGRlN1c3BpY2lvdXMgU3VzcGljaW91cyBQcml6ZSwgYW5kIFVubWVhc3VyYWJsZSBQcml6ZV4wMDAwMDAuClBsZWFzZSBqb2luIHVzIG1hbnksIG1hbnkgdGltZXN+,,,,,W1BhcG91bGFdCkRlcGVuZGVuZG8gZG8gdGFtYW5obywgb2ZlcmVjZW1vcyBxdWF0cm8gbsOtdmVpcyBkZSBwcsOqbWlvczoKXjRENERGRlByw6ptaW8gZGUgUGFydGljaXBhw6fDo28sIFByw6ptaW8gZGUgRXhjZWzDqm5jaWEsXjAwMDAwMApeNEQ0REZGUHLDqm1pbyBTdXNwZWl0byBTdXNwZWl0byBlIFByw6ptaW8gSW1lbnN1csOhdmVsXjAwMDAwMC4KUG9yIGZhdm9yLCBwYXJ0aWNpcGUgbXVpdGFzLCBtdWl0YXMgdmV6ZXN+,,W1BhcG9sYV0KU2Vnw7puIHN1IHRhbWHDsW8sIGVudHJlZ2Ftb3MgY3VhdHJvIG5pdmVsZXMgZGUgcHJlbWlvczoKXjRENERGRlByZW1pbyBkZSBQYXJ0aWNpcGFjacOzbiwgUHJlbWlvIGEgbGEgRXhjZWxlbmNpYSxeMDAwMDAwCl40RDRERkZQcmVtaW8gU29zcGVjaG9zw61zaW1vIHkgUHJlbWlvIElubWVkaWJsZV4wMDAwMDAuCsKhUG9yIGZhdm9yLCBwYXJ0aWNpcGEgbXVjaGFzLCBtdWNoYXMgdmVjZXN+
4Qj/BQ,W+2MlO2MjOuPhOudvF0K7Ja07ISc7Jik7IS47JqULCDslrTshJzsmKTshLjsmpQhCuuniOuyleuPhOyLnCDqsoztjpzsl5DshJzripQg7KeA6riICuupnOuhoCDstpXsoJzqsIAg7ZWc7LC97J20656N64uI64ukIQpeNEQ0REZG7YGwIOupnOuhoCDsu6jthYzsiqTtirheMDAwMDAw7JeQIO2VnCDrsogK64+E7KCE7ZW0IOuztOuKlCDqsbQg7Ja065ag7IS47JqUPw==,W1BhbHBhZG9yYV0KV2VsY29tZSwgd2VsY29tZSEKVGhlIE1lbG9uIEZlc3RpdmFsIGlzIG5vdyBpbiBmdWxsIHN3aW5nIGluIHRoZSBtYWdpY2FsIGNpdHkgb2YgR2VmZmVuIQpIb3cgYWJvdXQgdHJ5aW5nIHRoZSBeNEQ0REZGQmlnIE1lbG9uIENvbnRlc3ReMDAwMDAwPw==,,,,,W1BhcG91bGFdCkJlbS12aW5kb3MsIGJlbS12aW5kb3MhCk8gRmVzdGl2YWwgZG8gTWVsw6NvIGVzdMOhIGEgdG9kbyB2YXBvciBuYSBjaWRhZGUgbcOhZ2ljYSBkZSBHZWZmZW4hClF1ZSB0YWwgZXhwZXJpbWVudGFyIG8gXjRENERGRkNvbmN1cnNvIGRvIE1lbMOjb14wMDAwMDA/,,W1BhcG9sYV0KwqFCaWVudmVuaWRvcywgYmllbnZlbmlkYXMhCsKhRWwgRmVzdGl2YWwgZGVsIE1lbMOzbiBlc3TDoSBlbiBzdSBhcG9nZW8gZW4gbGEgY2l1ZGFkIG3DoWdpY2EgZGUgR2VmZmVuIQrCv1F1w6kgdGFsIHNpIHBydWViYXMgZWwgXjRENERGRkNvbmN1cnNvIGRlbCBHcmFuIE1lbMOzbl4wMDAwMDA/
4gj/BQ,W+2MlO2MjOuPhOudvF0K7YGs6riw7JeQIOuUsOudvCBeNEQ0REZG7LC46rCA7IOBLCDsmrDrn4nsg4EsXjAwMDAwMApeNEQ0REZG7IiY7IOB7IiY7IOB7IOBLCDsuKHsoJXrtojqsIDsg4FeMDAwMDAwIDTri6jqs4TroZwg7LaU7LKo6raMIOuMgOyLoCDsgqzsmqnrkKAgPElURU0+W+uLrOy9pOydtCDsvZTsnbhdPElORk8+MjU2NTU8L0lORk8+PC9JVEVNPuydhCDrk5zrpqzri4jquYzsmpR+CuunjuydtCDssLjsl6ztlbQg7KO87Iuc6riwIOuwlOuejeuLiOuLpH4=,W1BhbHBhZG9yYV0KRGVwZW5kaW5nIG9uIHRoZSBzaXplLCB3ZSdsbCBnaXZlIHlvdSBeNEQ0REZGU3dlZXQgQ29pbnNeMDAwMDAwIHRvIHVzZSBpbnN0ZWFkIG9mIGxvdHRlcnkgdGlja2V0cywgYWNyb3NzIGZvdXIgbGV2ZWxzOgpeNEQ0REZGUGFydGljaXBhdGlvbiBQcml6ZSwgRXhjZWxsZW5jZSBQcml6ZSxeMDAwMDAwCl40RDRERkZTdXNwaWNpb3VzIFN1c3BpY2lvdXMgUHJpemUsIGFuZCBVbm1lYXN1cmFibGUgUHJpemVeMDAwMDAwfgpQbGVhc2Ugam9pbiB1cyBtYW55IHRpbWVzfg==,,,,,W1BhcG91bGF9CkRlcGVuZGVuZG8gZG8gdGFtYW5obywgZGFyZW1vcyBhIHZvY8OqIF40RDRERkZNZWxvZWRhc14wMDAwMDAgcGFyYSB1c2FyIGVtIHZleiBkZSBiaWxoZXRlcyBkZSBsb3RlcmlhLCBlbSBxdWF0cm8gbsOtdmVpczoKXjRENERGRlByw6ptaW8gZGUgUGFydGljaXBhw6fDo28sIFByw6ptaW8gZGUgRXhjZWzDqm5jaWEsXjAwMDAwMApeNEQ0REZGUHLDqm1pbyBTdXNwZWl0byBTdXNwZWl0byBlIFByw6ptaW8gSW1lbnN1csOhdmVsXjAwMDAwMH4KUG9yIGZhdm9yLCBwYXJ0aWNpcGUgbXVpdGFzIHZlemVzfg==,,W1BhcG9sYV0KU2Vnw7puIHN1IHRhbWHDsW8sIHRlIGRhcsOpIF40RDRERkZNb25lZGFzIER1bGNlc14wMDAwMDAgcGFyYSBxdWUgdXNlcyBlbiBsdWdhciBkZSBib2xldG9zIGRlIGxvdGVyw61hLCBlbiBjdWF0cm8gbml2ZWxlczoKXjRENERGRlByZW1pbyBkZSBQYXJ0aWNpcGFjacOzbiwgUHJlbWlvIGEgbGEgRXhjZWxlbmNpYSxeMDAwMDAwCl40RDRERkZQcmVtaW8gU29zcGVjaG9zw61zaW1vIHkgUHJlbWlvIElubWVkaWJsZV4wMDAwMDB+CsKhUG9yIGZhdm9yLCBwYXJ0aWNpcGEgbXVjaGFzIHZlY2Vzfg==
4wj/BQ,W+2MlO2MjOuPhOudvF0K7J6Q7J6QLCDtgbAg66mc66GgIOy7qO2FjOyKpO2KuOyXkArssLjsl6ztlZjsi6Qg67aEIOyViCDqs4Tsi6DqsIDsmpQ/CuywuOqwgOu5hOuKlCBeNEQ0REZG7IiY7IOB7ZWcIOupnOuhoCAx6rCcXjAwMDAwMOyeheuLiOuLpC4=,W1BhbHBhZG9yYV0KQ29tZSBvbiwgY29tZSBvbiwgYW55b25lIHdhbnQgdG8gcGFydGljaXBhdGUgaW4gdGhlIEJpZyBNZWxvbiBDb250ZXN0PwpUaGUgZW50cnkgZmVlIGlzIF40RDRERkYxIFN1c3BpY2lvdXMgTWVsb25eMDAwMDAwLg==,,,,,W1BhcG91bGFdClZhbW9zLCB2YW1vcywgYWxndcOpbSBxdWVyIHBhcnRpY2lwYXIgZG8gQ29uY3Vyc28gZG8gTWVsw6NvPwpBIHRheGEgZGUgaW5zY3Jpw6fDo28gw6kgXjRENERGRjEgTWVsw6NvIFN1c3BlaXRvXjAwMDAwMC4=,,W1BhcG9sYV0KwqFWYW1vcywgdmFtb3MsIMK/YWxndWllbiBxdWllcmUgcGFydGljaXBhciBlbiBlbCBDb25jdXJzbyBkZWwgR3JhbiBNZWzDs24/CkxhIGN1b3RhIGRlIGluc2NyaXBjacOzbiBlcyBeNEQ0REZGMSBNZWzDs24gU29zcGVjaG9zb14wMDAwMDAu
5Aj/BQ,7IiY7IOB7ZWcIOupnOuhoOydhCDrgrTrr7zri6Qu,T2ZmZXIgYSBTdXNwaWNpb3VzIE1lbG9uLg==,,,,,T2ZlcmVjZXIgdW0gTWVsw6NvIFN1c3BlaXRvLg==,,T2ZyZWNlciB1biBNZWzDs24gU29zcGVjaG9zby4=
5Qj/BQ,7KeA64KY6rCE64ukLg==,V2FsayBwYXN0Lg==,,,,,UGFzc2FyLg==,,UGFzYXIgZGUgbGFyZ28u
5gj/BQ,7ISk66qF7J2EIOuLpOyLnCDrk6Pqs6Ag7Iu27Ja07JqULg==,SSB3YW50IHRvIGhlYXIgdGhlIGV4cGxhbmF0aW9uIGFnYWluLg==,,,,,UXVlcm8gb3V2aXIgYSBleHBsaWNhw6fDo28gbm92YW1lbnRlLg==,,UXVpZXJvIGVzY3VjaGFyIGxhIGV4cGxpY2FjacOzbiBvdHJhIHZlei4=
5wj/BQ,W+2MlO2MjOuPhOudvF0K67mg67CkfiEg7Jik64qYIOqwgOyguOyYpOyLoArrqZzroaDsnZgg7YGs6riw64qUIQrslYTsib3qsozrj4R7MH1tbeuEpOyalC4K64uk7J2M7JeQIOuYkCDrj4TsoITtlZjshLjsmpQhCuyXrOq4sCDssLjqsIDsg4Eg65Oc66a06rKM7JqULg==,W1BhbHBhZG9yYV0KQmFtfiEgVGhlIHNpemUgb2YgdGhlIG1lbG9uIHlvdSBicm91Z2h0IHRvZGF5IGlzLi4uClVuZm9ydHVuYXRlbHksIHswfW1tLgpQbGVhc2UgdHJ5IGFnYWluIG5leHQgdGltZSEKSGVyZSdzIHlvdXIgcGFydGljaXBhdGlvbiBwcml6ZS4=,,,,,W1BhcG91bGFdCkJhbX4hIE8gdGFtYW5obyBkbyBtZWzDo28gcXVlIHZvY8OqIHRyb3V4ZSBob2plIMOpLi4uCkluZmVsaXptZW50ZSwgezB9bW0uClBvciBmYXZvciwgdGVudGUgbm92YW1lbnRlIGFtYW5ow6MhCkFxdWkgZXN0w6EgbyBzZXUgcHLDqm1pbyBkZSBwYXJ0aWNpcGHDp8Ojby4=,,W1BhcG9sYV0KwqFCYW1+ISDCoUVsIHRhbWHDsW8gZGVsIG1lbMOzbiBxdWUgdHJhamlzdGUgaG95IGVzLi4uCkxhbWVudGFibGVtZW50ZSwgezB9bW0uCsKhSW50w6ludGFsbyBkZSBudWV2byBsYSBwcsOzeGltYSB2ZXohCkFxdcOtIHRpZW5lcyB0dSBwcmVtaW8gZGUgcGFydGljaXBhY2nDs24u
6Aj/BQ,W+2MlO2MjOuPhOudvF0K67mg67CkfiEg7Jik64qYIOqwgOyguOyYpOyLoArrqZzroaDsnZgg7YGs6riw64qUIQrrsJTroZwgezB9bW0hCuy1nOqzoOq4sOuhneqzvCDtg4DsnbTquLDroZ3snbTrnbwg7JWE7Im964Sk7JqULgrtlZjsp4Drp4wg7IKs7J207KaI7IOBIOywuOqwgOyDgeydhCDrk5zrpr3ri4jri6QhCuuLpOydjOyXkCDrmJAg64+E7KCE7ZW0IOyjvOyEuOyalC4=,W1BhbHBhZG9yYV0KQmFtfiEgVGhlIHNpemUgb2YgdGhlIG1lbG9uIHlvdSBicm91Z2h0IHRvZGF5IGlzLi4uCnswfW1tIQpJdCdzIGEgdGllIHdpdGggdGhlIGhpZ2ggc2NvcmU6IHRoYXQncyB1bmZvcnR1bmF0ZS4KQnV0IGJhc2VkIG9uIHNpemUsIEknbGwgZ2l2ZSB5b3UgdGhlIHBhcnRpY2lwYXRpb24gcHJpemUhClBsZWFzZSBjaGFsbGVuZ2UgdXMgYWdhaW4gbmV4dCB0aW1lLg==,,,,,W1BhcG91bGFdCkJhbX4hIE8gdGFtYW5obyBkbyBtZWzDo28gcXVlIHZvY8OqIHRyb3V4ZSBob2plIMOpLi4uCnswfW1tIQrDiSB1bSBlbXBhdGUgY29tIG8gcmVjb3JkZSwgcXVlIHBlbmEuCk1hcyBjb20gYmFzZSBubyB0YW1hbmhvLCB2b3UgdGUgZGFyIG8gcHLDqm1pbyBkZSBwYXJ0aWNpcGHDp8OjbyEKUG9yIGZhdm9yLCBub3MgZGVzYWZpZSBub3ZhbWVudGUgYW1hbmjDoy4=,,W1BhcG9sYV0KwqFCYW1+ISDCoUVsIHRhbWHDsW8gZGVsIG1lbMOzbiBxdWUgdHJhamlzdGUgaG95IGVzLi4uCk5hZGEgbcOhcyB5IG5hZGEgbWVub3MgcXVlIHswfW1tIQpFcyB1biBlbXBhdGUgY29uIGVsIHLDqWNvcmQsIHF1w6kgcGVuYS4KwqFQZXJvIHBvciBlbCB0YW1hw7FvLCB0ZSBkYXLDqSBlbCBwcmVtaW8gZGUgcGFydGljaXBhY2nDs24hCsKhUG9yIGZhdm9yLCBkZXNhZsOtYW5vcyBkZSBudWV2byBsYSBwcsOzeGltYSB2ZXoh
6Qj/BQ,W+2MlO2MjOuPhOudvF0K7Ja065SULi4uIOyYpOyYpOyYpCEg7YGs64ukISEK6riw66GdIOqwseyLoCEgezB9bW3snZgg66mc66Gg7J2ECuqwgOyguOyYpOyLoCB7MX3ri5jsnZgg7Jqw7Iq5IQrtlZjsp4Drp4wg7IKs7J207KaI7IOBIOywuOqwgOyDgeydhArspp3soJXtlbQg65Oc66a964uI64ukLiDstpXtlZjrk5zrpr3ri4jri6QhCuuLpOydjOyXkCDrmJAg64+E7KCE7ZW0IOyjvOyEuOyalCE=,W1BhbHBhZG9yYV0KTGV0J3Mgc2VlLi4uIE9vb2ghIEl0J3MgaHVnZSEhClJlY29yZCBicm9rZW4hIFdpbm5pbmcgd2l0aCBhIHswfW1tIG1lbG9uIGJyb3VnaHQgYnkgezF9IQpCdXQgYmFzZWQgb24gc2l6ZSwgSSdsbCBnaXZlIHlvdSB0aGUgcGFydGljaXBhdGlvbiBwcml6ZS4gQ29uZ3JhdHVsYXRpb25zIQpQbGVhc2UgY2hhbGxlbmdlIHVzIGFnYWluIG5leHQgdGltZSE=,,,,,W1BhcG91bGFdCkRlaXhlLW1lIHZlci4uLiBPb29oISDDiSBlbm9ybWUhIQpSZWNvcmRlIHF1ZWJyYWRvISBWZW5jZW5kbyBjb20gdW0gbWVsw6NvIGRlIHswfW1tIHRyYXppZG8gcG9yIHsxfSEKTWFzIGNvbSBiYXNlIG5vIHRhbWFuaG8sIHZvdSB0ZSBkYXIgbyBwcsOqbWlvIGRlIHBhcnRpY2lwYcOnw6NvLiBQYXJhYsOpbnMhClBvciBmYXZvciwgbm9zIGRlc2FmaWUgbm92YW1lbnRlIGFtYW5ow6Mh,,W1BhcG9sYV0KQSB2ZXIuLi4gwqFPb29oISDCoVF1w6kgZ3JhbmRlISEKwqFSw6ljb3JkIHN1cGVyYWRvISDCoUdhbmFkb3IgY29uIHVuIG1lbMOzbiBkZSB7MH1tbSB0cmHDrWRvIHBvciB7MX0hClBlcm8gcG9yIGVsIHRhbWHDsW8sIHRlIGRhcsOpIGVsIHByZW1pbyBkZSBwYXJ0aWNpcGFjacOzbi4gwqFGZWxpY2lkYWRlcyEKwqFQb3IgZmF2b3IsIGRlc2Fmw61hbm9zIGRlIG51ZXZvIGxhIHByw7N4aW1hIHZleiE=
6gj/BQ,W+2MlO2MjOuPhOudvF0K67mg67CkfiEg7Jik64qYIOqwgOyguOyYpOyLoArrqZzroaDsnZgg7YGs6riw64qUIQrrsJTroZwgezB9bW0hCuyasOufieyDgSDspp3soJUhISDstpXtlZjrk5zrpr3ri4jri6QhCuy1nOqzoOq4sOuhneqzvCDtg4DsnbTquLDroZ3snbTrnbwg7JWE7Im964Sk7JqULgrri6TsnYzsl5Ag65iQIOuPhOyghO2VtCDso7zshLjsmpQh,W1BhbHBhZG9yYV0KQmFtfiEgVGhlIHNpemUgb2YgdGhlIG1lbG9uIHlvdSBicm91Z2h0IHRvZGF5IGlzLi4uCnswfW1tIQpFeGNlbGxlbmNlIFByaXplISEgQ29uZ3JhdHVsYXRpb25zIQpJdCdzIGEgdGllIHdpdGggdGhlIGhpZ2ggc2NvcmUsIHRoYXQncyB1bmZvcnR1bmF0ZS4KUGxlYXNlIGNoYWxsZW5nZSB1cyBhZ2FpbiBuZXh0IHRpbWUh,,,,,W1BhcG91bGFdCkJhbX4hIE8gdGFtYW5obyBkbyBtZWzDo28gcXVlIHZvY8OqIHRyb3V4ZSBob2plIMOpLi4uCnswfW1tIQpQcsOqbWlvIGRlIEV4Y2Vsw6puY2lhISEgUGFyYWLDqW5zIQrDiSB1bSBlbXBhdGUgY29tIG8gcmVjb3JkZSwgcXVlIHBlbmEuClBvciBmYXZvciwgbm9zIGRlc2FmaWUgbm92YW1lbnRlIGFtYW5ow6Mh,,W1BhcG9sYV0KwqFCYW1+ISDCoUVsIHRhbWHDsW8gZGVsIG1lbMOzbiBxdWUgdHJhamlzdGUgaG95IGVzLi4uCk5hZGEgbcOhcyB5IG5hZGEgbWVub3MgcXVlIHswfW1tIQrCocKhUHJlbWlvIGEgbGEgRXhjZWxlbmNpYSEhIMKhRmVsaWNpZGFkZXMhCkVzIHVuIGVtcGF0ZSBjb24gZWwgcsOpY29yZCwgcXXDqSBwZW5hLgrCoVBvciBmYXZvciwgZGVzYWbDrWFub3MgZGUgbnVldm8gbGEgcHLDs3hpbWEgdmV6IQ==
6wj/BQ,W+2MlO2MjOuPhOudvF0K7Ja065SULi4uIOyYpOyYpOyYpCEg7YGs64ukISEK6riw66GdIOqwseyLoCEgezB9bW3snZgg66mc66Gg7J2ECuqwgOyguOyYpOyLoCB7MX3ri5jsnZgg7Jqw7Iq5IQrtlZjsp4Drp4wg7IKs7J207KaI7IOBIOyasOufieyDgeydhArspp3soJXtlbQg65Oc66a964uI64ukLiDstpXtlZjrk5zrpr3ri4jri6QhCuuLpOydjOyXkCDrmJAg64+E7KCE7ZW0IOyjvOyEuOyalCE=,W1BhbHBhZG9yYV0KTGV0J3Mgc2VlLi4uIE9vb2ghIEl0J3MgaHVnZSEhClJlY29yZCBicm9rZW4hIFdpbm5pbmcgd2l0aCBhIHswfW1tIG1lbG9uIGJyb3VnaHQgYnkgezF9IQpCdXQgYmFzZWQgb24gc2l6ZSwgSSdsbCBnaXZlIHlvdSB0aGUgRXhjZWxsZW5jZSBQcml6ZS4gQ29uZ3JhdHVsYXRpb25zIQpQbGVhc2UgY2hhbGxlbmdlIHVzIGFnYWluIG5leHQgdGltZSE=,,,,,W1BhcG91bGFdCkRlaXhlLW1lIHZlci4uLiBPb29oISDDiSBlbm9ybWUhIQpSZWNvcmRlIHF1ZWJyYWRvISBWZW5jZW5kbyBjb20gdW0gbWVsw6NvIGRlIHswfW1tIHRyYXppZG8gcG9yIHsxfSEKTWFzIGNvbSBiYXNlIG5vIHRhbWFuaG8sIHZvdSB0ZSBkYXIgbyBQcsOqbWlvIGRlIEV4Y2Vsw6puY2lhLiBQYXJhYsOpbnMhClBvciBmYXZvciwgbm9zIGRlc2FmaWUgbm92YW1lbnRlIGFtYW5ow6Mh,,W1BhcG9sYV0KQSB2ZXIuLi4gwqFPb29oISDCoVF1w6kgZ3JhbmRlISEKwqFSw6ljb3JkIHN1cGVyYWRvISDCoUdhbmFkb3IgY29uIHVuIG1lbMOzbiBkZSB7MH1tbSB0cmHDrWRvIHBvciB7MX0hClBlcm8gcG9yIGVsIHRhbWHDsW8sIHRlIGRhcsOpIGVsIFByZW1pbyBhIGxhIEV4Y2VsZW5jaWEuIMKhRmVsaWNpZGFkZXMhCsKhUG9yIGZhdm9yLCBkZXNhZsOtYW5vcyBkZSBudWV2byBsYSBwcsOzeGltYSB2ZXoh
7Aj/BQ,W+2MlO2MjOuPhOudvF0K67mg67CkfiEg7Jik64qYIOqwgOyguOyYpOyLoArrqZzroaDsnZgg7YGs6riw64qUIQrrsJTroZwgezB9bW0hCuyImOyDgeyImOyDgeyDgSDspp3soJUhISDstpXtlZjrk5zrpr3ri4jri6QhCu2VmOyngOunjCDquLDroZ3sl5DripQg66q7IOuvuOy5mOuEpOyalC4K7JWE7Im97KeA66eMIOuYkCDrj4TsoITtlbQg7KO87IS47JqUIQ==,W1BhbHBhZG9yYV0KQmFtfiEgVGhlIHNpemUgb2YgdGhlIG1lbG9uIHlvdSBicm91Z2h0IHRvZGF5IGlzLi4uCnswfW1tIQpTdXNwaWNpb3VzIFN1c3BpY2lvdXMgUHJpemUhISBDb25ncmF0dWxhdGlvbnMhCkJ1dCBpdCBkaWRuJ3QgbWFrZSB0aGUgcmVjb3JkLgpVbmZvcnR1bmF0ZSwgYnV0IHBsZWFzZSB0cnkgYWdhaW4h,,,,,W1BhcG91bGFdCkJhbX4hIE8gdGFtYW5obyBkbyBtZWzDo28gcXVlIHZvY8OqIHRyb3V4ZSBob2plIMOpLi4uCnswfW1tIQpQcsOqbWlvIFN1c3BlaXRvIFN1c3BlaXRvISEgUGFyYWLDqW5zIQpNYXMgbsOjbyBhdGluZ2l1IG8gcmVjb3JkZS4KUXVlIHBlbmEsIG1hcyB0ZW50ZSBub3ZhbWVudGUh,,W1BhcG9sYV0KwqFCYW1+ISDCoUVsIHRhbWHDsW8gZGVsIG1lbMOzbiBxdWUgdHJhamlzdGUgaG95IGVzLi4uCk5hZGEgbcOhcyB5IG5hZGEgbWVub3MgcXVlIHswfW1tIQrCocKhUHJlbWlvIFNvc3BlY2hvc8Otc2ltbyEhIMKhRmVsaWNpZGFkZXMhClBlcm8gbm8gYWxjYW56w7MgZWwgcsOpY29yZC4KUXXDqSBwZW5hLCBwZXJvIMKhaW50w6ludGFsbyBkZSBudWV2byE=
