oEkaAQ,,VmluY2VudA==,,,,,VmluY2VudA==,,VmluY2VudA==
uUkaAQ,,W1ZpbmNlbnRdCkkgaG9wZSB5b3UgZm9yZ2l2ZSBtZS4uLgpJJ2xsIGRvIHdoYXQgSSBzaG91bGQndmUKZG9uZSBmcm9tIHRoZSBiZWdpbm5pbmcuLi4KSSdsbCB0YWtlIGZ1bGwgcmVzcG9uc2liaWxpdHkKZm9yIHRoZSBnZW0ncyB0aGVmdCwgYW5kIFNpcgpaaGVkIGNhbiBkbyB0byBtZSB3aGF0IGhlIHdpbGwu,,,,,W1ZpbmNlbnRdCkVzcGVybyBxdWUgdm9jw6ogbWUgcGVyZG9lLi4uCkZhcmVpIG8gcXVlIGRldmVyaWEgdGVyIGZlaXRvCmRlc2RlIG8gaW7DrWNpby4uLgpBc3N1bWlyZWkgdG90YWwgcmVzcG9uc2FiaWxpZGFkZQpwZWxvIHJvdWJvIGRhIGpvaWEsIGUgU2lyClpoZWQgcG9kZSBmYXplciBvIHF1ZSBxdWlzZXIgY29taWdvLg==,,W1ZpbmNlbnRdCkVzcGVybyBxdWUgcHVlZGFzIHBlcmRvbmFybWUuLi4KSGFyw6kgbG8gcXVlIGRlYmVyw61hIGhhYmVyCmhlY2hvIGRlc2RlIGVsIHByaW5jaXBpby4uLgpNZSBoYXLDqSByZXNwb25zYWJsZQpkZWwgcm9ibyBkZSBsYSBnZW1hLCB5IHNpcgpaaGVkIHBvZHLDoSBoYWNlciBjb25taWdvIGxvIHF1ZSBxdWllcmEu
ukkaAQ,,W1ZpbmNlbnRdClRoZSBnZW0gaXMgdmVyeSBzcGVjaWFsLi4uCk91ciBwb3BlIGNvbW1hbmRlZCBteQptYXN0ZXIgdG8ga2VlcCB0aGUgamV3ZWwKc2FmZWx5LCBhcyBpdCBoYXMgdGhlIHBvd2VyCnRvIHNhdmUgQXJ1bmFmZWx0eiBhbmQgUmFjaGVsCndoZW4gdGhlIHRpbWUgY29tZXMu,,,,,W1ZpbmNlbnRdCkEgam9pYSDDqSBtdWl0byBlc3BlY2lhbC4uLgpOb3NzYSBQYXBpc2Egb3JkZW5vdSBxdWUgbWV1Cm1lc3RyZSBndWFyZGFzc2UgYSBqb2lhCmVtIHNlZ3VyYW7Dp2EsIHBvaXMgZWxhIHRlbSBvIHBvZGVyCnBhcmEgc2FsdmFyIEFydW5hZmVsdHogZSBSYWNoZWwKcXVhbmRvIGNoZWdhciBhIGhvcmEgY2VydGEu,,W1ZpbmNlbnRdCkxhIGdlbWEgZXMgbXV5IGVzcGVjaWFsLi4uCkxhIHBhcGlzYSBsZSBvcmRlbsOzIGEgbWkKYW1vIHF1ZSBsYSBwcm90ZWdpZXJhLApwdWVzIHRpZW5lIGVsIHBvZGVyCmRlIHNhbHZhciBhIEFydW5hZmVsdHogeSBSYWNoZWwKY3VhbmRvIGxsZWd1ZSBlbCBtb21lbnRvLg==
u0kaAQ,,W3swfV0KVGhlIGdlbSBpcyByZWFsbHkgdGhhdAppbXBvcnRhbnQsIGh1aD8gV2VsbCwgeW91CmFsbW9zdCBoYWQgbWUga2lsbGVkLCBidXQKc2luY2UgSSdtIHN0aWxsIGFsaXZlLCBJIGd1ZXNzCkkgY2FuIG92ZXJsb29rIGl0LCB5b3Uga25vdz8=,,,,,W3swfV0KQSBqb2lhIMOpIHJlYWxtZW50ZSBtdWl0bwppbXBvcnRhbnRlLCBuw6NvIMOpPyBCb20sIHZvY8OqCnF1YXNlIG1lIG1hdG91LCBtYXMKY29tbyBhaW5kYSBlc3RvdSB2aXZvLCBhY2hvIHF1ZQpwb3NzbyBpZ25vcmFyIGlzc28sIHNhYmU/,,W3swfV0KTGEgZ2VtYSBlcyBtdXkKaW1wb3J0YW50ZSwgwr9ubz8gQnVlbm8sCmNhc2kgbWUgbWF0YXMsIHBlcm8KY29tbyBzaWdvIGNvbiB2aWRhLCBzdXBvbmdvCnF1ZSBwdWVkbyBkZWphcmxvIHBhc2FyLCDCv3NhYmVzPw==
vEkaAQ,,W3swfV0KWW91IHdvbid0IGdldCBpbiB0cm91YmxlCmlmIEkgY2FuIGZpbmQgdGhlIGpld2VsIGFuZApQaG9iZSBiZWZvcmUgU2lyIFpoZWQKcmV0dXJucywgc28gSSdsbCB0cnkgdG8gZmluZAp0aGVtIGZvciB5b3UgYXMgc29vbiBhcyBJIGNhbi4=,,,,,W3swfV0KVm9jw6ogbsOjbyB0ZXLDoSBwcm9ibGVtYXMKc2UgZXUgY29uc2VndWlyIGVuY29udHJhciBhIGpvaWEgZSBvClBob2JlIGFudGVzIHF1ZSBTaXIgWmhlZApyZXRvcm5lLCBwb3J0YW50bywgCnRlbnRhcmVpIGVuY29udHLDoS1sb3MgcGFyYSB2b2PDqiBhc3NpbSBxdWUgcHVkZXIu,,W3swfV0KTm8gdGVuZHLDoXMgcHJvYmxlbWFzCnNpIGVuY3VlbnRybyBsYSBnZW1hIHkKYSBQaG9iZSBhbnRlcyBkZSBxdWUgc2lyIFpoZWQKcmVncmVzZSwgYXPDrSBxdWUgaGFyw6kgbG8gcG9zaWJsZQpwb3IgZW5jb250cmFybG9zIGN1YW50byBhbnRlcy4=
vUkaAQ,,W1ZpbmNlbnRdCllvdSdyZSB3aWxsaW5nIHRvCmRvIHRoYXQgZm9yIG1lPyBeMzMzMzMzKlNvYipeMDAwMDAwCkV2ZW4gYWZ0ZXIgd2hhdCBJJ3ZlIHB1dAp5b3UgdGhyb3VnaD8gXjMzMzMzMypTbmlmZipeMDAwMDAw,,,,,W1ZpbmNlbnRdClZvY8OqIGVzdMOhIGRpc3Bvc3RvIGEKZmF6ZXIgaXNzbyBwb3IgbWltPyAoMjgpICpTb2x1w6dvKl4wMDAwMDAKTWVzbW8gZGVwb2lzIGRvIHF1ZQp2b2PDqiBwYXNzb3U/IF4zMzMzMzMqU25pZmYqXjAwMDAwMA==,,W1ZpbmNlbnRdCsK/SGFyw61hcyBlc28KcG9yIG3DrT8gXjMzMzMzMypTb2xsb3phKl4wMDAwMDAKwr9JbmNsdXNvIGRlc3B1w6lzIGRlIHRvZG8gbG8gcXVlCnRlIGhpY2UgcGFzYXI/IF4zMzMzMzMqU29sbG96YSpeMDAwMDAw
vkkaAQ,,W3swfV0KRWgsIEkgd2VudCB0aHJvdWdoIGFsbAp0aGlzIHRyb3VibGUgYWxyZWFkeSwgc28KSSBtaWdodCBhcyB3ZWxsIGZpbmlzaCB0aGUKam9iLiBCZXNpZGVzLCBQaG9iZSBpcwpqdXN0IGEga2lkLCBzbyBoZSdzIHByb2JhYmx5CmhpZGluZyBzb21ld2hlcmUgaW4gdG93bi4uLg==,,,,,W3swfV0KRXUgasOhIAp0aXZlIHRvZG8gZXNzZSB0cmFiYWxobywKZW50w6NvIMOpIG1lbGhvciB0ZXJtaW5hcgpvIHNlcnZpw6dvLiBBbMOpbSBkaXNzbywgbyBQaG9iZSDDqQpzw7MgdW1hIGNyaWFuw6dhLCBlbnTDo28gZWxlIHByb3ZhdmVsbWVudGUgZXN0w6EKZXNjb25kaWRvIGVtIGFsZ3VtIGx1Z2FyIGRhIGNpZGFkZS4uLg==,,W3swfV0KTWlyYSwgeWEgcGFzw6kgcG9yIHRvZG8KZXN0ZSBsw61vLCBhc8OtIHF1ZQptw6FzIHZhbGUgdGVybWluYXIgZWwKdHJhYmFqby4gQWRlbcOhcywgUGhvYmUgZXMKc29sbyB1biBuacOxby4gU2VndXJvIGVzdMOhIApvY3VsdG8gZW4gYWxnw7puIGx1Z2FyIGRlIGxhIGNpdWRhZC4uLg==
v0kaAQ,,W1ZpbmNlbnRdCllvdSBjYW1lIGJhY2shCldlcmUgeW91IGFibGUgdG8KZmluZCBQaG9iZT8hIEgtaG93CmlzIGhlPyBJcyBoZSBhbHJpZ2h0Pw==,,,,,W1ZpbmNlbnRdClZvY8OqIHZvbHRvdSEKVm9jw6ogY29uc2VndWl1CmVuY29udHJhciBvIFBob2JlPyEgQ29tbyBlbGUgZXN0w6E/CkVsZSBlc3TDoSBiZW0/,,W1ZpbmNlbnRdCsKhVm9sdmlzdGUhCsKhwr9QdWRpc3RlCmVuY29udHJhciBhIFBob2JlPyEgwr9DLWPDs21vCmVzdMOhPyDCv0VzdMOhIGJpZW4/
wEkaAQ,,W3swfV0KSHVoPyBPaCB5ZWFoLCBoZSdzIApqdXN0IGZpbmUuIEkgZm91bmQgUGhvYmUKbG9pdGVyaW5nIGFyb3VuZCBGcmV5YSdzClNwcmluZy4gRXIsIGhlJ3Mgbm90IHdpbGxpbmcKdG8gY29tZSBob21lIHlldCwgYnV0IGhlIGRpZApnaXZlIG1lIHRoZSBnZW0gaGUgc3RvbGUu,,,,,W3swfV0KSMOjPyBBaCwgc2ltLCBlbGUgZXN0w6EgCsOzdGltby4gRXUgZW5jb250cmVpIG8gUGhvYmUKdmFnYW5kbyBwZXJ0byBkYSBGb250ZSBkZSBGcmV5YS4gSMOjLCBlbGUgbsOjbyBxdWVyCnZvbHRhciBwYXJhIGNhc2EgYWluZGEsIG1hcyBlbGUKZGV2b2x2ZXUgYSBqb2lhIHF1ZSByb3Vib3Uu,,W3swfV0Kwr9FaD8gQWgsIHPDrSwgZXN0w6EgIApiaWVuLiBFbmNvbnRyw6kgYSBQaG9iZQptZXJvZGVhbmRvIGVuIGVsCkZ1ZW50ZSBkZSBGcmV5YS4gRW1tLCBubyBxdWllcmUKdm9sdmVyIGEgY2FzYSB0b2RhdsOtYSwgcGVybwptZSBlbnRyZWfDsyBsYSBnZW1hIHF1ZSByb2LDsy4=
wUkaAQ,,W3swfV0KU28uLi4gSSBlYXJuZWQgbXkKcmV3YXJkIG5vdywgcmlnaHQ/CkFuZCBubyBvbmUgaGFzIHRvIGRpZT8=,,,,,W3swfV0KRW50w6NvLi4uIHZvdSBnYW5oYXIgbWluaGEKcmVjb21wZW5zYSBhZ29yYSwgY2VydG8/CkUgbmluZ3XDqW0gcHJlY2lzYSBtb3JyZXI/,,W3swfV0KQXPDrSBxdWUuLi4geWEgZ2Fuw6kgbWkKcHJlbWlvLCDCv25vPwrCv1kgbmFkaWUgdGllbmUgcXVlIG1vcmlyPw==
wkkaAQ,,W1ZpbmNlbnRdClllcywgeWVzLCB0aGFuayB5b3Ugc28KbXVjaCEgSSdsbCBuZXZlciBmb3JnZXQKd2hhdCB5b3UndmUgZG9uZSBmb3IgbWUuCk9oLCBteSBib3kgaXMgYWxyaWdodCE=,,,,,W1ZpbmNlbnRdClNpbSwgc2ltLCBtdWl0byBvYnJpZ2FkbyEKRXUgbnVuY2Egdm91IGVzcXVlY2VyCm8gcXVlIHZvY8OqIGZleiBwb3IgbWltLgpBaCwgbWV1IGZpbGhvIGVzdMOhIGJlbSE=,,W1ZpbmNlbnRdClPDrSwgc8OtLCDCoW11Y2hhcwpncmFjaWFzISBOdW5jYSBvbHZpZGFyw6kgCmxvIHF1ZSBoaWNpc3RlIHBvciBtw60uCkF5LCDCoW1pIGhpam8gZXN0w6EgYmllbiE=
w0kaAQ,,W3swfV0KSC1oZXkhIFVtLCB0YWtlCnRoaXMgamV3ZWwhIFlvdSBuZWVkCnRvIHJldHVybiBpdCB0byB3aGVyZXZlcgppdCdzIHN1cHBvc2VkIHRvIGdvLCByaWdodD8=,,,,,W3swfV0KRS1laSEgSHVtLCBwZWd1ZQpsb2dvIGEgam9pYSEgVm9jw6ogcHJlY2lzYQpkZXZvbHbDqi1sYSBwYXJhIG8gbHVnYXIgZGVsYSwgY2VydG8/,,W3swfV0KwqFPLW95ZSEgRWgsIMKhdG9tYQpsYSBnZW1hISBUaWVuZXMKcXVlIGRldm9sdmVybGEgYWwgbHVnYXIKcXVlIGNvcnJlc3BvbmRlLCDCv3ZlcmRhZD8=
xEkaAQ,,W1ZpbmNlbnRdCk9oLCB5ZXMsIEknZCBiZXR0ZXIgZG8KdGhhdC4gV2hpbGUgSSByZXR1cm4gdGhpcwpqZXdlbCwgd291bGQgeW91IHBsZWFzZQp0ZWxsIG15IHdpZmUgSmVubnkgdGhhdCBvdXIKYm95IGlzIG9rYXk/IFNoZSdzIGJlZW4KdmVyeSB3b3JyaWVkIGFib3V0IGhpbSwgc28uLi4=,,,,,W1ZpbmNlbnRdCkFoLCBzaW0sIMOpIG1lbGhvciBldSBmYXplcgppc3NvIG1lc21vLiBFbnF1YW50byBldSBkZXZvbHZvIGVzc2EKam9pYSwgdm9jw6ogcG9kZXJpYQpkaXplciDDoCBtaW5oYSBlc3Bvc2EgSmVubnkgcXVlIG5vc3NvCmZpbGhvIGVzdMOhIGJlbT8gRWxhIGVzdGF2YQptdWl0byBwcmVvY3VwYWRhIGNvbSBlbGUsIGVudMOjby4uLg==,,W1ZpbmNlbnRdCkFoLCBzw60sIHZveSBhIGhhY2VyCmVzby4gTWllbnRyYXMgZGV2dWVsdm8gZXN0YQpnZW1hLCDCv3BvZHLDrWFzCmRlY2lybGUgYSBtaSBlc3Bvc2EgSmVubnkgcXVlIG51ZXN0cm8KaGlqbyBlc3TDoSBiaWVuPyBFc3TDoSAKbXV5IHByZW9jdXBhZGEgcG9yIMOpbCwgYXPDrSBxdWUuLi4=
xUkaAQ,,W3swfV0KWW91IHdhbnQgbWUgdG8gdGVsbApKZW5ueSBhYm91dCBQaG9iZT8KU3VyZSwgc3VyZSwgSSdsbCBkbyB0aGF0Lg==,,,,,W3swfV0KVm9jw6ogcXVlciBxdWUgZXUgY29udGUgw6AKSmVubnkgc29icmUgbyBQaG9iZT8KQ2xhcm8sIGNsYXJvLCBldSBmYcOnbyBpc3NvLg==,,W3swfV0Kwr9RdWllcmVzIHF1ZSBsZSBjdWVudGUgYQpKZW5ueSBzb2JyZSBQaG9iZT8KQ2xhcm8sIGNsYXJvLCBsbyBoYXLDqS4=
xkkaAQ,,W1ZpbmNlbnRdCk9oISBXaGlsZSBJIHJldHVybiB0aGlzCmpld2VsLCB3b3VsZCB5b3UgcGxlYXNlCnRlbGwgbXkgd2lmZSBKZW5ueSB0aGF0IG91cgpib3kgaXMgb2theT8gU2hlJ3MgYmVlbgp2ZXJ5IHdvcnJpZWQgYWJvdXQgaGltLCBzby4uLg==,,,,,W1ZpbmNlbnRdCkFoISBFbnF1YW50byBldSBkZXZvbHZvIGVzc2EKam9pYSwgdm9jw6ogcG9kZXJpYQpkaXplciDDoCBtaW5oYSBlc3Bvc2EgSmVubnkgcXVlIG5vc3NvCmZpbGhvIGVzdMOhIGJlbT8gRWxhIGVzdGF2YQptdWl0byBwcmVvY3VwYWRhIGNvbSBlbGUsIGVudMOjby4uLg==,,W1ZpbmNlbnRdCsKhQWghIE1pZW50cmFzIGRldnVlbHZvIGVzdGEKZ2VtYSwgwr9wb2Ryw61hcwpkZWNpcmxlIGEgbWkgZXNwb3NhIEplbm55IHF1ZSBudWVzdHJvCmhpam8gZXN0w6EgYmllbj8gRXN0w6EgCm11eSBwcmVvY3VwYWRhIHBvciDDqWwsIGFzw60gcXVlLi4u
x0kaAQ,,W3swfV0KSSB0b2xkIEplbm55IHRoYXQKYWJvdXQgUGhvYmUsIGFuZCB0aGF0CnRoZSBnZW0gd2FzIHJldHVybmVkLi4uClNoZSBzZWVtZWQgcHJldHR5IHJlbGlldmVkLg==,,,,,W3swfV0KRXUgZGlzc2Ugw6AgSmVubnkKcXVlIG8gUGhvYmUgZXN0w6EgYmVtLCBlIHF1ZQphIGpvaWEgZm9pIGRldm9sdmlkYS4uLgpFbGEgcGFyZWNldSBiYXN0YW50ZSBhbGl2aWFkYS4=,,W3swfV0KTGUgY29udMOpIGEgSmVubnkKc29icmUgUGhvYmUsIHkgcXVlCmRldm9sdmnDsyBsYSBnZW1hLi4uClBhcmVjw61hIGJhc3RhbnRlIGFsaXZpYWRhLg==
yEkaAQ,,W1ZpbmNlbnRdClRoYW5rIHlvdSBzbyBtdWNoLAphZHZlbnR1cmVyLiBTaGUncyBzdWNoCmEga2luZCwgbG92aW5nIHdvbWFuLCBhbmQKSSBoYXRlIHRvIHNlZSBoZXIgZ28gdGhyb3VnaAphbGwgdGhhdCB0b3JtZW50LiBJIGRvbid0IGRlc2VydmVeRkZGRkZGIF4wMDAwMDAgc3VjaCBhIGJlYXV0aWZ1bCB3b21hbi4uLg==,,,,,W1ZpbmNlbnRdCk11aXRvIG9icmlnYWRvLAphdmVudHVyZWlyby4gRWxhIMOpCnVtYSBtdWxoZXIgdMOjbyBnZW50aWwgZSBhbW9yb3NhLgpFdSBkZXRlc3RvIHbDqi1sYSBwYXNzYXIgcG9yCnRvZG8gZXNzZSB0b3JtZW50by4gRXUgbsOjbyBtZXJlw6dvXkZGRkZGRiBeMDAwMDAwIHVtYSBtdWxoZXIgdMOjbyBpbmNyw612ZWwuLi4=,,W1ZpbmNlbnRdCk11Y2jDrXNpbWFzIGdyYWNpYXMsCnRyb3RhbXVuZG9zLiBFcyB1bmEgbXVqZXIKdGFuIGFtYWJsZSB5IGNhcmnDsW9zYSwgeQptZSBkdWVsZSB2ZXJsYSBzdWZyaXIKZGUgZXNlIG1vZG8uIE5vIG1lcmV6Y29eRkZGRkZGIF4wMDAwMDAgdW5hIG11amVyIHRhbiBpbmNyZcOtYmxlLi4u
yUkaAQ,,W1ZpbmNlbnRdCkl0J3MgdmVyeSBmb3J0dW5hdGUgdGhhdAp5b3UndmUgY29tZSB0byBzYXZlIHVzLi4uClBsZWFzZSBkcm9wIGJ5IHRoZSBuZXh0CnRpbWUgdGhhdCB5b3UncmUgaW4gUmFjaGVsLAphbmQgSSdsbCB0cnkgdG8gaGVscCB5b3UgaWYgSSBjYW4uIF5GRkZGRkYgICBeMDAwMDAw,,,,,W1ZpbmNlbnRdCkZvaSBtdWl0YSBzb3J0ZSBxdWUKdm9jw6ogYXBhcmVjZXUgcGFyYSBub3Mgc2FsdmFyLi4uClBvciBmYXZvciwgcGFzc2UgcG9yIGFxdWkgbmEgcHLDs3hpbWEKdmV6IHF1ZSB2b2PDqiBlc3RpdmVyIGVtIFJhY2hlbCwKZSB0ZW50YXJlaSB0ZSBhanVkYXIgc2UgZXUgcHVkZXIuIF5GRkZGRkYgXjAwMDAwMA==,,W1ZpbmNlbnRdClF1w6kgc3VlcnRlCnF1ZSBsbGVnYXN0ZSBwYXJhIGF5dWRhcm5vcy4uLgpWZW4gYSB2aXNpdGFybWUgc2kgYWxndW5hCnZleiBwYXNhcyBwb3IgUmFjaGVsLgpJbnRlbnRhcsOpIGF5dWRhcnRlIHRhbWJpw6luLiBeRkZGRkZGICAgXjAwMDAwMA==
ykkaAQ,,W1ZpbmNlbnRdCkFoLCBhY3R1YWxseSwgSSBoYXZlCm9uZSBsYXN0IGZhdm9yIHRvIGFzawpvZiB5b3UuIFdvdWxkIHlvdSBwbGVhc2UKYnJpbmcgdGhpcyBub3RlIGFuZCBwYWNrYWdlCnRvIG15IG1hc3Rlcj8gSGUgc2hvdWxkIHN0aWxsCmJlIGluIHRoZSB0ZW1wbGUgcmlnaHQgbm93Lg==,,,,,W1ZpbmNlbnRdCkFoLCBuYSB2ZXJkYWRlLCBldSB0ZW5obwp1bSDDumx0aW1vIGZhdm9yIHBhcmEgcGVkaXIKYSB2b2PDqi4gVm9jw6ogcG9kZXJpYSwgcG9yIGZhdm9yCmxldmFyIGVzdGEgbm90YSBlIHVtIHBhY290ZQpwYXJhIG8gbWV1IG1lc3RyZT8gRWxlIGFpbmRhIGRldmUKZXN0YXIgbm8gdGVtcGxvIG5lc3RlIG1vbWVudG8u,,W1ZpbmNlbnRdCkFoLCBlbiByZWFsaWRhZCwgdGVuZ28KdW4gw7psdGltbyBmYXZvcgpxdWUgcGVkaXJ0ZS4gwr9Qb2Ryw61hcwpsbGV2YXIgZXN0YSBub3RhIHkgZXN0ZSBwYXF1ZXRlCmEgbWkgYW1vPyBEZWJlcsOtYSBlc3RhcgplbiBlbCB0ZW1wbG8gYWhvcmEu
y0kaAQ,,W1ZpbmNlbnRdCklmIHlvdSBhc2sgZm9yIEhpZ2gKUHJpZXN0IFpoZWQgYW5kIG1lbnRpb24KdGhhdCBJIHNlbnQgeW91LCB0aGVuIGhlCndpbGwgbWVldCB3aXRoIHlvdS4=,,,,,W1ZpbmNlbnRdClNlIHZvY8OqIHBlcmd1bnRhciBwZWxvIFN1bW8KU2FjZXJkb3RlIFpoZWQgZSBtZW5jaW9uYXIKcXVlIGV1IG8gZW52aWVpLCBlbnTDo28KZWxlIGlyw6EgcmVjZWJlciB2b2PDqi4=,,W1ZpbmNlbnRdClNpIHByZWd1bnRhcyBwb3IgZWwgU3VtbwpzYWNlcmRvdGUgWmhlZCB5IGRpY2VzCnF1ZSB5byB0ZSBlbnZpw6ksIHRlIHJlY2liaXLDoSAKc2luIHByb2JsZW1hcy4=
zEkaAQ,,W1ZpbmNlbnRdCk5vdyBpcyB0aGUgdGltZSBmb3IKbWUgdG8gZ2l2ZSB5b3UgeW91cgpyZXdhcmQuIEhvdyBhYm91dCB0aGF0PwpJIGRvbid0IGtub3cgd2hhdCdzIGluc2lkZSwKYnV0IEkga25vdyB0aGVzZSBpdGVtcyBhcmUKcXVpdGUgdmFsdWFibGUgbm93YWRheXMu,,,,,W1ZpbmNlbnRdCkFnb3JhIGNoZWdvdSBhIGhvcmFkYSBzdWEKcmVjb21wZW5zYS4gTyBxdWUgdm9jw6ogYWNoYSBkaXNzbz8KTsOjbyBzZWkgbyBxdWUgdGVtIGRlbnRybywKbWFzIHNlaSBxdWUgZXNzZXMgaXRlbnMgc8OjbwpiYXN0YW50ZSB2YWxpb3NvcyBob2plIGVtIGRpYS4=,,W1ZpbmNlbnRdCkFob3JhIGVzIGVsIG1vbWVudG8KZGUgZGFydGUgdHUKcHJlbWlvLiDCv1F1w6kgdGUgcGFyZWNlPwpObyBzw6kgbG8gcXVlIGhheSBkZW50cm8sCnBlcm8gc8OpIHF1ZSBlc3RvcyBvYmpldG9zIHNvbgpiYXN0YW50ZSB2YWxpb3NvcyBob3kgZW4gZMOtYS4=
zUkaAQ,,W1ZpbmNlbnRdCkFoLCBhbmQgdGhpcyBub3RlIGlzIGEKbGV0dGVyIG9mIHJlY29tbWVuZGF0aW9uCnRoYXQgSSBoYXZlIHdyaXR0ZW4gZm9yIHlvdS4KUGxlYXNlIGRlbGl2ZXIgaXQgdG8gU2lyIFpoZWQKYXMgc29vbiBhcyBwb3NzaWJsZS4gR29vZCBieWUsCmFuZCB0aGFuayB5b3UgZm9yIGV2ZXJ5dGhpbmcu,,,,,W1ZpbmNlbnRdCkFoLCBlIGVzdGEgbm90YSDDqSB1bWEKY2FydGEgZGUgcmVjb21lbmRhw6fDo28KcXVlIGVzY3JldmkgcGFyYSB2b2PDqi4KUG9yIGZhdm9yLCBlbnRyZWd1ZS1hIGFvIFNpciBaaGVkCm8gbWFpcyByw6FwaWRvIHBvc3PDrXZlbC4gQXTDqSBsb2dvLAplIG9icmlnYWRvIHBvciB0dWRvLg==,,W1ZpbmNlbnRdCkFoLCB5IGVzdGEgbm90YSBlcyB1bmEKY2FydGEgZGUgcmVjb21lbmRhY2nDs24KcXVlIGVzY3JpYsOtIHBhcmEgdGkuCkVudHLDqWdhc2VsYSBhIHNpciBaaGVkCmxvIGFudGVzIHBvc2libGUuIEFkacOzcywKeSBncmFjaWFzIHBvciB0b2RvLg==
zkkaAQ,,XjMzNTVGRllvdSByZWNlaXZlZCBhIGxldHRlcgpvZiByZWNvbW1lbmRhdGlvbgpmcm9tIFZpbmNlbnQuXjAwMDAwMA==,,,,,XjMzNTVGRlZvY8OqIHJlY2ViZXUgdW1hIGNhcnRhCmRlIHJlY29tZW5kYcOnw6NvCmRvIFZpbmNlbnQuXjAwMDAwMA==,,XjMzNTVGRlJlY2liaXN0ZSB1bmEgY2FydGEKZGUgcmVjb21lbmRhY2nDs24KZGUgVmluY2VudC5eMDAwMDAw
z0kaAQ,,W1ZpbmNlbnRdClRoYW5rIHlvdSBmb3IgZXZlcnl0aGluZwp0aGF0IHlvdSd2ZSBkb25lIGZvciBtZQphbmQgbXkgZmFtaWx5LiBJZiB5b3UgZXZlcgpuZWVkIGhlbHAsIHBsZWFzZSBkb24ndApoZXNpdGF0ZSB0byBhc2sgbWUsIGFscmlnaHQ/,,,,,W1ZpbmNlbnRdCk9icmlnYWRvIHBvciB0dWRvCnF1ZSB2b2PDqiBmZXogcG9yIG1pbQplIHBvciBtaW5oYSBmYW3DrWxpYS4gU2UgdW0gZGlhIHZvY8OqCnByZWNpc2FyIGRlIGFqdWRhLCBwb3IgZmF2b3IsIG7Do28KaGVzaXRlIGVtIG1lIHBlZGlyLCBjZXJ0bz8=,,W1ZpbmNlbnRdCkdyYWNpYXMgcG9yIHRvZG8KbG8gcXVlIGhpY2lzdGUgcG9yIG3DrSAKeSBtaSBmYW1pbGlhLiBTaSBhbGd1bmEgdmV6Cm5lY2VzaXRhcyBhbGdvLCBubyBkdWRlcwplbiBwZWTDrXJtZWxvLCDCv2RlIGFjdWVyZG8/
0EkaAQ,,W1ZpbmNlbnRdCllvdSdyZSBpbnNpZGUgU2lyIFpoZWQncwpsb29raW5nIGZvciBuZXcgZW1wbG95ZWVzLApJIGRvbid0IHRoaW5rIHlvdSdyZSBzdWl0ZWQKZm9yIHRoaXMga2luZCBvZiBkb21lc3RpYwp3b3JrLCBicmF2ZSBhZHZlbnR1cmVyLg==,,,,,W1ZpbmNlbnRdCk8gU2lyIFpoZWQgZXN0w6EKcHJvY3VyYW5kbyBwb3Igbm92b3MgZnVuY2lvbsOhcmlvcywKbWFzIG7Do28gYWNobyBxdWUgdm9jw6ogc2VqYSBhZGVxdWFkbwpwYXJhIGVzc2UgdGlwbyBkZSB0cmFiYWxobyBkb23DqXN0aWNvLApicmF2byBhdmVudHVyZWlyby4=,,W1ZpbmNlbnRdClNpciBaaGVkIGVzdMOhIApidXNjYW5kbyBudWV2b3MgZW1wbGVhZG9zLgpObyBjcmVvIHF1ZSBzZWFzIGxhIHBlcnNvbmEgaW5kaWNhZGEKcGFyYSBlc3RlIHRpcG8gZGUgdHJhYmFqbwpkb23DqXN0aWNvLCB2YWxpZW50ZSB0cm90YW11bmRvcy4=
0UkaAQ,,TG9nYW4=,,,,,TG9nYW4=,,TG9nYW4=
0kkaAQ,,W3swfV0KRXhjdXNlIG1lLCBidXQgZG8KeW91IGtub3cgbWFuIG5hbWVkClBob2JlIGJ5IGFueSBjaGFuY2U/CkkgaGVhcmQgdGhhdCBoZSB1c2VkCnRvIHdvcmsgYXJvdW5kIGhlcmUu,,,,,W3swfV0KQ29tIGxpY2Vuw6dhLCBtYXMgcG9yIGFjYXNvCnZvY8OqIGNvbmhlY2UgdW0gaG9tZW0gY2hhbWFkbwpQaG9iZT8KT3V2aSBkaXplciBxdWUgZWxlIHRyYWJhbGhhdmEgYXF1aS4=,,W3swfV0KRGlzY3VscGEsCsK/Y29ub2NlcyBhIGFsZ3VpZW4gbGxhbWFkbwpQaG9iZSBwb3IgY2FzdWFsaWRhZD8KRXNjdWNow6kgcXVlIHNvbMOtYQp0cmFiYWphciBhcXXDrS4=
00kaAQ,,W0xvZ2FuXQpFciwgbWF5IEkgYXNrIHdobwp5b3UgYXJlPyBXaHkgYXJlCnlvdSBsb29raW5nIGZvciBoaW0/,,,,,W0xvZ2FuXQpIw6MsIHBvc3NvIHNhYmVyIHF1ZW0gw6kgbyBzZW5ob3I/ClBvciBxdWUgZXN0w6EKcHJvY3VyYW5kbyBwb3IgZWxlPw==,,W0xvZ2FuXQpFbW0sIMK/cHVlZG8gc2FiZXIgcXVpw6luCmVyZXM/IMK/UG9yIHF1w6kgCmxvIGJ1c2Nhcz8=
