gGNQAw,,SWxzdW5n,,,,,SWxzdW5n,,SWxzdW5n
n2NQAw,,W0lsc3VuZ10KSXMgdGhhdCBzbz8gVGhhdCdzIHdoeSB5b3UKbG9va2VkIHNvIHNlcmlvdXMuCk5vdyB5b3Uga25vdywgcmlnaHQ/ClRoZSB0ZXN0aW5nIGlzIG5vdCBzbyBlYXN5Li4u,,,,,W0lsc3VuZ10Kw4kgaXNzbyBtZXNtbz8gw4kgcG9yIGlzc28gcXVlIHZvY8OqCnBhcmVjaWEgdMOjbyBzw6lyaW8uCkFnb3JhIHZvY8OqIHNhYmUsIGNlcnRvPwpPIHRlc3RlIG7Do28gw6kgdMOjbyBmw6FjaWwuLi4=,,W0lsc3VuZ10KIMK/RXMgZXNvIGNpZXJ0bz8gUG9yIGVzbwogcGFyZWPDrWEgdGFuIHNlcmlvLgogQWhvcmEgeWEgbG8gc2FiZXMsIMK/dmVyZGFkPwogTGEgcHJ1ZWJhIG5vIGVzIHRhbiBmw6FjaWwuLi4=
oGNQAw,,W0lsc3VuZ10KR28gb24uIFRha2UgaXQuClRoaXMgaXMgdGhlXjRENERGRiBTcGlyaXQgb2YgR3VpbGQgXjAwMDAwMC4KR2l2ZSBpdCB0byB5b3VyIG1vc3QgdHJ1c3RlZCBLbmlnaHQu,,,,,W0lsc3VuZ10KVsOhIGVtIGZyZW50ZS4gUGVndWUtby4KRXN0ZSDDqSBvIF40RDRERkYgRXNww61yaXRvIGRhIEd1aWxkYSBeMDAwMDAwLgpFbnRyZWd1ZS1vIGFvIHNldSBDYXZhbGVpcm8gbWFpcyBjb25macOhdmVsLg==,,W0lsc3VuZ10KIEFkZWxhbnRlLiBDw7NnZWxvLgogRXN0ZSBlcyBlbCBeNEQ0REZGIFNwaXJpdCBHdWlsZCBeMDAwMDAwLgogRMOhc2VsbyBhIHR1IGNhYmFsbGVybyBkZSBtYXlvciBjb25maWFuemEu
oWNQAw,,W0lsc3VuZ10KVGhlIEtuaWdodCB3aG8gcmVjZWl2ZXMgdGhlIFNwaXJpdCBvZiBHdWlsZApzaG91bGQgZ28gc2VlIFlpc3VuZy4KV2VsbCB0aGVuLApnb29kIGx1Y2suCk1heSB0aGUgZ29kcyBiZSB3aXRoIHlvdS4=,,,,,W0lsc3VuZ10KTyBDYXZhbGVpcm8gcXVlIHJlY2ViZXIgbyBFc3DDrXJpdG8gZGEgR3VpbGRhCmRldmUgaXIgdmVyIFlpc3VuZy4KRW50w6NvLCBtdWl0byBiZW0sCmJvYSBzb3J0ZS4KUXVlIG9zIGRldXNlcyBlc3RlamFtIGNvbSB2b2PDqi4=,,W0lsc3VuZ10KIEVsIENhYmFsbGVybyBxdWUgcmVjaWJlIGVsIEVzcMOtcml0dSBkZWwgR3JlbWlvCiBkZWJlcsOtYSBpciBhIHZlciBhIFlpc3VuZy4KIEJpZW4gaGVjaG8sCiBidWVuYSBzdWVydGUuCiBRdWUgbG9zIGRpb3NlcyB0ZSBhY29tcGHDsWVuLg==
omNQAw,,W0lsc3VuZ10KV2hhdCBicmluZ3MgeW91IGhlcmUgYWdhaW4KTWFzdGVyPwpZb3Ugc3RpbGwgaGF2ZSB0aGUgU3Bpcml0IG9mIEd1aWxkCkkgZ2F2ZSB5b3UuIEl0IHNlZW1zIHlvdSBoYXZlIG5vdCB5ZXQgZm91bmQKdGhlIHJpZ2h0IHBlcnNvbiB0byBnaXZlIGl0IHRvLg==,,,,,W0lsc3VuZ10KTyBxdWUgbyB0cmF6IGFxdWkgbm92YW1lbnRlPwpNZXN0cmU/ClZvY8OqIGFpbmRhIHRlbSBvIEVzcMOtcml0byBkYSBHdWlsZGEKcXVlIGV1IGxoZSBkZWkuIFBhcmVjZSBxdWUgdm9jw6ogYWluZGEgbsOjbyBlbmNvbnRyb3UKYSBwZXNzb2EgY2VydGEgcGFyYSBlbnRyZWfDoS1sby4=,,W0lsc3VuZ10KIMK/UXXDqSBsZSB0cmFlIHBvciBhcXXDrT8KIMK/TWFlc3Rybz8KIEHDum4gdGllbmVzIGVsIEVzcMOtcml0dSBkZWwgR3JlbWlvCiBMZSBkaS4gUGFyZWNlIHF1ZSB0b2RhdsOtYSBubyBoYXMgZW5jb250cmFkbwogbGEgcGVyc29uYSBhZGVjdWFkYSBwYXJhIGVudHJlZ2FybG8u
o2NQAw,,W0lsc3VuZ10KTWFzdGVyLCB5b3Ugc2hvdWxkIGdpdmUgdGhlIFNwaXJpdAp0byB5b3VyIG1vc3QgdXBzdGFuZGluZyBLbmlnaHQuCkkga25vdyBpdCBpcyBub3QgYW4gZWFzeSBkZWNpc2lvbiwKYnV0IHRyeSB0byBmaW5kIHRoZSByaWdodCBwZXJzb24KZnJvbSBhbW9uZyB5b3VyIG1lbi4=,,,,,W0lsc3VuZ10KTWVzdHJlLCBvIHNlbmhvciBkZXZlIGRhciBvIEVzcMOtcml0bwpwYXJhIG8gc2V1IENhdmFsZWlybyBtYWlzIMOtbnRlZ3JvLgpTZWkgcXVlIG7Do28gw6kgdW1hIGRlY2lzw6NvIGbDoWNpbCwKbWFzIHRlbnRlIGVuY29udHJhciBhIHBlc3NvYSBjZXJ0YQplbnRyZSBzZXVzIGhvbWVucy4=,,W0lsc3VuZ10KIE1hZXN0cm8sIGRlYmVzIGRhciBhbCBFc3DDrXJpdHUKIHBhcmEgc3UgY2FiYWxsZXJvIG3DoXMgZGVzdGFjYWRvLgogU8OpIHF1ZSBubyBlcyB1bmEgZGVjaXNpw7NuIGbDoWNpbCwKIHBlcm8gaW50ZW50YSBlbmNvbnRyYXIgYSBsYSBwZXJzb25hIGFkZWN1YWRhCiBlbnRyZSBzdXMgaG9tYnJlcy4=
pGNQAw,,W0lsc3VuZ10KVGhlIG1hbiBpbiBjaGFyZ2Ugb2YgdGhlIGNlcnRpZmljYXRlIGlzCllpc3VuZy4KSGUgbGlrZXMgdG8gcmVhZCwKc28geW91IG1pZ2h0IGZpbmQgaGltIG5lYXIgYSBsaWJyYXJ5LgpZb3Ugd2lsbCBoYXZlIHRvIHNlbmQgeW91ciBLbmlnaHQgdG8KaGltIGZvciB0aGUgdGVzdC4=,,,,,W0lsc3VuZ10KTyBob21lbSBlbmNhcnJlZ2FkbyBkbyBjZXJ0aWZpY2FkbyDDqQpZaXN1bmcuCkVsZSBnb3N0YSBkZSBsZXIsCnBvcnRhbnRvLCDDqSBwb3Nzw612ZWwgcXVlIG8gZW5jb250cmUgcGVydG8gZGUgdW1hIGJpYmxpb3RlY2EuClZvY8OqIHRlcsOhIGRlIGVudmlhciBzZXUgQ2F2YWxlaXJvIHBhcmEKcGFyYSBlbGUgZmF6ZXIgbyB0ZXN0ZS4=,,W0lsc3VuZ10KIEVsIHJlc3BvbnNhYmxlIGRlbCBjZXJ0aWZpY2FkbyBlcwogWWlzdW5nLgogTGUgZ3VzdGEgbGVlciwKIGFzw60gcXVlIHB1ZWRlIHF1ZSBsbyBlbmN1ZW50cmVzIGNlcmNhIGRlIHVuYSBiaWJsaW90ZWNhLgogVGVuZHLDoXMgcXVlIGVudmlhciBhIHR1IGNhYmFsbGVybyBhCiBwYXJhIHF1ZSBoYWdhIGxhIHBydWViYS4=
pWNQAw,,W0lsc3VuZ10KQWZ0ZXIgc3VjY2Vzc2Z1bGx5IGNvbXBsZXRpbmcgdGhlIHRlc3QsIGJlIHN1cmUgdG8gc3RvcCBieSwKYXMgSSB3aWxsIGhhdmUgZ29vZCBuZXdzIGZvciB5b3Uu,,,,,W0lsc3VuZ10KRGVwb2lzIGRlIGNvbmNsdWlyIG8gdGVzdGUgY29tIHN1Y2Vzc28sIG7Do28gZGVpeGUgZGUgcGFzc2FyIHBvciBhcXVpLApwb2lzIHRlcmVpIGJvYXMgbm90w61jaWFzIHBhcmEgdm9jw6ou,,W0lsc3VuZ10KIEN1YW5kbyBoYXlhcyBzdXBlcmFkbyBsYSBwcnVlYmEsIG5vIGRlamVzIGRlIHBhc2FydGUgcG9yIGFxdcOtLAogVGVuZ28gYnVlbmFzIG5vdGljaWFzIHBhcmEgdGku
pmNQAw,,TWFzdGVyLi4u,,,,,TWVzdHJlLi4u,,TWFlc3Ryby4uLg==
p2NQAw,,R29vZCBsdWNrIHRvIHlvdS4=,,,,,Qm9hIHNvcnRlIHBhcmEgdm9jw6ou,,QnVlbmEgc3VlcnRlLg==
qGNQAw,,W0lsc3VuZ10KT2gsIHRoaXMgY2VydGlmaWNhdGUgcHJvdmVzCnlvdSBoYXZlIGNvbXBsZXRlZCB0aGUgZmlyc3QgdGVzdC4KQWggeWVzLCB5b3UgcmVjZWl2ZWQgdGhlIFNwaXJpdCBvZiBWaWN0b3J5LgpXaXRoIHRoaXMsIHlvdXIgZmVsbG93IGd1aWxkbWF0ZXMKd2lsbCBmb2xsb3cgeW91CmFzIHlvdSBtb3ZlIGZvcndhcmQu,,,,,W0lsc3VuZ10KT2gsIGVzdGUgY2VydGlmaWNhZG8gcHJvdmEgcXVlCnF1ZSB2b2PDqiBjb25jbHVpdSBvIHByaW1laXJvIHRlc3RlLgpBaCwgc2ltLCB2b2PDqiByZWNlYmV1IG8gRXNww61yaXRvIGRhIFZpdMOzcmlhLgpDb20gaXNzbywgc2V1cyBjb21wYW5oZWlyb3MgZGUgZ3VpbGRhCnNlZ3VpcsOjbyB2b2PDqgplbnF1YW50byB2b2PDqiBhdmFuw6dhLg==,,W0lsc3VuZ10KIE9oLCBlc3RlIGNlcnRpZmljYWRvIHBydWViYSBxdWUKIHF1ZSBoYSBjb21wbGV0YWRvIGxhIHByaW1lcmEgcHJ1ZWJhLgogT2ggc8OtLCBoYXMgcmVjaWJpZG8gZWwgRXNww61yaXR1IGRlIGxhIFZpY3RvcmlhLgogQ29uIGVzbywgc3VzIGNvbXBhw7Flcm9zIGRlIGdyZW1pbwogdGUgc2VndWlyw6EKIG1pZW50cmFzIGF2YW56YXMu
qWNQAw,,W0lsc3VuZ10KV2hpbGUgdGhlIGZpcnN0IHRlc3QgaGFzIGJlZW4gY29tcGxldGVkLAp0aGVyZSBhcmUgc3RpbGwgbW9yZSB0byBjb21lLgpJIGNvbW1lbmQgeW91IG9uCnBhc3NpbmcgdGhlIGZpcnN0IHRlc3QuCktlZXAgdXAgdGhlCmdvb2Qgd29yay4=,,,,,W0lsc3VuZ10KRW1ib3JhIG8gcHJpbWVpcm8gdGVzdGUgdGVuaGEgc2lkbyBjb25jbHXDrWRvLAphaW5kYSBow6EgbWFpcyBwb3IgdmlyLgpFdSBvIGVsb2dpbyBwb3IKcG9yIHRlcmVtIHBhc3NhZG8gbm8gcHJpbWVpcm8gdGVzdGUuCkNvbnRpbnVlIGNvbSBvCmJvbSB0cmFiYWxoby4=,,W0lsc3VuZ10KIEF1bnF1ZSBzZSBoYSBjb21wbGV0YWRvIGxhIHByaW1lcmEgcHJ1ZWJhLAogaGF5IG3DoXMgcG9yIHZlbmlyLgogTGUgYWxhYm8gcG9yCiBwb3Igc3VwZXJhciBsYSBwcmltZXJhIHBydWViYS4KIENvbnRpbnVhciBjb24KIGJ1ZW4gdHJhYmFqby4=
qmNQAw,,W0lsc3VuZ10KVG8geW91IGFuZCB5b3VyIGd1aWxkLApJIHByZXNlbnQgeW91IGEKcmV3YXJkLgpQYXNzIG1lIHRoZSBTcGlyaXQgb2YgQWR2YW5jZSwKYW5kIHRha2UgdGhpcyBmb3IKeW91ciBtZW4u,,,,,W0lsc3VuZ10KUGFyYSB2b2PDqiBlIHN1YSBndWlsZGEsCmV1IGxoZSBhcHJlc2VudG8gdW1hCnJlY29tcGVuc2EuClBhc3NlLW1lIG8gRXNww61yaXRvIGRlIEF2YW7Dp28sCmUgcGVndWUgaXNzbyBwYXJhCnNldXMgaG9tZW5zLg==,,W0lsc3VuZ10KIFBhcmEgdXN0ZWQgeSBzdSBncmVtaW8sCiBMZXMgcHJlc2VudG8gYQogcmVjb21wZW5zYS4KIERhbWUgZWwgRXNww61yaXR1IGRlIEF2YW5jZSwKIHkgY29uc2lndWUgZXN0byBwb3IKIHN1cyBob21icmVzLg==
q2NQAw,,W0lsc3VuZ10KVGhlIHRlc3RpbmcgaXMgbm90IHlldApjb21wbGV0ZSwgYnV0IHlvdSBtdXN0CmJlIHZlcnkgdGlyZWQKYXQgdGhpcyBwb2ludC4gWW91IHNob3VsZCB0YWtlCmEgcmVzdCBiZWZvcmUgYXR0ZW1wdGluZwp0aGUgc2Vjb25kIHRlc3Qu,,,,,W0lsc3VuZ10KTyB0ZXN0ZSBhaW5kYSBuw6NvIGVzdMOhCmNvbXBsZXRvLCBtYXMgdm9jw6ogZGV2ZQplc3RhciBtdWl0byBjYW5zYWRvCmEgZXNzYSBhbHR1cmEuIFZvY8OqIGRldmUgZGVzY2Fuc2FyCmRlc2NhbnNhciB1bSBwb3VjbyBhbnRlcyBkZSB0ZW50YXIKbyBzZWd1bmRvIHRlc3RlLg==,,W0lsc3VuZ10KIExhIHBydWViYSBhw7puIG5vCiBjb21wbGV0YSwgcGVybyBkZWJlCiBlc3RhciBtdXkgY2Fuc2FkbwogZW4gZXNlIG1vbWVudG8uIERlYmVzIGRlc2NhbnNhcgogdMOzbWVzZSB1biBkZXNjYW5zbyBhbnRlcyBkZSBpbnRlbnRhcmxvCiBsYSBzZWd1bmRhIHBydWViYS4=
rGNQAw,,W0lsc3VuZ10KSSBhbSBhbHNvIGtpbmRhIHRpcmVkCm9mIHN0YW5kaW5nIGJ5LgpUYWtlIGEgcmVzdAphbmQgY29tZSBiYWNrIGFnYWluIGxhdGVyLg==,,,,,W0lsc3VuZ10KVGFtYsOpbSBlc3RvdSB1bSBwb3VjbyBjYW5zYWRvCmRlIGZpY2FyIHBhcmFkby4KRGVzY2Fuc2UgdW0gcG91Y28KZSB2b2x0ZSBtYWlzIHRhcmRlLg==,,W0lsc3VuZ10KIFlvIHRhbWJpw6luIGVzdG95IHVuIHBvY28gY2Fuc2FkbwogcGFyYSBxdWVkYXJzZSBxdWlldG8uCiBEZXNjYW5zYSB1biBwb2NvCiB5IHZvbHZlciBtw6FzIHRhcmRlLg==
rWNQAw,,W0lsc3VuZ10KWW91IGFyZSBub3QgZG9pbmcgYW55dGhpbmcKYXQgdGhpcyBtb21lbnQsIHNvIGhvdyBhYm91dAp5b3UgZ28gc3BlbmQgdGltZSB3aXRoIHlvdXIKZ3VpbGRtYXRlcz8=,,,,,W0lsc3VuZ10KVm9jw6ogbsOjbyBlc3TDoSBmYXplbmRvIG5hZGEKbmVzdGUgbW9tZW50bywgZW50w6NvIHF1ZSB0YWwKcXVlIHRhbCBwYXNzYXIgdW0gdGVtcG8gY29tIHNldXMKY29tcGFuaGVpcm9zIGRlIGd1aWxkYT8=,,W0lsc3VuZ10KIE5vIGVzdMOhcyBoYWNpZW5kbyBuYWRhCiBhaG9yYSBtaXNtbywgwr9xdcOpIHRhbAogwr9xdcOpIHRhbCBzaSBwYXNhcyBhbGfDum4gdGllbXBvIGNvbiB0dQogwr9Db21wYcOxZXJvcyBkZSBncmVtaW8/
rmNQAw,,W0lsc3VuZ10KVW1tLi4uIHRoYXQncy4uLj8KWW91IGhhdmUgbm90IHlldCBmb3VuZCB0aGUgcmlnaHQgcGVyc29uLgpGaW5kIGFuIHVwc3RhbmRpbmcgU2FnZSBhbW9uZyB5b3VyIG1lbgp3aG8gaXMgd29ydGh5IG9mIHJlY2VpdmluZyB0aGUgU3Bpcml0IG9mIFRydXN0Lg==,,,,,W0lsc3VuZ10KSHVtbS4uLiBpc3NvIMOpLi4uPwpWb2PDqiBhaW5kYSBuw6NvIGVuY29udHJvdSBhIHBlc3NvYSBjZXJ0YS4KRW5jb250cmUgdW0gc8OhYmlvIGRlIGRlc3RhcXVlIGVudHJlIHNldXMgaG9tZW5zCnF1ZSBzZWphIGRpZ25vIGRlIHJlY2ViZXIgbyBFc3DDrXJpdG8gZGUgQ29uZmlhbsOnYS4=,,W0lsc3VuZ10KIEhtbS4uLiDCv2VzbyBlcy4uLj8KIEHDum4gbm8gaGFzIGVuY29udHJhZG8gYSBsYSBwZXJzb25hIGFkZWN1YWRhLgogRW5jdWVudHJhIHVuIHNhYmlvIHNvYnJlc2FsaWVudGUgZW50cmUgdHVzIGhvbWJyZXMKIHF1ZSBlcyBkaWdubyBkZSByZWNpYmlyIGVsIEVzcMOtcml0dSBkZSBDb25maWFuemEu
r2NQAw,,W0lsc3VuZ10KVGhlIG9uZSB3aG8gcmVjZWl2ZXMgdGhlIGNlcnRpZmljYXRlCm5lZWRzIHRvIGdvIHRvIFNhaG1zdW5nLAphbmQgaGUgd2lsbCBndWlkZSBmcm9tIHRoYXQKcG9pbnQuCkdvb2QgbHVjayB0byB5b3Uu,,,,,W0lsc3VuZ10KQSBwZXNzb2EgcXVlIHJlY2ViZSBvIGNlcnRpZmljYWRvCnByZWNpc2EgaXIgYXTDqSBTYWhtc3VuZywKZSBlbGUgbyBndWlhcsOhIGEgcGFydGlyIGRlc3NlCnBvbnRvLgpCb2Egc29ydGUgcGFyYSB2b2PDqi4=,,W0lsc3VuZ10KIExhIHBlcnNvbmEgcXVlIHJlY2liZSBlbCBjZXJ0aWZpY2FkbwogbmVjZXNpdGEgaXIgYSBTYWhtc3VuZywKIHkgw6lsIHRlIGd1aWFyw6EgZGVzZGUgYWxsw60KIHB1bnRvLgogQnVlbmEgc3VlcnRlLg==
sGNQAw,,W0lsc3VuZ10KT2gsIHRoaXMgY2VydGlmaWNhdGUgcHJvdmVzCnlvdSBoYXZlIGNvbXBsZXRlZCB0aGUgc2Vjb25kIHRlc3QuCkFoIHllcywgeW91IHJlY2VpdmVkIHRoZSBTcGlyaXQgb2YgRnJpZW5kc2hpcC4KWW91IGFuZCB5b3VyIGd1aWxkbWF0ZXMKbXVzdCBzdGljayB0b2dldGhlcgp0aHJvdWdoIHRoaWNrIGFuZCB0aGluLg==,,,,,W0lsc3VuZ10KT2gsIGVzdGUgY2VydGlmaWNhZG8gcHJvdmEgcXVlCnF1ZSB2b2PDqiBjb25jbHVpdSBvIHNlZ3VuZG8gdGVzdGUuCkFoLCBzaW0sIHZvY8OqIHJlY2ViZXUgbyBFc3DDrXJpdG8gZGUgQW1pemFkZS4KVm9jw6ogZSBzZXVzIGNvbXBhbmhlaXJvcyBkZSBndWlsZGEKZGV2ZW0gcGVybWFuZWNlciB1bmlkb3MKZW0gdG9kb3Mgb3MgbW9tZW50b3Mu,,W0lsc3VuZ10KIE9oLCBlc3RlIGNlcnRpZmljYWRvIHBydWViYSBxdWUKIHF1ZSBoYSBjb21wbGV0YWRvIGxhIHNlZ3VuZGEgcHJ1ZWJhLgogT2ggc8OtLCBoYXMgcmVjaWJpZG8gZWwgRXNww61yaXR1IGRlIGxhIEFtaXN0YWQuCiBUw7ogeSB0dXMgY29tcGHDsWVyb3MgZGUgZ3JlbWlvCiBkZWJlbiBwZXJtYW5lY2VyIHVuaWRvcwogZW4gdG9kbyBtb21lbnRvLg==
sWNQAw,,W0lsc3VuZ10KWW91IGtub3cgdGhpcyBkb2Vzbid0IG1lYW4KdGhlIHRlc3RpbmcgaXMgb3ZlciwgcmlnaHQ/Ckhvd2V2ZXIsIEkgZG8gY29tbWVuZCB5b3Ugb24KY29tcGxldGluZyB0aGUgc2Vjb25kIHRlc3QuCktlZXAgdXAgdGhlCmdvb2Qgd29yayE=,,,,,W0lsc3VuZ10KVm9jw6ogc2FiZSBxdWUgaXNzbyBuw6NvIHNpZ25pZmljYSBxdWUKcXVlIG8gdGVzdGUgYWNhYm91LCBjZXJ0bz8KTm8gZW50YW50bywgZXUgbyBlbG9naW8gcG9yCnBvciB0ZXIgY29uY2x1w61kbyBvIHNlZ3VuZG8gdGVzdGUuCkNvbnRpbnVlIGNvbSBvCmJvbSB0cmFiYWxobyE=,,W0lsc3VuZ10KIFNhYmVzIHF1ZSBlc28gbm8gc2lnbmlmaWNhCiBsYSBwcnVlYmEgaGEgdGVybWluYWRvLCDCv3ZlcmRhZD8KIFNpbiBlbWJhcmdvLCBsZSBmZWxpY2l0byBwb3IKIHBhcmEgY29tcGxldGFyIGxhIHNlZ3VuZGEgcHJ1ZWJhLgogQ29udGludWFyIGNvbgogwqFCdWVuIHRyYWJham8h
smNQAw,,W0lsc3VuZ10KVG8geW91IGFuZCB5b3VyIGd1aWxkLApJIHByZXNlbnQgeW91IGEKcmV3YXJkLgpQYXNzIG1lIHRoZSBTcGlyaXQgb2YgRnJpZW5kc2hpcCwKYW5kIHRha2UgdGhpcyBmb3IKeW91ciBtZW4u,,,,,W0lsc3VuZ10KUGFyYSB2b2PDqiBlIHN1YSBndWlsZGEsCmV1IGxoZSBhcHJlc2VudG8gdW1hCnByw6ptaW8uClBhc3NlLW1lIG8gRXNww61yaXRvIGRlIEFtaXphZGUsCmUgcGVndWUgaXNzbyBwYXJhCnNldXMgaG9tZW5zLg==,,W0lsc3VuZ10KIFBhcmEgdXN0ZWQgeSBzdSBncmVtaW8sCiBMZXMgcHJlc2VudG8gYQogcHJlbWlvLgogVHJhbnNtaXRpciBlbCBlc3DDrXJpdHUgZGUgYW1pc3RhZCwKIHkgY29uc2lndWUgZXN0byBwb3IKIHN1cyBob21icmVzLg==
s2NQAw,,W0lsc3VuZ10KVGhlIHRlc3RpbmcgaXMgbm90IHlldApjb21wbGV0ZSwgYnV0IHlvdSBtdXN0CmJlIHZlcnkgdGlyZWQKYXQgdGhpcyBwb2ludC4gWW91IHNob3VsZCB0YWtlCmEgcmVzdCBiZWZvcmUgYXR0ZW1wdGluZwp0aGUgdGhpcmQgdGVzdC4=,,,,,W0lsc3VuZ10KTyB0ZXN0ZSBhaW5kYSBuw6NvIGVzdMOhCmNvbXBsZXRvLCBtYXMgdm9jw6ogZGV2ZQplc3RhciBtdWl0byBjYW5zYWRvCmEgZXNzYSBhbHR1cmEuIFZvY8OqIGRldmUgZGVzY2Fuc2FyCmRlc2NhbnNhciB1bSBwb3VjbyBhbnRlcyBkZSB0ZW50YXIKbyB0ZXJjZWlybyB0ZXN0ZS4=,,W0lsc3VuZ10KIExhIHBydWViYSBhw7puIG5vCiBjb21wbGV0YSwgcGVybyBkZWJlCiBlc3RhciBtdXkgY2Fuc2FkbwogZW4gZXNlIG1vbWVudG8uIERlYmVzIGRlc2NhbnNhcgogdMOzbWVzZSB1biBkZXNjYW5zbyBhbnRlcyBkZSBpbnRlbnRhcmxvCiBsYSB0ZXJjZXJhIHBydWViYS4=
tGNQAw,,W0lsc3VuZ10KT3IsIHlvdSBjYW4gc3RheSBoZXJlCmFuZCBqb2luIG1lIGZvciBhIGN1cCBvZiB0ZWEu,,,,,W0lsc3VuZ10KT3UsIHZvY8OqIHBvZGUgZmljYXIgYXF1aQplIHNlIGp1bnRhciBhIG1pbSBwYXJhIHVtYSB4w61jYXJhIGRlIGNow6Eu,,W0lsc3VuZ10KIE8gcHVlZGVzIHF1ZWRhcnRlIGFxdcOtCiB5IMO6bmV0ZSBhIG3DrSBwYXJhIHRvbWFyIHVuYSB0YXphIGRlIHTDqS4=
tWNQAw,,W0lsc3VuZ10KWW91IHN0aWxsIGhhdmUgdGhlIFNwaXJpdCBvZiBQZWFjZS4KSWYgdGhlcmUgaXMgbm8gUm9ndWUgaW4geW91ciBndWlsZC4uLgp0aGlzIGlzIHNvbWV0aGluZyB5b3Ugd2lsbCBuZWVkIHRvIGFkZHJlc3MgeW91cnNlbGYsCmJlY2F1c2Ugd2UgY2Fubm90IHdvcmsgaXQgb3V0CmZvciB5b3Uu,,,,,W0lsc3VuZ10KVm9jw6ogYWluZGEgdGVtIG8gRXNww61yaXRvIGRhIFBhei4KU2UgbsOjbyBob3V2ZXIgdW0gQXJydWFjZWlybyBlbSBzdWEgZ3VpbGRhLi4uCmlzc28gw6kgYWxnbyBxdWUgdm9jw6ogdGVyw6EgZGUgcmVzb2x2ZXIgcG9yIGNvbnRhIHByw7NwcmlhLApwb3JxdWUgbsOjbyBwb2RlbW9zIHJlc29sdmVyIGlzc28KcGFyYSB2b2PDqi4=,,W0lsc3VuZ10KIFRvZGF2w61hIHRpZW5lcyBlbCBFc3DDrXJpdHUgZGUgUGF6LgogU2kgbm8gaGF5IHVuIGFsYm9yb3RhZG9yIGVuIHR1IGdyZW1pby4uLgogZXNvIGVzIGFsZ28gcXVlIHRlbmRyw6FzIHF1ZSByZXNvbHZlciB0w7ogbWlzbW8sCiBwb3IgcXXDqSBubyBwb2RlbW9zIHJlc29sdmVybG8KIHBhcmEgdGku
tmNQAw,,W0lsc3VuZ10KWWVhaCwgSSB0aGluayBpdCBpcwphIG5lY2Vzc2FyeSBza2lsbCBmb3IgYSBndWlsZCBtYXN0ZXIsCmJlaW5nIGFibGUgdG8gZWFybiByZXNwZWN0IGZyb20KY29vbCBoZWFydGVkIHJvZ3Vlcy4uLg==,,,,,W0lsc3VuZ10KU2ltLCBhY2hvIHF1ZSDDqQp1bWEgaGFiaWxpZGFkZSBuZWNlc3PDoXJpYSBwYXJhIHVtIG1lc3RyZSBkZSBndWlsZGEsCnNlciBjYXBheiBkZSBnYW5oYXIgbyByZXNwZWl0byBkZQpkb3MgdmVsaGFjb3MgZGUgYm9tIGNvcmHDp8Ojby4uLg==,,W0lsc3VuZ10KIFPDrSwgY3JlbyBxdWUgc8OtLgogdW5hIGhhYmlsaWRhZCBuZWNlc2FyaWEgcGFyYSB1biBtYWVzdHJvIGRlIGdyZW1pbywKIHNlciBjYXBheiBkZSBnYW5hcnNlIGVsIHJlc3BldG8gZGUKIGxvcyBww61jYXJvcyBkZSBidWVuIGNvcmF6w7NuLi4u
t2NQAw,,W0lsc3VuZ10KT2gsIHRoaXMgY2VydGlmaWNhdGUgcHJvdmVzIHlvdQpoYXZlIGNvbXBsZXRlZCB5b3VyIGZpbmFsIHRlc3QuCllvdSBoYXZlIHRoZSBTcGlyaXQgb2YgVmljdG9yeS4KWWVzLCB0aGF0J3MgcmlnaHQuIFlvdSBhbmQKeW91ciBndWlsZCBtZW1iZXJzIHdpbGwgd29yayB0b2dldGhlcgp0byBhY2hpZXZlIHZpY3Rvcnku,,,,,W0lsc3VuZ10KT2gsIGVzdGUgY2VydGlmaWNhZG8gcHJvdmEgcXVlIHZvY8OqCmNvbXBsZXRvdSBzZXUgdGVzdGUgZmluYWwuClZvY8OqIHRlbSBvIEVzcMOtcml0byBkYSBWaXTDs3JpYS4KU2ltLCDDqSBpc3NvIG1lc21vLiBWb2PDqiBlIG9zCm1lbWJyb3MgZGUgc3VhIGd1aWxkYSB0cmFiYWxoYXLDo28ganVudG9zCnBhcmEgYWxjYW7Dp2FyIGEgdml0w7NyaWEu,,W0lsc3VuZ10KIE9oLCBlc3RlIGNlcnRpZmljYWRvIHBydWViYSBxdWUKIGhhIGNvbXBsZXRhZG8gc3UgcHJ1ZWJhIGZpbmFsLgogVGllbmVzIGVsIEVzcMOtcml0dSBkZSBsYSBWaWN0b3JpYS4KIFPDrSwgYXPDrSBlcy4gVXN0ZWQgeQogbWllbWJyb3MgZGUgc3UgZ3JlbWlvIHRyYWJhamFyw6FuIGp1bnRvcwogcGFyYSBhbGNhbnphciBsYSB2aWN0b3JpYS4=
