QNAbAQ,,S2lk,,,,,Q3JpYW7Dp2E=,,S2lk
ZtAbAQ,,W3swfV0KSSBuZWVkIHRvIHRhbGsgdG8Kc29tZW9uZSBuYW1lZCBTYXJhbWFuCnRvIGdldCB0aGUgc29hcCBpbmdyZWRpZW50cy4uLg==,,,,,W3swfV0KUHJlY2lzbyBmYWxhciBjb20KYWxndcOpbSBjaGFtYWRvIFNhcmFtYW4KcGFyYSBvYnRlciBvcyBpbmdyZWRpZW50ZXMgZG8gc2Fiw6NvLi4u,,W3swfV0KTmVjZXNpdG8gaGFibGFyIGNvbgphbGd1aWVuIGxsYW1hZG8gU2FyYW1hbgpwYXJhIG9idGVuZXIgbG9zIGluZ3JlZGllbnRlcyBwYXJhIGVsIGphYsOzbi4uLg==
Z9AbAQ,,W3swfV0KTGV0J3Mgc2VlLi4uCkkgbmVlZCB0byBicmluZwpNci4gU2FydW1hbiBhbGwgdGhlCnRoaW5ncyBoZSBuZWVkcyB0bwpzdGltdWxhdGUgYSBjYW1lbCdzIAphcHBldGl0ZS4gSSBuZWVkIHRvIGdldC4uLg==,,,,,W3swfV0KVmFtb3MgdmVyLi4uClByZWNpc28gbGV2YXIgYW8KU3IuIFNhcmFtYW4gdG9kYXMgYXMKY29pc2FzIHF1ZSBlbGUgcHJlY2lzYSBwYXJhCmVzdGltdWxhciBvIGFwZXRpdGUgZGUgdW0gY2FtZWxvLiAKUHJlY2lzbyBjb25zZWd1aXIuLi4=,,W3swfV0KVmVhbW9zLi4uCk5lY2VzaXRvIGxsZXZhcgphbCBzZcOxb3IgU2FyYW1hbiB0b2RhcyBsYXMKY29zYXMgcXVlIG5lY2VzaXRhCnBhcmEgZXN0aW11bGFyIGVsIGFwZXRpdG8gCmRlIHVuIGNhbWVsbG8uIE5lY2VzaXRvIGNvbnNlZ3Vpci4uLg==
aNAbAQ,,W3swfV0KXjRENERGRjEgVW5yaXBlIEFwcGxlXjAwMDAwMCwKXjRENERGRjUgTW9uc3RlcidzIEZlZWReMDAwMDAwLApeNEQ0REZGMSBFbXB0eSBCb3R0bGVeMDAwMDAwLCBhbmQKXjRENERGRjEgWWVsbG93IFBvdGlvbl4wMDAwMDAu,,,,,W3swfV0KXjRENERGRjEgTWHDp8OjIHZlcmRlXjAwMDAwMCwKXjRENERGRjUgUmHDp8O1ZXMgcGFyYSBNb25zdHJvXjAwMDAwMCwKXjRENERGRjEgR2FycmFmYSBWYXppYV4wMDAwMDAsIGUKXjRENERGRjEgUG/Dp8OjbyBBbWFyZWxhXjAwMDAwMC4=,,W3swfV0KXjRENERGRjEgTWFuemFuYSBpbm1hZHVyYV4wMDAwMDAsCl40RDRERkY1IENvbWlkYXMgcGFyYSBtb25zdHJ1b3NeMDAwMDAwLApeNEQ0REZGMSBCb3RlbGxhIHZhY8OtYV4wMDAwMDAgeQpeNEQ0REZGMSBQb2Npw7NuIGFtYXJpbGxhXjAwMDAwMC4=
adAbAQ,,W3swfV0KSSBoYXZlIGV2ZXJ5dGhpbmcgSSBuZWVkCnRvIHN0aW11bGF0ZSBhIGNhbWVsJ3MKYXBwZXRpdGUuIE5vdyBJIG5lZWQgdG8KZmVlZCB0aGUgY2FtZWwgc28gdGhhdCBJIGNhbgpnZXQgdGhlIHNvYXAgaW5ncmVkaWVudHMgYW5kCjUgbHVtcHMgb2YgY2FtZWwgZHVuZy4=,,,,,W3swfV0KVGVuaG8gdHVkbyBvIHF1ZSBwcmVjaXNvCnBhcmEgZXN0aW11bGFyIG8gYXBldGl0ZSBkZSB1bSBjYW1lbG8uCkFnb3JhIHByZWNpc28KYWxpbWVudGFyIG8gY2FtZWxvIHBhcmEgcXVlIGV1IHBvc3NhCm9idGVyIG9zIGluZ3JlZGllbnRlcyBkbyBzYWLDo28gZQo1IGJsb2NvcyBkZSBlc3RydW1lIGRlIGNhbWVsby4=,,W3swfV0KVGVuZ28gdG9kbyBsbyBxdWUgbmVjZXNpdG8KcGFyYSBlc3RpbXVsYXIgZWwgYXBldGl0bwpkZSB1biBjYW1lbGxvLiBBaG9yYSB0ZW5nbyBxdWUKYWxpbWVudGFyIGEgbGEgY2FtZWxsYSBwYXJhIG9idGVuZXIKbG9zIGluZ3JlZGllbnRlcyBwYXJhIGVsIGphYsOzbiB5CjUgdHJvem9zIGRlIGVzdGnDqXJjb2wgZGUgY2FtZWxsby4=
atAbAQ,,W3swfV0KUmlnaHQgbm93LCBteSB0aW1lCndvdWxkIGJlIGJldHRlciBzcGVudApsb29raW5nIGZvciB0aGUgU2lsayBTYW5kCkNhbWVsIGZvciB0aGUgaW5ncmVkaWVudHMu,,,,,W3swfV0KTmVzdGUgbW9tZW50bywgbWV1IHRlbXBvCnNlcmlhIG1lbGhvciBnYXN0bwpwcm9jdXJhbmRvIGEgQ2FtZWxhIGRlIFZlbHVkbyBwYXJhIG9idGVyIG9zIGluZ3JlZGllbnRlcy4=,,W3swfV0KQWhvcmEgbWlzbW8sIGVzIG1lam9yCmRlZGljYXIgbWkgdGllbXBvIGEKYnVzY2FyIGEgbGEgY2FtZWxsYSBkZSBhcmVuYQpkZSBzZWRhIHBhcmEgbG9zIGluZ3JlZGllbnRlcy4=
a9AbAQ,,W3swfV0KSSdkIGJldHRlciBmaW5kIE1yLiBTYXJhbWFuJ3MKbG9zdCBjYW1lbCwgZmVlZCBpdCBjYW1lbAphcHBldGl0ZSBzdGltdWxhbnRzLCBhbmQKdGhlbiBnZXQgdGhlIHNvYXAgaW5ncmVkaWVudAphbmQgNSBsdW1wcyBvZiBjYW1lbCBkdW5nCmlmIEkgd2FudCB0byBoZWxwIEN1cmRpZS4=,,,,,W3swfV0Kw4kgbWVsaG9yIGV1IGVuY29udHJhciBhIGNhbWVsYSBwZXJkaWRhIGRvIFNyLiBTYXJhbWFuLAphbGltZW50w6EtbGEgY29tCmVzdGltdWxhbnRlcyBkZSBhcGV0aXRlIGRlIGNhbWVsbyBlCmRlcG9pcyBwZWdhciBvcyBpbmdyZWRpZW50ZXMgZG8gc2Fiw6NvCmUgNSBibG9jb3MgZGUgZXN0cnVtZSBkZSBjYW1lbG8Kc2UgZXUgcXVpc2VyIGFqdWRhciBhIEN1cmRpZS4=,,W3swfV0KU2Vyw6EgbWVqb3IgZW5jb250cmFyIGEgbGEgY2FtZWxsYQpwZXJkaWRhIGRlbCBzZcOxb3IgU2FyYW1hbiB5IGRhcmxlCmVsIGVzdGltdWxhbnRlIGRlIGFwZXRpdG8gcGFyYQpvYnRlbmVyIGxvcyBpbmdyZWRpZW50ZXMgcGFyYSBlbCBqYWLDs24KeSA1IHRyb3pvcyBkZSBlc3Rpw6lyY29sIGRlIGNhbWVsbG8Kc2kgcXVpZXJvIGF5dWRhciBhIEN1cmRpZS4=
bNAbAQ,,W3swfV0KV2VsbC4uLiBJIGZvdW5kIHRoZQpjYW1lbC4gTm93IEkgbmVlZCB0byBnZXQKYWxsIHRoZSBzb2FwIGluZ3JlZGllbnRzLgpUaGUgc29vbmVyIEkgZG8gdGhhdCwgdGhlCnNvb25lciBJIGNhbiBoZWxwIEN1cmRpZS4=,,,,,W3swfV0KQm9tLi4uIEV1IGVuY29udHJlaSBhIGNhbWVsYS4gQWdvcmEgcHJlY2lzbyBwZWdhcgp0b2RvcyBvcyBpbmdyZWRpZW50ZXMgZG8gc2Fiw6NvLgpRdWFudG8gYW50ZXMgZXUgZml6ZXIgaXNzbywKbWFpcyByw6FwaWRvIHBvZGVyZWkgYWp1ZGFyIGEgQ3VyZGllLg==,,W3swfV0KQnVlbm8uLi4gRW5jb250csOpIGEgbGEKY2FtZWxsYS4gQWhvcmEgcmVzdGEgY29uc2VndWlyCmxvcyBpbmdyZWRpZW50ZXMgcGFyYSBlbCBqYWLDs24uCkN1YW50byBhbnRlcyBsbyBoYWdhLCBtw6FzCnByb250byBwb2Ryw6kgYXl1ZGFyIGEgQ3VyZGllLg==
bdAbAQ,,W3swfV0KSSBtYW5hZ2VkIHRvIGdldCB0aGUgc29hcAppbmdyZWRpZW50IGFuZCA1IG9mIHRob3NlCmNhbWVsIGR1bmcgbHVtcHMuIEkgc2hvdWxkCmhlYWQgYmFjayB0byBNci4gU2FyYW1hbiB0bwp0ZWxsIGhpbSB3aGVyZSBoaXMgY2FtZWwgaXMsCmFuZCB0aGVuIGdvIHRvIE1zLiBJdm9yeS4=,,,,,W3swfV0KQ29uc2VndWkgb2J0ZXIgb3MgaW5ncmVkaWVudGVzIGRvIHNhYsOjbwplIDUgZGVzc2VzCmJsb2NvcyBkZSBlc3RydW1lIGRlIGNhbWVsby7DiSBtZWxob3IKZXUgdm9sdGFyIGF0w6kgbyBTci4gU2FyYW1hbiBwYXJhCmRpemVyIGEgZWxlIG9uZGUgZXN0w6Egc3VhIGNhbWVsYSwKZSBkZXBvaXMgaXIgYXTDqSBhIFNyYS4gSXZvcnku,,W3swfV0KTWUgbGFzIGFycmVnbMOpIHBhcmEgY29uc2VndWlyCmxvcyBpbmdyZWRpZW50ZXMgcGFyYSBlbCBqYWLDs24geSA1CnRyb3pvcyBkZSBlc3Rpw6lyY29sIGRlIGNhbWVsbG8uIFRlbmRyw61hIHF1ZQp2b2x2ZXIgY29uIGVsIHNlw7FvciBTYXJhbWFuIHBhcmEKZGVjaXJsZSBkw7NuZGUgZXN0w6Egc3UgY2FtZWxsYQp5IGx1ZWdvIGlyIGNvbiBsYSBzZcOxb3JhIEl2b3J5Lg==
btAbAQ,,W3swfV0KTGV0J3Mgc2VlLi4uClNob3VsZG4ndCBJIGJlIGdvaW5nCnRvIHNlZSBNcy4gSXZvcnkgbm93Pw==,,,,,W3swfV0KVmVqYW1vcy4uLgpFdSBuw6NvIGRldmVyaWEgZXN0YXIgaW5kbwp2ZXIgYSBTcmEuIEl2b3J5IGFnb3JhPw==,,W3swfV0KVmVhbW9zLi4uCsK/Tm8gZGViZXLDrWEgaXIgYSB2ZXIKYSBsYSBzZcOxb3JhIEl2b3J5IGFob3JhPw==
b9AbAQ,,W3swfV0KSSBoYXZlIHRoZSBTaWxrIFNhbmQgQ2FtZWwKU29hcCBub3csIHNvIEkgc2hvdWxkIGdvCmJyaW5nIGl0IHRvIE1yLiBMb2NrZW5sb2NrLg==,,,,,W3swfV0KSsOhIHRlbmhvIG8gU2Fiw6NvIGRlIENhbWVsYSBkZSBWZWx1ZG8sIGVudMOjbyBkZXZvCmxldsOhLWxvIGFvIFNyLiBMb2NrZW5sb2NrLg==,,W3swfV0KWWEgdGVuZ28gZWwgamFiw7NuIGRlIGNhbWVsbG8KZGUgYXJlbmEgZGUgc2VkYSwgYXPDrSBxdWUKc2UgbG8gbGxldmFyw6kgYWwgc2XDsW9yIExvY2tlbmxvY2su
cNAbAQ,,W3swfV0KSSdkIGJldHRlciB1c2UgdGhlIHNvYXAgdG8KbWFrZSBhIGtleSBtb2xkIHRoYXQgSSBjYW4KYnJpbmcgb3ZlciB0byBNci4gTG9ja2VubG9jay4=,,,,,W3swfV0Kw4kgbWVsaG9yIGV1IHVzYXIgbyBzYWLDo28gcGFyYQpmYXplciB1bSBtb2xkZSBkZSBjaGF2ZSBxdWUgZXUgcG9zc2EKbGV2YXIgcGFyYSBvIFNyLiBMb2NrZW5sb2NrLg==,,W3swfV0KTWVqb3IgdXNvIGVsIGphYsOzbiBwYXJhCmhhY2VyIHVuIG1vbGRlIGRlIGxsYXZlCnBhcmEgZWwgc2XDsW9yIExvY2tlbmxvY2su
cdAbAQ,,W3swfV0KTWFraW5nIHRoZSBrZXkgaXMgbW9yZQppbXBvcnRhbnQgdGhhdCB0ZWxsaW5nIEthcnluCmFib3V0IHdoYXQncyBoYXBwZW5lZC4=,,,,,W3swfV0KRmF6ZXIgYSBjaGF2ZSDDqSBtYWlzCmltcG9ydGFudGUgZG8gcXVlIGNvbnRhciBwYXJhIG8gS2FyeW4KbyBxdWUgYWNvbnRlY2V1Lg==,,W3swfV0KSGFjZXIgbGEgbGxhdmUgZXMgbcOhcwppbXBvcnRhbnRlIHF1ZSBkZWNpcmxlIGEgS2FyeW4KbG8gcXVlIHBhc8OzLg==
ctAbAQ,,W3swfV0KSSBuZWVkIHRvIGJyaW5nCjEgU3RlZWwgdG8gTXIuIExvY2tlbmxvY2sKc28gdGhhdCBoZSBjYW4gbWFrZSBhIGtleQp0aGF0IHdpbGwgZmluYWxseSBmcmVlIEN1cmRpZS4=,,,,,W3swfV0KUHJlY2lzbyBsZXZhcgoxIEHDp28gcGFyYSBvIFNyLiBMb2NrZW5sb2NrCnBhcmEgcXVlIGVsZSBwb3NzYSBmYXplciBhIGNoYXZlCnF1ZSB2YWkgbGliZXJ0YXIgYSBDdXJkaWUu,,W3swfV0KTmVjZXNpdG8gbGxldmFyClVuYXVuaWRhZCBkZSBBY2VybyBwYXJhIGVsIHNlw7FvciBMb2NrZW5sb2NrLApwYXJhIHF1ZSBwdWVkYSBoYWNlciB1bmEgbGxhdmUKcXVlIGxpYmVyZSBhIEN1cmRpZS4=
c9AbAQ,,W3swfV0KSSBmaW5hbGx5IGdvdCB0aGUKa2V5IHRoYXQgSSBjYW4gdXNlCnRvIGZyZWUgQ3VyZGllLiBJJ20KZ29ubmEgZ28gc2F2ZSBoZXIgbm93Lg==,,,,,W3swfV0KRmluYWxtZW50ZSBjb25zZWd1aSBhIGNoYXZlCnF1ZSBwb3NzbyB1c2FyCnBhcmEgbGliZXJ0YXIgYSBDdXJkaWUuIFZvdQpzYWx2w6EtbGEgYWdvcmEu,,W3swfV0KUG9yIGZpbiB0ZW5nbyBsYQpsbGF2ZSBxdWUKbGliZXJhcsOhIGEgQ3VyZGllLiBFc3RveQp5ZW5kbyBhIHNhbHZhcmxhIGFob3JhLg==
dNAbAQ,,W0tpZCBLYXJ5bl0KVGhhbmsgeW91IHNvIG11Y2ghClBsZWFzZSBicmluZyBiYWNrIEN1cmRpZQphcyBzb29uIGFzIHlvdSBjYW4hIF4zMzMzMzMqU29iKl4wMDAwMDA=,,,,,W0tpZCBLYXJ5bl0KTXVpdG8gb2JyaWdhZG8hClBvciBmYXZvciwgdHJhZ2EgYSBDdXJkaWUgZGUgdm9sdGEKbyBtYWlzIHLDoXBpZG8gcG9zc8OtdmVsISBeMzMzMzMzKlNvbHXDp28qXjAwMDAwMA==,,W0VsIG5pw7FvIEthcnluXQrCoU11Y2jDrXNpbWFzIGdyYWNpYXMhCsKhUG9yIGZhdm9yLCB0cmFlIGEgQ3VyZGllCnRhbiBwcm9udG8gY29tbyBwdWVkYXMhIF4zMzMzMzMqU29sbG96YSpeMDAwMDAw
ddAbAQ,,W3swfV0KSGV5LCBLYXJ5biEgSSBzZW50CnlvdXIgc2lzdGVyIGJhY2sgdG8gdG93bgp3aXRoIGEgQnV0dGVyZmx5IFdpbmcuCkRpZCBzaGUgY29tZSBiYWNrIHNhZmU/,,,,,W3swfV0KRWksIEthcnluISBFdSBtYW5kZWkKc3VhIGlybcOjIGRlIHZvbHRhIMOgIGNpZGFkZQpjb20gdW1hIEFzYSBkZSBCb3Jib2xldGEuCkVsYSBjaGVnb3UgZW0gc2VndXJhbsOnYT8=,,W3swfV0KwqFIb2xhLCBLYXJ5biEgRW52acOpIAphIHR1IGhlcm1hbmEgYSBsYSBjaXVkYWQKY29uIEFsYXMgZGUgbWFyaXBvc2EuCsK/Vm9sdmnDsyBzYW5hIHkgc2FsdmE/
dtAbAQ,,W0tpZCBLYXJ5bl0KWWVzLCBDdXJkaWUncyBiYWNrCmFuZCBzaGUncyByZXN0aW5nIGluCnRoZSBob3NwaXRhbCByaWdodCBub3cuClRoYW5rIHlvdSBzbyBtdWNoIGZvcgphbGwgb2YgeW91ciBoZWxwIQ==,,,,,W0tpZCBLYXJ5bl0KU2ltLCBhIEN1cmRpZSB2b2x0b3UKZSBlc3TDoSBkZXNjYW5zYW5kbyBubwpob3NwaXRhbCBuZXN0ZSBtb21lbnRvLgpNdWl0byBvYnJpZ2FkbyBwb3IKdG9kYSBhIHN1YSBhanVkYSE=,,W0VsIG5pw7FvIEthcnluXQpTw60sIEN1cmRpZSB2b2x2acOzIAp5IHlhIGVzdMOhIGRlc2NhbnNhbmRvCmVuIGVsIGhvc3BpdGFsLgrCoU11Y2hhcyBncmFjaWFzIHBvcgp0b2RhIHR1IGF5dWRhIQ==
d9AbAQ,,W0tpZCBLYXJ5bl0KSSdtIG5vdCBzdXJlIHdoYXQncyB3cm9uZwp3aXRoIEN1cmRpZSwgdGhvdWdoLiBFdmVyCnNpbmNlIHNoZSBnb3QgYmFjaywgc2hlIGdldHMKZnJpZ2h0ZW5lZCB3aGVuZXZlciBzaGUKc2VlcyB0aGUgc29sZGllcnMgaW4gdG93bi4=,,,,,W0tpZCBLYXJ5bl0KTsOjbyB0ZW5obyBjZXJ0ZXphIGRvIHF1ZSB0ZW0gZGUgZXJyYWRvCmNvbSBhIEN1cmRpZS4gRGVzZGUgcXVlCmVsYSB2b2x0b3UsIGVsYSBmaWNhCmFzc3VzdGFkYSBzZW1wcmUgcXVlCnbDqiBvcyBzb2xkYWRvcyBuYSBjaWRhZGUu,,W0VsIG5pw7FvIEthcnluXQpBdW5xdWUgbm8gc8OpIHF1w6kgbGUgcGFzYQphIEN1cmRpZS4gRGVzZGUKcXVlIHJlZ3Jlc8OzLCBzZSBhc3VzdGEKY2FkYSB2ZXogcXVlIHZlCnNvbGRhZG9zIGVuIGxhIGNpdWRhZC4=
eNAbAQ,,W0tpZCBLYXJ5bl0KSSBwcm9taXNlIHRvIHRlbGwgbXkgZGFkCmFib3V0IHdoYXQgeW91IGRpZCBhZnRlciBoZQpjb21lcyBiYWNrIGZyb20gb3ZlcnNlYXMuClRoYW5rIHlvdSBmb3IgZXZlcnl0aGluZwp0aGF0IHlvdSBkaWQgZm9yIHVzIQ==,,,,,W0tpZCBLYXJ5bl0KUHJvbWV0byBxdWUgdm91IGNvbnRhciBhbyBtZXUgcGFpCnR1ZG8gbyBxdWUgdm9jw6ogZmV6IGRlcG9pcyBxdWUgZWxlCnZvbHRhciBkbyBleHRlcmlvci4KT2JyaWdhZG8gcG9yIHR1ZG8KcXVlIGZleiBwb3IgbsOzcyE=,,W0VsIG5pw7FvIEthcnluXQpQcm9tZXRvIGNvbnRhcmxlIGEgbWkgcGFww6EgCmxvIHF1ZSBoaWNpc3RlIGN1YW5kbwpyZWdyZXNlIGRlIHVsdHJhbWFyLgrCoUdyYWNpYXMgcG9yIHRvZG8KbG8gcXVlIGhpY2lzdGUgcG9yIG5vc290cm9zIQ==
edAbAQ,,W3swfV0KVW1tLi4uIEkgc2VlLi4uCkknbGwgY29tZSBieSBsYXRlcgp3aGVuIEN1cmRpZSdzIHJlbGVhc2VkCmZyb20gdGhlIGhvc3BpdGFsLg==,,,,,W3swfV0KSHVtLi4uIEVudGVuZGkuLi4KVm91IHZpc2l0YXIgdm9jw6pzIGRlcG9pcwpxdWUgYSBDdXJkaWUgZm9yIGxpYmVyYWRhCmRvIGhvc3BpdGFsLg==,,W3swfV0KTW1tLi4uIFlhIHZlby4uLgpQYXNhcsOpIG3DoXMgdGFyZGUKY3VhbmRvIGxlIGRlbiBlbCBhbHRhCmEgQ3VyZGllLg==
etAbAQ,,W0tpZCBLYXJ5bl0KWWVzLCBwbGVhc2UgZG8uCkkgcHJvbWlzZSB0byBoZWxwIHlvdQp3aGVuZXZlciB5b3UgbmVlZCBtZSE=,,,,,W0tpZCBLYXJ5bl0KU2ltLCBwb3IgZmF2b3IuClByb21ldG8gdGUgYWp1ZGFyCnNlbXByZSBxdWUgcHJlY2lzYXIgZGUgbWltIQ==,,W0VsIG5pw7FvIEthcnluXQpTw60sIHBvciBmYXZvci4KwqFQcm9tZXRvIGF5dWRhcnRlCnNpZW1wcmUgcXVlIG1lIG5lY2VzaXRlcyE=
e9AbAQ,,W3swfV0KSGFoYWhhaGEhCldlbGwuLi4gSSBndWVzcyB0aGF0J3MKcHJldHR5IHJlYXNzdXJpbmcuIFVudGlsIHRoZW4sCnRha2UgZ29vZCBjYXJlIG9mIHlvdXIgbW90aGVyCmFuZCBzaXN0ZXIuIFlvdSBnb3QgdGhhdD8=,,,,,W3swfV0KSGFoYWhhaGFoYSEKQm9tLi4uIEFjaG8gcXVlIGlzc28gw6kKYmFzdGFudGUgdHJhbnF1aWxpemFkb3IuIEF0w6kgbMOhLApjdWlkZSBiZW0gZGEgc3VhIG3Do2UKZSBkYSBzdWEgaXJtw6MuIEVudGVuZGV1Pw==,,W3swfV0KwqFKYSxqYSxqYSxqYSEKQnVlbm8uLi4gQ3JlbyBxdWUgZXNvIG1lCnRyYW5xdWlsaXphIGJhc3RhbnRlLiBIYXN0YSBlbnRvbmNlcywKY3VpZGEgYmllbiBkZSB0dSBtYWRyZQp5IHR1IGhlcm1hbmEuIMK/RW50ZW5kaWRvPw==
fNAbAQ,,W0tpZCBLYXJ5bl0KR290IGl0IQ==,,,,,W0tpZCBLYXJ5bl0KRW50ZW5kaSE=,,W0VsIG5pw7FvIEthcnluXQrCoUVudGVuZGlkbyE=
fdAbAQ,,W3swfV0KR29vZCwgZ29vZC4uLgpJdCdzIGEgcHJvbWlzZSwgdGhlbi4KSSdsbCBzZWUgeW91IGxhdGVyfg==,,,,,W3swfV0KQm9tLCBib20uLi4Kw4kgdW1hIHByb21lc3NhLCBlbnTDo28uClZlam8gdm9jw6ogZGVwb2lzIQ==,,W3swfV0KQmllbiwgYmllbi4uLgpFcyB1bmEgcHJvbWVzYSwgZW50b25jZXMuCk5vcyB2ZW1vcyBsdWVnby4=
ftAbAQ,,W0tpZCBLYXJ5bl0KT2gsIGhlbGxvISBUaGFuayB5b3UKc28gbXVjaCBmb3IgaGVscGluZyBtZQpsYXN0IHRpbWUhIFdoZW4gSSBnZXQKb2xkZXIsIEknbSBnb25uYSBkbyBteQpiZXN0IHRvIGhlbHAgeW91IHRoZSBzYW1lCndheSB0aGF0IHlvdSBoZWxwZWQgbWUh,,,,,W0tpZCBLYXJ5bl0KQWgsIG9sw6EhIApNdWl0byBvYnJpZ2FkbyBwb3IgbWUgYWp1ZGFyCmRhIMO6bHRpbWEgdmV6ISBRdWFuZG8gZXUgZmljYXIKZmljYXIgbWFpcyB2ZWxobywgZmFyZWkgbyBtZXUKbWVsaG9yIHBhcmEgdGUgYWp1ZGFyCmRhIG1lc21hIGZvcm1hIHF1ZSB2b2PDqiBtZSBhanVkb3Uh,,W0VsIG5pw7FvIEthcnluXQpBaCwgwqFob2xhISDCoU11Y2hhcwpncmFjaWFzIHBvciBheXVkYXJtZQpsYSBvdHJhIHZleiEgQ3VhbmRvIHNlYQpncmFuZGUsIMKhaGFyw6kgbG8gcG9zaWJsZQpwb3IgYXl1ZGFydGUgZGUgbGEgbWlzbWEKZm9ybWEgZW4gbGEgcXVlIG1lIGF5dWRhc3RlIGEgbcOtIQ==
f9AbAQ,,W0tpZCBLYXJ5bl0KSGkhIEl0J3MgZ29vZCB0byBzZWUKeW91IGFnYWluISBLdXJkaSBqdXN0IGNhbWUKYmFjayBob21lIGZyb20gdGhlIGhvc3BpdGFsLAphbmQgaXMgZ2V0dGluZyBiZXR0ZXIgZXZlcnlkYXkhCkFoLCBhbmQgSSd2ZSBiZWVuIHRha2luZyBjYXJlCm9mIGhlciwganVzdCBsaWtlIEkgcHJvbWlzZWR+,,,,,W0tpZCBLYXJ5bl0KT2khIMOJIGJvbSB2ZXIgdm9jw6ogZGUgbm92byEKQSBDdXJkaSBhY2Fib3UgZGUgCnZvbHRvdSBkbyBob3NwaXRhbCwKZSBlc3TDoSBtZWxob3JhbmRvIGEgY2FkYSBkaWEhCkFoLCBlIGV1IHRlbmhvIGN1aWRhZG8gZGVsYSwKZXhhdGFtZW50ZSBjb21vIHByb21ldGkh,,W0VsIG5pw7FvIEthcnluXQrCoUhvbGEhIMKhUXXDqSBidWVubyB2ZXJ0ZQpvdHJhIHZleiEgQ3VyZGllIGFjYWJhIGRlCnJlZ3Jlc2FyIGEgY2FzYSBkZWwgaG9zcGl0YWwKwqF5IGVzdMOhIGNhZGEgZMOtYSBtZWpvciEKQWgsIHkgbGEgZXN0dXZlIGN1aWRhbmRvLAp0YWwgY29tbyBwcm9tZXTDrS4=
gNAbAQ,,W3swfV0KUmVhbGx5PyBUaGF0J3MgZ29vZC4KWW91IHNob3VsZCBiZSBwcm91ZH4=,,,,,W3swfV0KU8OpcmlvPyBJc3NvIMOpIG11aXRvIGJvbS4KVm9jw6ogZGV2ZSBlc3RhciBvcmd1bGhvc28h,,W3swfV0Kwr9EZSB2ZXJkYWQ/IFF1w6kgYnVlbm8uCkRlYmVyw61hcyBlc3RhciBvcmd1bGxvc28u
gdAbAQ,,W0tpZCBLYXJ5bl0KXjY2NjY2NipCbHVzaCpeMDAwMDAwIEhlaCBoZWgh,,,,,W0tpZCBLYXJ5bl0KXjY2NjY2NipCbHVzaCpeMDAwMDAwIEhlaGUh,,W0VsIG5pw7FvIEthcnluXQpeNjY2NjY2KlJ1Ym9yKl4wMDAwMDAgwqFKZSxqZSE=
gtAbAQ,,W3swfV0KQW55d2F5LCBJIHdhcyB3b25kZXJpbmcKaWYgeW91IGNvdWxkIGhlbHAgbWUuCllvdXIgZGFkJ3MgYSBmaXNoZXJtYW4sCnJpZ2h0PyBXb3VsZCB5b3UgbWluZAphc2tpbmcgaGltIGlmIEkgY291bGQKYm9ycm93IGhpcyBib2F0Pw==,,,,,W3swfV0KRGUgcXVhbHF1ZXIgZm9ybWEsIGdvc3RhcmlhIGRlIHNhYmVyCnNlIHZvY8OqIHBvZGUgbWUgYWp1ZGFyLgpTZXUgcGFpIMOpIHBlc2NhZG9yLApjZXJ0bz8gVm9jw6ogc2UgaW1wb3J0YXJpYSBkZQpwZXJndW50YXIgYSBlbGUgc2UgZXUgcG9zc28KcGVnYXIgbyBiYXJjbyBkZWxlIGVtcHJlc3RhZG8/,,W3swfV0KRW4gZmluLCBxdWVyw61hIHNhYmVyCnNpIHBvZMOtYXMgYXl1ZGFybWUuClR1IHBhZHJlIGVzIHBlc2NhZG9yLArCv3ZlcmRhZD8gwr9UZSBpbXBvcnRhcsOtYQpwcmVndW50YXJsZSBzaSBwdWVkbwpwZWRpcmxlIHByZXN0YWRvIHN1IGJvdGU/
g9AbAQ,,W0tpZCBLYXJ5bl0KV2VsbC4uLiBBY3R1YWxseS4uLgpUaGUgcG9wZSBzYWlkIHRoYXQgbXkKZGFkIGlzbid0IGFsbG93ZWQgdG8gdXNlCmhpcyBib2F0IGZvciBhIHdoaWxlLi4uCkknbSBub3Qgc3VyZSB3aHku,,,,,W0tpZCBLYXJ5bl0KQm9tLi4uIE5hIHZlcmRhZGUuLi4KQSBQYXBpc2EgZGlzc2UgcXVlIG1ldQpwYWkgbsOjbyB0ZW0gcGVybWlzc8OjbyBwYXJhIHVzYXIKbyBiYXJjbyBwb3IgdW0gdGVtcG8uLi4KTsOjbyBzZWkgYmVtIHBvciBxdcOqLg==,,W0VsIG5pw7FvIEthcnluXQpCdWVuby4uLiBFbiByZWFsaWRhZC4uLgpMYSBwYXBpc2EgZGlqbyBxdWUgbWkKcGFww6Egbm8gcHVlZGUgdXNhcgpzdSBib3RlIHBvciB1biB0aWVtcG8uLi4KTm8gc8OpIHBvciBxdcOpLg==
