YOXaAg,,Q2hhaW5oYXJ0,,,,,THVjIFRvbXdh,,Q29yYXrDs24gZGUgY2FkZW5h
fuXaAg,,W0NoYWluaGFydF0KT29oLCB5ZXMhIEhvdyBhYm91dCB0aGlzPwpJZiBvdGhlcnMgcmVmdXNlIHRvIHRlYWNoIHlvdSwKeW91IGNhbiBhbHdheXMgdGVhY2ggeW91ciBvd24gc2VsZi4KVGhlIGtub3dsZWRnZSBhbHJlYWR5IGV4aXN0cy4gQWxsIHlvdSBuZWVkIHRvIGRvCmlzIGxvb2sgaW4gdGhlIHJpZ2h0IGRpcmVjdGlvbiE=,,,,,W0x1YyBUb213YV0KTmEgdmVyZGFkZSwgc2UgbmluZ3XDqW0gcHVkZXIgbGhlIGVuc2luYXIsIHZvY8OqIHBvZGUgYXByZW5kZXIgc296aW5oby4KU2UgdW1hIHBlc3NvYSBwb2RlIGZhemVyIGFsZ3VtYSBjb2lzYSwgZW50w6NvIHF1YWxxdWVyIHVtIHBvZGUgZGVzY29icmlyIHNvemluaG8gdGFtYsOpbSwgY2VydG8/,,W0NoYWluaGFydF0KwqFBaCwgc8OtISDCv1F1w6kgdGUgcGFyZWNlIGVzdG8/ClNpIGxvcyBkZW3DoXMgc2UgbmllZ2FuIGEgZW5zZcOxYXJ0ZSwKc2llbXByZSBwdWVkZXMgYXByZW5kZXIgcG9yIHR1IGN1ZW50YS4KRWwgY29ub2NpbWllbnRvIHlhIGV4aXN0ZS4gVG9kbyBsbyBxdWUgdGllbmVzIHF1ZSBoYWNlcgplcyBtaXJhciBlbiBsYSBkaXJlY2Npw7NuIGNvcnJlY3RhLg==
f+XaAg,,W0NoYWluaGFydF0KT2YgY291cnNlLCBpdCB3b24ndCBiZSBlYXN5LApidXQgeW91IGNhbiBkbyBpdAppZiB5b3UgcmVhbGx5IHdhbnQgdG8ga25vdwphYm91dCB0aGUgbWFuYSBlbmdpbmUuIFlvdSBzaG91bGRuJ3QKbGV0IG5vdCBoYXZpbmcgYSB0ZWFjaGVyIHN0b3AgeW91Lg==,,,,,W0x1YyBUb213YV0KTsOjbyBzZXLDoSBmw6FjaWwsIG1hcywgc2Ugc3VhIHBhaXjDo28gZm9yIGZvcnRlIGUgc2V1IHRhbGVudG8gcmVhbCwgZW50w6NvIG7Do28gaGF2ZXLDoSBuZW5odW0gcHJvYmxlbWEu,,W0NoYWluaGFydF0KQ2xhcm8gcXVlIG5vIHNlcsOhIGbDoWNpbCwKcGVybyBwdWVkZXMgaGFjZXJsbwpzaSBkZSB2ZXJkYWQgcXVpZXJlcyBhcHJlbmRlcgpzb2JyZSBlbCBtb3RvciBkZSBtYW7DoS4gTm8gZGViZXLDrWFzCmRlamFyIHF1ZSB0ZSBkZXRlbmdhIG5vIHRlbmVyIGEgYWxndWllbiBxdWUgdGUgZW5zZcOxZS4=
gOXaAg,,W0NoYWluaGFydF0KTW0uLi4gVGhhdCByZW1pbmRzIG1lLApGcmFua2Vsc29uIGNhbWUgdXAgd2l0aAp0aGUgbWFuYSBlbmdpbmUgd2hpbGUgaW52ZXN0aWdhdGluZwpKdXBlcm9zLiBXaHkgZG9uJ3QgeW91CnN0YXJ0IGZyb20gdGhlcmU/,,,,,W0x1YyBUb213YV0KUGVuc2FuZG8gbmlzc28uLi4KRnJhbmtlbHNvbiBkZXNlbnZvbHZldSBhIG3DoXF1aW5hIG3DoWdpY2Egc296aW5oby4KUG9yIHF1ZSB2b2PDqiBuw6NvIHZhaSBwYXJhCmFzIFJ1w61uYXMgZGUgSnVwZXJvcz8=,,W0NoYWluaGFydF0KTW1tLi4uIEVzbyBtZSByZWN1ZXJkYSBxdWUKYSBGcmFua2Vsc29uIHNlIGxlIG9jdXJyacOzIGxhIGlkZWEKZGVsIG1vdG9yIGRlIG1hbsOhIG1pZW50cmFzIGludmVzdGlnYWJhIGVuCkp1cGVyb3MuIMK/UG9yIHF1w6kgbm8KZW1waWV6YXMgcG9yIGFow60/
geXaAg,,W0NoYWluaGFydF0KQXMgSSB0b2xkIHlvdSBlYXJsaWVyLCBzbyBsb25nIGFzIHlvdSdyZQpnZW51aW5lbHkgcGFzc2lvbmF0ZSBhbmQgdGFsZW50ZWQsCnlvdSBjYW4gZ2V0IHRoZSBrbm93bGVkZ2UgeW91IHdhbnQgb24geW91ciBvd24u,,,,,W0x1YyBUb213YV0KQ29tbyBsaGUgZXUgZGlzc2UgYW50ZXMsIHNlIGEgc3VhIHBhaXjDo28gZSB0YWxlbnRvIHPDo28gcmVhaXMsIHZvY8OqIGNvbSBjZXJ0ZXphIGVuY29udHJhcsOhIGFsZ3VtYSBjb2lzYS4=,,W0NoYWluaGFydF0KQ29tbyB0ZSBkaWplIGFudGVzLCBtaWVudHJhcyB0ZW5nYXMKZW50dXNpYXNtbyB5IHRhbGVudG8gYXV0w6ludGljb3MsCnBvZHLDoXMgb2J0ZW5lciBsb3MgY29ub2NpbWllbnRvcyBxdWUgZGVzZWVzIHBvciB0dSBjdWVudGEu
guXaAg,,W0NoYWluaGFydF0KV2VsbCwgaWYgeW91IGRvbid0IHRoaW5rIHlvdSBjYW4gZG8gaXQsIHRoZW4KeW91IGNhbiBhbHdheXMgd2FpdAp1bnRpbCB0aGUgam9iLCBNZWNoYW5pYywgYW5kIHRoZSBtYW5hIGVuZ2luZQpiZWNvbWUgbW9yZSBwb3B1bGFyIGFuZCBhY2Nlc3NpYmxlLApob3dldmVyIGxvbmcKaXQgbWlnaHQgdGFrZS4=,,,,,W0x1YyBUb213YV0KRGVzY3VicmEgbyBjb25oZWNpbWVudG8gc296aW5obywgY29tbyBuw7NzIGZpemVtb3MuCk7Do28gZXNwZXJlIHF1ZSBhbGd1w6ltIGVuc2luZSBwYXJhIHZvY8OqLiBNb3N0cmUgYSBwYWl4w6NvIHF1ZSB2b2PDqiBkaXogdGVyLg==,,W0NoYWluaGFydF0KQnVlbm8sIHNpIGNyZWVzIHF1ZSBubyBwdWVkZXMgaGFjZXJsbywgZW50b25jZXMsCnNpZW1wcmUgcHVlZGVzIGVzcGVyYXIKaGFzdGEgcXVlIGxhIGNsYXNlIE1lY8OhbmljbyB5IGVsIG1vdG9yIGRlIG1hbsOhCnNlIHZ1ZWx2YW4gbcOhcyBwb3B1bGFyZXMgeSBhY2Nlc2libGVzLApzaW4gaW1wb3J0YXIKY3XDoW50byB0YXJkZS4=
g+XaAg,,W0NoYWluaGFydF0KQW55d2F5LCB3aGF0ZXZlciBkZWNpc2lvbiB5b3UgbWFrZSwKSSBzdXBwb3J0IHlvdS4=,,,,,W0x1YyBUb213YV0KRGUgcXVhbHF1ZXIgbW9kbywgcXVhbHF1ZXIgcXVlIHNlamEgc3VhIGVzY29saGEsIGVzcGVybyBxdWUgdm9jw6ogZmHDp2EgbyBzZXUgbWVsaG9yLg==,,W0NoYWluaGFydF0KRGUgdG9kb3MgbW9kb3MsIG5vIGltcG9ydGEgbGEgZGVjaXNpw7NuIHF1ZSB0b21lcywKeW8gdGUgYXBveWFyw6ku
hOXaAg,,W0NoYWluaGFydF0KUGZmZnQsIHN0b3AgYm90aGVyaW5nIG1lLgpJJ20gYnVzeS4=,,,,,W0x1YyBUb213YV0KUXVlIHBlc3NvYSBlc3RyYW5oYS4KQWNoZWkgcXVlIHZvY8OqIHRpbmhhIG8gbmVjZXNzw6FyaW8gcGFyYSBzZXIgdW0gdmVyZGFkZWlybyBNZWPDom5pY28u,,W0NoYWluaGFydF0KUGZmZiwgZGVqYSBkZSBtb2xlc3Rhcm1lLgpFc3RveSBvY3VwYWRvLg==
heXaAg,,W0NoYWluaGFydF0KQWgsIHlvdSdyZSBiYWNrLiBJJ2xsIHRha2UKdGhhdCB5b3UncmUgdGFsa2luZyB0byBtZQpiZWNhdXNlIHlvdSdyZSBpbnRlcmVzdGVkIGluIHRoZSBtYW5hIGVuZ2luZQphbmQgZnVydGhlcm1vcmUsIHRoZSBqb2IsIE1lY2hhbmljLgpTbywgSSdsbCB0ZWxsIHlvdSBhYm91dCB0aGVtLg==,,,,,W0x1YyBUb213YV0KRGVpeGUtbWUgcmV0b21hciBvIGbDtGxlZ28uClZvY8OqIGRldmUgZXN0YXIgaW50ZXJlc3NhZG8gZW0gbcOhcXVpbmFzIG3DoWdpY2FzIGUgbm8gbXVuZG8gZGEgTWVjw6JuaWNhLgpDZXJ0bywgZW50w6NvIGRlaXhlLW1lIGV4cGxpY2FyLg==,,W0NoYWluaGFydF0KQWgsIHZvbHZpc3RlLiBTdXBvbmdvCnF1ZSB2aWVuZXMgYSBoYWJsYXIgY29ubWlnbwpwb3JxdWUgdGUgaW50ZXJlc2EgZWwgbW90b3IgZGUgbWFuw6EKeSwgYWRlbcOhcywgbGEgY2xhc2UgTWVjw6FuaWNvLgpBc8OtIHF1ZSB0ZSBoYWJsYXLDqSBkZSBlc28u
huXaAg,,W0NoYWluaGFydF0KVGhlIG1hbmEgZW5naW5lIGlzIGEgY29tYmluYXRpb24Kb2YgYW5jaWVudCBtZWNoYW5pY2FsIGVuZ2luZWVyaW5nCmFuZCB0aGUgcG93ZXIgb2YgbWFnaWMuCkl0J3MgYSBicmFuZCBuZXcgY29uY2VwdCB0aGF0Cm5ldmVyIGV4aXN0ZWQgaW4gdGhpcyB3b3JsZCBiZWZvcmUu,,,,,W0x1YyBUb213YV0KQSBtw6FxdWluYSBtw6FnaWNhIG5hc2NldSBkZSB1bWEgZnVzw6NvIGVudHJlIG3DoXF1aW5hcyBlIG1hZ2lhLgpPcyBkb2lzIG51bmNhIGZvcmFtIHVuaWRvcyBjb20gc3VjZXNzbyBhdMOpIGFnb3JhLg==,,W0NoYWluaGFydF0KRWwgbW90b3IgZGUgbWFuw6EgZXMgdW5hIGNvbWJpbmFjacOzbgpkZSBpbmdlbmllcsOtYSBtZWPDoW5pY2EgYW50aWd1YQp5IGVsIHBvZGVyIGRlIGxhIG1hZ2lhLgpFcyB1biBjb25jZXB0byB0b3RhbG1lbnRlIG51ZXZvIHF1ZQpudW5jYSBhbnRlcyBleGlzdGnDsyBlbiBlc3RlIG11bmRvLg==
h+XaAg,,W0NoYWluaGFydF0KV2l0aCB0aGUgbWFuYSBlbmdpbmUsIHlvdSBjYW4gdXNlCm1hZ2ljYWwgcG93ZXIgZXZlbiBpZiB5b3UncmUKaW5jYXBhYmxlIG9mIG1hZ2ljIGFuZAptYWNoaW5lcyBhcyB3ZWxsLCBldmVuIGlmIHlvdSdyZQpub3QgZ29vZCBhdCBvcGVyYXRpbmcgdGhlbS4=,,,,,W0x1YyBUb213YV0KU2UgZm9yIHVzYXIgYXMgbcOhcXVpbmFzIG3DoWdpY2FzLCB2b2PDqiByZWFsbWVudGUgdGVtIHF1ZSBjb25oZWNlciBvIGZ1bmNpb25hbWVudG8gaW50ZXJubyBkZWxhcy4=,,W0NoYWluaGFydF0KQ29uIGVsIG1vdG9yIGRlIG1hbsOhLCBwdWVkZXMgdXNhcgplbCBwb2RlciBtw6FnaWNvIGF1bnF1ZSBzZWFzCmluY2FwYXogZGUgdXNhciBtYWdpYSB5IHRhbWJpw6luCnB1ZWRlcyB1c2FyIG3DoXF1aW5hcywgaW5jbHVzbyBzaSBubyB0aWVuZXMKdGFsZW50byBwYXJhIG9wZXJhcmxhcy4=
iOXaAg,,W0NoYWluaGFydF0KVW5saWtlIG1hZ2ljLAp3aGljaCBpcyBqdXN0IGludmlzaWJsZSBhbmQgY2FwcmljaW91cyBlbmVyZ3ksCnRoaXMgbWFuYSBlbmdpbmUgaXMgcmVhbCBhbmQgdGFuZ2libGUuCk1vcmUgcmVsaWFibGUgdGhhbiBtYWdpYywgdG9vLg==,,,,,W0x1YyBUb213YV0KRWxhIHBvZGUgc2VyIHVzYWRhIGNvbSBlZmljw6FjaWEsCmUgdm9jw6ogbsOjbyBwcmVjaXNhIGNvbmZpYXIgZW0gYWxnbyBxdWUgw6kgaW5jZXJ0byBlIGluc3TDoXZlbCBjb21vIGEgbWFnaWEsIGVudMOjbyBvIHF1ZSBwb2RlIHNlciBtZWxob3IgZG8gcXVlIGlzc28/,,W0NoYWluaGFydF0KQSBkaWZlcmVuY2lhIGRlIGxhIG1hZ2lhLApxdWUgbm8gZXMgbcOhcyBxdWUgZW5lcmfDrWEgaW52aXNpYmxlIHkgY2FwcmljaG9zYSwKZXN0ZSBtb3RvciBkZSBtYW7DoSBlcyByZWFsIHkgdGFuZ2libGUuClRhbWJpw6luIGVzIG3DoXMgY29uZmlhYmxlIHF1ZSBsYSBtYWdpYS4=
ieXaAg,,W0NoYWluaGFydF0KSXQgd2FzIGRldmVsb3BlZCBieSBhIHNjaG9sYXIKbmFtZWQgRnJhbmtlbHNvbiBvZiB0aGUgU2Nod2FyendhbGQgUmVwdWJsaWMuCldhaXQsIHBlcmhhcHMgSSBzaG91bGQgc2F5Cml0IHdhcyBpbnZlbnRlZCByYXRoZXIgdGhhbiBkZXZlbG9wZWQuLi4KQW55d2F5LCBoZSdzIHRoZSBvbmUgd2hvIGNhbWUgdXAgd2l0aCBpdC4=,,,,,W0x1YyBUb213YV0KQSBwZXNzb2EgcXVlIGludmVudG91IGEgbcOhcXVpbmEgbcOhZ2ljYSDDqSBGcmFua2Vsc29uLCB1bSBlc3R1ZGlvc28gZGEgUmVww7pibGljYSBkZSBTY2h3YXJ0endhbGQu,,W0NoYWluaGFydF0KRnVlIGRlc2Fycm9sbGFkbyBwb3IgdW4gRXJ1ZGl0bwpsbGFtYWRvIEZyYW5rZWxzb24gZGUgbGEgUmVww7pibGljYSBkZSBTY2h3YXJ6d2FsZC4KRXNwZXJhLCBxdWl6w6FzIGRlYmVyw61hIGRlY2lyCnF1ZSBsbyBpbnZlbnTDsywgbm8gcXVlIGxvIGRlc2Fycm9sbMOzLi4uCkRlIHRvZG9zIG1vZG9zLCBmdWUgYSDDqWwgYSBxdWllbiBzZSBsZSBvY3VycmnDsyBsYSBpZGVhLg==
iuXaAg,,W0NoYWluaGFydF0KRnJhbmtlbHNvbiBmb3VuZCBzb21lIGFuY2llbnQgbWVjaGFuaWNhbApkZXZpY2UgaW4gXkZGMDAwMEp1cGVyb3NeMDAwMDAwLAp3aGljaCBpcyBkb3duIGJlbG93IHRoaXMgSnVubywKYW5kIGNvbWJpbmVkIGl0IHdpdGggbWFnaWMuClRoZSBvdXRjb21lIHdhcyBtb3JlIGltcHJlc3NpdmUgdGhhbiBoZSB0aG91Z2h0Lg==,,,,,W0x1YyBUb213YV0KRnJhbmtlbHNvbiBkZXNjb2JyaXUgdW1hIG3DoXF1aW5hIGFudGlnYSBuYXMgXkZGMDAwMFJ1w61uYXMgZGUgSnVwZXJvc14wMDAwMDAgZSBhIGp1bnRvdSBhbyBwb2RlciBkYSBtYWdpYS4gRm9pIGVzc2UgbyBjb21lw6dvLg==,,W0NoYWluaGFydF0KRnJhbmtlbHNvbiBlbmNvbnRyw7MgdW4gYW50aWd1byBkaXNwb3NpdGl2byBtZWPDoW5pY28KZW4gXkZGMDAwMEp1cGVyb3NeMDAwMDAwLApxdWUgZXN0w6EgZGViYWpvIGRlIEp1bm8sCnkgbG8gY29tYmluw7MgY29uIG1hZ2lhLgpFbCByZXN1bHRhZG8gZnVlIG3DoXMgaW1wcmVzaW9uYW50ZSBkZSBsbyBxdWUgZXNwZXJhYmEu
i+XaAg,,W0NoYWluaGFydF0KU28sIGhlIG5hbWVkCnRoaXMgbmV3IGRldmljZSB0aGUgbWFuYSBlbmdpbmUKc2luY2UgaXQgd2FzIGJhc2VkIG9uIHRoZSBwb3dlciBvZiBtYWdpYy4KQnV0IHRoZSB0aW1pbmcgd2Fzbid0IHJpZ2h0LgpUaGF0J3Mgd2h5IGl0J3Mgc3RpbGwgcHJldHR5IG11Y2ggdW5rbm93biB0byB0aGUgcmVzdCBvZiB0aGUgd29ybGQu,,,,,W0x1YyBUb213YV0KRW50w6NvLCBuYXR1cmFsbWVudGUsIEZyYW5rZWxzb24gY2hhbW91IGEgbm92YSBtw6FxdWluYSBkZSBNLkUuQy5ILkEu,,W0NoYWluaGFydF0KRW50b25jZXMsIGxsYW3DswphIGVzdGUgbnVldm8gZGlzcG9zaXRpdm8gbW90b3IgZGUgbWFuw6EsCnlhIHF1ZSBzZSBiYXNhYmEgZW4gZWwgcG9kZXIgZGUgbGEgbWFnaWEuClNpbiBlbWJhcmdvLCBubyBlcmEgZWwgbW9tZW50byBhZGVjdWFkby4KUG9yIGVzbyBzaWd1ZSBzaWVuZG8gY2FzaSBkZXNjb25vY2lkbyBwYXJhIGVsIHJlc3RvIGRlbCBtdW5kby4=
jOXaAg,,W0NoYWluaGFydF0KQnV0IG90aGVycyBtYXkgbm90IGtub3csCmJ1dCB3ZSBkaWQsIHRoZSBzY2hvbGFycyBpbiBKdW5vLgpXZSBjb250aW51ZWQgdG8gc3R1ZHkKdGhlIG1hbmEgZW5naW5lCm9uIG91ciBvd24sCmFuZCB3ZSBzdGlsbCBoYXZlLg==,,,,,W0x1YyBUb213YV0KRGUgcXVhbHF1ZXIgbW9kbywgasOhIHF1ZSBuw6NvIMOpIG11aXRvIGNvbmhlY2lkbyBlbSBvdXRyb3MgbHVnYXJlcyBmb3JhIGRlIEp1bm8sIG8gZXN0dWRvIGRhIE3DoXF1aW5hIE3DoWdpY2EgdGVtIHByb2dyZWRpZG8gZGVzZGUgZW50w6NvLg==,,W0NoYWluaGFydF0KUGVybywgYXVucXVlIG90cm9zIG5vIGxvIGNvbm9jw61hbiwKbm9zb3Ryb3MsIGxvcyBlcnVkaXRvcyBkZSBKdW5vLCBzw60uClkgc2VndWltb3MgZXN0dWRpYW5kbwplbCBtb3RvciBkZSBtYW7DoQpwb3IgbnVlc3RyYSBjdWVudGEsCnkgdG9kYXbDrWEgbG8gaGFjZW1vcy4=
jeXaAg,,W0NoYWluaGFydF0KQXMgd2UgY29udGludWVkIHdpdGgKb3VyIG1hbmEgZW5naW5lIHJlc2VhcmNoLApvdGhlcnMgaGFkIHRha2VuIG5vdGljZSBvZiB1cwphbmQgc3RhcnRlZCBjYWxsaW5nIHVzIHRoZSBeRkYwMDAwTWVjaGFuaWNzXjAwMDAwMC4KV2UgY291bGRuJ3QgdGhpbmsgb2YgYSBiZXR0ZXIgdGVybSwKc28gaXQgc3R1Y2su,,,,,W0x1YyBUb213YV0KUG9yIHBlc3F1aXNhcm1vcwphIE3DoXF1aW5hIE3DoWdpY2Egc2VtIHBhcmFyLAphcyBwZXNzb2FzIGNvbWXDp2FyYW0gYSBub3MgY2hhbWFyIGRlIF5GRjAwMDBNZWPDom5pY29zXjAwMDAwMApPIG5vbWUgw6kgw7NidmlvLCBlbnTDo28gYWNhYm91IHBlZ2FuZG8u,,W0NoYWluaGFydF0KQWwgY29udGludWFyIGNvbgpudWVzdHJhIGludmVzdGlnYWNpw7NuIGRlbCBtb3RvciBkZSBtYW7DoSwKb3Ryb3Mgc2UgZmlqYXJvbiBlbiBub3NvdHJvcwp5IGVtcGV6YXJvbiBhIGxsYW1hcm5vcyBeRkYwMDAwTWVjw6FuaWNvc14wMDAwMDAuCk5vIHNlIG5vcyBvY3VycmnDsyB1biB0w6lybWlubyBtZWpvciwKYXPDrSBxdWUgbG8gbWFudHV2aW1vcy4=
juXaAg,,W0NoYWluaGFydF0KU28uLi4gWWVzLCB0aGF0IHNob3VsZCBiZQplbm91Z2ggZXhwbGFuYXRpb24gZm9yIHRoZSBtYW5hIGVuZ2luZSBhbmQgdXMgTWVjaGFuaWNzLgpBY3R1YWxseSwgSSdkIGxvdmUgdG8gdGVsbCB5b3UKbW9yZSBhYm91dCB0aGUgbWFuYSBlbmdpbmUsIGJ1dCBJIHNob3VsZG4ndC4KSXQncyB0b28gdGVjaG5pY2FsLCBhbmQgaXQnbGwgZWFzaWx5CnRha2UgZGF5cyB0byBmaW5pc2gu,,,,,W0x1YyBUb213YV0KSHVtbS4gQmVtLCBhY2hvIHF1ZSBhY2FiZWkgZGUgZXhwbGljYXIgbyBNLkUuQy5ILkEuCkV1IHF1ZXJpYSBleHBsaWNhciBtYWlzLCBtYXMgw6kgbXVpdG8gdMOpY25pY28uCk7Do28gcXVlcm8gZGVpeGFyIHZvY8OqIG1haXMgZW50ZWRpYWRvLg==,,W0NoYWluaGFydF0KQXPDrSBxdWUuLi4gQnVlbm8sIGNyZW8gcXVlIGVzbyBlcwpleHBsaWNhY2nDs24gc3VmaWNpZW50ZSBzb2JyZSBlbCBtb3RvciBkZSBtYW7DoSB5IGxvcyBNZWPDoW5pY29zLgpFbiByZWFsaWRhZCwgbWUgZW5jYW50YXLDrWEgY29udGFydGUKbcOhcyBzb2JyZSBlbCBtb3RvciBkZSBtYW7DoSwgcGVybyBubyBkZWJlcsOtYS4KRXMgZGVtYXNpYWRvIHTDqWNuaWNvLCB5IHBvZHLDrWEKbGxldmFybWUgZMOtYXMu
j+XaAg,,W0NoYWluaGFydF0KQW55d2F5LCB0aGF0IHNob3VsZCBnaXZlIHlvdQphIGdvb2QgaWRlYSBhYm91dCB1cyBNZWNoYW5pY3MKYW5kIHRoZSBtYW5hIGVuZ2luZSwKcmlnaHQ/IEhhaCBoYWggaGFoLg==,,,,,W0x1YyBUb213YV0KRGUgcXVhbHF1ZXIgbW9kbywgc2Ugc2UgdG9ybmFyIHVtIGRlIG7Ds3MsIHZvY8OqIG1lc21vIHBvZGVyw6EgZm9ybXVsYXIgc3VhIHByw7NwcmlhIGRlZmluacOnw6NvIGUgZXhwbGljYcOnw6NvIGRhIE1lY8OibmljYS4=,,W0NoYWluaGFydF0KRGUgdG9kb3MgbW9kb3MsIGVzbyBkZWJlcsOtYSBkYXJ0ZQp1bmEgYnVlbmEgaWRlYSBkZSBsbyBxdWUgc29uIGxvcyBNZWPDoW5pY29zCnkgZWwgbW90b3IgZGUgbWFuw6EsCsK/dmVyZGFkPyBKYSwgamEsIGphLg==
kOXaAg,,W0NoYWluaGFydF0KSSBjYW4gdGVsbCBqdXN0IGJ5IGxvb2tpbmcgYXQgeW91CnRoYXQgeW91J3JlIGdvb2Qgd2l0aCB5b3VyIGhhbmRzLgpMb29rIHByZXR0eSBza2lsbGVkLCB0b28uClBlcmhhcHMgeW91IGNhbiBtYWtlIGl0LgpZZXMuLi4gWW91IGhhdmUgdGhlIG1ha2luZ3Mgb2YgaXQu,,,,,W0x1YyBUb213YV0Kw4AgcHJpbWVpcmEgdmlzdGEsIHZvY8OqIHBhcmVjZSBzZXIgdW1hIHBlc3NvYSBtdWl0byB2ZXJzw6F0aWwgcXVlIGxpZGEgY29tIGRpdmVyc2FzIGNvaXNhcy4KUGFyZWNlIHNlciBiYXN0YW50ZSBoYWJpbGlkb3NvLgpWb2PDqiBwb2RlIHNlciBhIHBlc3NvYSBjZXJ0YS4=,,W0NoYWluaGFydF0KUHVlZG8gZGVjaXIgY29uIHNvbG8gbWlyYXJ0ZQpxdWUgdGllbmVzIGZhY2lsaWRhZCBwYXJhIGVsIHRyYWJham8gbWFudWFsLgpUYW1iacOpbiBwYXJlY2VzIHNlciBiYXN0YW50ZSBow6FiaWwuClRhbCB2ZXogcHVlZGFzIGxvZ3JhcmxvLgpTw60uLi4gVmVvIHF1ZSB0aWVuZXMgcG90ZW5jaWFsLg==
keXaAg,,W0NoYWluaGFydF0KT2gsIHdoZXJlIGFyZSBteSBtYW5uZXJzPwpNeSBuYW1lIGlzIENoYWluaGFydC4KSSdtIG9uZSBvZiB0aGUgZmV3IE1lY2hhbmljcwp0aGF0IGN1cnJlbnRseSBleGlzdCBpbiB0aGlzIHdvcmxkLgpJIGRvdWJ0IHlvdSd2ZSBoZWFyZCBvZiB1cy4=,,,,,W0x1YyBUb213YV0KQWgsIG7Do28gbWUgYXByZXNlbnRlaS4gU291IG8gZmFtb3NvIEx1YyBUb213YS4KRXUgc291IHVtIE1lY8Oibmljby4KQmVtLCBldSBhY2hvIHF1ZSBuw6NvIHNvdSBtdWl0byBmYW1vc28u,,W0NoYWluaGFydF0KQXksIMK/ZMOzbmRlIHF1ZWRhcm9uIG1pcyBtb2RhbGVzPwpNZSBsbGFtbyBDaGFpbmhhcnQuClNveSB1bm8gZGUgbG9zIHBvY29zIE1lY8Ohbmljb3MKcXVlIGV4aXN0ZW4gYWN0dWFsbWVudGUgZW4gZWwgbXVuZG8uCkR1ZG8gcXVlIGhheWFzIG/DrWRvIGhhYmxhciBkZSBub3NvdHJvcy4=
kuXaAg,,W0NoYWluaGFydF0KSW4gY2FzZSB5b3UgaGF2ZW4ndApoZWFyZCBvZiB1cywgTWVjaGFuaWNzLApJIGNhbiBpbnRyb2R1Y2UKdXMgaW4gYSBmZXcgc2ltcGxlLApidXQgZWZmZWN0aXZlIHdvcmRzLg==,,,,,W0x1YyBUb213YV0KRXUgdGFtYsOpbSBuw6NvIGFjaG8gcXVlIHZvY8OqIGNvbmhlw6dhIGEgcGFsYXZyYSBNZWPDom5pY2EuCk5hIHZlcmRhZGUsIHF1YW5kbyBzZSB0cmF0YSBkYSBkZXNjcmnDp8OjbywKw6kgdW0gbm92byB0cmFiYWxobyBxdWUgcG9kZXJpYSBzZXIgZXhwbGljYWRvIGZhY2lsbWVudGUu,,W0NoYWluaGFydF0KRW4gY2FzbyBkZSBxdWUgbm8gc2VwYXMKbmFkYSBzb2JyZSBsb3MgTWVjw6FuaWNvcywKcHVlZG8gZGVzY3JpYmlybm9zCmNvbiB1bmFzIHNpbXBsZXMKcGVybyBlZmljYWNlcyBwYWxhYnJhcy4=
k+XaAg,,W0NoYWluaGFydF0KV2UncmUgdGhlIHJlc2VhcmNoZXJzCmFuZCBvcGVyYXRvcnMKb2YgdGhlIG1hbmEgZW5naW5lLg==,,,,,W0x1YyBUb213YV0KQXF1ZWxlIHF1ZSBlc3R1ZGEgZSB1c2EgbyBNLkUuQy5ILkEuIMOpIHVtIE1lY8Oibmljby4=,,W0NoYWluaGFydF0KU29tb3MgbG9zIGludmVzdGlnYWRvcmVzCnkgb3BlcmFkb3JlcwpkZWwgbW90b3IgZGUgbWFuw6Eu
lOXaAg,,W0NoYWluaGFydF0KTm93LCB3aGF0J3MgdGhpcyBtYW5hIGVuZ2luZSwKeW91IGFzaz8KTW0uLi4gVGhhdCByZXF1aXJlcwphIGxvdCBtb3JlIHdvcmRzIHRvIGV4cGxhaW4uLi4=,,,,,W0x1YyBUb213YV0KRW50w6NvLCBvIHF1ZSDDqSBvIE0uRS5DLkguQS4gcXVlIHVtIE1lY8OibmljbyBlc3R1ZGEgZSB1c2E/Cklzc28gbsOjbyDDqSB0w6NvIHNpbXBsZXMgZGUgc2UgZXhwbGljYXIsIG1hcyB2b3UgdGVudGFyLg==,,W0NoYWluaGFydF0KQWhvcmEsIMK/cXXDqSBlcyBlbCBtb3RvciBkZSBtYW7DoSwKdGUgcHJlZ3VudGFyw6FzPwpNbW0uLi4gU2UgbmVjZXNpdGFuCm11Y2hhcyBtw6FzIHBhbGFicmFzIHBhcmEgZXhwbGljYXIgZXNvLi4u
