gKS/Bw,,V2lsZGU=,,,,,V2lsZGU=,,V2lsZGU=
aqW/Bw,,RG9uJ3QgcGxheSB3aXRoIHBlb3BsZSdzIG5hbWVzIQ==,,,,,TsOjbyBmaXF1ZSBhcGVsaWRhbmRvIQ==,,wqFObyBsZSBwb25nYXMgYXBvZG9zIQ==
a6W/Bw,,W0xlaXppXQpXaHkgbm90PyAKSXQncyBzaG9ydGVyLCB3aGljaCBtZWFucyBlZmZpY2llbnQuIApUaGlzIFZJUCBoZXJlIGxpa2VzIGJlaW5nIGVmZmljaWVudCwgc28gSSBjaG9zZSB0aGF0LiAKQmVzaWRlcywgd2UgbmVlZCBjb2RlIG5hbWVzLCB0byBrZWVwIG90aGVycyBvdXQgb2YgdGhlIGxvb3Au,,,,,W05hbGFuZHJvXQpQb3IgcXXDqj8gw4kgdW0gbm9tZSBtYWlzIGN1cnRvIHBhcmEgZmFsYXIuIEFsw6ltIGRpc3NvLCBwcmVjaXNhbW9zIHVzYXIgY29kaW5vbWVzIHBhcmEgbsOjbyBsZXZhbnRhciBzdXNwZWl0YXMu,,W0xhenldCsK/UG9yIHF1w6k/IEVzIG3DoXMgY29ydG8gZGUgZGVjaXIuIEFkZW3DoXMsIG5lY2VzaXRhbW9zIHVzYXIgbm9tYnJlcyBjbGF2ZSBwYXJhIG5vIGxldmFudGFyIHNvc3BlY2hhcy4=
bKW/Bw,,W0xlaXppXQpJJ3ZlIGxlYXJuZWQgdGhpcyBhZnRlciBiZWluZyBhbiBhZ2VudCBmb3IgYSBsb25nIHRpbWUuIApUaGVyZSdzIGEgd2F5IHRvIGRldGVybWluZSBjb2RlIG5hbWVzLCBidXQgSSBjYW4ndCB0ZWxsIHlvdSB0aGF0Lg==,,,,,W05hbGFuZHJvXQpBcHJlbmRpIGlzc28gZHVyYW50ZSBtaW5oYSB2aWRhIGRlIGFnZW50ZSBzZWNyZXRvLiBBIEFCSU4gZSBvIEZCSSBzb25oYW0gZW0gbWUgdGVyIGNvbW8gZnVuY2lvbsOhcmlvLg==,,W0xhenldCkFwcmVuZMOtIGVzbyBlbiBtaSB2aWRhIGNvbW8gYWdlbnRlIHNlY3JldG8uIEVsIEZCSSBzdWXDsWFuIGNvbiB0ZW5lcm1lIGNvbW8gZW1wbGVhZG8u
baW/Bw,,SSdtIG5vdCBldmVuIHN1cnByaXNlZCBhbnltb3JlLg==,,,,,UG9kZW1vcyBjb250aW51YXI/,,wr9Qb2RlbW9zIGNvbnRpbnVhcj8=
bqW/Bw,,T29vLCB0aGF0IG1ha2VzIHNlbnNlLg==,,,,,UG9pcyDDqS4uLg==,,RXNvLi4u
b6W/Bw,,W0xlaXppXQpOb3csIHNoYWxsIHdlIGxlYXJuIG1vcmUgYWJvdXQgUGF0c3k/IApIZSdzIGZyb20gdGhlIGVhc3Qgc2lkZSBvZiBMaWdodGhhbHplbiwgcG9wdWxhcmx5IGtub3duIGFzIHRoZSBeMDAwMENEU2x1bV4wMDAwMDAuIApNci4gVklQLCB5b3Uga25vdyB0aGlzIGFscmVhZHksIHJpZ2h0PyAKWW91J3ZlIHJlYWQgaGlzIGZpbGUgaHVuZHJlZHMgb2YgdGltZXMu,,,,,W05hbGFuZHJvXQpCb20sIG8gUGFjYSBtb3JhdmEgbmEgXjAwMDBDRGZhdmVsYV4wMDAwMDAgZGUgTGlnaHRoYWx6ZW4uIFNlbmhvciBWSVAsIG8gc2VuaG9yIHNhYmUgbyBxdWUgw6kgdW1hIGZhdmVsYT8=,,W0xhenldCkJ1ZW5vLCBQYWNhIHZpdsOtYSBlbiBsb3MgXjAwMDBDRGJhcnJpb3MgYmFqb3NeMDAwMDAwIGRlIExpZ2h0aGFsemVuLiBTci4gVklQLCDCv3NhYmUgcXXDqSBzb24gbG9zIGJhcnJpb3MgYmFqb3M/
cKW/Bw,,QXMgaWYgSSd2ZSBtZXQgaGltIGluIHBlcnNvbi4gTm8gbWlzdW5kZXJzdGFuZGluZy4gT25seSB0aGUgdHJ1dGgu,,,,,SsOhIGNvbnZlcnNvdSBjb20gdW0gcG9icmU/,,wr9BbGd1bmEgdmV6IGhhYmzDsyBjb24gdW4gcG9icmU/
caW/Bw,,W0theWFdCldoYXQgYXJlIHlvdSB0cnlpbmcgdG8gc2F5Pw==,,,,,W0theWFdCk8gcXVlIHZvY8OqIHNhYmUgc29icmUgUGF0cmljayBLYXVmbWFuPw==,,W0theWFdCsK/UXXDqSBzYWJlcyBzb2JyZSBQYXRyaWNrIEthdWZtYW4/
cqW/Bw,,W0xlaXppXQpTaW5jZSBoZSB3YXMgeW91bmcsIGhlIG1hZGUgaGlzIGxpdmluZyBieSBzZWxsaW5nIG90aGVyIHBlb3BsZSdzIGp1bmsgdGhhdCBwaWNrZWQgdXAgYW5kIGZpeGVkLiAKSGUgd2FzIGdvb2Qgd2l0aCBoaXMgaGFuZHMu,,,,,W05hbGFuZHJvXQpCb20sIGRlc2RlIGNyaWFuw6dhLCBvIFBhY2EgY2F0YXZhIGxhdGluaGFzIHBhcmEgZ2FuaGFyIGEgdmlkYS4gRGl6ZW0gcXVlIGVsZSB0aW5oYSB1bWEgZGVzdHJlemEgZXh0cmFvcmRpbsOhcmlhLg==,,W0xhenldCkRlc2RlIG5pw7FvLCBQYWNhIHJlY29nw61hIGxhdGFzIHBhcmEgZ2FuYXJzZSBsYSB2aWRhLiBEaWNlbiBxdWUgdGVuw61hIHVuYSBkZXN0cmV6YSBleHRyYW9yZGluYXJpYS4=
c6W/Bw,,W0xlaXppXQpBdCB0aGUgYWdlIG9mIHR3ZW50eSBvbmUsIGhlIHdhcyByZWNydWl0ZWQgYnkgUmVrZW5iZXIgdGhyb3VnaCBpdHMgbG93IGluY29tZSBjbGFzcyByZWNydWl0bWVudCBwcm9ncmFtLCBhbmQgYmVjYW1lIHRoZSBlbnZ5IG9mIGV2ZXJ5b25lIGFyb3VuZCBoaW0u,,,,,W05hbGFuZHJvXQpBb3MgMjEgYW5vcywgZWxlIHBhc3NvdSBubyBQcm9ncmFtYSBFc3BlY2lhbCBkYSBSZWtlbmJlciBwYXJhIGEgY2xhc3NlIGRlIGJhaXhhIHJlbmRhIGNvbW8gbyBtZWxob3IgbWVjw6JuaWNvIGRlbnRyZSBvcyBjYW5kaWRhdG9zLg==,,W0xhenldCkEgbG9zIDIxIGHDsW9zLCBpbmdyZXPDsyBhbCBQcm9ncmFtYSBFc3BlY2lhbCBkZSBSZWtlbmJlciBwYXJhIGNsYXNlcyBkZSBiYWpvcyByZWN1cnNvcyBjb21vIGVsIG1lam9yIG1lY8OhbmljbyBlbnRyZSBsb3MgY2FuZGlkYXRvcy4=
dKW/Bw,,SGUgd2FzIGhpcyBmYW1pbHkncyBwcmlkZSBhbmQgam95Lg==,,,,,RWxlIGVyYSBvIG9yZ3VsaG8gZGEgZmFtw61saWF+,,RXJhIGVsIG9yZ3VsbG8gZGUgbGEgZmFtaWxpYX4=
daW/Bw,,W0xlaXppXQpPbiB0aGUgZmlmdGggbW9udGggc2luY2UgaGUgc3RhcnRlZCB3b3JraW5nIGF0IFJla2VuYmVyLCBoZSB3YXMgdHJhbnNmZXJyZWQgdG8gYSBuZXcgbGFiLCBhbmQgaGFzIG5ldmVyIGJlZW4gaGVhcmQgc2luY2UgdGhlbi4gClRoYXQncyBhbGwgaGlzIGluZm9ybWF0aW9uIG9uIGZpbGUu,,,,,W05hbGFuZHJvXQpBcMOzcyA1IG1lc2VzIGRlIHRyYWJhbGhvIG5hIFJla2VuYmVyLCBlbGUgZm9pIHRyYW5zZmVyaWRvIHBhcmEgdW0gbGFib3JhdMOzcmlvIGFmaWxpYWRvIGUgZGVwb2lzIGRpc3NvLCBuw6NvIGjDoSBtYWlzIG5lbmh1bWEgaW5mb3JtYcOnw6NvIHNvYnJlIGVsZS4=,,W0xhenldClRyYXMgNSBtZXNlcyB0cmFiYWphbmRvIGVuIFJla2VuYmVyLCBmdWUgdHJhbnNmZXJpZG8gYSB1biBsYWJvcmF0b3JpbyBhZmlsaWFkbyB5IGRlc3B1w6lzIGRlIGVzbyBubyBoYXkgbcOhcyBpbmZvcm1hY2nDs24gc29icmUgw6lsLg==
dqW/Bw,,QW5kIHRoYXQncyBhbHNvIGFsbCBJIGNvdWxkIGZpbmQgb3V0Lg==,,,,,SXNzbyDDqSB0dWRvIG8gcXVlIHNlaSE=,,wqFFc28gZXMgdG9kbyBsbyBxdWUgc8OpIQ==
d6W/Bw,,W0xlaXppXQpNci4gVklQIGhhcyBtYWRlIGEgcGVyZmVjdCBwaWNrLiAKSSBhcHBsYXVkIHlvdSEgCkNsYXBzLCBjbGFwcyEgCllvdSd2ZSBwaWNrZWQgb25lIG9mIHRoZSBtb3N0IGF2ZXJhZ2UgcGVvcGxlIG9uIHRoZSBsaXN0Lg==,,,,,W05hbGFuZHJvXQpOb3NzbyBWSVAgZXNjb2xoZXUgdW1hIHBlc3NvYSBtZWRpYW5hLiBQYXJhYsOpbnMhIFZvY8OqIG7Do28gbWVyZWNlIFBhbG1hcywgbWVyZWNlIG8gVG9jYW50aW5zIGludGVpcm8u,,W0xhenldCk51ZXN0cm8gVklQIGhhIGhlY2hvIHVuYSBlbGVjY2nDs24gcGVyZmVjdGEuIMKhRmVsaWNpZGFkZXMhIEFwbGF1c29zLCBhcGxhdXNvcy4gSGEgZWxlZ2lkbyBhIHVuYSBkZSBsYXMgcGVyc29uYXMgbcOhcyBwcm9tZWRpbyBkZSBsYSBsaXN0YS4=
eKW/Bw,,W0theWFdCkFyZSB3ZSBnb2luZyB0byBpbnZlc3RpZ2F0ZSBoaW0/IApXaGF0IGFib3V0IHRoZSBvdGhlcnM/,,,,,W0theWFdClZhbW9zIGludmVzdGlnYXIgc8OzIGVsZT8gRSBvcyBvdXRyb3M/,,W0theWFdCsK/SW52ZXN0aWdhcmVtb3Mgc29sbyBhIMOpbD8gwr9ZIGxvcyBkZW3DoXM/
eaW/Bw,,W0xlaXppXQpXZSBjYW4ndCBpbnZlc3RpZ2F0ZSBhbGwgb2YgdGhlbSBpbiB0aGlzIHNtYWxsIGdyb3VwLiAKWW91IGtub3cgJydwaWNrIGFuZCBjb25jZW50cmF0ZSwnJyByaWdodD8=,,,,,W05hbGFuZHJvXQpOw6NvIHRlcsOtYW1vcyB0ZW1wbyBow6FiaWwgcGFyYSBpbnZlc3RpZ2FyIHRvZG8gbXVuZG8uIEUgdm9jw6ogcXVlciBvdGltaXphciBvIHRlbXBvLCBuw6k/,,W0xhenldCk5vIHRlbmRyw61hbW9zIHRpZW1wbyBzdWZpY2llbnRlIHBhcmEgaW52ZXN0aWdhciBhIHRvZG9zLiBZIHVzdGVkIHF1aWVyZSBvcHRpbWl6YXIgZWwgdGllbXBvLCDCv25vPw==
eqW/Bw,,W0xlaXppXQpBbGwgb2YgdGhlbSBkaXNhcHBlYXJlZCB1bmRlciBzaW1pbGFyIGNpcmN1bXN0YW5jZXMuIApJZiB3ZSBrbm93IHdoYXQgaGFwcGVuZWQgdG8gb25lIG9mIHRoZW0sIHdlJ2xsIGtub3cgd2hhdCBoYXBwZW5lZCB0byBldmVyeW9uZSBlbHNlLg==,,,,,W05hbGFuZHJvXQpUb2RvcyBkZXNhcGFyZWNlcmFtIGRlIG1hbmVpcmEgc2VtZWxoYW50ZSwgZW50w6NvLCBzZSB2b2PDqiBpbnZlc3RpZ2FyIHVtYSBwZXNzb2EsIGRlc2NvYnJpcsOhIG8gcGFyYWRlaXJvIGRhcyBvdXRyYXMu,,W0xhenldClRvZG9zIGRlc2FwYXJlY2llcm9uIGRlIGZvcm1hIHNpbWlsYXIsIGFzw60gcXVlIGFsIGludmVzdGlnYXIgYSB1bmEgcGVyc29uYSwgZGVzY3Vicmlyw6EgZWwgcGFyYWRlcm8gZGUgbGFzIGRlbcOhcy4=
e6W/Bw,,V2hhdCBhcmUgeW91IGdvaW5nIHRvIGRvPw==,,,,,TyBxdWUgdm9jw6ogdmFpIGZhemVyPw==,,wr9RdcOpIHZhcyBhIGhhY2VyPw==
fKW/Bw,,W0xlaXppXQpIZWxsbyEgCkZyb20gbm93IG9uLCBSYWdlIGFuZCBoaXMgc2VjcmV0YXJ5IGhlcmUgd2lsbCB0YWtlIE1yLiBWSVAgb24gYSBzYWZlLCBjb21mb3J0YWJsZSB0b3VyIGFyb3VuZCBwbGFjZXMsIGZvbGxvd2luZyBQYXRzeSdzIGNhcmVlciE=,,,,,W05hbGFuZHJvXQpBZ29yYSwgZXUgdm91IHNlciBhIHN1YSBBZXJvbW/Dp2EgZSB2b3UgZ3Vpw6EtbG9zIHBhcmEgaW52ZXN0aWdhciBhIGluY3LDrXZlbCB2aWRhIGRlIFBhY2EhIFlhYWFhYXkh,,W0xhenldCsKhQWhvcmEgc2Vyw6kgc3UgYXphZmF0YSB5IGxvcyBndWlhcsOpIHBhcmEgaW52ZXN0aWdhciBsYSBpbmNyZcOtYmxlIHZpZGEgZGUgUGFjYSEgwqFZYWFhYWF5IQ==
faW/Bw,,WWF5ISAuLi4gSSBleHBlY3RlZCBhdCBsZWFzdCBhIGZldyBjbGFwcy4=,,,,,Q2Fkw6ogb3MgYXBsYXVzb3M/,,wr9Ew7NuZGUgZXN0w6FuIGxvcyBhcGxhdXNvcz8=
fqW/Bw,,W0theWFdCldoYXQgYXJlIHlvdSBkb2luZz8gCkkgdGhvdWdodCB3ZSB3ZXJlIGludmVzdGlnYXRpbmcsIG5vdCBwbGF5aW5nLg==,,,,,W0theWFdCi4uLiBWb2PDqiDDqSBsb3Vjbz8=,,W0theWFdCi4uLsK/RXN0w6FzIGxvY28/
f6W/Bw,,TXIuIFZpY2UgUHJlc2lkZW50LCBpdCdzIG5vdCB0b28gbGF0ZSB0byBjaGFuZ2UgeW91ciBtaW5kLg==,,,,,VmljZS1wcmVzaWRlbnRlLCBldSBwb3NzbyBkYXIgdW0gdGlybyBuZWxlLg==,,VmljZXByZXNpZGVudGUsIHB1ZWRvIGRpc3BhcmFybGUu
gKW/Bw,,W0xlaXppXQpEbyBJIGxvb2sgbGlrZSBJJ20gcGxheWluZz8gCkJlY2F1c2UgSSdtIG5vdC4gCkknbSBzZXJpb3VzLiAKQXJlIHlvdSBzZXJpb3VzPw==,,,,,W05hbGFuZHJvXQpMb3VjbyBzw7MgZGUgYW1vci4gTsOzcyBlc3RhbW9zIG5vIG1laW8gZGUgdW1hIGludmVzdGlnYcOnw6NvIHPDqXJpYS4=,,W0xhenldCkxvY28gc29sbyBkZSBhbW9yLiBFc3RhbW9zIGVuIG1lZGlvIGRlIHVuYSBpbnZlc3RpZ2FjacOzbiBzZXJpYS4=
gaW/Bw,,W0xlaXppXQpXZSdsbCBmb2xsb3cgUGF0c3kncyBjYXJlZXIuIApCeSBmb2xsb3dpbmcgaGlzIHRyYWNlcywgd2UnbGwgYmUgYWJsZSB0byB1bmRlcnN0YW5kIGhpcyBzaXR1YXRpb24gYW5kIHdoYXQgaGUgbWlnaHQgaGF2ZSBmZWx0Lg==,,,,,W05hbGFuZHJvXQpOw7NzIGlyZW1vcyBzZWd1aXIgb3MgcGFzc29zIGRvIFBhY2EgcGFyYSBlbnRlbmRlcm1vcyBjb21vIGVsZSBkZXNhcGFyZWNldS4=,,W0xhenldClNlZ3VpcmVtb3MgbG9zIHBhc29zIGRlIFBhY2EgcGFyYSBlbnRlbmRlciBjw7NtbyBkZXNhcGFyZWNpw7Mu
gqW/Bw,,W0xlaXppXQpZb3UncmUgc28gb3V0IG9mIHRvdWNoIHdpdGggdGhlIHdvcmxkIGJlY2F1c2UgeW91IG5ldmVyIGxlYXZlIHRoZSBjb3VudHJ5c2lkZSB0aGF0J3MgTGlnaHRoYWx6ZW4uIApHbyB0byBiaWcgY2l0aWVzIHNvbWV0aW1lcyBhbmQgY2hlY2sgaG93IHRoZSByZXN0IG9mIHRoZSB3b3JsZCBpcyBkb2luZy4gCkkga25vdyBhIGZldyBnb29kIHBsYWNlcyB5b3UgY2FuIGdvLCB0b28u,,,,,W05hbGFuZHJvXQpOw7NzIHByZWNpc2FyZW1vcyBhbmRhciBwZWxhcyBmYXZlbGFzIGRlIExpZ2h0aGFsemVuLiBNYXMgaXNzbyBuw6NvIMOpIHByb2JsZW1hIHBhcmEgdm9jw6pzLg==,,W0xhenldClRlbmRyZW1vcyBxdWUgY2FtaW5hciBwb3IgbG9zIGJhcnJpb3MgYmFqb3MgZGUgTGlnaHRoYWx6ZW4uIFBlcm8gZXNvIG5vIHNlcsOhIHVuIHByb2JsZW1hIHBhcmEgdXN0ZWRlcy4=
g6W/Bw,,W0FjZV0KRGlkIHlvdSBqdXN0IGNhbGwgTGlnaHRoYWx6ZW4gdGhlIGNvdW50cnlzaWRlPw==,,,,,W0FjZV0KUG9yIHF1w6o/IFZvY8OqIGFjaGEgcXVlIHPDsyB0ZW0gZmF2ZWxhIGVtIExpZ2h0aGFsemVuPyBUZW0gbWFpcyBjb2lzYXMgbMOhIQ==,,W0FjZV0Kwr9Qb3IgcXXDqT8gwr9DcmVlIHF1ZSBMaWdodGhhbHplbiBzZSByZXN1bWUgYSBsb3MgYmFycmlvcyBiYWpvcz8gwqFUaWVuZSBtw6FzIGNvc2FzIQ==
hKW/Bw,,W0xlaXppXQpNaXNzIEJvZHlndWFyZCwgZG9uJ3QgYmUgYW5ncnkgYXQgbWUuIApMaWdodGhhbHplbiBpcyB0aGUgY291bnRyeXNpZGUgY29tcGFyZWQgdG8gSnVuby4KSnVubyBpcyBhIHJlYWxseSBuaWNlIHBsYWNlIHRvIGJlLiAKRXZlcnlvbmUgY2FsbHMgaGVyIHRoZSBDaXR5IG9mIFNhZ2VzLCBidXQgSSBoYXZlIGRpZmZlcmVudCBuYW1lcyBmb3IgaGVyLg==,,,,,W05hbGFuZHJvXQpNYXMgc2UgY29tcGFyYXJtb3MgY29tIEp1bm8sIHPDsyBMaWdodGhhbHplbiBwcm9kdXppdSBmYXZlbGFzLgpKdW5vIMOpIHVtIGx1Z2FyIG11aXRvIGxlZ2FsLiBBcyBwZXNzb2FzIGNvc3R1bWFtIGNoYW3DoS1sYSBkZSBjaWRhZGUgZG9zIHPDoWJpb3MsIG1hcyBjb25oZcOnbyBwb3IgbWFpcyBub21lcy4=,,W0xhenldClBlcm8gc2kgY29tcGFyYW1vcyBjb24gSnVubywgc29sbyBMaWdodGhhbHplbiBwcm9kdWpvIGx1Z2FyZXMgYXPDrS4KSnVubyBlcyB1biBsdWdhciBleGNlbGVudGUuIExhIGxsYW1hbiBsYSBjaXVkYWQgZGUgbG9zIHNhYmlvcywgcGVybyB5byBsYSBjb25vemNvIHBvciBtw6FzIG5vbWJyZXMu
haW/Bw,,W0xlaXppXQpTaGUncyB0aGUgSmV3ZWwgb2YgTWlkZ2FyZCwgdGhlIEhlYXJ0IG9mIE1pZGdhcmQsIHRoYXQgZXZlcnlvbmUgbXVzdCBzZWUgYXQgbGVhc3Qgb25jZSBpbiB0aGVpciBsaWZlIHRpbWUuCklmIGFueW9uZSBhc2tlZCBtZSB3aGVyZSBJIHRob3VnaHQgTWlkZ2FyZCdzIGZ1dHVyZSBsaWVkLCBJJ2QgcG9pbnQgYXQgdGhlIHJlc3BsZW5kZW50IGNpdHksIEp1bm8sIHdpdGhvdXQgaGVzaXRhdGlvbi4=,,,,,W05hbGFuZHJvXQpBIEpvaWEgZGUgTWlkZ2FyZCwgbyBDb3Jhw6fDo28gZGUgTWlkZ2FyZCEKU2UgYWxndcOpbSBtZSBwZXJndW50YXIgcXVhbCDDqSBhIG1lbGhvciBjaWRhZGUsIGRpcmVpIHF1ZSDDqSBhIGVzcGzDqm5kaWRhIGNpZGFkZSBkZSBKdW5vLg==,,W0xhenldCsKhTGEgSm95YSBkZSBNaWRnYXJkLCBlbCBDb3JhesOzbiBkZSBNaWRnYXJkIQpTaSBtZSBwcmVndW50YW4gY3XDoWwgZXMgbGEgbWVqb3IgY2l1ZGFkLCBkaXLDqSBxdWUgZXMgbGEgZXNwbMOpbmRpZGEgY2l1ZGFkIGRlIEp1bm8u
hqW/Bw,,TGVpemksIHRoYXQncyBlbm91Z2gu,,,,,VmFtb3Mgdm9sdGFyIGFvIGFzc3VudG8/,,wr9Wb2x2ZW1vcyBhbCB0ZW1hPw==
h6W/Bw,,T29wcywgSSBkaWQgaXQgYWdhaW4uIEhlaCBoZWgu,,,,,Rm9pIG1hbC4gSGVoIGhlaCBoZWgu,,UGVyZMOzbi4gSmUsIGplLCBqZS4=
iKW/Bw,,W0xlaXppXQpBbnl3YXksIGEgdG91cmlzdCBncm91cCBpcyB0aGUgYmVzdCB3aGVuIGl0IGNvbWVzIHRvIHRyYXZlbGluZyBpbmNvZ25pdG8uIApQZW9wbGUgdXN1YWxseSBkb24ndCBsb29rIGF0IGEgYnVuY2ggb2YgdG91cmlzdHMgdG9vIGNsb3NlbHksIHJpZ2h0Pw==,,,,,W05hbGFuZHJvXQpFbmZpbSwgdmFtb3MgZmluZ2lyIHNlcm1vcyB0dXJpc3RhcyBwYXJhIHBhc3Nhcm1vcyBkZXNwZXJjZWJpZG9zLiBGYXJlaSB1bWEgdG91ciBlc3BlY2lhbCBwYXJhIG8gc3IuIFZJUCE=,,W0xhenldCkVuIGZpbiwgZmluZ2lyZW1vcyBzZXIgdHVyaXN0YXMgcGFyYSBwYXNhciBkZXNhcGVyY2liaWRvcy4gwqFIYXLDqSB1biB0b3VyIGVzcGVjaWFsIHBhcmEgZWwgc3IuIFZJUCE=
iaW/Bw,,QSBzcGVjaWFsIGpvdXJuZXkgZm9yIE1yLiBWSVAsIGFuZCBNci4gVklQIG9ubHkhIFdlJ2xsIGRvIG91ciBiZXN0IHRvIHNlcnZlIHlvdS4=,,,,,UXVlbSBzdXNwZWl0YXJpYSBkZSB0dXJpc3Rhcz8=,,wr9RdWnDqW4gc29zcGVjaGFyw61hIGRlIHR1cmlzdGFzPw==
iqW/Bw,,W0theWFdCkRvIHdlIHJlYWxseSBoYXZlIHRvIGRvIHRoaXM/IApXZSBjb3VsZCBqdXN0IGdvIGNoZWNrIGF0IHRoZSBoZWFkcXVhcnRlcnMu,,,,,W0theWFdClByZWNpc2Ftb3MgZmF6ZXIgaXNzbz8gUG9kw61hbW9zIHPDsyBpciBwYXJhIGEgUmVrZW5iZXIgZSBpbnZlc3RpZ2FyLg==,,W0theWFdCsK/RXMgbmVjZXNhcmlvPyBQb2Ryw61hbW9zIGlyIGRpcmVjdG8gYSBSZWtlbmJlciBlIGludmVzdGlnYXIu
i6W/Bw,,W0xlaXppXQpUaGVyZSBhcmUgdGhpbmdzIHRoYXQgeW91IGNhbid0IGtub3cgdGhyb3VnaCBmaWxlcy4gCk1yLiBWSVAsIGhvdyB3b3VsZCB5b3UgZXhwbGFpbiB5ZWxsb3cgdG8gc29tZW9uZSB3aG8gZG9lc24ndCBrbm93IHdoYXQgeWVsbG93IGlzPw==,,,,,W05hbGFuZHJvXQpUZW0gY29pc2FzIHF1ZSBvcyBkb2N1bWVudG9zIGNvcnBvcmF0aXZvcyBuw6NvIG1vc3RyYW0sIHNyLiBWSVAuIENvbW8gdm9jw6ogZXhwbGljYXJpYSBvIGFtYXJlbG8gcGFyYSBhbGd1w6ltIHF1ZSBuw6NvIGNvbmhlY2UgbyBhbWFyZWxvPw==,,W0xhenldCkhheSBjb3NhcyBxdWUgbG9zIGRvY3VtZW50b3MgY29ycG9yYXRpdm9zIG5vIG11ZXN0cmFuLCBzci4gVklQLiDCv0PDs21vIGV4cGxpY2Fyw61hIGVsIGNvbG9yIGFtYXJpbGxvIGEgYWxndWllbiBxdWUgbm8gY29ub2NlIGVsIGFtYXJpbGxvPw==
jKW/Bw,,W0xlaXppXQpXb3VsZG4ndCBpdCBiZSBtb3JlIGVmZmljaWVudCB0byBzaG93IGhpbSBhIHllbGxvdyBmbG93ZXI/,,,,,W05hbGFuZHJvXQpOw6NvIHNlcmlhIG1haXMgcsOhcGlkbyBsZXbDoS1sbyBwYXJhIGZvcmEgZSBtb3N0cmFyLWxoZSBhIGZsb3IgYW1hcmVsYSBlIGV4cGxpY2FyIHF1ZSDDqSBhbWFyZWxhPw==,,W0xhenldCsK/Tm8gc2Vyw61hIG3DoXMgcsOhcGlkbyBzYWNhcmxvIGFmdWVyYSwgbW9zdHJhcmxlIGxhIGZsb3IgYW1hcmlsbGEgeSBkZWNpcmxlIHF1ZSBlcyBhbWFyaWxsYT8=
jaW/Bw,,W0theWFdCllvdSBtZWFuLCBzb21lIHRoaW5ncyBhcmUgbm90IHdyaXR0ZW4gaW4gdGhlaXIgZmlsZXMuIApUaGlzIGlzIHdoeSB5b3UgYnJvdWdodCBtZSBvdXQgaGVyZS4=,,,,,W0theWFdClZvY8OqIHF1ZXIgZGl6ZXIgcXVlIGjDoSBtdWl0YXMgY29pc2FzIGZvcmEgZGVzc2UgZG9jdW1lbnRvIHF1ZSBldSBuw6NvIHNlaS4gRXNzYSDDqSBhIHJhesOjbyBwZWxhIHF1YWwgdm9jw6ogbWUgdHJvdXhlIGFxdWku,,W0theWFdClF1aWVyZXMgZGVjaXIgcXVlIGhheSBtdWNoYXMgY29zYXMgZnVlcmEgZGUgZXNlIGRvY3VtZW50byBxdWUgbm8gc8OpLiBFc2EgZXMgbGEgcmF6w7NuIHBvciBsYSBxdWUgbWUgdHJham8gYXF1w60u
jqW/Bw,,W0xlaXppXQpJdCBpcy4gCkFyZSB5b3UgdXBzZXQ/IApCdXQgaXQncyB0aGUgdHJ1dGguIApNeSBtb3V0aCBvbmx5IHNwZWFrcyB0aGUgdHJ1dGgu,,,,,W05hbGFuZHJvXQpTaW0uIFZvY8OqIGVzdMOhIGNoYXRlYWRvPyBNYXMgw6kgdmVyZGFkZS4gRXNzYSBib2NhIHPDsyBmYWxhIGEgdmVyZGFkZS4=,,W0xhenldClPDrS4gwr9Fc3TDoXMgbW9sZXN0bz8gUGVybyBlcyB2ZXJkYWQuIEVzdGEgYm9jYSBzb2xvIGRpY2UgbGEgdmVyZGFkLg==
j6W/Bw,,W0theWFdCkkgdW5kZXJzdGFuZC4gCk5vdyB0aGF0IHdlIGNsYXJpZmllZCB0aGF0LCB3ZSBubyBsb25nZXIgaGF2ZSB0byB3YXN0ZSBvdXIgdGltZSBhcmd1aW5nIHdpdGggZWFjaCBvdGhlci4=,,,,,W0theWFdCkV1IGNvbXByZWVuZG8uIEFnb3JhIHF1ZSBub3MgZW50ZW5kZW1vcywgcG9kZW1vcyBwYXJhciBkZSBkaXNjdXRpci4=,,W0theWFdCkxvIGNvbXByZW5kby4gQWhvcmEgcXVlIG5vcyBlbnRlbmRlbW9zLCBwb2RlbW9zIGRlamFyIGRlIGRpc2N1dGlyLg==
kKW/Bw,,TXIuIFZpY2UgUHJlc2lkZW50PyBBcmUgeW91IHNlcmlvdXM/,,,,,TyBzZW5ob3IgZXN0w6EgZmFsYW5kbyBzw6lyaW8/,,wr9IYWJsYSBlbiBzZXJpbz8=
kaW/Bw,,RG8geW91IG5vdCBzdGlsbCBnZXQgaXQ/IElmIHlvdSBkb24ndCBoYXZlIGdvb2QgY29tcHJlaGVuc2lvbiwgeW91IHNob3VsZCBhdCBsZWFzdCBoYXZlIGdvb2QgbWVtb3J5Lg==,,,,,Q2xhcm8gcXVlIGVsZSBlc3TDoSE=,,wqFDbGFybyBxdWUgc8OtIQ==
