AFkAAQ,,R2F0ZQ==,,,,,R2F0ZWk=,,R2F0ZWk=
J1kAAQ,,W0RpY2VdClNvIHlvdSBhcmUgY3VyaW91cyBhYm91dCBUaGFuYXRvcyBUb3dlci4KVGhpcyBwbGFjZSwgJ1RoYW5hdG9zIFRvd2VyJywgaXMgYSBzdHJ1Y3R1cmUgd2hvc2Ugb3JpZ2luIGlzIHVua25vd24sIHdpdGggbm8gb25lIGtub3dpbmcgZXhhY3RseSB3aG8gYnVpbHQgaXQsIHdoZW4sIG9yIHdoeS4=,,,,,W0RpdHplXQpWb2PDqiBxdWVyIHNhYmVyIHNvYnJlIFRvcnJlIGRlIFRoYW5hdG9zPwpCZW0sIGEgb3JpZ2VtIGRlc3NhIHRvcnJlIGUgc3VhIGZ1bsOnw6NvIMOpIHRvdGFsbWVudGUgZGVzY29uaGVjaWRhIHBhcmEgbsOzcy4=,,W0RpdHplXQrCv1F1aWVyZXMgc2FiZXIgc29icmUgbGEgVG9ycmUgZGUgVGhhbmF0b3M/CkJ1ZW5vLCBlbCBvcmlnZW4gZGUgZXN0YSB0b3JyZSB5IHN1IGZ1bmNpw7NuIHNvbiB0b3RhbG1lbnRlIGRlc2Nvbm9jaWRvcyBwYXJhIG5vc290cm9zLg==
KFkAAQ,,W0RpY2VdClRoZXJlIGFyZSBzZXZlcmFsIHRoZW9yaWVzIGFib3V0IGl0LCBzdWNoIGFzICdJdCB3YXMgYnVpbHQgYnkgZGVtb25zIG91dCBvZiBuZWNlc3NpdHkgZHVyaW5nIHRoZSB3YXIgMSwwMDAgeWVhcnMgYWdvLicsICdJdCB3YXMgc29tZSB3aXphcmQncyBsYWJvcmF0b3J5LicsIG9yICdBIGhlcm8gYnVpbHQgaXQgaW4gY29tbWVtb3JhdGlvbiBhZnRlciBzbGF5aW5nIHRoZSBEZW1vbiBLaW5nLicsIGFuZCBzbyBvbi4uLg==,,,,,W0RpdHplXQpIw6EgdsOhcmlhcyBoaXDDs3Rlc2VzLCB0YWlzIGNvbW86ICdDb25zdHJ1w61kYSBwZWxvcyBkZW3DtG5pb3MgZHVyYW50ZSBhIGd1ZXJyYSBkZSAxLjAwMCBhbm9zJywgJ2VyYSBvYmpldG8gZGUgcGVzcXVpc2EgZGUgYWxndW0gU8OhYmlvJywgJ2NvbnN0cnXDrWRhIGVtIGhvbWVuYWdlbSBhbyBoZXLDs2kgcXVlIGRlcnJvdG91IG8gRGVtw7RuaW8gUmVpJywgZSBhc3NpbSBwb3IgZGlhbnRlLi4u,,W0RpdHplXQpIYXkgdmFyaWFzIGhpcMOzdGVzaXMsIHRhbGVzIGNvbW86ICdDb25zdHJ1aWRhIHBvciBsb3MgZGVtb25pb3MgZHVyYW50ZSBsYSBndWVycmEgZGUgMSwwMDAgYcOxb3MnLCAnZXJhIG9iamV0byBkZSBpbnZlc3RpZ2FjacOzbiBkZSBhbGfDum4gU2FiaW8nLCAnY29uc3RydWlkYSBlbiBob25vciBhbCBow6lyb2UgcXVlIGRlcnJvdMOzIGFsIFJleSBEZW1vbmlvJywgeSBhc8OtIHN1Y2VzaXZhbWVudGUuLi4=
KVkAAQ,,W0RpY2VdCkJ1dCBubyBvbmUga25vd3MgaXRzIGV4YWN0IG9yaWdpbi4gV2UgYXQgUmVrZW5iZXIgaGF2ZSBjb250aW51ZWQgZXhjYXZhdGlvbiBhbmQgcmVzZWFyY2ggZm9yIGEgbG9uZyB0aW1lLCBidXQgaGF2ZSB5ZXQgdG8gZGlzY292ZXIgaXRzIHRydWUgb3JpZ2lucy4=,,,,,W0RpdHplXQpUb2RhdmlhLCBuaW5ndcOpbSB0ZW0gY2VydGV6YS4gQSBDb3Jwb3Jhw6fDo28gUmVrZW5iZXIgaW5pY2lvdSBvIHByb2Nlc3NvIGRlIGVzY2F2YcOnw6NvIGUgcGVzcXVpc2EgYSBwb3VjbyB0ZW1wbywgcG9yIGlzc28gYWluZGEgbsOjbyB0ZW1vcyB0b2RhcyBhcyByZXNwb3N0YXMu,,W0RpdHplXQpTaW4gZW1iYXJnbywgbmFkaWUgZXN0w6Egc2VndXJvLiBMYSBDb3Jwb3JhY2nDs24gUmVrZW5iZXIgaW5pY2nDsyBlbCBwcm9jZXNvIGRlIGV4Y2F2YWNpw7NuIGUgaW52ZXN0aWdhY2nDs24gaGFjZSBwb2NvIHRpZW1wbywgcG9yIGVzbyBhw7puIG5vIHRlbmVtb3MgdG9kYXMgbGFzIHJlc3B1ZXN0YXMu
KlkAAQ,,W0RpY2VdCk1vcmVvdmVyLCBtYW55IHBlb3BsZSBoYXZlIGJlZW4gc2FjcmlmaWNlZCBpbiBiYXR0bGVzIGFnYWluc3QgdGhlIG1vbnN0ZXJzIGFwcGVhcmluZyBpbnNpZGUgdGhlIHRvd2VyLCBtYWtpbmcgcmVzZWFyY2ggZGlmZmljdWx0Lg==,,,,,W0RpdHplXQpFIHBhcmEgY29tcGxldGFyLCBow6EgbW9uc3Ryb3MgZW0gcXVhc2UgdG9kb3Mgb3MgYW5kYXJlcyBkYSB0b3JyZSwgZGlmaWN1bHRhbmRvIG8gdHJhYmFsaG8gZG9zIGFycXVlw7Nsb2dvcy4=,,W0RpdHplXQpZIHBhcmEgY29tcGxldGFyLCBoYXkgbW9uc3RydW9zIGVuIGNhc2kgdG9kb3MgbG9zIHBpc29zIGRlIGxhIHRvcnJlLCBkaWZpY3VsdGFuZG8gZWwgdHJhYmFqbyBkZSBsb3MgYXJxdWXDs2xvZ29zLg==
K1kAAQ,,W0RpY2VdCkhvd2V2ZXIsIHdlIGF0IFJla2VuYmVyIHdlcmUgY29udmluY2VkIHRoYXQgdGhpcyBwbGFjZSwgJ1RoYW5hdG9zIFRvd2VyJywgaGVsZCBudW1lcm91cyBzZWNyZXRzLCBhbmQganVkZ2VkIHRoYXQgdGhvc2Ugc2VjcmV0cyB3b3VsZCBwbGF5IGEgbWFqb3Igcm9sZSBpbiB0aGUgYWR2YW5jZW1lbnQgb2YgaHVtYW5pdHksIHNvIHdlIHByb2NlZWRlZCB3aXRoIGV4Y2F2YXRpb24gZGVzcGl0ZSB0aGUgc2FjcmlmaWNlcy4=,,,,,W0RpdHplXQpBIENvcnBvcmHDp8OjbyBSZWtlbmJlciBhY3JlZGl0YSBxdWUgYSBUb3JyZSBndWFyZGEgbXVpdG9zIHNlZ3JlZG9zIHF1ZSBhIGh1bWFuaWRhZGUgZGVzY29uaGVjZS4gUG9yIGlzc28sIHRvZG8gbyBzYWNyaWbDrWNpbyBkb3MgdHJhYmFsaGFkb3JlcyBkYSB0b3JyZSBuw6NvIHNlcsOhIGVtIHbDo28u,,W0RpdHplXQpMYSBDb3Jwb3JhY2nDs24gUmVrZW5iZXIgY3JlZSBxdWUgbGEgVG9ycmUgZ3VhcmRhIG11Y2hvcyBzZWNyZXRvcyBxdWUgbGEgaHVtYW5pZGFkIGRlc2Nvbm9jZS4gUG9yIGVzbywgdG9kbyBlbCBzYWNyaWZpY2lvIGRlIGxvcyB0cmFiYWphZG9yZXMgZGUgbGEgdG9ycmUgbm8gc2Vyw6EgZW4gdmFuby4=
LFkAAQ,,W0RpY2VdCkFzIGEgcmVzdWx0LCBkZXZlbG9wbWVudCBvZiB0aGUgMXN0IGFuZCAybmQgZmxvb3JzIG91dCBvZiB0aGUgdG90YWwgMTIgZmxvb3JzIGhhcyBiZWVuIGNvbXBsZXRlZCwgYW5kIHdlIGFyZSBhY2NlbGVyYXRpbmcgZnVydGhlciBkZXZlbG9wbWVudCBvZiB0aGUgM3JkIGFuZCA0dGggZmxvb3JzLg==,,,,,W0RpdHplXQoyIGRlIDEyIGFuZGFyZXMgasOhIGZvcmFtIHJlc3RhdXJhZG9zLiBPIDPCuiBlIG8gNMK6IGFuZGFyIGVzdMOjbyBlbSBmYXNlIGRlIGRlc2Vudm9sdmltZW50byBlIHJlZXN0cnV0dXJhw6fDo28u,,W0RpdHplXQoyIGRlIDEyIHBpc29zIHlhIGhhbiBzaWRvIHJlc3RhdXJhZG9zLiBFbCAzLsK6IHkgNC7CuiBwaXNvIGVzdMOhbiBlbiBmYXNlIGRlIGRlc2Fycm9sbG8geSByZWVzdHJ1Y3R1cmFjacOzbi4=
LVkAAQ,,W0RpY2VdCkFsdGhvdWdoIHBvd2VyZnVsIG1vbnN0ZXJzIGhhdmUgbWFkZSB0aGluZ3MgZGlmZmljdWx0LCBtYW55IHBlb3BsZSBoYXZlIHZvbHVudGVlcmVkIGZvciBtb25zdGVyIGV4dGVybWluYXRpb24sIGFuZCB3ZSBoYXZlIGFjaGlldmVkIGEgZ3JlYXQgZGVhbC4=,,,,,W0RpdHplXQpBcGVzYXIgZGFzIGRpZmljdWxkYWRlcywgdsOhcmlvcyBhdmVudHVyZWlyb3MgZXN0w6NvIHNlIGNhbmRpZGF0YW5kbyBwYXJhIGFqdWRhci4gRmljYW1vcyBhZ3JhZGVjaWRvcy4=,,W0RpdHplXQpBIHBlc2FyIGRlIGxhcyBkaWZpY3VsdGFkZXMsIHZhcmlvcyBhdmVudHVyZXJvcyBzZSBlc3TDoW4gcG9zdHVsYW5kbyBwYXJhIGF5dWRhci4gRXN0YW1vcyBhZ3JhZGVjaWRvcy4=
LlkAAQ,,W0RpY2VdCkF0IHRoaXMgcmF0ZSwgZGV2ZWxvcG1lbnQgb2YgdGhlIDNyZCBhbmQgNHRoIGZsb29ycyBzaG91bGQgYmUgY29tcGxldGVkIGJlZm9yZSBsb25nLg==,,,,,W0RpdHplXQpTZSBjb250aW51YXIgYXNzaW0sIGEgcmVzdGF1cmHDp8OjbyBkbyAzwrogZSA0wrogYW5kYXIgbsOjbyBkZXZlIGRlbW9yYXIu,,W0RpdHplXQpTaSBzaWd1ZSBhc8OtLCBsYSByZXN0YXVyYWNpw7NuIGRlbCAzLsK6IHkgNC7CuiBwaXNvIG5vIGRlYmVyw61hIGRlbW9yYXIu
L1kAAQ,,TW9uc3RlcnM/,,,,,TW9uc3Ryb3MgbmEgVG9ycmU/,,wr9Nb25zdHJ1b3MgZW4gbGEgVG9ycmU/
MFkAAQ,,TW9uc3RlciBleHRlcm1pbmF0aW9uPw==,,,,,Q29tbyBwb3NzbyBhanVkYXI/,,wr9Dw7NtbyBwdWVkbyBheXVkYXI/
MVkAAQ,,Li4uLi4uLi4u,,,,,Li4uLi4uLi4u,,Li4uLi4uLi4u
MlkAAQ,,W0RpY2VdClllcy4gVGhleSBiZWdhbiBhcHBlYXJpbmcgc2hvcnRseSBhZnRlciB3ZSBzdGFydGVkIGRldmVsb3BpbmcgdGhpcyBwbGFjZS4=,,,,,W0RpdHplXQpJc3NvLiBRdWFuZG8gY29tZcOnYW1vcyBhIHJlc3RhdXJhw6fDo28gZGEgdG9ycmUsIGFwYXJlY2VyYW0gdsOhcmlvcyBtb25zdHJvcy4=,,W0RpdHplXQpTw60uIEN1YW5kbyBjb21lbnphbW9zIGxhIHJlc3RhdXJhY2nDs24gZGUgbGEgdG9ycmUsIGFwYXJlY2llcm9uIHZhcmlvcyBtb25zdHJ1b3Mu
M1kAAQ,,W0RpY2VdCldoYXQgaXMgc3RyYW5nZSBpcyB0aGF0IHdlIGRvIG5vdCBrbm93IHdoZXJlIHRoZXkgY29tZSBmcm9tLgpBbmQgdGhleSBoYXZlIGZvcm1zIHRoYXQgcmVzZW1ibGUgYW5nZWxzLg==,,,,,W0RpdHplXQpPIG1haXMgZXN0cmFuaG8gw6kgcXVlIG7Do28gc2FiZW1vcyBkZSBvbmRlIGVsZXMgdsOqbS4KRSB0YW1iw6ltIHF1ZSBlbGVzIHTDqm0gdW1hIGFwYXLDqm5jaWEgc2VtZWxoYW50ZSDDoCBkZSBhbmpvcy4=,,W0RpdHplXQpMbyBtw6FzIGV4dHJhw7FvIGVzIHF1ZSBubyBzYWJlbW9zIGRlIGTDs25kZSB2aWVuZW4uClkgdGFtYmnDqW4gcXVlIHRpZW5lbiB1bmEgYXBhcmllbmNpYSBzaW1pbGFyIGEgbGEgZGUgw6FuZ2VsZXMu
NFkAAQ,,W0RpY2VdClNvIHNvbWUgd2hvIGhhdmUgc2VlbiB0aGVtIHNheSB0aGV5IGFyZSBtZXNzZW5nZXJzIG9mIEdvZCwgYnV0IHdoeSB3b3VsZCBHb2QncyBtZXNzZW5nZXJzIGtpbGwgdXMgaHVtYW5zPw==,,,,,W0RpdHplXQpIb3V2ZSBxdWVtIGRpc3Nlc3NlIHF1ZSBlcmFtIG1lbnNhZ2Vpcm9zIGRpdmlub3MsIG1hcyBuw6NvIGhhdmVyaWEgbW90aXZvIHBhcmEgbWVuc2FnZWlyb3MgZGl2aW5vcyBtYXRhcmVtIG7Ds3MsIGh1bWFub3MsIG7Do28gw6k/,,W0RpdHplXQpIdWJvIHF1aWVuIGRpam8gcXVlIGVyYW4gbWVuc2FqZXJvcyBkaXZpbm9zLCBwZXJvIG5vIGhhYnLDrWEgbW90aXZvIHBhcmEgcXVlIG1lbnNhamVyb3MgZGl2aW5vcyBub3MgbWF0YXJhbiwgwr9ubz8=
NVkAAQ,,W0RpY2VdClNvIHdlIGFza2VkIHRoZSBTYWdlIEFzc29jaWF0aW9uIG9mIEp1bm8gdG8gaW52ZXN0aWdhdGUsIGFuZCBmb3VuZCBvdXQgdGhhdCB0aGV5IGFyZSBtZXJlbHkgbW9uc3RlcnMgdGFraW5nIHRoZSBzaGFwZSBvZiBhbmdlbHMu,,,,,W0RpdHplXQpQb3IgaXNzbywgcGVkaW1vcyB1bWEgaW52ZXN0aWdhw6fDo28gw6AgQXNzb2NpYcOnw6NvIGRlIFPDoWJpb3MgZGUgSnVubyBlIGRlc2NvYnJpbW9zIHF1ZSBlbGVzIG7Do28gcGFzc2FtIGRlIG1vbnN0cm9zIGNvbSBhcGFyw6puY2lhIGFuZ2VsaWNhbC4=,,W0RpdHplXQpQb3IgZXNvLCBwZWRpbW9zIHVuYSBpbnZlc3RpZ2FjacOzbiBhIGxhIEFzb2NpYWNpw7NuIGRlIFNhYmlvcyBkZSBKdW5vIHkgZGVzY3Vicmltb3MgcXVlIG5vIHNvbiBtw6FzIHF1ZSBtb25zdHJ1b3MgY29uIGFwYXJpZW5jaWEgYW5nZWxpY2FsLg==
NlkAAQ,,W0RpY2VdClRodXMsIHdlIGJlZ2FuIGZpZ2h0aW5nIHRoZW0gbW9yZSBmb3JjZWZ1bGx5LCBhbmQgdGhhdCBiYXR0bGUgaGFzIGNvbnRpbnVlZCB0byB0aGlzIGRheS4=,,,,,W0RpdHplXQpFbnTDo28sIGrDoSBxdWUgbsOjbyBlcmFtIGFuam9zIGRlIHZlcmRhZGUsIG9wdGFtb3MgcGVkaXIgYW9zIGF2ZW50dXJlaXJvcyBxdWUgZGVycm90YXNzZW0gZXNzZXMgbW9uc3Ryb3Mu,,W0RpdHplXQpFbnRvbmNlcywgY29tbyBubyBlcmFuIMOhbmdlbGVzIGRlIHZlcmRhZCwgb3B0YW1vcyBwb3IgcGVkaXIgYSBsb3MgYXZlbnR1cmVyb3MgcXVlIGRlcnJvdGFyYW4gYSBlc29zIG1vbnN0cnVvcy4=
N1kAAQ,,W0RpY2VdCkkgZG9uJ3Qga25vdyB3aGV0aGVyIHlvdSBoZWFyZCBpdCBmcm9tIHRoZSBndWlkZSBhdCB0aGUgZW50cmFuY2UsIGJ1dCB3ZSBhdCBSZWtlbmJlciBhcmUgcmVjcnVpdGluZyBjb250cmFjdCB3b3JrZXJzIGZvciB0aGUgZXhjYXZhdGlvbiBhbmQgZGV2ZWxvcG1lbnQgb2YgdGhlIDNyZCBhbmQgNHRoIGZsb29ycyBhbmQgdGhlIGZsb29ycyBhYm92ZSB0aGVtLg==,,,,,W0RpdHplXQpCb20sIGEgUmVrZW5iZXIgZXN0w6EgIGNvbnRyYXRhbmRvIGF2ZW50dXJlaXJvcyBwYXJhIGFqdWRhciBuYSByZXN0YXVyYcOnw6NvIGRvIDPCuiBlIDTCuiBhbmRhciBkYSBUb3JyZS4gQ29tbyB2b2PDqiBkZXZlIHNhYmVyLCBvIGNvbnRyYXRvIMOpIHRlbXBvcsOhcmlvLg==,,W0RpdHplXQpCdWVubywgUmVrZW5iZXIgZXN0w6EgY29udHJhdGFuZG8gYXZlbnR1cmVyb3MgcGFyYSBheXVkYXIgZW4gbGEgcmVzdGF1cmFjacOzbiBkZWwgMy7CuiB5IDQuwrogcGlzbyBkZSBsYSBUb3JyZS4gQ29tbyBkZWJlcyBzYWJlciwgZWwgY29udHJhdG8gZXMgdGVtcG9yYWwu
OFkAAQ,,W0RpY2VdClRoZXkgYXJlIGEga2luZCBvZiBtZXJjZW5hcnkuIFRob3NlIHdobyBzaWduIGEgY29udHJhY3Qgd2l0aCB1cyB3aWxsIGJlIGdyYW50ZWQgYWNjZXNzIHRvIGZsb29ycyBhYm92ZSB0aGUgM3JkIGZsb29yLCB3aGljaCBhcmUgcmVzdHJpY3RlZCB0byBvcmRpbmFyeSBwZW9wbGUu,,,,,W0RpdHplXQpRdWVtIGFzc2luYSBvIGNvbnRyYXRvIHRlbSBhY2Vzc28gYW9zIGFuZGFyZXMgMyBlIDQgcXVlIGF0dWFsbWVudGUgZXN0w6NvIHJlc3RyaXRvcyBwYXJhIG9zIHR1cmlzdGFzIGUgY3VyaW9zb3Mu,,W0RpdHplXQpRdWllbiBmaXJtYSBlbCBjb250cmF0byB0aWVuZSBhY2Nlc28gYSBsb3MgcGlzb3MgMyB5IDQgcXVlIGFjdHVhbG1lbnRlIGVzdMOhbiByZXN0cmluZ2lkb3MgcGFyYSB0dXJpc3RhcyB5IGN1cmlvc29zLg==
OVkAAQ,,W0RpY2VdCkFsc28sIGlmIHlvdSBicmluZyB1cyBwcm9vZiB0aGF0IHlvdSBoYXZlIGRlYWx0IHdpdGggdGhvc2UgbW9uc3RlcnMsIHdlIHByb3ZpZGUgcmV3YXJkcyBhY2NvcmRpbmdseS4=,,,,,W0RpdHplXQpPIHBhZ2FtZW50byBzw7Mgc2Vyw6EgZmVpdG8gc2Ugdm9jw6ogdHJvdXhlciBwcm92YXMgZGUgcXVlIGxpZG91IGNvbSBvcyBtb25zdHJvcy4=,,W0RpdHplXQpFbCBwYWdvIHNvbG8gc2UgaGFyw6Egc2kgdHJhZXMgcHJ1ZWJhcyBkZSBxdWUgdGUgZW5mcmVudGFzdGUgYSBsb3MgbW9uc3RydW9zLg==
OlkAAQ,,W0RpY2VdCklmIHlvdSBhcmUgdGhpbmtpbmcgb2YgYXBwbHlpbmcsIHBsZWFzZSBhcHBseSB0aHJvdWdoIG1lLg==,,,,,W0RpdHplXQpTZSBlc3RpdmVyIHBlbnNhbmRvIGVtIHNlIGNhbmRpZGF0YXIsIGZhw6dhIHN1YSBpbnNjcmnDp8OjbyBjb21pZ28u,,W0RpdHplXQpTaSBlc3TDoXMgcGVuc2FuZG8gZW4gcG9zdHVsYXJ0ZSwgaGF6IHR1IGluc2NyaXBjacOzbiBjb25taWdvLg==
O1kAAQ,,W0RpY2VdClRoZSBkZXZlbG9wbWVudCBvZiB0aGVzZSB1cHBlciBmbG9vcnMgcmVxdWlyZXMgbWFueSBwZW9wbGUsIHNvIHdlIGFyZSBhY2NlcHRpbmcgb3RoZXIgYXBwbGljYW50cyBhcyB3ZWxsLiBJZiB5b3UgYXJlIGludGVyZXN0ZWQsIHdoeSBub3QgYXBwbHk/,,,,,W0RpdHplXQpSZXN0YXVyYXIgYW5kYXJlcyBzdXBlcmlvcmVzIG5lY2Vzc2l0YSBkZSBtdWl0byBlc2ZvcsOnbyBlIHRyYWJhbGhhZG9yZXMgZm9ydGVzLiBTZSBxdWVyIGFjZXNzYXIgb3MgYW5kYXJlcywgcG9yIHF1ZSBuw6NvIHRyYWJhbGhhIGNvbm9zY28/,,W0RpdHplXQpSZXN0YXVyYXIgcGlzb3Mgc3VwZXJpb3JlcyByZXF1aWVyZSBtdWNobyBlc2Z1ZXJ6byB5IHRyYWJhamFkb3JlcyBmdWVydGVzLiBTaSBxdWllcmVzIGFjY2VkZXIgYSBsb3MgcGlzb3MsIMK/cG9yIHF1w6kgbm8gdHJhYmFqYXMgY29uIG5vc290cm9zPw==
PFkAAQ,,TWF5YmUgbmV4dCB0aW1lLg==,,,,,RmljYSBwcmEgcHLDs3hpbWEu,,RMOpamFsbyBwYXJhIGxhIHByw7N4aW1hLg==
PVkAAQ,,SSB3aWxsIGFwcGx5IG5vdy4=,,,,,QWNlaXRvIHRyYWJhbGhhci4=,,QWNlcHRvIHRyYWJhamFyLg==
PlkAAQ,,W0RpY2VdClRoZSByZWdpc3RyYXRpb24gZGVzayBpcyBhbHdheXMgb3Blbiwgc28gaWYgeW91IGNoYW5nZSB5b3VyIG1pbmQsIHBsZWFzZSBjb21lIHNlZSB1cyBhZ2Fpbi4=,,,,,W0RpdHplXQpBIGluc2NyacOnw6NvIGVzdMOhIHNlbXByZSBhYmVydGEsIGVudMOjbywgc2UgbXVkYXIgZGUgaWRlaWEsIHZvbHRlIGEgbWUgcHJvY3VyYXIu,,W0RpdHplXQpMYSBpbnNjcmlwY2nDs24gc2llbXByZSBlc3TDoSBhYmllcnRhLCBhc8OtIHF1ZSBzaSBjYW1iaWFzIGRlIG9waW5pw7NuLCB2dWVsdmUgYSBidXNjYXJtZS4=
P1kAAQ,,W0RpY2VdClRoYW5rIHlvdSBmb3IgYXBwbHlpbmchIFRoZW4sIHdvdWxkIHlvdSBmaWxsIG91dCB0aGlzIGRvY3VtZW50PwpJdCBpcyBsaWtlIGEgc2ltcGxlIHBsZWRnZS4=,,,,,W0RpdHplXQpPaCwgb2JyaWdhZGEuIFBvciBmYXZvciwgcG9kZXJpYSBhc3NpbmFyIG8gZm9ybXVsw6FyaW8/CsOJIG8gZG9jdW1lbnRvIGRlIGNvbnRyYXRhw6fDo28u,,W0RpdHplXQpPaCwgZ3JhY2lhcy4gwr9Qb2Ryw61hcyBmaXJtYXIgZWwgZm9ybXVsYXJpbz8KRXMgZWwgZG9jdW1lbnRvIGRlIGNvbnRyYXRhY2nDs24u
QFkAAQ,,W0RpY2VdCkFoLi4geW91ciBuYW1lLi4uLi4KezB9LCBjb3JyZWN0Pw==,,,,,W0RpdHplXQpIbS4uLiBvIHNldSBub21lIMOpLi4uLi4KezB9LCBjZXJ0bz8=,,W0RpdHplXQpIbS4uLiB0dSBub21icmUgZXMuLi4uLgp7MH0sIMK/Y2llcnRvPw==
QVkAAQ,,WWVz,,,,,U2ltLg==,,U8OtLg==
QlkAAQ,,W0RpY2VdClRoZW4gcGxlYXNlIHJlYWQgdGhlIGRvY3VtZW50IGFuZCBzaWduIGl0Lg==,,,,,W0RpdHplXQpFbnTDo28sIHBvciBmYXZvciwgbGVpYSBvIGRvY3VtZW50byBlIGFzc2luZS4=,,W0RpdHplXQpFbnRvbmNlcywgcG9yIGZhdm9yLCBsZWUgZWwgZG9jdW1lbnRvIHkgZsOtcm1hbG8u
Q1kAAQ,,U2hlIGhhbmRlZCB5b3UgYSBzaGVldCBvZiBwYXBlciBkZW5zZWx5IGZpbGxlZCB3aXRoIHRpbnkgbGV0dGVycy4=,,,,,KlZvY8OqIGNvbWXDp2EgYSBsZXIgbyBjb250cmF0by4q,,KkNvbWllbnphcyBhIGxlZXIgZWwgY29udHJhdG8uKg==
RFkAAQ,,LUNvbnRyYWN0LQoxLiBUaGlzIGNvbnRyYWN0IHNoYWxsIHRha2UgZWZmZWN0IGFzIGEgY29udHJhY3QgYmV0d2VlbiBSZWtlbmJlciAoaGVyZWluYWZ0ZXIgJ0EnKSBhbmQgezB9IChoZXJlaW5hZnRlciAnQicpLgoxLTEuIFRoZSBuYW1lIG9mIHRoaXMgY29udHJhY3Qgc2hhbGwgYmUgcmVmZXJyZWQgdG8gYXMgYSBtZXJjZW5hcnkgY29udHJhY3QgYmV0d2VlbiAnQScgYW5kICdCJy4=,,,,,Jy0gQ29udHJhdG8gZGUgVHJhYmFsaG8gLQoxLiBWw61uY3VsbyBlbXByZWdhdMOtY2lvIGRlIHswfS4KMS0xLiBDb250YXRhbnRlOiBDb3Jwb3Jhw6fDo28gUmVrZW5iZXIu,,Jy0gQ29udHJhdG8gZGUgVHJhYmFqbyAtCjEuIFbDrW5jdWxvIGxhYm9yYWwgZGUgezB9LgoxLTEuIENvbnRyYXRhbnRlOiBDb3Jwb3JhY2nDs24gUmVrZW5iZXIu
RVkAAQ,,Mi4gVGhpcyBjb250cmFjdCBzaGFsbCB0YWtlIGVmZmVjdCB3aGVuIGJvdGggcGFydGllcyBzaWduIHRoZSBjb250cmFjdC4=,,,,,Mi4gQ29udHJhdG8gdsOhbGlkbyBhcMOzcyBhc3NpbmF0dXJhLg==,,Mi4gQ29udHJhdG8gdsOhbGlkbyBkZXNwdcOpcyBkZSBsYSBmaXJtYS4=
RlkAAQ,,My4gUmVzdWx0cyBhY2hpZXZlZCB0aHJvdWdoIG1pc3Npb25zIHNoYWxsIGJlIHZlcmlmaWVkIGJ5IGV2aWRlbmNlIG5vdGlmaWVkIGJ5ICdBJy4KMy0xLiBUaGUgZXZpZGVuY2UgaXMgYXMgZm9sbG93cy4=,,,,,My4gRG8gcGFnYW1lbnRvLgozLTEuIEZlaXRvIGFww7NzIHByb3ZhciBxdWUgdHJhYmFsaG91Lg==,,My4gRGVsIHBhZ28uCjMtMS4gU2UgcmVhbGl6YSBkZXNwdcOpcyBkZSBjb21wcm9iYXIgcXVlIHRyYWJhamFzdGUu
R1kAAQ,,Li4uLi4uLi4KLi4uLi4uLi4uLi4KLi4uLi4uLi4uLi4uLi4=,,,,,Li4uLi4uLi4KLi4uLi4uLi4uLi4KLi4uLi4uLi4uLi4uLi4=,,Li4uLi4uLi4KLi4uLi4uLi4uLi4KLi4uLi4uLi4uLi4uLi4=
SFkAAQ,,MTMuIFRoaXMgY29udHJhY3Qgc2hhbGwgdGFrZSBlZmZlY3Qgb25seSB3aXRoaW4gVGhhbmF0b3MgVG93ZXIgYW5kIHNoYWxsIGhhdmUgbm8gZWZmZWN0IGluIGFueSBvdGhlciBhcmVhLgouLi4uLi4uLi4uLi4uLi4uLi4uCi4uLkFkZGl0aW9uYWxseSwgJ0EnIHByb21pc2VzICdCJyBhIGRpc2NvdW50IG9uIHRoZSA1MDAwIFplbnkgcmVxdWlyZWQgZm9yIGFjY2VzcyB0byBUaGFuYXRvcyBUb3dlci4gQWZ0ZXIgdGhlIGRpc2NvdW50LCB0aGUgZW50cmFuY2UgZmVlIHNoYWxsIGJlIHBlcm1hbmVudGx5IGFwcGxpZWQgYXMgMzAwMCBaZW55Lg==,,,,,MTMuIFbDoWxpZG8gc29tZW50ZSBuYSBUb3JyZSBkZSBUaGFuYXRvcy4KLi4uLi4uLi4uLi4uLi4uLi4uLgouLi4gZGVzY29udG8gbmEgZW50cmFkYSBkZSA1LjAwMCBwYXJhIDMuMDAwIHplbnku,,MTMuIFbDoWxpZG8gc29sbyBlbiBsYSBUb3JyZSBkZSBUaGFuYXRvcy4KLi4uLi4uLi4uLi4uLi4uLi4uLgouLi4gZGVzY3VlbnRvIGVuIGxhIGVudHJhZGEgZGUgNSwwMDAgYSAzLDAwMCB6ZW55Lg==
SVkAAQ,,Li4uLi4uLgouLi4uLi4uLi4uLi4KICAgICAgIFJla2VuYmVyCiAgICAgICB7MH0=,,,,,Li4uLi4uLgouLi4uLi4uLi4uLi4KICAgICAgIFJla2VuYmVyCiAgICAgICB7MH0=,,Li4uLi4uLgouLi4uLi4uLi4uLi4KICAgICAgIFJla2VuYmVyCiAgICAgICB7MH0=
SlkAAQ,,U2lnbiBpdC4=,,,,,QXNzaW5hci4=,,RmlybWFyLg==
S1kAAQ,,RG8gbm90IHNpZ24gaXQu,,,,,TsOjbyBhc3NpbmFyLg==,,Tm8gZmlybWFyLg==
