QA04DA,,RGVtb24=,,,,,RGFpbW9u,,RGVtb24=
aQ04DA,,W0RlbW9uXQpIZSBkb2Vzbid0IGV2ZW4gZGVueSBiZWluZyBjYWxsZWQgbWlzdGVyLiBBbnl3YXkuIFdlJ3JlIGdvaW5nIHRvIGhpdCB0aGUgXjAwMDBDRG1pbmVeMDAwMDAwLg==,,,,,W0RhaW1vbl0KRWxlIG5lbSBuZWdhIHNlciBjaGFtYWRvIGRlIG1vw6dvLiBEZSBxdWFscXVlciBmb3JtYS4gTsOzcyB2YW1vcyBhdGFjYXIgYSBeMDAwMENEbWluYV4wMDAwMDAu,,W0RlbW9uXQpOaSBzaXF1aWVyYSBuaWVnYSBxdWUgbG8gbGxhbWVuIHNlw7Fvci4gRGUgdG9kb3MgbW9kb3MuIFZhbW9zIGEgYXRhY2FyIGxhIF4wMDAwQ0RtaW5hXjAwMDAwMC4=
ag04DA,,SGl0IHRoZSBtaW5lPw==,,,,,QXRhY2FyIGEgbWluYT8=,,wr9BdGFjYXIgbGEgbWluYT8=
aw04DA,,W01pZG5pZ2h0XQpEb24ndCBnZXQgaW50byBzcGVjaWZpY3MuIEp1c3QgdGVsbCB0aGVtIHRvIGdvIGdldCB0aGUgc3R1ZmYu,,,,,W01pZG5haV0KTsOjbyBlbnRyZSBlbSBkZXRhbGhlcy4gQXBlbmFzIGRpZ2EgYSBlbGUgcGFyYSBpciBwZWdhciBhcyBjb2lzYXMu,,W01pZG5pZ2h0XQpObyBlbnRyZXMgZW4gZGV0YWxsZXMuIFNvbG8gZGlsZSBxdWUgdmF5YSBhIGJ1c2NhciBsYXMgY29zYXMu
bA04DA,,W0RlbW9uXQpObywgc28gd2hhdCwgd2UgZG9uJ3QgZXhwbGFpbiBhbnl0aGluZyBhbmQganVzdCBvcmRlciB0aGVtIGFyb3VuZD8gVGhleSBzaG91bGQgYXQgbGVhc3Qga25vdyB3aGF0IHRoZXkncmUgZG9pbmcsIHJpZ2h0PyBDYW4geW91IGp1c3QgZXhwbG9pdCBhIGtpZCBsaWtlIHRoYXQ/,,,,,W0RhaW1vbl0KTsOjbywgbWFzIGUgZGHDrSwgYSBnZW50ZSBuw6NvIGV4cGxpY2EgbmFkYSBlIHPDsyBtYW5kYT8gRWxlcyBkZXZlcmlhbSBzYWJlciBwZWxvIG1lbm9zIG8gcXVlIGVzdMOjbyBmYXplbmRvLCBjZXJ0bz8gVm9jw6ogcG9kZSBzaW1wbGVzbWVudGUgZXhwbG9yYXIgdW1hIGNyaWFuw6dhIGFzc2ltPw==,,W0RlbW9uXQpObywgwr95IHF1w6ksIG5vIGV4cGxpY2Ftb3MgbmFkYSB5IHNvbG8gbGUgZGFtb3Mgw7NyZGVuZXM/IERlYmVyw61hIHNhYmVyIGFsIG1lbm9zIGxvIHF1ZSBlc3TDoSBoYWNpZW5kbywgwr9ubz8gwr9QdWVkZXMgZXhwbG90YXIgYSB1biBuacOxbyBhc8OtPw==
bQ04DA,,V2VyZSB5b3UgYWx3YXlzIHRoaXMgY29sZD8=,,,,,Vm9jw6ogc2VtcHJlIGZvaSB0w6NvIGZyaW8/,,wr9TaWVtcHJlIGZ1aXN0ZSB0YW4gZnLDrW8/
bg04DA,,W01pZG5pZ2h0XQpZb3Ugd2FudCB0byBleHBsb2l0IHNvbWVvbmUgd2UganVzdCBtZXQ/,,,,,W01pZG5haV0KVm9jw6ogcXVlciBleHBsb3JhciBhbGd1w6ltIHF1ZSBhY2FiYW1vcyBkZSBjb25oZWNlcj8=,,W01pZG5pZ2h0XQrCv1F1aWVyZXMgZXhwbG90YXIgYSBhbGd1aWVuIHF1ZSByZWNpw6luIGNvbm9jZW1vcz8=
bw04DA,,W0RlbW9uXQpOby4uLiBJIG1lYW4sIGl0J3MgYWJvdXQgcGFydGljaXBhdGluZyBpbiBhIGdyYW5kIGVuZGVhdm9yLiBBbnl3YXkuIFlvdSBrbm93IHRoZXJlJ3MgYSBtaW5lIGluIHRoZSBlYXN0ZXJuIGFyZWEsIHJpZ2h0PyBUaGF0IHBsYWNlIHdhcyBvcmlnaW5hbGx5IGZ1bmRlZCBieSBHb2xkbW9vbi4uLg==,,,,,W0RhaW1vbl0KTsOjby4uLiBRdWVybyBkaXplciwgw6kgc29icmUgcGFydGljaXBhciBkZSB1bSBncmFuZGUgZW1wcmVlbmRpbWVudG8uIEVuZmltLiBWb2PDqiBzYWJlIHF1ZSB0ZW0gdW1hIG1pbmEgbmEgw6FyZWEgbGVzdGUsIGNlcnRvPyBBcXVlbGUgbHVnYXIgb3JpZ2luYWxtZW50ZSBmb2kgZmluYW5jaWFkbyBwZWxhIEdvbGRtb29uLi4u,,W0RlbW9uXQpOby4uLiBRdWllcm8gZGVjaXIsIHNlIHRyYXRhIGRlIHBhcnRpY2lwYXIgZW4gdW5hIGdyYW4gZW1wcmVzYS4gRW4gZmluLiBTYWJlcyBxdWUgaGF5IHVuYSBtaW5hIGVuIGxhIHpvbmEgZXN0ZSwgwr92ZXJkYWQ/IEVzZSBsdWdhciBvcmlnaW5hbG1lbnRlIGZ1ZSBmaW5hbmNpYWRvIHBvciBHb2xkbW9vbi4uLg==
cA04DA,,WW91J3JlIHN0YXJ0aW5nIGZyb20gdGhlcmU/IFlvdSBwbGFubmluZyB0byBzdGF5IHVwIHRpbGwgZGF3bj8=,,,,,Vm9jw6ogdmFpIGNvbWXDp2FyIGRhw60/IFBsYW5lamEgZmljYXIgYWNvcmRhZG8gYXTDqSBvIGFtYW5oZWNlcj8=,,wr9FbXBpZXphcyBkZXNkZSBhaMOtPyDCv1BsYW5lYXMgcXVlZGFydGUgZGVzcGllcnRvIGhhc3RhIGVsIGFtYW5lY2VyPw==
cQ04DA,,W0RlbW9uXQpBaCwgYW55d2F5LCBpdCdzIHRoYXQga2luZCBvZiBwbGFjZS4gVGhlIFNjb3VuZHJlbHMgZm91bmQgb3V0IHRoZXJlIHdhcyBtb25leSBpbiBpdCBhbmQgdG9vayBpdCBvdmVyLg==,,,,,W0RhaW1vbl0KQWgsIGVuZmltLCDDqSBlc3NlIHRpcG8gZGUgbHVnYXIuIE9zIELDumZhbG9zIEJhbmRpZG9zIGRlc2NvYnJpcmFtIHF1ZSBoYXZpYSBkaW5oZWlybyBuaXNzbyBlIHRvbWFyYW0gY29udGEu,,W0RlbW9uXQpBaCwgZW4gZmluLCBlcyBlc2UgdGlwbyBkZSBsdWdhci4gTG9zIENhbmFsbGFzIHNlIGVudGVyYXJvbiBkZSBxdWUgaGFiw61hIGRpbmVybyBlbiBlbGxhIHkgc2UgYXBvZGVyYXJvbi4=
cg04DA,,W3swfV0KSSBoZWFyZCBhYm91dCB0aGF0Lg==,,,,,W3swfV0KRXUgb3V2aSBmYWxhciBzb2JyZSBpc3NvLg==,,W3swfV0KRXNjdWNow6kgc29icmUgZXNvLg==
cw04DA,,W0RlbW9uXQpPaD8gV2hlcmU/,,,,,W0RhaW1vbl0KT2g/IE9uZGU/,,W0RlbW9uXQrCv09oPyDCv0TDs25kZT8=
dA04DA,,W3swfV0KQXQgdGhlIFNoZXJpZmYncyBvZmZpY2Uu,,,,,W3swfV0KTm8gZXNjcml0w7NyaW8gZG8gWGVyaWZlLg==,,W3swfV0KRW4gbGEgb2ZpY2luYSBkZWwgU2hlcmlmZi4=
dQ04DA,,W0RlbW9uXQpZb3UncmUgYW4gZXgtY29uIHRvbz8gVGhlbiB3ZSdyZSBjb21yYWRlcyEgR3JlYXQuIEknbSBhbiBleC1jb24gZnJvbSB0aGVyZSB0b28uIFRoaXMgbWlzdGVyIGhlcmUgaXMgYWxzbyBmcm9tIHRoZXJlLiBXZSBtZXQgdGhlcmUuIFlvdSBrbm93IHRoYXQgZXgtY29uIGNvbXJhZGVzIGhhdmUgdGhlIHN0cm9uZ2VzdCBib25kcywgcmlnaHQ/,,,,,W0RhaW1vbl0KVm9jw6ogw6kgdW0gZXgtZGV0ZW50byB0YW1iw6ltPyBFbnTDo28gc29tb3MgY2FtYXJhZGFzISDDk3RpbW8uIEV1IHNvdSB1bSBleC1kZXRlbnRvIGRlIGzDoSB0YW1iw6ltLiBFc3RlIG1vw6dvIGFxdWkgdGFtYsOpbSDDqSBkZSBsw6EuIE5vcyBjb25oZWNlbW9zIGzDoS4gVm9jw6ogc2FiZSBxdWUgY2FtYXJhZGFzIGV4LWRldGVudG9zIHTDqm0gb3MgbGHDp29zIG1haXMgZm9ydGVzLCBjZXJ0bz8=,,W0RlbW9uXQrCv1RhbWJpw6luIGVyZXMgdW4gZXhjb252aWN0bz8gwqFFbnRvbmNlcyBzb21vcyBjYW1hcmFkYXMhIEdlbmlhbC4gWW8gc295IHVuIGV4Y29udmljdG8gZGUgYWxsw60gdGFtYmnDqW4uIEVzdGUgc2XDsW9yIHRhbWJpw6luIGVzIGRlIGFsbMOtLiBOb3MgY29ub2NpbW9zIGFow60uIMK/U2FiZXMgcXVlIGxvcyBjYW1hcmFkYXMgZXhjb252aWN0b3MgdGllbmVuIGxvcyBsYXpvcyBtw6FzIGZ1ZXJ0ZXMsIHZlcmRhZD8=
dg04DA,,W01pZG5pZ2h0XQpJIG1pc3MgdGhlIHNtZWxsIG9mIHRob3NlIHN0b25lIGZsb29ycy4gVGhhdCBjb2xkIHRvdWNoLi4u,,,,,W01pZG5haV0KU2ludG8gZmFsdGEgZG8gY2hlaXJvIGRhcXVlbGUgcGlzbyBkZSBwZWRyYS4gQXF1ZWxlIHRvcXVlIGZyaW8uLi4=,,W01pZG5pZ2h0XQpFeHRyYcOxbyBlbCBvbG9yIGRlIGVzb3MgcGlzb3MgZGUgcGllZHJhLiBFc2UgdGFjdG8gZnLDrW8uLi4=
dw04DA,,W0RlbW9uXQpUaGUgZm9vZCB0aGVyZSB3YXMgZGVsaWNpb3VzIHRvby4gSSBuZXZlciB1c2VkIHRvIHRvdWNoIGJlYW5zIGJlZm9yZSwgYnV0IEkgbWlzcyB0aGUgYmVhbnMgSSBhdGUgdGhlcmUgc28gbXVjaCB0aGF0IEkgc3RpbGwgbG92ZSBiZWFucyB0byB0aGlzIGRheS4=,,,,,W0RhaW1vbl0KQSBjb21pZGEgbMOhIGVyYSBkZWxpY2lvc2EgdGFtYsOpbS4gRXUgbnVuY2EgY29zdHVtYXZhIGNvbWVyIGZlaWrDo28gYW50ZXMsIG1hcyBzaW50byB0YW50YSBmYWx0YSBkbyBmZWlqw6NvIHF1ZSBjb21pIGzDoSBxdWUgYWluZGEgYW1vIGZlaWrDo28gYXTDqSBob2plLg==,,W0RlbW9uXQpMYSBjb21pZGEgYWxsw60gdGFtYmnDqW4gZXJhIGRlbGljaW9zYS4gTnVuY2Egc29sw61hIHByb2JhciBsb3MgZnJpam9sZXMgYW50ZXMsIHBlcm8gZXh0cmHDsW8gdGFudG8gbG9zIGZyaWpvbGVzIHF1ZSBjb23DrSBhbGzDrSBxdWUgdG9kYXbDrWEgbG9zIGFtbyBoYXN0YSBlbCBkw61hIGRlIGhveS4=
eA04DA,,VGhlbiBqdXN0IGdvIGJhY2su,,,,,RW50w6NvIMOpIHPDsyB2b2x0YXIu,,RW50b25jZXMgc2ltcGxlbWVudGUgcmVncmVzYS4=
eQ04DA,,TWF5YmUgSSBzaG91bGQ/IFdhbm5hIGNvbWUgd2l0aD8=,,,,,VGFsdmV6IGV1IGRldmVzc2U/IFF1ZXIgdmlyIGNvbWlnbz8=,,wr9RdWl6w6FzIGRlYmVyw61hPyDCv1F1aWVyZXMgdmVuaXI/
eg04DA,,Li4uLi4u,,,,,Li4uLi4u,,Li4uLi4u
ew04DA,,V2h5IGRpZCB5b3UgZ28gdG8gamFpbD8=,,,,,UG9yIHF1ZSB2b2PDqiBmb2kgcGFyYSBhIGNhZGVpYT8=,,wr9Qb3IgcXXDqSBmdWlzdGUgYSBsYSBjw6FyY2VsPw==
fA04DA,,W0RlbW9uXQpBaCwgdGhhdD8=,,,,,W0RhaW1vbl0KQWgsIGlzc28/,,W0RlbW9uXQpBaCwgwr9lc28/
fQ04DA,,W01pZG5pZ2h0XQpEbyB3ZSBoYXZlIHRvIHRhbGsgYWJvdXQgdGhhdCB0b28/,,,,,W01pZG5haV0KVGVtb3MgcXVlIGZhbGFyIHNvYnJlIGlzc28gdGFtYsOpbT8=,,W01pZG5pZ2h0XQrCv1RlbmVtb3MgcXVlIGhhYmxhciBkZSBlc28gdGFtYmnDqW4/
fg04DA,,W0RlbW9uXQpXaHkgbm90PyBJIHJlYWxseSBsb3ZlIHRoaXMgc3RvcnkuIExpc3Rlbi4gWW91J2xsIGxpc3RlbiwgcmlnaHQ/,,,,,W0RhaW1vbl0KUG9yIHF1ZSBuw6NvPyBFdSByZWFsbWVudGUgYW1vIGVzc2EgaGlzdMOzcmlhLiBFc2N1dGEuIFZvY8OqIHZhaSBvdXZpciwgbsOpPw==,,W0RlbW9uXQrCv1BvciBxdcOpIG5vPyBSZWFsbWVudGUgYW1vIGVzdGEgaGlzdG9yaWEuIEVzY3VjaGEuIFTDuiBlc2N1Y2hhcsOhcywgwr92ZXJkYWQ/
fw04DA,,WWVzLCBnbyBhaGVhZC4=,,,,,U2ltLCB2YWkgZW0gZnJlbnRlLg==,,U8OtLCBhZGVsYW50ZS4=
gA04DA,,W0RlbW9uXQpXZWxsLCBJJ20gZ29vZCB3aXRoIG15IGhhbmRzLiBBbmQgSSBsb3ZlIGZpcmV3b3Jrcy4gV2hhdCBkbyB5b3UgdGhpbmsgaXMgdGhlIGJlc3Qgam9iIGZvciBzb21lb25lIGxpa2UgdGhhdD8=,,,,,W0RhaW1vbl0KQmVtLCBldSBzb3UgYm9tIGNvbSBhcyBtw6Nvcy4gRSBldSBhZG9ybyBmb2dvcyBkZSBhcnRpZsOtY2lvLiBPIHF1ZSB2b2PDqiBhY2hhIHF1ZSDDqSBvIG1lbGhvciB0cmFiYWxobyBwYXJhIGFsZ3XDqW0gYXNzaW0/,,W0RlbW9uXQpCdWVubywgc2UgbWUgZGFuIGJpZW4gbGFzIG1hbnVhbGlkYWRlcy4gWSBtZSBlbmNhbnRhbiBsb3MgZnVlZ29zIGFydGlmaWNpYWxlcy4gwr9DdcOhbCBjcmVlcyBxdWUgZXMgZWwgbWVqb3IgdHJhYmFqbyBwYXJhIGFsZ3VpZW4gYXPDrT8=
gQ04DA,,W3swfV0KQSBmaXJld29ya3MgYXJ0aXNhbj8=,,,,,W3swfV0KVW0gYXJ0ZXPDo28gZGUgZm9nb3MgZGUgYXJ0aWbDrWNpbz8=,,W3swfV0Kwr9VbiBhcnRlc2FubyBkZSBmdWVnb3MgYXJ0aWZpY2lhbGVzPw==
gg04DA,,VGhhdCdzIGN1dGUu,,,,,UXVlIGZvZm8u,,RXNvIGVzIHRpZXJuby4=
gw04DA,,W0RlbW9uXQpXZWxsLCBjbG9zZS4gU29tZXRoaW5nIGEgYml0IHN0cm9uZ2VyIHRoYW4gZmlyZXdvcmtzLi4uIEkgbWFrZSBeMDAwMENEYm9tYnNeMDAwMDAwLiBBbmQgd2hlbiBJIGhlYXJkIGEgbWluZSB3YXMgYmVpbmcgZGV2ZWxvcGVkIGhlcmUsIGhvdyBjb3VsZCBJIGp1c3Qgc2l0IHN0aWxsPw==,,,,,W0RhaW1vbl0KQmVtLCBxdWFzZS4gQWxnbyB1bSBwb3VjbyBtYWlzIGZvcnRlIHF1ZSBmb2dvcyBkZSBhcnRpZsOtY2lvLi4uIEV1IGZhw6dvIF4wMDAwQ0Rib21iYXNeMDAwMDAwLiBFIHF1YW5kbyBldSBzb3ViZSBxdWUgdW1hIG1pbmEgZXN0YXZhIHNlbmRvIGRlc2Vudm9sdmlkYSBhcXVpLCBjb21vIGV1IHBvZGVyaWEgZmljYXIgcGFyYWRvPw==,,W0RlbW9uXQpCdWVubywgY2VyY2EuIEFsZ28gdW4gcG9jbyBtw6FzIGZ1ZXJ0ZSBxdWUgbG9zIGZ1ZWdvcyBhcnRpZmljaWFsZXMuLi4gSGFnbyBeMDAwMENEYm9tYmFzXjAwMDAwMC4gWSBjdWFuZG8gZXNjdWNow6kgcXVlIHNlIGVzdGFiYSBkZXNhcnJvbGxhbmRvIHVuYSBtaW5hIGFxdcOtLCDCv2PDs21vIHBvZHLDrWEgcXVlZGFybWUgcXVpZXRvPw==
hA04DA,,W0RlbW9uXQpBIG1pbmUgZGVmaW5pdGVseSBuZWVkcyBib21icy4gSSB0aG91Z2h0IEkgY291bGQgcHVyc3VlIG15IGhvYmJ5IGFuZCBtYWtlIG1vbmV5IGhlcmUgYXQgdGhlIHNhbWUgdGltZSwgc28gSSBjYW1lLg==,,,,,W0RhaW1vbl0KVW1hIG1pbmEgZGVmaW5pdGl2YW1lbnRlIHByZWNpc2EgZGUgYm9tYmFzLiBFdSBwZW5zZWkgcXVlIHBvZGVyaWEgc2VndWlyIG1ldSBob2JieSBlIGdhbmhhciBkaW5oZWlybyBhcXVpIGFvIG1lc21vIHRlbXBvLCBlbnTDo28gZXUgdmltLg==,,W0RlbW9uXQpVbmEgbWluYSBkZWZpbml0aXZhbWVudGUgbmVjZXNpdGEgYm9tYmFzLiBQZW5zw6kgcXVlIHBvZMOtYSBzZWd1aXIgbWkgaG9iYnkgeSBnYW5hciBkaW5lcm8gYXF1w60gYWwgbWlzbW8gdGllbXBvLCBhc8OtIHF1ZSB2aW5lLg==
hQ04DA,,W01pZG5pZ2h0XQpCdXQgaXQgZGlkbid0IGdvIHdlbGwu,,,,,W01pZG5haV0KTWFzIG7Do28gZGV1IG11aXRvIGNlcnRvLg==,,W01pZG5pZ2h0XQpQZXJvIG5vIGZ1ZSBiaWVuLg==
hg04DA,,W0RlbW9uXQpBbmQgaXQncyBhbGwgeW91ciBmYXVsdCEgWW91IGtub3cgd2hhdCBoYXBwZW5lZD8gT25lIG5pZ2h0LCBzb21lb25lIGhlYXJkIHRoZSBuZXdzIHRoYXQgSSB3YXMgYSBib21iIGV4cGVydCBhbmQgY2FtZSB0byBzZWUgbWUuIFRoZW4gdGhleSBvdXRyaWdodCBkZW1hbmRlZCBJICdkb25hdGUnIGJvbWJzLg==,,,,,W0RhaW1vbl0KRSDDqSB0dWRvIGN1bHBhIHN1YSEgU2FiZSBvIHF1ZSBhY29udGVjZXU/IFVtYSBub2l0ZSwgYWxndcOpbSBvdXZpdSBhIG5vdMOtY2lhIGRlIHF1ZSBldSBlcmEgdW0gZXNwZWNpYWxpc3RhIGVtIGJvbWJhcyBlIHZlaW8gbWUgdmVyLiBFbnTDo28gZWxlcyBleGlnaXJhbSBuYSBjYXJhIGR1cmEgcXVlIGV1ICdkb2Fzc2UnIGJvbWJhcy4=,,W0RlbW9uXQrCoVkgdG9kbyBlcyB0dSBjdWxwYSEgwr9TYWJlcyBsbyBxdWUgcGFzw7M/IFVuYSBub2NoZSwgYWxndWllbiBlc2N1Y2jDsyBsYSBub3RpY2lhIGRlIHF1ZSBlcmEgdW4gZXhwZXJ0byBlbiBib21iYXMgeSB2aW5vIGEgdmVybWUuIEVudG9uY2VzIGRpcmVjdGFtZW50ZSBtZSBleGlnacOzIHF1ZSAnZG9uYXJhJyBib21iYXMu
hw04DA,,W0RlbW9uXQpBbmQgZnJvbSB0aGUgbG9va3Mgb2YgdGhlbSwgdGhleSB3ZXJlIHRob3NlIGluZmFtb3VzIF4wMDAwQ0RTY291bmRyZWxzXjAwMDAwMCEgSXQgd2FzIG9idmlvdXMuIFdoYXQgdGhleSB3ZXJlIGdvaW5nIHRvIHVzZSB0aGUgYm9tYnMgZm9yLg==,,,,,W0RhaW1vbl0KRSBwZWxhIGFwYXLDqm5jaWEgZGVsZXMsIGVyYW0gYXF1ZWxlcyBpbmZhbWVzIF4wMDAwQ0RCw7pmYWxvcyBCYW5kaWRvc14wMDAwMDAhIEVyYSDDs2J2aW8uIFBhcmEgbyBxdWUgZWxlcyBpYW0gdXNhciBhcyBib21iYXMu,,W0RlbW9uXQrCoVkgcG9yIHN1IGFwYXJpZW5jaWEsIGVyYW4gZXNvcyBpbmZhbWVzIF4wMDAwQ0RDYW5hbGxhc14wMDAwMDAhIEVyYSBvYnZpby4gUGFyYSBxdcOpIGliYW4gYSB1c2FyIGxhcyBib21iYXMu
iA04DA,,W01pZG5pZ2h0XQpBbmQgeW91IHN0aWxsIGdhdmUgdGhlbSBzb21lLg==,,,,,W01pZG5haV0KRSB2b2PDqiBhaW5kYSBkZXUgYWxndW1hcyBwYXJhIGVsZXMu,,W01pZG5pZ2h0XQpZIGF1biBhc8OtIGxlcyBkaXN0ZSBhbGd1bmFzLg==
iQ04DA,,W0RlbW9uXQpXZWxsLCBpZiBhIGJ1bmNoIG9mIGd1eXMgd2hvIGFyZSBjbGVhcmx5IHRvdWdoZXIgdGhhbiB5b3Ugc2hvdyB1cCBhbmQgdGVsbCB5b3UgdG8gaGFuZCBvdmVyIHlvdXIgYm9tYnMsIGNvdWxkIHlvdSBob2xkIG91dD8=,,,,,W0RhaW1vbl0KQmVtLCBzZSB1bSBtb250ZSBkZSBjYXJhcyBjbGFyYW1lbnRlIG1haXMgZHVyw7VlcyBxdWUgdm9jw6ogYXBhcmVjZW0gZSBtYW5kYW0gdm9jw6ogZW50cmVnYXIgc3VhcyBib21iYXMsIHZvY8OqIGFndWVudGFyaWE/,,W0RlbW9uXQpCdWVubywgc2kgdW4gZ3J1cG8gZGUgdGlwb3MgY2xhcmFtZW50ZSBtw6FzIGZ1ZXJ0ZXMgcXVlIHTDuiBhcGFyZWNlbiB5IHRlIGRpY2VuIHF1ZSBlbnRyZWd1ZXMgdHVzIGJvbWJhcywgwr9wb2Ryw61hcyByZXNpc3RpcnRlPw==
ig04DA,,W01pZG5pZ2h0XQpJIGNvdWxkLA==,,,,,W01pZG5haV0KRXUgYWd1ZW50YXJpYS4uLg==,,W01pZG5pZ2h0XQpZbyBzw60gcG9kcsOtYSw=
iw04DA,,W0RlbW9uXQpEb24ndCBzYXkgeW91IGNvdWxkLiBZb3UgbmV2ZXIga25vdyB1bnRpbCBpdCBoYXBwZW5zIHRvIHlvdS4gQW55d2F5LCB0aGV5IHVzZWQgdGhvc2UgZm9yY2libHkgdGFrZW4gYm9tYnMgdG8gYmxvdyB1cCBhbiBvcmUgdHJhbnNwb3J0IHRyYWluLiBBbmQgcmFpZGVkIHRoZSBtaW5lLiBBbmQgdGhlbiB3aGF0IGRvIHlvdSB0aGluayBoYXBwZW5lZD8=,,,,,W0RhaW1vbl0KTsOjbyBkaWdhIHF1ZSBhZ3VlbnRhcmlhLiBWb2PDqiBudW5jYSBzYWJlIGF0w6kgYWNvbnRlY2VyIGNvbSB2b2PDqi4gRW5maW0sIGVsZXMgdXNhcmFtIGFxdWVsYXMgYm9tYmFzIHRvbWFkYXMgw6AgZm9yw6dhIHBhcmEgZXhwbG9kaXIgdW0gdHJlbSBkZSB0cmFuc3BvcnRlIGRlIG1pbsOpcmlvLiBFIGludmFkaXJhbSBhIG1pbmEuIEUgZW50w6NvIG8gcXVlIHZvY8OqIGFjaGEgcXVlIGFjb250ZWNldT8=,,W0RlbW9uXQpObyBkaWdhcyBxdWUgcG9kcsOtYXMuIE51bmNhIHNlIHNhYmUgaGFzdGEgcXVlIHRlIHBhc2EuIEVuIGZpbiwgdXNhcm9uIGVzYXMgYm9tYmFzIHRvbWFkYXMgYSBsYSBmdWVyemEgcGFyYSB2b2xhciB1biB0cmVuIGRlIHRyYW5zcG9ydGUgZGUgbWluZXJhbC4gWSBhc2FsdGFyb24gbGEgbWluYS4gwr9ZIGVudG9uY2VzIHF1w6kgY3JlZXMgcXVlIHBhc8OzPw==
jA04DA,,SSB3b25kZXI/,,,,,U2Vyw6E/,,wr9NZSBwcmVndW50bz8=
jQ04DA,,W0RlbW9uXQpUaGUgc2hlcmlmZiB0cmFjZWQgdGhlIGJvbWJzIGJhY2sgdG8gbWUgYW5kIGNhbWUgdG8gYXJyZXN0IG1lLiBBbmQgdGhleSBsb2NrZWQgbWUgdXAu,,,,,W0RhaW1vbl0KTyB4ZXJpZmUgcmFzdHJlb3UgYXMgYm9tYmFzIGF0w6kgbWltIGUgdmVpbyBtZSBwcmVuZGVyLiBFIG1lIHRyYW5jYXJhbS4=,,W0RlbW9uXQpFbCBzaGVyaWZmIHJhc3RyZcOzIGxhcyBib21iYXMgaGFzdGEgbcOtIHkgdmlubyBhIGFycmVzdGFybWUuIFkgbWUgZW5jZXJyYXJvbi4=
jg04DA,,W01pZG5pZ2h0XQpJbiBqYWlsLg==,,,,,W01pZG5haV0KTmEgY2FkZWlhLg==,,W01pZG5pZ2h0XQpFbiBsYSBjw6FyY2VsLg==
jw04DA,,W0RlbW9uXQpZZWFoLiBBbmQgZ3Vlc3Mgd2hvIHdhcyB0aGVyZSB3aGVuIEkgZ290IHRoZXJlPyBUaGlzIHZlcnkgbWlzdGVyLiBIZSBzYWlkIGhlIGdvdCBjYXVnaHQgdXAgaW4gaXQgd2hlbiB0aGUgdHJhaW4gd2FzIGJsb3duIHVwLiBUaGUgY29sZC1oZWFydGVkIFNjb3VuZHJlbHMganVzdCByYW4gb2ZmLCBsZWF2aW5nIHRoZSBpbmp1cmVkIG1pc3RlciBiZWhpbmQu,,,,,W0RhaW1vbl0KU2ltLiBFIGFkaXZpbmhhIHF1ZW0gZXN0YXZhIGzDoSBxdWFuZG8gZXUgY2hlZ3VlaT8gRXN0ZSBtZXNtbyBtb8Onby4gRWxlIGRpc3NlIHF1ZSBmb2kgcGVnbyBubyBmb2dvIGNydXphZG8gcXVhbmRvIG8gdHJlbSBmb2kgZXhwbG9kaWRvLiBPcyBCw7pmYWxvcyBCYW5kaWRvcyBpbnNlbnPDrXZlaXMgc2ltcGxlc21lbnRlIGZ1Z2lyYW0sIGRlaXhhbmRvIG8gbW/Dp28gZmVyaWRvIHBhcmEgdHLDoXMu,,W0RlbW9uXQpTw60uIMK/WSBhZGl2aW5hIHF1acOpbiBlc3RhYmEgYWxsw60gY3VhbmRvIGxsZWd1w6k/IEVzdGUgbWlzbcOtc2ltbyBzZcOxb3IuIERpam8gcXVlIHNlIHZpbyBlbnZ1ZWx0byBlbiBlc28gY3VhbmRvIHZvbGFyb24gZWwgdHJlbi4gTG9zIGZyw61vcyBDYW5hbGxhcyBzaW1wbGVtZW50ZSBodXllcm9uLCBkZWphbmRvIGFsIHNlw7FvciBoZXJpZG8gYXRyw6FzLg==
kA04DA,,TXkgZ29kLg==,,,,,TWV1IERldXMu,,RGlvcyBtw61vLg==
kQ04DA,,WWVhaCwgdGhhdCdzIHJpZ2h0LiBTZXJpb3VzbHksIG15IGdvZC4=,,,,,w4ksIGlzc28gbWVzbW8uIFPDqXJpbywgbWV1IERldXMu,,U8OtLCBhc8OtIGVzLiBFbiBzZXJpbywgRGlvcyBtw61vLg==
