gD4vDQ,,S3VtYW1vbg==,,,,,S3VtYW1vbg==,,S3VtYW1vbg==
tT4vDQ,,W0t1bWFtb25dCkhhdmUgeW91IGhlYXJkIGFib3V0IHRoZSBzd2VldCBqdWljeSBmcnVpdCBjYWxsZWQgImRla29wb24iPwpBbW9uZyB0aGUgU2hpcmFudWkgY2l0cnVzIGZydWl0cywgb25seSB0aGUgb25lcyB0aGF0IG1lZXQgYSBzcGVjaWFsIGNyaXRlcmlhIGNhbiBiZSBjYWxsZWQgImRla29wb24iLgpJdHMgdW5pcXVlIGFwcGVhcmFuY2UgaXMgdmVyeSBjdXRlISBJZiB5b3UgZmluZCBpdCBhdCB0aGUgZ3JvY2VyeSBzdG9yZSwgY2hlY2sgaXQgb3V0ISBSZWFsbHkh,,,,,W0t1bWFtb25dCkrDoSBvdXZpdSBmYWxhciBkZSB1bWEgZnJ1dGEgYmVtIGRvY2UgZSBzdWN1bGVudGEgY2hhbWFkYSAiZGVrb3BvbiI/IApObyBncnVwbyBkYXMgZnJ1dGFzIGPDrXRyaWNhcyBkZSB0aXBvIFNoaXJhbnVpLCBzb21lbnRlIGFxdWVsYXMgcXVlIGF0ZW5kZW0gY3JpdMOpcmlvcyBlc3BlY8OtZmljb3MgcG9kZW0gc2VyIGNsYXNzaWZpY2FkYXMgY29tbyAiZGVrb3BvbiIuClN1YSBhcGFyw6puY2lhIMO6bmljYSDDqSBtdWl0byBmb2ZhISBTZSB2b2PDqiBlbmNvbnRyw6EtbGEgbm8gbWVyY2FkbywgZMOqIHVtYSBvbGhhZGEuIFPDqXJpbyE=,,W0t1bWFtb25dCsK/SGFzIG/DrWRvIGhhYmxhciBkZSB1bmEgZnJ1dGEgc8O6cGVyIGR1bGNlIHkganVnb3NhIGxsYW1hZGEgImRla29wb24iPwpFbiBlbCBncnVwbyBkZSBsb3MgY8OtdHJpY29zIHRpcG8gU2hpcmFudWksIHNvbG8gbG9zIHF1ZSBjdW1wbGVuIGNyaXRlcmlvcyBlc3BlY8OtZmljb3MgcHVlZGVuIGxsYW1hcnNlICJkZWtvcG9uIi4KwqFTdSBhcGFyaWVuY2lhIGVzIMO6bmljYSB5IG11eSB0aWVybmEhIFNpIGxhIHZlcyBlbiBlbCBtZXJjYWRvLCDDqWNoYWxlIHVuIHZpc3Rhem8uIMKhRW4gc2VyaW8h
tj4vDQ,,W0t1bWFtb25dCkl0IGlzIGEgY2FyZWZ1bGx5IGZyaWVkIGRpc2ggb2YgbG90dXMgcm9vdCBmaWxsZWQgd2l0aCBtdXN0YXJkIHNhdWNlLgpUaGUgc2F1Y2UgaXMgc28gdGFzdHksIHlvdSB3aWxsIGZlZWwgeW91ciBlbmVyZ3kgbGV2ZWxzIGdvaW5nIHVwIQ==,,,,,W0t1bWFtb25dCsOJIHVtIHByYXRvIGRlIHJhaXogZGUgbMOzdHVzIGZyaXRhIGNvbSBjdWlkYWRvIGUgcHJlZW5jaGlkYSBjb20gbW9zdGFyZGEuCk8gbW9saG8gw6kgZGVsaWNpb3NvLCB2b2PDqiB2YWkgc2VudGlyIGEgZW5lcmdpYSB2b2x0YW5kbyBwcm8gY29ycG8h,,W0t1bWFtb25dCkVzIHVuIHBsYXRvIGRlIHJhw616IGRlIGxvdG8gZnJpdGEgY29uIGN1aWRhZG8geSByZWxsZW5hIGRlIG1vc3RhemEuCsKhTGEgc2Fsc2EgZXMgZGVsaWNpb3NhLCBzZW50aXLDoXMgY8OzbW8gdGUgdnVlbHZlIGxhIGVuZXJnw61hIGFsIGN1ZXJwbyE=
tz4vDQ,,W0t1bWFtb25dClRoZSB3b3JkICJpa2luYXJpIiBtZWFucyAic2ltcGxlIiBvciAiZWFzeSIuCiJJa2luYXJpIGRhbmdvIiBpcyBhIHNuYWNrIHdpdGggYSBzb2Z0IGNpcmNsZSBzaGFwZWQgc3dlZXQgcG90YXRvIGluc2lkZS4=,,,,,W0t1bWFtb25dCkEgcGFsYXZyYSAiaWtpbmFyaSIgc2lnbmlmaWNhICJzaW1wbGVzIiBvdSAiZsOhY2lsIi4KJ0lraW5hcmkgZGFuZ28iIMOpIHVtIGJvbGluaG8gcmVjaGVhZG8gY29tIGJhdGF0YSBkb2NlIGVtIGZvcm1hdG8gY2lyY3VsYXIu,,W0t1bWFtb25dCkxhIHBhbGFicmEgImlraW5hcmkiIHNpZ25pZmljYSAic2ltcGxlIiBvICJmw6FjaWwiLgpFbCAiaWtpbmFyaSBkYW5nbyIgZXMgdW4gYm9jYWRpdG8gcmVsbGVubyBkZSBjYW1vdGUgY29uIGZvcm1hIGNpcmN1bGFyLg==
uD4vDQ,,W0t1bWFtb25dCkFtb25nIHRoZSBmYW1vdXMgcGVvcGxlIHRoYXQgbGl2ZWQgaW4gS3VtYW1vdG8gQ2FzdGxlIGlzIEthdG8gS2l5b21hc2EuClRoZSBjYXN0bGUgaXMgZm9ydGlmaWVkIGFuZCBzdHVyZHksIGFuZCBhcyBpdHMgc3RvbmUgd2FsbHMgYXJlIHBhcnRpY3VsYXJsbHkgY3VydnksIHRoZXkgY2FsbCBpdCAiTXVzaGFnYWVzaGkiIChSZXR1cm5pbmcgV2FycmlvciksIGJlY2F1c2Ugbm8gd2FycmlvcnMgb3IgbmluamFzIGNvdWxkIGNsaW1iIGl0LgpZb3UgaGF2ZSB0byBjaGVjayBpdCBvdXQgaWYgeW91IHZpc2l0IEt1bWFtb3RvIQ==,,,,,W0t1bWFtb25dClVtYSBkYXMgcGVyc29uYWxpZGFkZXMgZmFtb3NhcyBxdWUgdml2ZXJhbSBubyBDYXN0ZWxvIGRlIEt1bWFtb3RvIGZvaSBLYXRvIEtpeW9tYXNhLgpPIGNhc3RlbG8gw6kgYmVtIGZvcnRpZmljYWRvLCByb2J1c3RvIGUsIGNvbW8gc3VhcyBwYXJlZGVzIGRlIHBlZHJhIHPDo28gYmFzdGFudGUgY3VydmFzLCBlbGUgZXJhIGNoYW1hZG8gZGUgIk11c2hhZ2Flc2hpIiAoRXhwdWxzb3IgR3VlcnJlaXJvKSwgcG9ycXVlIG5lbSBndWVycmVpcm9zIG5lbSBubmphcyBjb25zZWd1aWFtIGVzY2FsYXIuClZvY8OqIHByZWNpc2EgdmlzaXRhciBxdWFuZG8gZm9yIGVtIEt1bWFtb3RvIQ==,,W0t1bWFtb25dClVuYSBkZSBsYXMgZmlndXJhcyBmYW1vc2FzIHF1ZSB2aXZpw7MgZW4gZWwgQ2FzdGlsbG8gZGUgS3VtYW1vdG8gZnVlIEthdG8gS2l5b21hc2EuCkVsIGNhc3RpbGxvIGVzIHPDunBlciBmdWVydGUgeSByb2J1c3RvOyBjb21vIHN1cyBtdXJvcyBkZSBwaWVkcmEgc29uIG11eSBjdXJ2b3MsIGxvIGxsYW1hYmFuICJNdXNoYWdhZXNoaSIgKFJlcHVsc29yIGRlIEd1ZXJyZXJvcyksIHBvcnF1ZSBuaSBndWVycmVyb3MgbmkgbmluamFzIHBvZMOtYW4gZXNjYWxhcmxvLgrCoVRpZW5lcyBxdWUgdmlzaXRhcmxvIGN1YW5kbyB2YXlhcyBhIEt1bWFtb3RvIQ==
uT4vDQ,,W0t1bWFtb25dClRoZSBNb3VudCBBc28gaW4gS3VtYW1vdG8gaXMgYSBzdGlsbCBhY3RpdmUgdm9sY2FubyEKSWYgeW91IGhpa2UgaXQsIHlvdSBjYW4gZXZlbiB0YWtlIGEgbG9vayBpbnNpZGUgb2YgTmFrYWRha2UgY3JhdGVyIQpJdCBpcyBhIHZlcnkgc3BlY2lhbCBwbGFjZSB0byBhZG1pcmUgdGhlIG1hamVzdHkgb2YgbmF0dXJlLg==,,,,,W0t1bWFtb25dCk8gTW9udGUgQXNvIGVtIEt1bWFtb3RvIMOpIHVtIHZ1bGPDo28gYWluZGEgYXRpdm8hCkUgYW8gZXNjYWzDoS1sbywgw6kgcG9zc8OtdmVsIHZlciBhIENyYXRlcmEgTmFrYWRha2UgdGFtYsOpbSEKw4kgdW0gbG9jYWwgbXVpdG8gZXNwZWNpYWwgcGFyYSBhZG1pcmFyIGEgZ3JhbmRpb3NpZGFkZSBkYSBuYXR1cmV6YS4=,,W0t1bWFtb25dCsKhRWwgTW9udGUgQXNvIGVuIEt1bWFtb3RvIGVzIHVuIHZvbGPDoW4gcXVlIHNpZ3VlIGFjdGl2byEKwqFZIGFsIGVzY2FsYXJsbywgdGFtYmnDqW4gcHVlZGVzIHZlciBlbCBDcsOhdGVyIE5ha2FkYWtlIQpFcyB1biBsdWdhciBtdXkgZXNwZWNpYWwgcGFyYSBhZG1pcmFyIGxhIGdyYW5kZXphIGRlIGxhIG5hdHVyYWxlemEu
uj4vDQ,,W0t1bWFtb25dCkhvdyB3YXMgdGhlIGZhcm0gZXhwZXJpZW5jZSBpbiBLdW1hbW90bz8KSWYgeW91IHdhbnQgdG8ga25vdyBtb3JlIGFib3V0IHRoZSBwcmVmZWN0dXJlJ3MgY2hhcm1zIGFuZCBteSBvd24sIGNvbWUgbWVldCBtZSBhdCAiS3VtYW1vbiBTcXVhcmUiIQpNeSByZWd1bGFyIHN0YWdlIHBlcmZvcm1hbmNlIGlzIGZ1bGwgb2YgZGVsaWNpb3VzIHJlZ2lvbmFsIGRlbGljYWNpZXMuIApJJ20gc3VyZSB5b3UnbGwgZmluZCBzb21ldGhpbmcgeW91IGxpa2Uh,,,,,W0t1bWFtb25dCkNvbW8gZm9pIG8gZGlhIG5hIGZhemVuZGEgZW0gS3VtYW1vdG8/ClNlIHF1aXNlciBjb25oZWNlciBtYWlzIG9zIGNoYXJtZXMgZGEgcHJvdsOtbmNpYSBlIG9zIG1ldXMsIMOpIHPDsyBtZSBlbmNvbnRyYXIgbmEgIlByYcOnYSBLdW1hbW9uIiEKTWluaGEgYXByZXNlbnRhw6fDo28gbm8gcGFsY28gY29udGEgY29tIHbDoXJpYXMgaWd1YXJpYXMgbG9jYWlzLiBUZW5obyBjZXJ0ZXphIHF1ZSB2b2PDqiB2YWkgZW5jb250cmFyIGFsZ28gcXVlIGdvc3RhIQ==,,W0t1bWFtb25dCsK/UXXDqSB0YWwgZXN0dXZvIGVsIGTDrWEgZW4gbGEgZ3JhbmphIGRlIEt1bWFtb3RvPwrCoVNpIHF1aWVyZXMgY29ub2NlciBtw6FzIHNvYnJlIG1pcyBlbmNhbnRvcyB5IGxvcyBkZSBsYSBwcmVmZWN0dXJhLCBiw7pzY2FtZSBlbiBsYSAiUGxhemEgS3VtYW1vbiIhCk1pIHNob3cgZW4gZWwgZXNjZW5hcmlvIHRpZW5lIG11Y2hhcyBkZWxpY2lhcyBsb2NhbGVzLiDCoVNlZ3VybyBlbmN1ZW50cmFzIGFsZ28gcXVlIHRlIGVuY2FudGUh
uz4vDQ,,W0t1bWFtb25dClZhcm11bnQgd2lsbCBleHBsYWluIGl0IHRvIHlvdSBhdCB0aGUgRmFybSBFeHBlcmllbmNlLgpJIGhvcGUgeW91J2xsIHRhc3RlIHdhdGVybWVsb24gYW5kIHRvbWF0byBmcm9tIEt1bWFtb3RvLg==,,,,,W0t1bWFtb25dClZhcm11bnQgdmFpIHRlIGV4cGxpY2FyIG5vIGV2ZW50byAiVW0gRGlhIG5hIEZhemVuZGEiLgpFc3Blcm8gcXVlIHZvY8OqIHByb3ZlIGEgbWVsYW5jaWEgZSBvIHRvbWF0ZSBkZSBLdW1hbW90by4=,,W0t1bWFtb25dClZhcm11bnQgdGUgZXhwbGljYXLDoSB0b2RvIGVuIGVsIGV2ZW50by4KRXNwZXJvIHF1ZSBwcnVlYmVzIGxhIHNhbmTDrWEgeSBlbCB0b21hdGUgZGUgS3VtYW1vdG8u
vD4vDQ,,W0t1bWFtb25dCllvdSBjYW4gd2FsayBhcm91bmQsIHJlY29yZCBvciBwaG90b2dyYXBoIGZyZWVseSBhdCB0aGUgZmFybS4gR28gb3V0IHRoZXJlIGFuZCBtYWtlIGxvdHMgb2YgbWVtb3JpZXMh,,,,,W0t1bWFtb25dClZvY8OqIHBvZGUgZGFyIHVtYSB2b2x0YSwgZ3JhdmFyIGUgZm90b2dyYWZhciDDoCB2b250YWRlIG5hIGZhemVuZGEuIFbDoSBleHBsb3JhciBlIGNyaWFyIG1lbcOzcmlhcyBpbmVzcXVlY8OtdmVpcyE=,,W0t1bWFtb25dClB1ZWRlcyBwYXNlYXIsIGdyYWJhciB5IHNhY2FyIGZvdG9zIHRvZG8gbG8gcXVlIHF1aWVyYXMgZW4gbGEgZ3JhbmphLiDCoVZlIGEgZXhwbG9yYXIgeSBjcmVhciByZWN1ZXJkb3MgaW5vbHZpZGFibGVzIQ==
vT4vDQ,,VmFybXVudA==,,,,,VmFybXVudA==,,VmFybXVudA==
vj4vDQ,,LSBZb3UgY2FuJ3QgY29udGludWUgdGhlIHF1ZXN0IHdpdGggdG9vIG1hbnkgaXRlbXMgb24geW91ciBpbnZlbnRvcnkuIC0=,,,,,LSBWb2PDqiBuw6NvIHBvZGUgY29udGludWFyIGEgbWlzc8OjbyBjb20gbXVpdG9zIGl0ZW5zIG5vIGludmVudMOhcmlvLiAt,,LSBObyBwdWVkZXMgY29udGludWFyIGxhIG1pc2nDs24gY29uIGRlbWFzaWFkb3Mgw610ZW1zIGVuIGVsIGludmVudGFyaW8uIC0=
vz4vDQ,,LSBZb3UgaGF2ZSB0b28gbWFueSBeaVsxMDY4ODVdS3VtYW1vdG8gV2F0ZXJtZWxvbl5pWzEwNjg4NV0gdG8gY29udGludWUgdGhlIHF1ZXN0LiAt,,,,,LSBWb2PDqiB0ZW0gXmlbMTA2ODg1XU1lbGFuY2lhIGRlIEt1bWFtb3RvXmlbMTA2ODg1XSBkZW1haXMgcGFyYSBjb250aW51YXIgYSBtaXNzw6NvLiAt,,LSBUaWVuZXMgZGVtYXNpYWRhcyBeaVsxMDY4ODVdU2FuZMOtYXMgZGUgS3VtYW1vdG9eaVsxMDY4ODVdIHBhcmEgY29udGludWFyLiAt
wD4vDQ,,LSBZb3UgaGF2ZSB0b28gbWFueSBeaVsxMDY4ODZdS3VtYW1vdG8gVG9tYXRvXmlbMTA2ODg2XSB0byBjb250aW51ZSB0aGUgcXVlc3QuIC0=,,,,,LSBWb2PDqiB0ZW0gXmlbMTA2ODg2XVRvbWF0ZSBkZSBLdW1hbW90b15pWzEwNjg4Nl0gZGVtYWlzIHBhcmEgY29udGludWFyIGEgbWlzc8Ojby4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBeaVsxMDY4ODZdVG9tYXRlcyBkZSBLdW1hbW90b15pWzEwNjg4Nl0gcGFyYSBjb250aW51YXIuIC0=
wT4vDQ,,W1Zhcm11bnRdCkFyZSB5b3UgaGF2aW5nIGZ1biBhdCBLdW1hbW90byBGYXJtIEV4cGVyaWVuY2U/IFlvdSBjYW4gcGFydGljaXBhdGUgb25seSBvbmNlIGEgZGF5LCBidXQgcHJvbWlzZSB5b3UnbGwgYmUgYmFjayB0b21vcnJvdy4=,,,,,W1Zhcm11bnRdCk8gZXZlbnRvICJVbSBEaWEgbmEgRmF6ZW5kYSIgZXN0w6Egc2VuZG8gZGl2ZXJ0aWRvPyBWb2PDqiBwb2RlIHBhcnRpY2lwYXIgc8OzIHVtYSB2ZXogcG9yIGRpYSwgbWFzIG1lIHByb21ldGEgcXVlIHZvbHRhcsOhIGFtYW5ow6Mu,,W1Zhcm11bnRdCsK/VGUgZGl2aWVydGUgZWwgZXZlbnRvICJVbiBEw61hIGVuIGxhIEdyYW5qYSI/IFNvbG8gcHVlZGVzIHBhcnRpY2lwYXIgdW5hIHZleiBhbCBkw61hLCBwZXJvIHByb23DqXRlbWUgcXVlIHZvbHZlcsOhcyBtYcOxYW5hLg==
wj4vDQ,,W1Zhcm11bnRdCldlbGNvbWUgdG8gIkt1bWFtb3RvIEZhcm0gRXhwZXJpZW5jZSIhIEp1c3QgYnkgbG9va2luZyBhdCBpdCwgeW91J2xsIGJlIGFibGUgdG8gZmVlbCB0aGUgc3BsZW5kb3Igb2YgdGhlIHByZWZlY3R1cmUu,,,,,W1Zhcm11bnRdCkJvYXMtdmluZGFzIGFvIGV2ZW50byAiVW0gRGlhIG5hIEZhemVuZGEgZW0gS3VtYW1vdG8iISBWb2PDqiB2YWkgc2VudGlyIG8gZXNwbGVuZG9yIGRhIHByb3bDrW5jaWEgc8OzIGRlIG9saGFyIHByYSBlbGEh,,W1Zhcm11bnRdCsKhQmllbnZlbmlkbyBhICJVbiBEw61hIGVuIGxhIEdyYW5qYSBkZSBLdW1hbW90byIhIMKhU2VudGlyw6FzIHRvZG8gZWwgZXNwbGVuZG9yIGRlIGxhIHByZWZlY3R1cmEgc29sbyBjb24gbWlyYXJsYSE=
wz4vDQ,,W1Zhcm11bnRdCkJ1dCBJIGhvcGUgeW91J2xsIGV4cGxvcmUgbW9yZSBjb29sIHRoaW5ncyBhcm91bmQgdGhlIGFyZWEhIFdheSBtb3JlISBMaWtlIHRhc3Rpbmcgd2F0ZXJtZWxvbiBhbmQgdG9tYXRvISBUaGF0J3Mgd2h5IEkgb3JnYW5pemVkIHRoaXMgZmFybSBleHBlcmllbmNlLiA=,,,,,W1Zhcm11bnRdCkVzcGVybyBxdWUgdm9jw6ogZXhwbG9yZSBtYWlzIGNvaXNhcyBsZWdhaXMgbmEgw6FyZWEhIE11aXRvIG1haXMhIENvbW8gY29saGVyIG1lbGFuY2lhIGUgdG9tYXRlLCBwb3IgZXhlbXBsbyEgRm9pIHBvciBpc3NvIHF1ZSBvcmdhbml6ZWkgZXNzZSBldmVudG8uCg==,,W1Zhcm11bnRdCsKhRXNwZXJvIHF1ZSBleHBsb3JlcyBtw6FzIGNvc2FzIGdlbmlhbGVzIHBvciBhcXXDrSEgwqFNdWNobyBtw6FzISDCoUNvbW8gY29zZWNoYXIgc2FuZMOtYXMgeSB0b21hdGVzISBQYXJhIGVzbyBvcmdhbmljw6kgZXN0ZSBldmVudG8u
xD4vDQ,,W1Zhcm11bnRdCkFzIHRoaXMgaXMgYSBmYXJtIGV4cGVyaWVuY2UsIHlvdSBoYXZlIHRvIHRyeSBoYXJ2ZXN0aW5nIGhpZ2gtcXVhbGl0eSByZWdpb25hbCBwcm9kdWN0cy4gSGVyZSB3ZSBncm93IHdhdGVybWVsb24gYW5kIHRvbWF0by4gVGhlcmUgaXMgYSBkaWZmZXJlbnQgZmllbGQgZm9yIGVhY2ggcHJvZHVjdC4=,,,,,W1Zhcm11bnRdCkrDoSBxdWUgdmVpbyBwYXNzYXIgdW0gZGlhIG5hIGZhemVuZGEsIHZvY8OqIHByZWNpc2EgdGVudGFyIGNvbGhlciBwcm9kdXRvcyByZWdpb25haXMgZGUgcXVhbGlkYWRlLiBBcXVpIHBsYW50YW1vcyBtZWxhbmNpYSBlIHRvbWF0ZS4gSMOhIHVtYSBwbGFudGHDp8OjbyBlc3BlY8OtZmljYSBwYXJhIGNhZGEgdW0u,,W1Zhcm11bnRdCllhIHF1ZSB2aW5pc3RlIGEgcGFzYXIgZWwgZMOtYSwgdGllbmVzIHF1ZSBpbnRlbnRhciBjb3NlY2hhciBwcm9kdWN0b3MgcmVnaW9uYWxlcyBkZSBjYWxpZGFkLiBBcXXDrSBwbGFudGFtb3Mgc2FuZMOtYSB5IHRvbWF0ZS4gSGF5IHVuIGNhbXBvIGVzcGVjw61maWNvIHBhcmEgY2FkYSB1bm8u
xT4vDQ,,W1Zhcm11bnRdCkFib3V0IHRoZSBoYXJ2ZXRpbmcgbWV0aG9kLCBJJ2xsIGxlYXZlIGl0IHVwIHRvIHlvdS4gQnV0IHlvdSBoYXZlIHRvIHBpY2sgdGhlbSBjYXJlZnVsbHkgbm90IHRvIHNwb2lsIHRoZW0sIHNvIHlvdSBjYW4gZW5qb3kgZWF0aW5nIHRoZW0gbGF0ZXIh,,,,,W1Zhcm11bnRdClF1YW50byBhbyBtw6l0b2RvIGRlIGNvbGhlaXRhLCBkZWl4byBjb20gdm9jw6ouIE1hcyB2b2PDqiB0ZW0gcXVlIHRlciBjdWlkYWRvIHBhcmEgbsOjbyBlc21hZ2FyIGFzIGZydXRhcyBlIHBvZGVyIGNvbcOqLWxhcyBkZXBvaXMh,,W1Zhcm11bnRdCkVsIG3DqXRvZG8gZGUgY29zZWNoYSB0ZSBsbyBkZWpvIGEgdGkuIMKhUGVybyB0ZW4gY3VpZGFkbyBkZSBubyBhcGxhc3RhciBsYXMgZnJ1dGFzIHBhcmEgcXVlIHB1ZWRhcyBjb21lcmxhcyBkZXNwdcOpcyE=
xj4vDQ,,SSB3YW50IHRvIHRyeSBoYXJ2ZXN0aW5nIQ==,,,,,UXVlcm8gcGFydGljaXBhciBkYSBjb2xoZWl0YSE=,,wqFRdWllcm8gcGFydGljaXBhciBlbiBsYSBjb3NlY2hhIQ==
xz4vDQ,,W1Zhcm11bnRdCklmIHlvdSBoYXZlIGFueSBkb3VidHMsIG5lYXIgdGhlIGZpZWxkIGxpdmVzIGFuIGVsZGVyIHRoYXQgeW91IGNhbiBhc2sgZm9yIGhlbHAuIEFzIHlvdSBhcmUgYWJsZSB0byBwYXJ0aWNpcGF0ZSBpbiBLdW1hbW90bydzIHdhdGVybWVsb24gYW5kIHRvbWF0byBGYXJtIEV4cGVyaWVuY2Ugb25seSBvbmNlIGEgZGF5LCBoYXZlIGFsbCB0aGUgZnVuIHlvdSBjYW4h,,,,,W1Zhcm11bnRdClNlIHRpdmVyIGTDunZpZGFzLCB0ZW0gdW1hIGlkb3NhIG1vcmFuZG8gcGVydG8gZGEgcGxhbnRhw6fDo28gcXVlIHBvZGUgdGUgYWp1ZGFyLiBDb21vIHZvY8OqIHPDsyBwb2RlIHBhcnRpY2lwYXIgZGEgY29saGVpdGEgbm8gZXZlbnRvICJVbSBEaWEgbmEgRmF6ZW5kYSIgdW1hIHZleiBwb3IgZGlhLCBkaXZpcnRhLXNlIG8gbcOheGltbyBxdWUgcHVkZXIh,,W1Zhcm11bnRdClNpIHRpZW5lcyBkdWRhcywgaGF5IHVuYSBhbmNpYW5hIGNlcmNhIGRlbCBjYW1wbyBxdWUgcHVlZGUgYXl1ZGFydGUuIENvbW8gc29sbyBwdWVkZXMgcGFydGljaXBhciBlbiBsYSBjb3NlY2hhIGRlbCBldmVudG8gdW5hIHZleiBhbCBkw61hLCDCoWRpdmnDqXJ0ZXRlIGFsIG3DoXhpbW8h
yD4vDQ,,W1Zhcm11bnRdCldlbGNvbWUgdG8gIkt1bWFtb3RvIEZhcm0gRXhwZXJpZW5jZSIhIEFyZSB5b3UgaW50ZXJlc3RlZCBpbiBoYXJ2ZXN0aW5nIGhpZ2gtcXVhaXR5IHJlZ2lvbmFsIHByb2R1Y3RzPw==,,,,,W1Zhcm11bnRdCkJvYXMtdmluZGFzIGFvIGV2ZW50byAiVW0gRGlhIG5hIEZhemVuZGEgZW0gS3VtYW1vdG8iISBWb2PDqiB0ZW0gaW50ZXJlc3NlIGVtIGNvbGhlciBwcm9kdXRvcyByZWdpb25haXMgZGUgcXVhbGlkYWRlPw==,,W1Zhcm11bnRdCsKhQmllbnZlbmlkbyBhbCBldmVudG8gIlVuIETDrWEgZW4gbGEgR3JhbmphIGRlIEt1bWFtb3RvIiEgwr9UZSBpbnRlcmVzYSBjb3NlY2hhciBwcm9kdWN0b3MgcmVnaW9uYWxlcyBkZSBjYWxpZGFkPw==
yT4vDQ,,SSB3YW50IHRvIHRyeSBoYXJ2ZXN0aW5nIQ==,,,,,UXVlcm8gcGFydGljaXBhciBkYSBjb2xoZWl0YSE=,,wqFRdWllcm8gcGFydGljaXBhciBlbiBsYSBjb3NlY2hhIQ==
yj4vDQ,,W1Zhcm11bnRdCk5pY2UhIExldCdzIGVhdCBpdCBhbGwh,,,,,W1Zhcm11bnRdCk1hcmF2aWxoYSEgVmFtb3MgcHJvdmFyIGRlIHR1ZG8h,,W1Zhcm11bnRdCk11eSBiaWVuISDCoVZhbW9zIGEgcHJvYmFyIGRlIHRvZG8h
yz4vDQ,,WXVtLXl1bS4uLg==,,,,,TmhhYywgbmhhYy4uLg==,,w5FhbSwgw7FhbS4uLg==
zD4vDQ,,VmFybXVudDogWXVtLXl1bS4uLg==,,,,,VmFybXVudDogTmhhYywgbmhhYy4uLg==,,VmFybXVudDogw5FhbSwgw7FhbS4uLg==
zT4vDQ,,W1Zhcm11bnRd,,,,,W1Zhcm11bnRd,,W1Zhcm11bnRd
zj4vDQ,,PEZPTlQgU0laRT0xOD5UaGlzIGlzIHNvIGRlbGljaW91cyE8L0ZPTlQ+CllvdSBuZWVkIG9uZSBvZiB0aG9zZSB0byBzdGFydCB0aGUgZGF5IQ==,,,,,PEZPTlQgU0laRT0xOD5RdWUgZGVsw61jaWEhPC9GT05UPgpQcmVjaXNvIGRlIHVtYSBkZXNzYSBwcmEgY29tZcOnYXIgbyBkaWEh,,PEZPTlQgU0laRT0xOD7CoVF1w6kgZGVsaWNpYSE8L0ZPTlQ+CsKhTmVjZXNpdG8gdW5hIGRlIGVzdGFzIHBhcmEgZW1wZXphciBlbCBkw61hIQ==
zz4vDQ,,PEZPTlQgU0laRT0xNz5UaGlzIGlzIGV4cXVpc2l0ZSE8L0ZPTlQ+Ck5vIG1hdHRlciBob3cgbWFueSBJIGVhdCwgSSBjYW4ndCBnZXQgdGlyZWQgb2YgaXQh,,,,,PEZPTlQgU0laRT0xNz5RdWFudG8gc2Fib3IhPC9GT05UPgpOw6NvIGltcG9ydGEgcXVhbnRhcyBldSBjb21hLCBuw6NvIG1lIGNhbnNvIQ==,,PEZPTlQgU0laRT0xNz7CoUN1w6FudG8gc2Fib3IhPC9GT05UPgrCoU5vIGltcG9ydGEgY3XDoW50YXMgY29tYSwgbm8gbWUgY2Fuc28h
0D4vDQ,,PEZPTlQgU0laRT0xNj5UYXN0eSE8L0ZPTlQ+ClRoaXMgaXMgcmVhbGx5IGdvb2Qh,,,,,PEZPTlQgU0laRT0xNj5Hb3N0b3NvITwvRk9OVD4KSXNzbyDDqSBib20gZGVtYWlzIQ==,,PEZPTlQgU0laRT0xNj7CoVJpcXXDrXNpbW8hPC9GT05UPgrCoUVzdG8gZXN0w6EgZGVtYXNpYWRvIGJ1ZW5vIQ==
0T4vDQ,,PEZPTlQgU0laRT0xNT5EZWxpY2lvdXMhPC9GT05UPg==,,,,,PEZPTlQgU0laRT0xNT5EZWzDrWNpYSE8L0ZPTlQ+,,PEZPTlQgU0laRT0xNT7CoURlbGljaW9zbyE8L0ZPTlQ+
0j4vDQ,,PEZPTlQgU0laRT0xND5ZdW1teSE8L0ZPTlQ+,,,,,PEZPTlQgU0laRT0xND5OaGFtITwvRk9OVD4=,,PEZPTlQgU0laRT0xND7CocORYW0hPC9GT05UPg==
