QAVdDQ,,RXVuaGE=,,,,,Q29zbW9z,,Q29zbW9z
agVdDQ,,W0V1bmhhXQpZb3UgbXVzdCBoYXZlIHJlYWxpemVkIGEgbG90IGJ5IHNwYXJyaW5nIHdpdGggYSBjZWxlc3RpYWwgYmVpbmcgdG9vLiBZb3Ugd2lsbCByZWFjaCBhIGhpZ2hlciBzdGF0ZS4KQWgsIHJpZ2h0ISBFdW5oYSwgY291bGQgeW91IGdpdmUgbWUgb25lIG1vcmUgc2V0IG9mIGNsb3RoZXM/,,,,,W0Nvc21vc10KVm9jw6ogdGFtYsOpbSBkZXZlIHRlciBhcHJlbmRpZG8gbXVpdG8gYW8gZHVlbGFyIGNvbSB1bSBzZXIgY2VsZXN0aWFsLiBWYWkgYWxjYW7Dp2FyIHVtIGVzdMOhZ2lvIG1haXMgZWxldmFkby4KQWgsIMOpIG1lc21vISBIZWV1biwgcG9kZSBtZSBkYXIgbWFpcyB1bWEgcm91cGE/,,W0Nvc21vc10KQWwgY29tYmF0aXIgY29udHJhIHVuIGNlbGVzdGlhbCwgc2VndXJvIHF1ZSBlbCBhdmVudHVyZXJvIHRhbWJpw6luIGFwcmVuZGnDsyBtdWNoYXMgY29zYXMuIEFsY2FuemFyw6FzIHVuYSBlc2ZlcmEgbcOhcyBlbGV2YWRhLgpBaCwgY2llcnRvLiBDb3Ntb3MsIMK/bWUgZGFzIHVuYSBtdWRhIG3DoXM/
awVdDQ,,W0h1aXVuXQpXaHkgZG8geW91IG5lZWQgY2xvdGhlcyBhZ2Fpbj8=,,,,,W0hlZXVuXQpQb3IgcXVlIG1haXMgdW1hIHJvdXBhPw==,,W0hlZXVuXQrCv1BhcmEgcXXDqSBxdWllcmVzIG3DoXMgcm9wYT8=
bAVdDQ,,W0V1bmhhXQpUbyBnaXZlIHRvIHRoZSBhZHZlbnR1cmVyLiBTaW5jZSBeMDAwMENEeW91IGhhdmUgZm9ybWVkIGEgY29ubmVjdGlvbiB3aXRoIHRoZSBIZWF2ZW5seSBSZWFsbV4wMDAwMDAsIHlvdSB3aWxsIGxpdmUgYSBsaWZlIGRpZmZlcmVudCBmcm9tIGJlZm9yZSwgd29uJ3QgeW91PyBTbyB5b3UgaGF2ZSBeMDAwMENEdGhlIHJpZ2h0IHRvIHdlYXIgdGhlIHJvYmVzIG9mIGEgY2VsZXN0aWFsIGJlaW5nXjAwMDAwMC4=,,,,,W0Nvc21vc10KUGFyYSBkYXIgYW8gdmlhamFudGUuIENvbW8gYWdvcmEgZWxlIF4wMDAwQ0RjcmlvdSB1bSB2w61uY3VsbyBjb20gbyBDw6l1XjAwMDAwMCwgcGFzc291IGEgdml2ZXIgdW1hIHZpZGEgZGlmZXJlbnRlIGRlIGFudGVzLCBuw6NvIMOpPyBFbnTDo28gdGVtIF4wMDAwQ0RxdWFsaWZpY2HDp8OjbyBwYXJhIHZlc3RpciBhcyByb3VwYXMgZG9zIHNlcmVzIGNlbGVzdGlhaXNeMDAwMDAwLg==,,W0Nvc21vc10KUGFyYSBkw6Fyc2VsYSBhbCBhdmVudHVyZXJvLiBDb21vIF4wMDAwQ0Rlc3RhYmxlY2nDsyB1biB2w61uY3VsbyBjb24gZWwgUmVpbm8gQ2VsZXN0aWFsXjAwMDAwMCwgYWhvcmEgdml2aXLDoSB1bmEgdmlkYSBkaXN0aW50YSBkZSBsYSBhbnRlcmlvciwgwr9ubz8gUG9yIGVzbyB0aWVuZSBeMDAwMENEZGVyZWNobyBhIHZlc3RpciBsYXMgcm9wYXMgZGUgdW4gY2VsZXN0aWFsXjAwMDAwMC4=
bQVdDQ,,VGhhdCBpcyB0cnVlLg==,,,,,w4kgdmVyZGFkZS4=,,RXMgdmVyZGFkLg==
bgVdDQ,,W0V1bmhhXQpBZHZlbnR1cmVyLCBjZWxlc3RpYWwgcm9iZXMgYXJlIHNwZWNpYWwuIEV2ZW4gdGhlIHRvdWNoIG9mIHRoZWlyIGNvbGxhciBjYXJyaWVzIHRoZSBlbmVyZ3kgb2YgdGhlIEhlYXZlbmx5IFJlYWxtLg==,,,,,W0Nvc21vc10KVmlhamFudGUsIGFzIHJvdXBhcyBkb3Mgc2VyZXMgY2VsZXN0aWFpcyBzw6NvIGVzcGVjaWFpcy4gU8OzIGRlIHRvY2FyIG5hIGdvbGEsIGEgZW5lcmdpYSBkbyBDw6l1IHNlIG1hbmlmZXN0YS4=,,W0Nvc21vc10KQXZlbnR1cmVybywgbGFzIHJvcGFzIGRlIHVuIGNlbGVzdGlhbCBzb24gZXNwZWNpYWxlcy4gQ29uIHNvbG8gcm96YXIgc3UgY3VlbGxvLCBsYSBlbmVyZ8OtYSBkZWwgUmVpbm8gQ2VsZXN0aWFsIHNlIGluZnVuZGUgZW4gZWxsYXMu
bwVdDQ,,W0V1bmhhXQpZb3UgaGF2ZSByZWFsaXplZCB0aGUgcHJpbmNpcGxlcyBvZiB0aGUgaGVhdmVucyB0aGF0IGNvbnRhaW4gdGhlIHN1biwgbW9vbiwgYW5kIHN0YXJzLCBhbmQgaGF2ZSBjb21lIHRvIHVuZGVyc3RhbmQgdGhlIG1vdmVtZW50IG9mIGNlbGVzdGlhbCBlbmVyZ3kuIEZyb20gbm93IG9uLCBhcyBhIGh1bWFuIGNhcnJ5aW5nIHRoZSBlbmVyZ3kgb2YgYSBjZWxlc3RpYWwgYmVpbmcsIHNwcmVhZCB0aGUgd2lsbCBvZiB0aGUgSGVhdmVubHkgUmVhbG0gZmFyIGFuZCB3aWRlIGFjcm9zcyB0aGlzIGxhbmQu,,,,,W0Nvc21vc10KVm9jw6ogY29tcHJlZW5kZXUgb3MgcHJpbmPDrXBpb3MgZG8gY8OpdSBxdWUgYWJyYcOnYSBvIHNvbCwgYSBsdWEgZSBhcyBlc3RyZWxhcywgZSBwYXNzb3UgYSBlbnRlbmRlciBvIG1vdmltZW50byBkYSBlbmVyZ2lhIGNlbGVzdGlhbC4gQSBwYXJ0aXIgZGUgYWdvcmEsIGNvbW8gdW0gaHVtYW5vIGltYnXDrWRvIGRhIGVuZXJnaWEgZG9zIHNlcmVzIGNlbGVzdGlhaXMsIGVzcGFsaGUgYW1wbGFtZW50ZSBhIHZvbnRhZGUgZG8gQ8OpdSBwb3IgZXN0YSB0ZXJyYS4=,,W0Nvc21vc10KQ29tcHJlbmRpc3RlIGxvcyBwcmluY2lwaW9zIGRlbCBjaWVsbyBxdWUgY29udGllbmVuIGVsIHNvbCwgbGEgbHVuYSB5IGxhcyBlc3RyZWxsYXMsIHkgaGFzIGxsZWdhZG8gYSBlbnRlbmRlciBlbCBtb3ZpbWllbnRvIGRlIGxhIGVuZXJnw61hIGNlbGVzdGlhbC4gQSBwYXJ0aXIgZGUgYWhvcmEsIGNvbW8gaHVtYW5vIGltYnVpZG8gZGUgbGEgZW5lcmfDrWEgZGUgbG9zIGNlbGVzdGlhbGVzLCBkaWZ1bmRlIGxhIHZvbHVudGFkIGRlbCBSZWlubyBDZWxlc3RpYWwgc29icmUgbGEgdGllcnJhLg==
cAVdDQ,,W0V1bmhhXQpUaHVzLCBJIGdyYW50IHlvdSB0aGUgbmFtZSBeRkYwMDAwU2t5IEVtcGVyb3JeMDAwMDAwLCBkZWNsYXJpbmcgdGhhdCBhIG5ldyBwYXRoIGhhcyBvcGVuZWQgdG8geW91Lg==,,,,,W0Nvc21vc10KUG9yIGlzc28sIGNvbmNlZG8gYSB2b2PDqiBvIG5vbWUgXkZGMDAwME1lc3RyZSBDZWxlc3RpYWxeMDAwMDAwLCBwYXJhIGFudW5jaWFyIHF1ZSB1bSBub3ZvIGNhbWluaG8gc2UgYWJyaXUu,,W0Nvc21vc10KUG9yIGVsbG8sIHRlIG90b3JnbyBlbCBub21icmUgZGUgXkZGMDAwMEVtcGVyYWRvciBDZWxlc3RpYWxeMDAwMDAwLCB5IGRlY2xhcm8gcXVlIHNlIHRlIGhhIGFiaWVydG8gdW4gbnVldm8gY2FtaW5vLg==
cQVdDQ,,W0h1aXVuXQpBaCwgY29uZ3JhdHVsYXRpb25zLiBJdCBzdWl0cyB5b3Ugd2VsbC4gVGhhbmsgeW91IHRydWx5IGZvciBoZWxwaW5nIHVzLiBJZiBvdXIgcGF0aHMgY3Jvc3MgYWdhaW4sIHdlIG1heSBtZWV0IG9uY2UgbW9yZS4gSSB3aWxsIGxvb2sgZm9yd2FyZCB0byB0aGF0IGRheS4=,,,,,W0hlZXVuXQpPcmEsIHBhcmFiw6lucy4gQ29tYmluYSBiZW0gY29tIHZvY8OqLiBNdWl0byBvYnJpZ2FkbyBwb3IgYWp1ZGFyLiBTZSBvIGRlc3Rpbm8gbm9zIHVuaXIgbm92YW1lbnRlLCBwb2RlcmVtb3Mgbm9zIGVuY29udHJhciBvdXRyYSB2ZXouIEFndWFyZGFyZWkgZXNzZSBkaWEgY29tIGFsZWdyaWEu,,W0hlZXVuXQrCoUVuaG9yYWJ1ZW5hISBUZSBxdWVkYSBtdXkgYmllbi4gTXVjaGFzIGdyYWNpYXMgcG9yIHR1IGF5dWRhLiBTaSBudWVzdHJvcyBkZXN0aW5vcyB2dWVsdmVuIGEgY3J1emFyc2UsIG5vcyB2ZXJlbW9zIGRlIG51ZXZvLiBFc3BlcmFyw6kgY29uIGlsdXNpw7NuIGVzZSBkw61hLg==
cgVdDQ,,SHVpdW4gc2VlbXMgdG8gYmUgaW4gYSBnb29kIG1vb2Qu,,,,,SGVldW4gcGFyZWNlIGVzdGFyIGRlIGJvbSBodW1vci4=,,UGFyZWNlIHF1ZSBIZWV1biBlc3TDoSBkZSBidWVuIGh1bW9yLg==
cwVdDQ,,W0h1aXVuXQpOb3cgbGV0IHVzIGdvLCBMYWR5IEV1bmhhLiBUaGVyZSBpcyBhIG1vdW50YWluIG9mIHdvcmsgdG8gZG8u,,,,,W0hlZXVuXQpBZ29yYSB2YW1vcywgU2VuaG9yIENvc21vcy4gSMOhIHVtYSBtb250YW5oYSBkZSB0YXJlZmFzIGEgZmF6ZXIu,,W0hlZXVuXQpWYW1vbm9zLCBDb3Ntb3MuIFRlbmVtb3MgbXVjaMOtc2ltbyBxdWUgaGFjZXIu
dAVdDQ,,SXMgdGhhdCBob3cgeW91J3ZlIGJlZW4gc3BlYWtpbmcgdG8gdGhlIGFkdmVudHVyZXIgdGhpcyB3aG9sZSB0aW1lPw==,,,,,Vm9jw6ogZXN0w6EgbWUgY2hhbWFuZG8gZGUgU2VuaG9yIGF0w6kgYWdvcmE/,,wr9BcG9jbyBsZSBoYXMgZXN0YWRvIGhhYmxhbmRvIGFzw60gYWwgYXZlbnR1cmVybz8=
dQVdDQ,,V2UgYXJlIGluIGEgaHVycnkuIFdlIG11c3QgZ28gcXVpY2tseS4=,,,,,RXN0YW1vcyBjb20gcHJlc3NhLiBQcmVjaXNhbW9zIGlyIGxvZ28u,,VGVuZW1vcyBwcmlzYS4gRGViZW1vcyBpcm5vcy4=
dgVdDQ,,W0V1bmhhXQpBbGwgcmlnaHQsIGxldCdzIGdvLCBsZXQncyBnby4gQWR2ZW50dXJlciwgdGhlbiB0YWtlIGNhcmUhIFRoaXMgaXMgd2hlcmUgd2UgcGFydCEgR29vZGJ5ZSE=,,,,,W0Nvc21vc10KRXN0w6EgYmVtLCB2YW1vcywgdmFtb3MuIFZpYWphbnRlLCB2w6EgY29tIGN1aWRhZG8hIMOJIGFxdWkgcXVlIG5vcyBkZXNwZWRpbW9zISBUY2hhdSE=,,W0Nvc21vc10KQmllbiwgdmFtb3MsIHZhbW9zLiBPeWUsIMKhY3XDrWRhdGUhIMKhQXF1w60gbm9zIGRlc3BlZGltb3MhIMKhQWRpw7NzIQ==
dwVdDQ,,W0V1bmhhXQpIb3cgZG8geW91IGxpa2UgbXkgaG91c2U/IEkgcHV0IHNvbWUgZWZmb3J0IGludG8gaXQuIEFoLCBvZiBjb3Vyc2UsIGl0IGlzbid0IG15IHJlYWwgaG91c2UuIEl0J3MgYSB0ZW1wb3JhcnkgcmVzaWRlbmNlLiBTdHJpY3RseSB0ZW1wb3JhcnkuIFlvdSBzaG91bGQgZ28gYmFjayBub3cgdG9vLg==,,,,,W0Nvc21vc10KTyBxdWUgYWNob3UgZGEgbWluaGEgY2FzYT8gQ2FwcmljaGVpIGJhc3RhbnRlLiBBaCwgY2xhcm8sIG7Do28gw6kgdW1hIGNhc2EgZGUgdmVyZGFkZS4gw4kgdW1hIG1vcmFkYSB0ZW1wb3LDoXJpYS4gVm9jw6ogZGV2ZSB2b2x0YXIgYWdvcmEu,,W0Nvc21vc10Kwr9RdcOpIHRlIHBhcmVjZSBtaSBjYXNhPyBNZSBlc21lcsOpIHVuIHBvY28uIEFoLCBjbGFybywgbm8gZXMgbWkgY2FzYSBkZSB2ZXJkYWQuIEVzIHVuYSByZXNpZGVuY2lhIHRlbXBvcmFsLiBTb2xvIHRlbXBvcmFsLiBUw7ogdGFtYmnDqW4gZGViZXLDrWFzIHZvbHZlciB5YS4=
eAVdDQ,,SHVpdW4=,,,,,SGVldW4=,,SGVldW4=
eQVdDQ,,W0h1aXVuXQpJIHdvdWxkIGxpa2UgdG8gZmluaXNoIHRoaXMgbWF0dGVyIGFuZCBsZWF2ZSBzb29uLi4uIEFzayBMYWR5IEV1bmhhIHdoZW4gaXQgd2lsbCBiZSBmaW5pc2hlZC4=,,,,,W0hlZXVuXQpHb3N0YXJpYSBxdWUgdGVybWluw6Fzc2Vtb3MgbG9nbyBlc3RlIGFzc3VudG8gZSBwYXJ0w61zc2Vtb3MuLi4gUGVyZ3VudGUgYW8gU2VuaG9yIENvc21vcyBxdWFuZG8gZWxlIHByZXRlbmRlIHRlcm1pbmFyLg==,,W0hlZXVuXQpRdWlzaWVyYSB0ZXJtaW5hciBlc3RlIGFzdW50byBjdWFudG8gYW50ZXMgeSBtYXJjaGFybm9zLi4uIFByZWfDum50YWxlIGEgQ29zbW9zIGN1w6FudG8gc2UgcGllbnNhIHRhcmRhci4=
egVdDQ,,W0V1bmhhXQpBcmUgeW91IGRvbmUgbG9va2luZyBhcm91bmQ/IFRoZW4gbm93LCBeMDAwMENEZmlnaHQgdGhlIGFkdmVudHVyZXJeMDAwMDAwLg==,,,,,W0Nvc21vc10KSsOhIHRlcm1pbm91IGRlIG9saGFyIHR1ZG8/IEVudMOjbywgYWdvcmEsIF4wMDAwQ0RsdXRlIGNvbnRyYSBvIHZpYWphbnRlXjAwMDAwMC4=,,W0Nvc21vc10Kwr9ZYSB0ZXJtaW5hc3RlIGRlIG1pcmFyPyBFbnRvbmNlcywgXjAwMDBDRGNvbWJhdGUgY29udHJhIGVsIGF2ZW50dXJlcm9eMDAwMDAwLg==
ewVdDQ,,W0h1aXVuXQpXaGF0Pw==,,,,,W0hlZXVuXQpIw6M/,,W0hlZXVuXQrCv1F1w6k/
fAVdDQ,,QWxsIG9mIGEgc3VkZGVuPz8=,,,,,QXNzaW0sIGRlIHJlcGVudGU/Pw==,,wr9Bc8OtLCBkZSByZXBlbnRlPw==
fQVdDQ,,W0V1bmhhXQpEaWRuJ3QgeW91IGV4cGVjdCB0aGlzIHRvIHNvbWUgZXh0ZW50IGFmdGVyIGNvbWluZyBhbGwgdGhpcyB3YXk/IFdoeSBhcmUgeW91IHNvIHN1cnByaXNlZD8=,,,,,W0Nvc21vc10KSsOhIHF1ZSBjaGVnb3UgYXTDqSBhcXVpLCBuw6NvIGVzcGVyYXZhIG1haXMgb3UgbWVub3MgaXNzbz8gUG9yIHF1ZSBmaWNvdSB0w6NvIHN1cnByZXNvPw==,,W0Nvc21vc10KSGFzdGEgZXN0ZSBwdW50bywgwr9ubyB0ZSBsbyBlc3BlcmFiYXM/IMK/UG9yIHF1w6kgdGUgc29ycHJlbmRlcyB0YW50bz8=
fgVdDQ,,W0V1bmhhXQpXaGF0IHRoZSBhZHZlbnR1cmVyIHdhbnRzIGlzIHRvIGJyZWFrIHRocm91Z2ggdGhlaXIgbGltaXRzLCByaWdodD8gQXMgYSBTdGFyIEVtcGVyb3IsIHRoZXkgaGF2ZSBhbHJlYWR5IGFjY29tcGxpc2hlZCBldmVyeXRoaW5nIHRoZXkgY2FuIGJ1aWxkIHVwLg==,,,,,W0Nvc21vc10KTyBxdWUgbyB2aWFqYW50ZSBxdWVyIMOpIHN1cGVyYXIgc2V1cyBsaW1pdGVzLCBjZXJ0bz8gTmVzdGUgbW9tZW50bywgasOhIGNvbnF1aXN0b3UgdHVkbyBvIHF1ZSBwb2RpYSBhbGNhbsOnYXIgY29tbyBNZXN0cmUgRXN0ZWxhci4=,,W0Nvc21vc10KTG8gcXVlIHF1aWVyZSBlbCBhdmVudHVyZXJvIGVzIHJvbXBlciBzdXMgbMOtbWl0ZXMsIMK/dmVyZGFkPyBBaG9yYSBtaXNtbyB5YSBsb2dyw7MgdG9kbyBsbyBxdWUgcG9kw61hIGFjdW11bGFyIGNvbW8gRW1wZXJhZG9yIEVzdGVsYXIu
fwVdDQ,,VGhhdCBpcyB0cnVlLCBidXQuLi4=,,,,,w4kgdmVyZGFkZSwgbWFzLi4u,,RXNvIGVzIGNpZXJ0bywgcGVyby4uLg==
gAVdDQ,,W0V1bmhhXQpZb3UgaGVhcmQgdGhhdCwgcmlnaHQ/IF4wMDAwQ0RUaGUgYWR2ZW50dXJlciBpcyB0aGUgZmluYWwgdGFyZ2V0IGZvciBidWlsZGluZyBtZXJpdCBmb3IgYSB0aG91c2FuZCBwZW9wbGVeMDAwMDAwLCBhbmQgaWYgeW91LCBhIGNlbGVzdGlhbCBiZWluZywgaGVscCB0aGUgYWR2ZW50dXJlciwgeW91IGFuZCBJIHdpbGwgYmUgZnJlZS4gQXJlIHlvdSBub3QgZ29pbmcgdG8gZG8gaXQ/IFRoZSBhZHZlbnR1cmVyIGhlbHBlZCB5b3UgdG9vLCBkaWRuJ3QgdGhleT8=,,,,,W0Nvc21vc10KT3V2aXU/IF4wMDAwQ0RPIHZpYWphbnRlIMOpIG8gw7psdGltbyBhbHZvIGRhcyBib2FzIGHDp8O1ZXMgcGFyYSBtaWwgcGVzc29hc14wMDAwMDAgZSwgc2Ugdm9jw6osIHVtIHNlciBjZWxlc3RpYWwsIGFwZW5hcyBhanVkYXIgbyB2aWFqYW50ZSwgZXN0YXJlbW9zIGxpdnJlcy4gTsOjbyB2YWkgZmF6ZXIgaXNzbz8gVm9jw6ogdGFtYsOpbSByZWNlYmV1IGFqdWRhIGRvIHZpYWphbnRlLCBuw6NvIHJlY2ViZXU/,,W0Nvc21vc10Kwr9Fc2N1Y2hhc3RlPyBeMDAwMENERWwgYXZlbnR1cmVybyBlcyBlbCDDumx0aW1vIG9iamV0aXZvIGRlIG1pIGFjdW11bGFjacOzbiBkZSBidWVuYXMgYWNjaW9uZXMgY29uIG1pbCBwZXJzb25hc14wMDAwMDAsIHkgc2kgdMO6LCBxdWUgZXJlcyBjZWxlc3RpYWwsIGF5dWRhcyBhbCBhdmVudHVyZXJvLCB0w7ogeSB5byBzZXJlbW9zIGxpYnJlcy4gwr9ObyBsbyBoYXLDoXM/IFTDuiB0YW1iacOpbiByZWNpYmlzdGUgYXl1ZGEgZGVsIGF2ZW50dXJlcm8sIMK/bm8/
gQVdDQ,,W0V1bmhhXQpJZiB5b3Ugc2hvdyBqdXN0IGEgbGl0dGxlIHRhc3RlIG9mIHRoZSBIZWF2ZW5seSBSZWFsbSwgdGhpcyBjbGV2ZXIgYWR2ZW50dXJlciB3aWxsIHJlYWxpemUgbWFueSB0aGluZ3MuIFRoZW4gZXZlcnlvbmUgaGVyZSB3aWxsIGJlIGhhcHB5LCByaWdodD8gSWYgeW91IGhlbHAganVzdCBhIGxpdHRsZS4=,,,,,W0Nvc21vc10KU2UgbW9zdHJhciBzw7MgdW0gcG91Y28gZG8gc2Fib3IgZG8gQ8OpdSwgbyB2aWFqYW50ZSBhcHJlbmRlcsOhIG11aXRhcyBjb2lzYXMuIEVudMOjbyB0b2RvcyBhcXVpIGZpY2Fyw6NvIGZlbGl6ZXMsIGNlcnRvPyBTZSB2b2PDqiBhanVkYXIgc8OzIHVtIHBvdWNvLg==,,W0Nvc21vc10KU2kgc29sbyBsZSBtdWVzdHJhcyB1biBwb2NvIGRlbCBzYWJvciBkZWwgcmVpbm8gY2VsZXN0aWFsLCB1biBhdmVudHVyZXJvIGxpc3RvIGNvbXByZW5kZXLDoSBtdWNoby4gRW50b25jZXMgdG9kb3MgdmFtb3MgYSBxdWVkYXIgZmVsaWNlcywgwr92ZXJkYWQ/IFNpIG5vcyBheXVkYXMgdW4gcG9jbywgY2xhcm8u
ggVdDQ,,W0h1aXVuXQpIYS4uLiBJdCBjYW5ub3QgYmUgaGVscGVkLiBJIGhhdmUgbm8gY2hvaWNlLg==,,,,,W0hlZXVuXQpIYS4uLiBOw6NvIHRlbSBqZWl0by4gVGVyZWkgZGUgZmF6ZXIu,,W0hlZXVuXQpKYS4uLiBObyBoYXkgcmVtZWRpby4gVGVuZHLDqSBxdWUgaGFjZXJsby4=
gwVdDQ,,W0V1bmhhXQpUaGUgYWR2ZW50dXJlciBpcyBhcyBmcmFnaWxlIGFzIGEgYmFieSBiaXJkLCBzbyBnbyBlYXN5IG9uIHRoZW0sIGFsbCByaWdodD8gQ3V0aWUsIGdvb2QgbHVjayE=,,,,,W0Nvc21vc10KTyB2aWFqYW50ZSDDqSBmcsOhZ2lsIGNvbW8gdW0gZmlsaG90ZSBkZSBwYXNzYXJpbmhvLCBlbnTDo28gdsOhIGNvbSBjdWlkYWRvLCBjZXJ0bz8gRm9yw6dhLCBmb2Z1cmEh,,W0Nvc21vc10KRWwgYXZlbnR1cmVybyBlcyBmcsOhZ2lsIGNvbW8gdW4gcG9sbHVlbG8sIGFzw60gcXVlIGRlYmVzIGlyIGNvbiBjdWlkYWRvLCDCv2VoPyDCocOBbmltbywgbGluZHVyYSE=
hAVdDQ,,SSBzdXBwb3NlIEkgc2hvdWxkIHNheSBnb29kYnllIHRvIHRoaXMgcGxhY2UgaW4gdGhlIG1lYW50aW1lLg==,,,,,RW5xdWFudG8gaXNzbywgdm91IG1lIGRlc3BlZGlyIGRlc3RlIGx1Z2FyLg==,,TWllbnRyYXMsIHlvIG1lIGRlc3BlZGlyw6kgZGUgZXN0ZSBsdWdhci4=
hQVdDQ,,W0V1bmhhXQpBZHZlbnR1cmVyPyBBcmUgeW91IGFsaXZlPw==,,,,,W0Nvc21vc10KVmlhamFudGU/IFNvYnJldml2ZXU/,,W0Nvc21vc10Kwr9BdmVudHVyZXJvPyDCv1NpZ3VlcyBjb24gdmlkYT8=
hgVdDQ,,Rm9yIG5vdy4=,,,,,UG9yIGVucXVhbnRvLCBzaW0u,,UG9yIGFob3JhLCBzw60u
hwVdDQ,,W0V1bmhhXQpUaGVuIGxldCdzIGdvIGJhY2sgdXAu,,,,,W0Nvc21vc10KRW50w6NvIHZhbW9zIHN1YmlyIGxvZ28u,,W0Nvc21vc10KRW50b25jZXMgc3ViYW1vcy4=
iAVdDQ,,W0h1aXVuXQpMYWR5IEV1bmhhPz8gV2hhdCBhYm91dCB3b3JyeWluZyBhYm91dCBtZT8/,,,,,W0hlZXVuXQpTZW5ob3IgQ29zbW9zPz8gTsOjbyBzZSBwcmVvY3VwYSBjb21pZ28/Pw==,,W0h1aXl1bl0Kwr/Cv0Nvc21vcz8/IMK/WSBxdcOpIGhheSBkZSBwcmVvY3VwYXJzZSBwb3IgbcOtPw==
iQVdDQ,,W0V1bmhhXQpIb3cgZG8geW91IGxpa2UgbXkgaG91c2U/IEkgcHV0IHNvbWUgZWZmb3J0IGludG8gaXQuIEFoLCBvZiBjb3Vyc2UsIGl0IGlzbid0IG15IHJlYWwgaG91c2UuIEl0J3MgYSB0ZW1wb3JhcnkgcmVzaWRlbmNlLiBTdHJpY3RseSB0ZW1wb3Jhcnku,,,,,W0Nvc21vc10KTyBxdWUgYWNob3UgZGEgbWluaGEgY2FzYT8gQ2FwcmljaGVpIGJhc3RhbnRlLiBBaCwgY2xhcm8sIG7Do28gw6kgdW1hIGNhc2EgZGUgdmVyZGFkZS4gw4kgdW1hIG1vcmFkYSB0ZW1wb3LDoXJpYS4=,,W0Nvc21vc10Kwr9RdcOpIHRlIHBhcmVjZSBtaSBjYXNhPyBNZSBlc21lcsOpIHVuIHBvY28uIEFoLCBjbGFybywgbm8gZXMgbWkgY2FzYSBkZSB2ZXJkYWQuIEVzIHVuYSByZXNpZGVuY2lhIHRlbXBvcmFsLiBTb2xvIHRlbXBvcmFsLg==
igVdDQ,,W0h1aXVuXQpTbyB0aGlzIGlzIHRoZSBwbGFjZSBMYWR5IEV1bmhhIGN1bHRpdmF0ZWQuIEkgc2hvdWxkIGhlYXIgYW4gZXhwbGFuYXRpb24u,,,,,W0hlZXVuXQpFbnTDo28gZXN0ZSBkZXZlIHNlciBvIGVzY3JpdMOzcmlvIGRvIFNlbmhvciBDb3Ntb3MuIFByZWNpc28gb3V2aXIgdW1hIGV4cGxpY2HDp8Ojby4=,,W0hlZXVuXQpQYXJlY2UgcXVlIGVzdGUgZXMgZWwgbHVnYXIgcXVlIENvc21vcyBoYSBjdWlkYWRvLiBUZW5kcsOpIHF1ZSBlc2N1Y2hhciB1bmEgZXhwbGljYWNpw7NuLg==
iwVdDQ,,R28sIGFkdmVudHVyZXIh,,,,,Rm9yw6dhLCB2aWFqYW50ZSE=,,wqHDgW5pbW8sIGF2ZW50dXJlcm8h
jAVdDQ,,SHVpdW4=,,,,,SGVldW4=,,SGVldW4=
jQVdDQ,,Tm93LCBjb21lLiBJdCB3b3VsZCBiZSBiZXN0IHRvIGZpbmlzaCB0aGlzIHF1aWNrbHku,,,,,VmFtb3MsIHZlbmhhLiDDiSBtZWxob3IgdGVybWluYXJtb3MgbG9nby4=,,QmllbiwgdmVuLiBIYXkgcXVlIGFjYWJhciBjb24gZXN0byByw6FwaWRvLg==
jgVdDQ,,VGhhdCB3YXMgZ29vZCBlbm91Z2guIE5vdyBjb21lIGJhY2sgdGhpcyB3YXku,,,,,SXNzbyBmb2kgYm9tIG8gc3VmaWNpZW50ZS4gQWdvcmEgdm9sdGUgcG9yIGFxdWku,,TG8gaGljaXN0ZSBtdXkgYmllbi4gQWhvcmEgdnVlbHZlIHBvciBhcXXDrS4=
jwVdDQ,,SSB3YXMgZ29pbmcgdG8gcGxhbnQgc29tZSBmbG93ZXJzIGhlcmUu,,,,,RXUgcXVlcmlhIHBsYW50YXIgYWxndW1hcyBmbG9yZXMgYXF1aS4=,,UXVlcsOtYSBwbGFudGFyIGFsZ3VuYXMgZmxvcmVzIGFxdcOtLg==
kAVdDQ,,QnV0IEkgaGF2ZSB0byBsZWF2ZSBiZWZvcmUgSSBjYW4u,,,,,TWFzIHZvdSBlbWJvcmEgc2VtIGNvbnNlZ3VpciBmYXplciBpc3NvLg==,,UGVybyBtZSB2b3kgc2luIHBvZGVyIGhhY2VybG8u
kQVdDQ,,V2lsbG93LCBJJ2xsIGNvbWUgdmlzaXQgZnJvbSB0aW1lIHRvIHRpbWUgYW5kIGtlZXAgeW91IGNvbXBhbnku,,,,,U2FsZ3VlaXJvLCB2b3Ugdm9sdGFyIGRlIHZleiBlbSBxdWFuZG8gcGFyYSBjb252ZXJzYXIgY29tIHZvY8OqLg==,,U2F1Y2UsIHZlbmRyw6kgZGUgdmV6IGVuIGN1YW5kbyBhIGNoYXJsYXIgY29udGlnby4=
kgVdDQ,,RG9uJ3QgYmUgdG9vIHNhZC4=,,,,,TsOjbyBmaXF1ZSB0cmlzdGUgZGVtYWlzLg==,,Tm8gdGUgcG9uZ2FzIHRyaXN0ZS4=
