QOw0Aw,,U2lzdGVyIExpbnVz,,,,,SXJtw6MgTGludXM=,,SGVybWFuYSBMaW51cw==
XOw0Aw,,W1Npc3RlciBMaW51c10KQWZ0ZXIgYmVjb21pbmcgYSBIaWdoIFByaWVzdCwKdGhhdCBjaGlsZCB0cmF2ZWxlZCB0aGUgY29udGluZW50IG1vcmUgYWN0aXZlbHkgdGhhbiBiZWZvcmUKYW5kIHBlcmZvcm1lZCBtYW55IGdyZWF0IGRlZWRzLgpUaG91Z2ggc3RpbGwgYSBiaXQgY2x1bXN5LiBIb2hvLg==,,,,,W0lybcOjIExpbnVzXQpEZXBvaXMgZGUgc2UgdG9ybmFyIHVtIFN1bW8gU2FjZXJkb3RlLAphcXVlbGEgY3JpYW7Dp2Egdmlham91IHBlbG8gY29udGluZW50ZSBtYWlzIGF0aXZhbWVudGUgZG8gcXVlIGFudGVzCmUgcmVhbGl6b3UgbXVpdG9zIGdyYW5kZXMgZmVpdG9zLgpFbWJvcmEgYWluZGEgdW0gcG91Y28gZGVzYWplaXRhZGEuIEhvaG8u,,W0hlcm1hbmEgTGludXNdCkRlc3B1w6lzIGRlIGNvbnZlcnRpcnNlIGVuIFN1bWEgU2FjZXJkb3Rpc2EsCmVzYSBuacOxYSB2aWFqw7MgcG9yIGVsIGNvbnRpbmVudGUgbcOhcyBhY3RpdmFtZW50ZSBxdWUgYW50ZXMKeSByZWFsaXrDsyBtdWNoYXMgZ3JhbmRlcyBoYXphw7Fhcy4KQXVucXVlIHRvZGF2w61hIHVuIHBvY28gdG9ycGUuIEpvasOzLg==
Xew0Aw,,VGhlbiB3aHkgYXJlIHlvdSB0ZWxsaW5nIG1lIHRoaXM/,,,,,RW50w6NvIHBvciBxdWUgdm9jw6ogZXN0w6EgbWUgY29udGFuZG8gaXNzbz8=,,RW50b25jZXMsIMK/cG9yIHF1w6kgbWUgY3VlbnRhcyBlc3RvPw==
Xuw0Aw,,W1Npc3RlciBMaW51c10KU2V2ZXJhbCBtb250aHMgYWdvLCB0aGF0IGNoaWxkIGRlcGFydGVkIHdpdGggY29tcGFuaW9ucwp0byBeMzEzMUZGTGlnaHRoYWx6ZW5eMDAwMDAwIGluIHRoZSBeMzEzMUZGU2Nod2FydHp2YWxkIFJlcHVibGljXjAwMDAwMApmb3IgbWlzc2lvbmFyeSB3b3JrIGFuZCB0cmFpbmluZy4uLgpCdXQgd2hldGhlciBmcm9tIGJlaW5nIGJ1c3kgb3IgaW4gZGFuZ2VyIGFnYWluLAp0aGVyZSBoYXMgYmVlbiBubyBjb250YWN0IGF0IGFsbC4=,,,,,W0lybcOjIExpbnVzXQpWw6FyaW9zIG1lc2VzIGF0csOhcywgYXF1ZWxhIGNyaWFuw6dhIHBhcnRpdSBjb20gY29tcGFuaGVpcm9zCnBhcmEgXjMxMzFGRkxpZ2h0aGFsemVuXjAwMDAwMCBuYSBeMzEzMUZGUmVww7pibGljYSBkZSBTY2h3YXJ0enZhbGReMDAwMDAwCnBhcmEgdHJhYmFsaG8gbWlzc2lvbsOhcmlvIGUgdHJlaW5hbWVudG8uLi4KTWFzIHNlamEgcG9yIGVzdGFyIG9jdXBhZGEgb3UgZW0gcGVyaWdvIG5vdmFtZW50ZSwKbsOjbyBob3V2ZSBjb250YXRvIGFsZ3VtLg==,,W0hlcm1hbmEgTGludXNdCkhhY2UgdmFyaW9zIG1lc2VzLCBlc2EgbmnDsWEgcGFydGnDsyBjb24gY29tcGHDsWVyb3MKaGFjaWEgXjMxMzFGRkxpZ2h0aGFsemVuXjAwMDAwMCBlbiBsYSBeMzEzMUZGUmVww7pibGljYSBkZSBTY2h3YXJ0enZhbGReMDAwMDAwCnBhcmEgdHJhYmFqbyBtaXNpb25lcm8geSBlbnRyZW5hbWllbnRvLi4uClBlcm8geWEgc2VhIHBvciBlc3RhciBvY3VwYWRhIG8gZW4gcGVsaWdybyBkZSBudWV2bywKbm8gaGEgaGFiaWRvIG5pbmfDum4gY29udGFjdG8u
X+w0Aw,,W1Npc3RlciBMaW51c10KU28gb3V0IG9mIGNvbmNlcm4sCkkgcHJheSBldmVyeSBkYXkgaGVyZSBpbiB0aGUgY2F0aGVkcmFsCnRvIE9kaW4gZm9yIHRoYXQgY2hpbGQncyBzYWZldHku,,,,,W0lybcOjIExpbnVzXQpFbnTDo28sIHBvciBwcmVvY3VwYcOnw6NvLApyZXpvIHRvZG9zIG9zIGRpYXMgYXF1aSBuYSBjYXRlZHJhbAphIE9kaW4gcGVsYSBzZWd1cmFuw6dhIGRhcXVlbGEgY3JpYW7Dp2Eu,,W0hlcm1hbmEgTGludXNdCkFzw60gcXVlIHBvciBwcmVvY3VwYWNpw7NuLApyZXpvIHRvZG9zIGxvcyBkw61hcyBhcXXDrSBlbiBsYSBjYXRlZHJhbAphIE9kw61uIHBvciBsYSBzZWd1cmlkYWQgZGUgZXNhIG5pw7FhLg==
YOw0Aw,,W1Npc3RlciBMaW51c10KSG9obywgSSBob3BlIHRoZXkgcmV0dXJuIHNhZmVseSBzb29uCmFuZCB0ZWxsIG1lIHN0b3JpZXMgb2YgdGhlaXIgYWR2ZW50dXJlcyBhbGwgbmlnaHQgbG9uZyBvbmNlIGFnYWluLg==,,,,,W0lybcOjIExpbnVzXQpIb2hvLCBlc3Blcm8gcXVlIGVsYSByZXRvcm5lIGVtIHNlZ3VyYW7Dp2EgZW0gYnJldmUKZSBtZSBjb250ZSBoaXN0w7NyaWFzIGRlIHN1YXMgYXZlbnR1cmFzIGEgbm9pdGUgdG9kYSBtYWlzIHVtYSB2ZXou,,W0hlcm1hbmEgTGludXNdCkpvasOzLCBlc3Blcm8gcXVlIHJlZ3Jlc2UgYSBzYWx2byBwcm9udG8KeSBtZSBjdWVudGUgaGlzdG9yaWFzIGRlIHN1cyBhdmVudHVyYXMgdG9kYSBsYSBub2NoZSB1bmEgdmV6IG3DoXMu
Yew0Aw,,W1Npc3RlciBMaW51c10=,,,,,W0lybcOjIExpbnVzXQ==,,W0hlcm1hbmEgTGludXNd
Yuw0Aw,,R29vZG5lc3MsIEkndmUga2VwdCB5b3UgaGVyZSBmYXIgdG9vIGxvbmcuIERvIHlvdSBhbHNvIHRyYXZlbCB0byBtYW55IHBsYWNlcywgYnJvdGhlcj8=,,,,,Q8OpdXMsIGV1IGEgbWFudGl2ZSBhcXVpIHBvciBtdWl0byB0ZW1wby4gVm9jw6ogdGFtYsOpbSB2aWFqYSBwYXJhIG11aXRvcyBsdWdhcmVzLCBpcm3Do28/,,Q2llbG9zLCB0ZSBoZSByZXRlbmlkbyBhcXXDrSBkZW1hc2lhZG8gdGllbXBvLiDCv1TDuiB0YW1iacOpbiB2aWFqYXMgYSBtdWNob3MgbHVnYXJlcywgaGVybWFubz8=
Y+w0Aw,,R29vZG5lc3MsIEkndmUga2VwdCB5b3UgaGVyZSBmYXIgdG9vIGxvbmcuIERvIHlvdSBhbHNvIHRyYXZlbCB0byBtYW55IHBsYWNlcywgc2lzdGVyPw==,,,,,Q8OpdXMsIGV1IGEgbWFudGl2ZSBhcXVpIHBvciBtdWl0byB0ZW1wby4gVm9jw6ogdGFtYsOpbSB2aWFqYSBwYXJhIG11aXRvcyBsdWdhcmVzLCBpcm3Doz8=,,Q2llbG9zLCB0ZSBoZSByZXRlbmlkbyBhcXXDrSBkZW1hc2lhZG8gdGllbXBvLiDCv1TDuiB0YW1iacOpbiB2aWFqYXMgYSBtdWNob3MgbHVnYXJlcywgaGVybWFuYT8=
ZOw0Aw,,UGxlYXNlIGFsd2F5cyB0YWtlIGNhcmUgb2YgeW91cnNlbGYu,,,,,UG9yIGZhdm9yLCBjdWlkZS1zZSBzZW1wcmUu,,UG9yIGZhdm9yLCBjdcOtZGF0ZSBzaWVtcHJlLg==
Zew0Aw,,SSB3aWxsIGFsd2F5cyBwcmF5IGhlcmUgZm9yIHlvdSBhcyB3ZWxsLCBicm90aGVyLg==,,,,,RXUgc2VtcHJlIHJlemFyZWkgYXF1aSBwb3Igdm9jw6ogdGFtYsOpbSwgaXJtw6NvLg==,,U2llbXByZSByZXphcsOpIGFxdcOtIHBvciB0aSB0YW1iacOpbiwgaGVybWFuby4=
Zuw0Aw,,SSB3aWxsIGFsd2F5cyBwcmF5IGhlcmUgZm9yIHlvdSBhcyB3ZWxsLCBzaXN0ZXIu,,,,,RXUgc2VtcHJlIHJlemFyZWkgYXF1aSBwb3Igdm9jw6ogdGFtYsOpbSwgaXJtw6Mu,,U2llbXByZSByZXphcsOpIGFxdcOtIHBvciB0aSB0YW1iacOpbiwgaGVybWFuYS4=
Z+w0Aw,,W14zMTMxRkZ7MH1eMDAwMDAwXQpCeSB0aGUgd2F5LCBTaXN0ZXIsCndoYXQgaXMgdGhlIG5hbWUgb2YgdGhhdCBtaXNjaGlldm91cyBwcmllc3Qgd2hvIGJlY2FtZSBhIEhpZ2ggUHJpZXN0PwpJZiBJIG1lZXQgdGhlbSBkdXJpbmcgbXkgdHJhdmVscywKSSB3aWxsIHN1cmVseSBkZWxpdmVyIHlvdXIgbWVzc2FnZS4=,,,,,W14zMTMxRkZ7MH1eMDAwMDAwXQpBIHByb3DDs3NpdG8sIElybcOjLApxdWFsIMOpIG8gbm9tZSBkYXF1ZWxhIHNhY2VyZG90aXNhIHRyYXZlc3NhIHF1ZSBzZSB0b3Jub3UgU3VtbyBTYWNlcmRvdGU/ClNlIGV1IGVuY29udHLDoS1sYSBkdXJhbnRlIG1pbmhhcyB2aWFnZW5zLApjZXJ0YW1lbnRlIGVudHJlZ2FyZWkgc3VhIG1lbnNhZ2VtLg==,,W14zMTMxRkZ7MH1eMDAwMDAwXQpQb3IgY2llcnRvLCBIZXJtYW5hLArCv2N1w6FsIGVzIGVsIG5vbWJyZSBkZSBlc2EgdHJhdmllc2Egc2FjZXJkb3Rpc2EgcXVlIHNlIGNvbnZpcnRpw7MgZW4gU3VtYSBTYWNlcmRvdGlzYT8KU2kgbGEgZW5jdWVudHJvIGR1cmFudGUgbWlzIHZpYWplcywKc2VndXJvIGxlIGVudHJlZ2Fyw6kgdHUgbWVuc2FqZS4=
aOw0Aw,,W1Npc3RlciBMaW51c10KT2ggbXksIHJlYWxseT8KWW91IGFyZSB0cnVseSBraW5kLg==,,,,,W0lybcOjIExpbnVzXQpPaCBjw6l1cywgc8OpcmlvPwpWb2PDqiDDqSB2ZXJkYWRlaXJhbWVudGUgZ2VudGlsLg==,,W0hlcm1hbmEgTGludXNdCk9oIGNpZWxvcywgwr9lbiBzZXJpbz8KRXJlcyB2ZXJkYWRlcmFtZW50ZSBhbWFibGUu
aew0Aw,,W1Npc3RlciBMaW51c10KVGhhdCBjaGlsZCdzIG5hbWUgaXMgUHJpZXN0IFNvcmlu4oCUCm5vLCBub3cgYSBIaWdoIFByaWVzdC4KSGlnaCBQcmllc3QgU29yaW4sIGZ1bGwgbmFtZSBeMzEzMUZGTWFyZ2FyZXRoYSBTb3Jpbl4wMDAwMDAu,,,,,W0lybcOjIExpbnVzXQpPIG5vbWUgZGFxdWVsYSBjcmlhbsOnYSDDqSBTYWNlcmRvdGlzYSBTb3JpbuKAlApuw6NvLCBhZ29yYSB1bWEgU3VtbyBTYWNlcmRvdGUuClN1bW8gU2FjZXJkb3Rpc2EgU29yaW4sIG5vbWUgY29tcGxldG8gXjMxMzFGRk1hcmdhcmV0aGEgU29yaW5eMDAwMDAwLg==,,W0hlcm1hbmEgTGludXNdCkVsIG5vbWJyZSBkZSBlc2EgbmnDsWEgZXMgU2FjZXJkb3Rpc2EgU29yaW7igJQKbm8sIGFob3JhIHVuYSBTdW1hIFNhY2VyZG90aXNhLgpTdW1hIFNhY2VyZG90aXNhIFNvcmluLCBub21icmUgY29tcGxldG8gXjMxMzFGRk1hcmdhcmV0aGEgU29yaW5eMDAwMDAwLg==
auw0Aw,,W1Npc3RlciBMaW51c10KSWYgeW91IGhhcHBlbiB0byBtZWV0IHRoYXQgY2hpbGQsCnBsZWFzZSB0ZWxsIHRoZW0gdGhhdCBJIGFsd2F5cyBwcmF5IGZvciB0aGVtIGhlcmUgYXQgdGhlIGNhdGhlZHJhbAphbmQgdGhhdCB0aGV5IG11c3Qgc3RheSBzYWZlLg==,,,,,W0lybcOjIExpbnVzXQpTZSBwb3IgYWNhc28gdm9jw6ogZW5jb250cmFyIGFxdWVsYSBjcmlhbsOnYSwKcG9yIGZhdm9yLCBkaWdhLWxoZSBxdWUgZXUgc2VtcHJlIHJlem8gcG9yIGVsYSBhcXVpIG5hIGNhdGVkcmFsCmUgcXVlIGVsYSBkZXZlIHBlcm1hbmVjZXIgc2VndXJhLg==,,W0hlcm1hbmEgTGludXNdClNpIHBvciBjYXN1YWxpZGFkIHRlIGVuY3VlbnRyYXMgY29uIGVzYSBuacOxYSwKcG9yIGZhdm9yLCBkaWxlIHF1ZSBzaWVtcHJlIHJlem8gcG9yIGVsbGEgYXF1w60gZW4gbGEgY2F0ZWRyYWwKeSBxdWUgZGViZSBtYW50ZW5lcnNlIGEgc2Fsdm8u
a+w0Aw,,VGhlbiBtYXkgeW91IGFsd2F5cyByZW1haW4gaGVhbHRoeSwgYnJvdGhlci4=,,,,,RW50w6NvIHF1ZSB2b2PDqiBwZXJtYW5lw6dhIHNlbXByZSBzYXVkw6F2ZWwsIGlybcOjby4=,,RW50b25jZXMsIHF1ZSB0ZSBtYW50ZW5nYXMgc2llbXByZSBzYWx1ZGFibGUsIGhlcm1hbm8u
bOw0Aw,,VGhlbiBtYXkgeW91IGFsd2F5cyByZW1haW4gaGVhbHRoeSwgc2lzdGVyLg==,,,,,RW50w6NvIHF1ZSB2b2PDqiBwZXJtYW5lw6dhIHNlbXByZSBzYXVkw6F2ZWwsIGlybcOjLg==,,RW50b25jZXMsIHF1ZSB0ZSBtYW50ZW5nYXMgc2llbXByZSBzYWx1ZGFibGUsIGhlcm1hbmEu
bew0Aw,,W1Npc3RlciBMaW51c10KSSB3aXNoIHlvdSBhIHBlYWNlZnVsIGpvdXJuZXku,,,,,W0lybcOjIExpbnVzXQpEZXNlam8tbGhlIHVtYSBqb3JuYWRhIHBhY8OtZmljYS4=,,W0hlcm1hbmEgTGludXNdClRlIGRlc2VvIHVuIHZpYWplIHBhY8OtZmljby4=
buw0Aw,,TGVhcm4gXjMxMzFGRidSZWRlbXB0aW8nXjAwMDAwMC4=,,,,,QXByZW5kZXIgXjMxMzFGRidSZWRlbXB0aW8nXjAwMDAwMC4=,,QXByZW5kZXIgXjMxMzFGRidSZWRlbXB0aW8nXjAwMDAwMC4=
b+w0Aw,,RW5kIHRoZSBjb252ZXJzYXRpb24u,,,,,VGVybWluYXIgYSBjb252ZXJzYS4=,,VGVybWluYXIgbGEgY29udmVyc2FjacOzbi4=
cOw0Aw,,W1Npc3RlciBMaW51c10KXjMxMzFGRidSZWRlbXB0aW8nXjAwMDAwMCBpcyBhbiBhZHZhbmNlZCBza2lsbAp0aGF0IHJldml2ZXMgYWxsIGluY2FwYWNpdGF0ZWQgcGFydHkgbWVtYmVycyBuZWFyYnkgYXQgb25jZS4KSXQgaXMgYSBkaWZmaWN1bHQgcHJheWVyLCBzbyBjYXN0aW5nIGl0IGlzIG5vdCBlYXN5Lg==,,,,,W0lybcOjIExpbnVzXQpeMzEzMUZGJ1JlZGVtcHRpbydeMDAwMDAwIMOpIHVtYSBoYWJpbGlkYWRlIGF2YW7Dp2FkYQpxdWUgcmV2aXZlIHRvZG9zIG9zIG1lbWJyb3MgZG8gZ3J1cG8gaW5jYXBhY2l0YWRvcyBwcsOzeGltb3MgZGUgdW1hIHZlei4Kw4kgdW1hIG9yYcOnw6NvIGRpZsOtY2lsLCBlbnTDo28gY29uanVyw6EtbGEgbsOjbyDDqSBmw6FjaWwu,,W0hlcm1hbmEgTGludXNdCl4zMTMxRkYnUmVkZW1wdGlvJ14wMDAwMDAgZXMgdW5hIGhhYmlsaWRhZCBhdmFuemFkYQpxdWUgcmV2aXZlIGEgdG9kb3MgbG9zIG1pZW1icm9zIGRlbCBncnVwbyBpbmNhcGFjaXRhZG9zIGNlcmNhbm9zIGEgbGEgdmV6LgpFcyB1bmEgb3JhY2nDs24gZGlmw61jaWwsIHBvciBsbyBxdWUgbGFuemFybGEgbm8gZXMgZsOhY2lsLg==
cew0Aw,,W1Npc3RlciBMaW51c10KRnVydGhlcm1vcmUsIFJlZGVtcHRpbyBpcyBhIHNhY3JpZmljZSBza2lsbC4KUGxlYXNlIHJlbWVtYmVyIHRoYXQgXkZGMDAwMHdoaWxlIGl0IHJldml2ZXMgeW91ciBwYXJ0eSBtZW1iZXJzLAp5b3UgeW91cnNlbGYgd2lsbCBiZWNvbWUgaW5jYXBhY2l0YXRlZC5eMDAwMDAw,,,,,W0lybcOjIExpbnVzXQpBbMOpbSBkaXNzbywgUmVkZW1wdGlvIMOpIHVtYSBoYWJpbGlkYWRlIGRlIHNhY3JpZsOtY2lvLgpQb3IgZmF2b3IsIGxlbWJyZS1zZSBkZSBxdWUgXkZGMDAwMGVucXVhbnRvIHJldml2ZSBvcyBtZW1icm9zIGRvIHNldSBncnVwbywKdm9jw6ogbWVzbW8gZmljYXLDoSBpbmNhcGFjaXRhZG8uXjAwMDAwMA==,,W0hlcm1hbmEgTGludXNdCkFkZW3DoXMsIFJlZGVtcHRpbyBlcyB1bmEgaGFiaWxpZGFkIGRlIHNhY3JpZmljaW8uClBvciBmYXZvciwgcmVjdWVyZGEgcXVlIF5GRjAwMDBtaWVudHJhcyByZXZpdmUgYSBsb3MgbWllbWJyb3MgZGUgdHUgZ3J1cG8sCnTDuiBtaXNtbyBxdWVkYXLDoXMgaW5jYXBhY2l0YWRvLl4wMDAwMDA=
cuw0Aw,,W1Npc3RlciBMaW51c10KVGhlbiBsZXQgbWUgdGVsbCB5b3Ugd2hhdCBpcyBuZWVkZWQgdG8gbGVhcm4gUmVkZW1wdGlvLgpeMzEzMUZGJ1Jlc3VycmVjdGlvbiBMdi4xJ14wMDAwMDAKXjMxMzFGRicyMCBCbHVlIEdlbXN0b25lcydeMDAwMDAwCl4zMTMxRkYnMzAgSG9seSBXYXRlcnMnXjAwMDAwMC4=,,,,,W0lybcOjIExpbnVzXQpFbnTDo28gZGVpeGUtbWUgZGl6ZXItbGhlIG8gcXVlIMOpIG5lY2Vzc8OhcmlvIHBhcmEgYXByZW5kZXIgUmVkZW1wdGlvLgpeMzEzMUZGJ1Jlc3N1cnJlacOnw6NvIE52LjEnXjAwMDAwMApeMzEzMUZGJzIwIEdlbWFzIEF6dWlzJ14wMDAwMDAKXjMxMzFGRiczMCDDgWd1YXMgQmVudGEnXjAwMDAwMC4=,,W0hlcm1hbmEgTGludXNdCkVudG9uY2VzIGTDqWphbWUgZGVjaXJ0ZSBsbyBxdWUgc2UgbmVjZXNpdGEgcGFyYSBhcHJlbmRlciBSZWRlbXB0aW8uCl4zMTMxRkYnUmVzdXJyZWNjacOzbiBOdi4xJ14wMDAwMDAKXjMxMzFGRicyMCBHZW1hcyBBenVsZXMnXjAwMDAwMApeMzEzMUZGJzMwIEFndWFzIEJlbmRpdGFzJ14wMDAwMDAu
c+w0Aw,,W1Npc3RlciBMaW51c10KUHJheWluZyBzb21laG93IGJyaW5ncyBwZWFjZSB0byB0aGUgaGVhcnQuCkl0IGZlZWxzIGFzIHRob3VnaCBvbmUgaGFzIGJlZW4gY29tZm9ydGVkLgpQZXJoYXBzIHRoYXQgaXMgd2h5IEkgY2hvc2UgdGhpcyBwYXRoLiBIb2hvLg==,,,,,W0lybcOjIExpbnVzXQpSZXphciBkZSBhbGd1bWEgZm9ybWEgdHJheiBwYXogYW8gY29yYcOnw6NvLgpQYXJlY2UgcXVlIGZvbW9zIGNvbmZvcnRhZG9zLgpUYWx2ZXogc2VqYSBwb3IgaXNzbyBxdWUgZXNjb2xoaSBlc3RlIGNhbWluaG8uIEhvaG8u,,W0hlcm1hbmEgTGludXNdClJlemFyIGRlIGFsZ3VuYSBtYW5lcmEgdHJhZSBwYXogYWwgY29yYXrDs24uClNlIHNpZW50ZSBjb21vIHNpIHVubyBodWJpZXJhIHNpZG8gY29uc29sYWRvLgpRdWl6w6FzIHBvciBlc28gZWxlZ8OtIGVzdGUgY2FtaW5vLiBKb2rDsy4=
dOw0Aw,,W1Npc3RlciBMaW51c10KWW91IGhhdmUgcHJlcGFyZWQgZXZlcnl0aGluZy4KTm93IEkgc2hhbGwgdGVhY2ggeW91IGhvdyB0byBtYXN0ZXIgUmVkZW1wdGlvLgpTaW1wbHkgcmVwZWF0IHRoZSBjaGFudCBhZnRlciBtZS4KSG93ZXZlciwgXkZGMDAwMGlmIHlvdSBmYWlsLCBvbmUgQmx1ZSBHZW1zdG9uZSBhbmQgb25lIEhvbHkgV2F0ZXIgd2lsbCBkaXNhcHBlYXIuXjAwMDAwMA==,,,,,W0lybcOjIExpbnVzXQpWb2PDqiBwcmVwYXJvdSB0dWRvLgpBZ29yYSBldSBsaGUgZW5zaW5hcmVpIGNvbW8gZG9taW5hciBvIFJlZGVtcHRpby4KU2ltcGxlc21lbnRlIHJlcGl0YSBvIGNhbnRvIGRlcG9pcyBkZSBtaW0uCk5vIGVudGFudG8sIF5GRjAwMDBzZSB2b2PDqiBmYWxoYXIsIHVtYSBHZW1hIEF6dWwgZSB1bWEgw4FndWEgQmVudGEgZGVzYXBhcmVjZXLDo28uXjAwMDAwMA==,,W0hlcm1hbmEgTGludXNdCkhhcyBwcmVwYXJhZG8gdG9kby4KQWhvcmEgdGUgZW5zZcOxYXLDqSBjw7NtbyBkb21pbmFyIGVsIFJlZGVtcHRpby4KU2ltcGxlbWVudGUgcmVwaXRlIGVsIGNhbnRvIGRlc3B1w6lzIGRlIG3DrS4KU2luIGVtYmFyZ28sIF5GRjAwMDBzaSBmYWxsYXMsIHVuYSBHZW1hIEF6dWwgeSB1biBBZ3VhIEJlbmRpdGEgZGVzYXBhcmVjZXLDoW4uXjAwMDAwMA==
dew0Aw,,W1Npc3RlciBMaW51c10KTm93IHRoZW4uLi4gc2hhbGwgd2UgYmVnaW4/,,,,,W0lybcOjIExpbnVzXQpBZ29yYSBlbnTDo28uLi4gZGV2ZW1vcyBjb21lw6dhcj8=,,W0hlcm1hbmEgTGludXNdCkFob3JhIGVudG9uY2VzLi4uIMK/Y29tZW56YW1vcz8=
duw0Aw,,W1Npc3RlciBMaW51c10KXjMxMzFGRk8gbW9zdCBub2JsZSBhbmQgc2FjcmVkIGJlaW5nIHNpbmNlIHRoZSBiZWdpbm5pbmcgb2YgdGltZSwgSSBlYXJuZXN0bHkgcHJheSB0byB5b3UuIEJ5IHlvdXIgbWVyY3ksIGFpZCB1cyBhbmQgZ3JhbnQgdXMgdGhlIGd1aWRpbmcgbGlnaHQgb2YgaGVhdmVuLl4wMDAwMDA=,,,,,W0lybcOjIExpbnVzXQpeMzEzMUZGw5Mgc2VyIG1haXMgbm9icmUgZSBzYWdyYWRvIGRlc2RlIG8gaW7DrWNpbyBkb3MgdGVtcG9zLCBldSBzaW5jZXJhbWVudGUgcmV6byBhIHbDs3MuIFBvciB2b3NzYSBtaXNlcmljw7NyZGlhLCBhanVkYWktbm9zIGUgY29uY2VkZWktbm9zIGEgbHV6IGd1aWEgZG8gY8OpdS5eMDAwMDAw,,W0hlcm1hbmEgTGludXNdCl4zMTMxRkZPaCBzZXIgbcOhcyBub2JsZSB5IHNhZ3JhZG8gZGVzZGUgZWwgcHJpbmNpcGlvIGRlIGxvcyB0aWVtcG9zLCB0ZSBydWVnbyBmZXJ2aWVudGVtZW50ZS4gUG9yIHR1IG1pc2VyaWNvcmRpYSwgYXnDumRhbm9zIHkgY29uY8OpZGVub3MgbGEgbHV6IGd1w61hIGRlbCBjaWVsby5eMDAwMDAw
d+w0Aw,,W1Npc3RlciBMaW51c10KXjMxMzFGRkFzIHlvdSBvbmNlIGRpZCwgc28gdG9vIHNoYWxsIEkgZm9sbG93IHRoYXQgcGF0aC5eMDAwMDAwCl4zMTMxRkZSZWRlbXB0aW8hIV4wMDAwMDA=,,,,,W0lybcOjIExpbnVzXQpeMzEzMUZGQ29tbyB2w7NzIHVtYSB2ZXogZml6ZXN0ZXMsIGFzc2ltIHRhbWLDqW0gZXUgc2VndWlyZWkgZXNzZSBjYW1pbmhvLl4wMDAwMDAKXjMxMzFGRlJlZGVtcHRpbyEhXjAwMDAwMA==,,W0hlcm1hbmEgTGludXNdCl4zMTMxRkZDb21vIHTDuiB1bmEgdmV6IGxvIGhpY2lzdGUsIHlvIHRhbWJpw6luIHNlZ3VpcsOpIGVzZSBjYW1pbm8uXjAwMDAwMApeMzEzMUZGwqHCoVJlZGVtcHRpbyEhXjAwMDAwMA==
eOw0Aw,,W1Npc3RlciBMaW51c10KQ29uZ3JhdHVsYXRpb25zIQpZb3UgaGF2ZSBsZWFybmVkIFJlZGVtcHRpby4KQXMgUmVkZW1wdGlvIGlzIGFuIHVsdGltYXRlIHNraWxsLApwbGVhc2UgdXNlIGl0IGNhcmVmdWxseSBhbmQgb25seSBpbiB0aW1lcyBvZiBncmVhdCBkYW5nZXIu,,,,,W0lybcOjIExpbnVzXQpQYXJhYsOpbnMhClZvY8OqIGFwcmVuZGV1IFJlZGVtcHRpby4KQ29tbyBSZWRlbXB0aW8gw6kgdW1hIGhhYmlsaWRhZGUgc3VwcmVtYSwKcG9yIGZhdm9yLCB1c2UtYSBjb20gY3VpZGFkbyBlIGFwZW5hcyBlbSB0ZW1wb3MgZGUgZ3JhbmRlIHBlcmlnby4=,,W0hlcm1hbmEgTGludXNdCsKhRmVsaWNpZGFkZXMhCkhhcyBhcHJlbmRpZG8gUmVkZW1wdGlvLgpDb21vIFJlZGVtcHRpbyBlcyB1bmEgaGFiaWxpZGFkIHN1cHJlbWEsCnBvciBmYXZvciwgw7pzYWxhIGNvbiBjdWlkYWRvIHkgc29sbyBlbiBtb21lbnRvcyBkZSBncmFuIHBlbGlncm8u
eew0Aw,,W1Npc3RlciBMaW51c10KT2ggZGVhciwgaXQgd2FzIGEgZmFpbHVyZS4KUHJlcGFyZSB0aGUgbWF0ZXJpYWxzIGFnYWluIGFuZCBsZXQgdXMgdHJ5IG9uY2UgbW9yZS4=,,,,,W0lybcOjIExpbnVzXQpPaCwgY8OpdXMsIGZvaSB1bSBmcmFjYXNzby4KUHJlcGFyZSBvcyBtYXRlcmlhaXMgbm92YW1lbnRlIGUgdmFtb3MgdGVudGFyIG1haXMgdW1hIHZlei4=,,W0hlcm1hbmEgTGludXNdCk9oIGNpZWxvcywgZnVlIHVuIGZyYWNhc28uClByZXBhcmEgbG9zIG1hdGVyaWFsZXMgZGUgbnVldm8gZSBpbnRlbnTDqW1vc2xvIHVuYSB2ZXogbcOhcy4=
